3540_163612_000005_000000	THE ENCHANTED CANARY	THE ENCHANTED CANARY
3540_163612_000007_000001	He ate four meals a day, slept twelve hours out of the twenty-four, and the only thing he ever did was to shoot at small birds with his bow and arrow.	He ate four meals a day, slept twelve hours out of the twenty four, and the only thing he ever did was to shoot at small birds with his bow and arrow.
3540_163612_000008_000000	Still, with all his practice he shot very badly, he was so fat and heavy, and as he grew daily fatter, he was at last obliged to give up walking, and be dragged about in a wheel-chair, and the people made fun of him, and gave him the name of my Lord Tubby.	Still, with all his practice he shot very badly, he was so fat and heavy, and as he grew daily fatter, he was at last obliged to give up walking, and be dragged about in a wheel chair, and the people made fun of him, and gave him the name of my Lord Tubby.
3540_163612_000009_000000	Now, the only trouble that Lord Tubby had was about his son, whom he loved very much, although they were not in the least alike, for the young Prince was as thin as a cuckoo.	Now, the only trouble that Lord Tubby had was about his son, whom he loved very much, although they were not in the least alike, for the young Prince was as thin as a cuckoo.
3540_163612_000010_000000	Instead of chatting with them in the dusk, he wandered about the woods, whispering to the moon.	Instead of chatting with them in the dusk, he wandered about the woods, whispering to the moon.
3540_163612_000011_000000	'What is the matter with you?' his father often said to him.	'What is the matter with you?' his father often said to him.
3540_163612_000011_000001	'You have everything you can possibly wish for: a good bed, good food, and tuns full of beer.	'You have everything you can possibly wish for: a good bed, good food, and tuns full of beer.
3540_163612_000011_000002	The only thing you want, in order to become as fat as a pig, is a wife that can bring you broad, rich lands.	The only thing you want, in order to become as fat as a pig, is a wife that can bring you broad, rich lands.
3540_163612_000011_000003	So marry, and you will be perfectly happy.'	So marry, and you will be perfectly happy.'
3540_163612_000012_000001	All the girls here are pink and white, and I am tired to death of their eternal lilie and roses.	All the girls here are pink and white, and I am tired to death of their eternal lilie and roses.
3540_163612_000013_000000	'My faith!' cried Tubby; 'do you want to marry a negress, and give me grandchildren as ugly as monkeys and as stupid as owls?'	'My faith!' cried Tubby; 'do you want to marry a negress, and give me grandchildren as ugly as monkeys and as stupid as owls?'
3540_163612_000014_000000	'No, father, nothing of the sort.	'No, father, nothing of the sort.
3540_163612_000014_000001	But there must be women somewhere in the world who are neither pink nor white, and I tell you, once for all, that I will never marry until I have found one exactly to my taste.'	But there must be women somewhere in the world who are neither pink nor white, and I tell you, once for all, that I will never marry until I have found one exactly to my taste.'
3540_163612_000017_000000	That evening Tubby and his son ate the golden apples at supper, and thought them delicious.	That evening Tubby and his son ate the golden apples at supper, and thought them delicious.
3540_163612_000018_000001	Then he went, all dressed for a journey, to the bedside of Tubby, and found him smoking his first pipe.	Then he went, all dressed for a journey, to the bedside of Tubby, and found him smoking his first pipe.
3540_163612_000019_000000	'Father,' he said gravely, 'I have come to bid you farewell.	'Father,' he said gravely, 'I have come to bid you farewell.
3540_163612_000019_000001	Last night I dreamed that I was walking in a wood, where the trees were covered with golden apples.	Last night I dreamed that I was walking in a wood, where the trees were covered with golden apples.
3540_163612_000019_000002	I gathered one of them, and when I opened it there came out a lovely princess with a golden skin.	I gathered one of them, and when I opened it there came out a lovely princess with a golden skin.
3540_163612_000019_000003	That is the wife I want, and I am going to look for her.'	That is the wife I want, and I am going to look for her.'
3540_163612_000021_000001	He jumped lightly on his horse, and was a mile from home before Tubby had ceased laughing.	He jumped lightly on his horse, and was a mile from home before Tubby had ceased laughing.
3540_163612_000022_000000	'A yellow wife!	'A yellow wife!
3540_163612_000022_000001	He must be mad! fit for a strait waistcoat!' cried the good man, when he was able to speak.	He must be mad! fit for a strait waistcoat!' cried the good man, when he was able to speak.
3540_163612_000022_000002	'Here! quick! bring him back to me.'	'Here! quick! bring him back to me.'
3540_163612_000023_000000	The servants mounted their horses and rode after the Prince; but as they did not know which road he had taken, they went all ways except the right one, and instead of bringing him back they returned themselves when it grew dark, with their horses worn out and covered with dust.	The servants mounted their horses and rode after the Prince; but as they did not know which road he had taken, they went all ways except the right one, and instead of bringing him back they returned themselves when it grew dark, with their horses worn out and covered with dust.
3540_163612_000025_000001	He travelled in this way for many weeks, passing by villages, towns, mountains, valleys, and plains, but always pushing south, where every day the sun seemed hotter and more brilliant.	He travelled in this way for many weeks, passing by villages, towns, mountains, valleys, and plains, but always pushing south, where every day the sun seemed hotter and more brilliant.
3540_163612_000026_000000	At last one day at sunset Desire felt the sun so warm, that he thought he must now be near the place of his dream.	At last one day at sunset Desire felt the sun so warm, that he thought he must now be near the place of his dream.
3540_163612_000026_000001	He was at that moment close to the corner of a wood where stood a little hut, before the door of which his horse stopped of his own accord.	He was at that moment close to the corner of a wood where stood a little hut, before the door of which his horse stopped of his own accord.
3540_163612_000026_000002	An old man with a white beard was sitting on the doorstep enjoying the fresh air.	An old man with a white beard was sitting on the doorstep enjoying the fresh air.
3540_163612_000026_000003	The Prince got down from his horse and asked leave to rest.	The Prince got down from his horse and asked leave to rest.
3540_163612_000027_000000	'Come in, my young friend,' said the old man; 'my house is not large, but it is big enough to hold a stranger.'	'Come in, my young friend,' said the old man; 'my house is not large, but it is big enough to hold a stranger.'
3540_163612_000028_000000	The traveller entered, and his host put before him a simple meal.	The traveller entered, and his host put before him a simple meal.
3540_163612_000028_000001	When his hunger was satisfied the old man said to him:	When his hunger was satisfied the old man said to him:
3540_163612_000029_000000	'If I do not mistake, you come from far.	'If I do not mistake, you come from far.
3540_163612_000029_000001	May I ask where you are going?'	May I ask where you are going?'
3540_163612_000030_000001	I dreamed that in the land of the sun there was a wood full of orange trees, and that in one of the oranges I should find a beautiful princess who is to be my wife.	I dreamed that in the land of the sun there was a wood full of orange trees, and that in one of the oranges I should find a beautiful princess who is to be my wife.
3540_163612_000030_000002	It is she I am seeking.'	It is she I am seeking.'
3540_163612_000031_000000	'Why should I laugh?' asked the old man.	'Why should I laugh?' asked the old man.
3540_163612_000031_000001	'Madness in youth is true wisdom.	'Madness in youth is true wisdom.
3540_163612_000031_000002	Go, young man, follow your dream, and if you do not find the happiness that you seek, at any rate you will have had the happiness of seeking it.'	Go, young man, follow your dream, and if you do not find the happiness that you seek, at any rate you will have had the happiness of seeking it.'
3540_163612_000033_000000	The next day the Prince arose early and took leave of his host.	The next day the Prince arose early and took leave of his host.
3540_163612_000034_000000	'The wood that you saw in your dream is not far from here,' said the old man.	'The wood that you saw in your dream is not far from here,' said the old man.
3540_163612_000034_000001	'It is in the depth of the forest, and this road will lead you there.	'It is in the depth of the forest, and this road will lead you there.
3540_163612_000034_000002	You will come to a vast park surrounded by high walls.	You will come to a vast park surrounded by high walls.
3540_163612_000034_000003	In the middle of the park is a castle, where dwells a horrible witch who allows no living being to enter the doors.	In the middle of the park is a castle, where dwells a horrible witch who allows no living being to enter the doors.
3540_163612_000034_000004	Behind the castle is the orange grove.	Behind the castle is the orange grove.
3540_163612_000034_000005	Follow the wall till you come to a heavy iron gate.	Follow the wall till you come to a heavy iron gate.
3540_163612_000034_000006	Don't try to press it open, but oil the hinges with this,' and the old man gave him a small bottle.	Don't try to press it open, but oil the hinges with this,' and the old man gave him a small bottle.
3540_163612_000035_000000	'The gate will open of itself,' he continued, 'and a huge dog which guards the castle will come to you with his mouth wide open, but just throw him this oat cake.	'The gate will open of itself,' he continued, 'and a huge dog which guards the castle will come to you with his mouth wide open, but just throw him this oat cake.
3540_163612_000035_000001	Next, you will see a baking woman leaning over her heated oven.	Next, you will see a baking woman leaning over her heated oven.
3540_163612_000035_000002	Give her this brush.	Give her this brush.
3540_163612_000035_000003	Lastly, you will find a well on your left; do not forget to take the cord of the bucket and spread it in the sun.	Lastly, you will find a well on your left; do not forget to take the cord of the bucket and spread it in the sun
3540_163612_000035_000004	When you have done this, do not enter the castle, but go round it and enter the orange grove.	When you have done this, do not enter the castle, but go round it and enter the orange grove.
3540_163612_000035_000005	Then gather three oranges, and get back to the gate as fast as you can.	Then gather three oranges, and get back to the gate as fast as you can.
3540_163612_000035_000006	Once out of the gate, leave the forest by the opposite side.	Once out of the gate, leave the forest by the opposite side.
3540_163612_000036_000000	'Now, attend to this: whatever happens, do not open your oranges till you reach the bank of a river, or a fountain.	'Now, attend to this: whatever happens, do not open your oranges till you reach the bank of a river, or a fountain.
3540_163612_000036_000001	Out of each orange will come a princess, and you can choose which you like for your wife.	Out of each orange will come a princess, and you can choose which you like for your wife.
3540_163612_000036_000002	Your choice once made, be very careful never to leave your bride for an instant, and remember that the danger which is most to be feared is never the danger we are most afraid of.'	Your choice once made, be very careful never to leave your bride for an instant, and remember that the danger which is most to be feared is never the danger we are most afraid of.'
3540_163612_000038_000001	In less than an hour he arrived at the wall, which was very high indeed.	In less than an hour he arrived at the wall, which was very high indeed.
3540_163612_000038_000002	He sprang to the ground, fastened his horse to a tree, and soon found the iron gate.	He sprang to the ground, fastened his horse to a tree, and soon found the iron gate.
3540_163612_000038_000003	Then he took out his bottle and oiled the hinges, when the gate opened of itself, and he saw an old castle standing inside.	Then he took out his bottle and oiled the hinges, when the gate opened of itself, and he saw an old castle standing inside.
3540_163612_000038_000004	The Prince entered boldly into the courtyard.	The Prince entered boldly into the courtyard.
3540_163612_000039_000000	Suddenly he heard fierce howls, and a dog as tall as a donkey, with eyes like billiard balls, came towards him, showing his teeth, which were like the prongs of a fork.	Suddenly he heard fierce howls, and a dog as tall as a donkey, with eyes like billiard balls, came towards him, showing his teeth, which were like the prongs of a fork.
3540_163612_000040_000000	A few yards further he saw a huge oven, with a wide, red-hot gaping mouth.	A few yards further he saw a huge oven, with a wide, red hot gaping mouth.
3540_163612_000041_000000	Then he went on to the well, drew up the cord, which was half rotten, and stretched it out in the sun.	Then he went on to the well, drew up the cord, which was half rotten, and stretched it out in the sun
3540_163612_000042_000000	Lastly he went round the castle, and plunged into the orange grove. There he gathered the three most beautiful oranges he could find, and turned to go back to the gate.	Lastly he went round the castle, and plunged into the orange grove. There he gathered the three most beautiful oranges he could find, and turned to go back to the gate.
3540_163612_000044_000000	'Baker, baker, take him by his feet, and throw him into the oven!'	'Baker, baker, take him by his feet, and throw him into the oven!'
3540_163612_000045_000000	'No,' replied the baker; 'a long time has passed since I first began to scour this oven with my own flesh.	'No,' replied the baker; 'a long time has passed since I first began to scour this oven with my own flesh.
3540_163612_000045_000001	YOU never cared to give me a brush; but he has given me one, and he shall go in peace.'	YOU never cared to give me a brush; but he has given me one, and he shall go in peace.'
3540_163612_000046_000000	'Rope, O rope!' cried the voice again, 'twine yourself round his neck and strangle him.'	'Rope, O rope!' cried the voice again, 'twine yourself round his neck and strangle him.'
3540_163612_000047_000000	'No,' replied the rope; 'you have left me for many years past to fall to pieces with the damp.	'No,' replied the rope; 'you have left me for many years past to fall to pieces with the damp.
3540_163612_000047_000001	He has stretched me out in the sun.	He has stretched me out in the sun
3540_163612_000047_000002	Let him go in peace.'	Let him go in peace.'
3540_163612_000048_000000	'Dog, my good dog,' cried the voice, more and more angry, 'jump at his throat and eat him up.'	'Dog, my good dog,' cried the voice, more and more angry, 'jump at his throat and eat him up.'
3540_163612_000049_000000	'No,' replied the dog; 'though I have served you long, you never gave me any bread.	'No,' replied the dog; 'though I have served you long, you never gave me any bread.
3540_163612_000049_000001	He has given me as much as I want.	He has given me as much as I want.
3540_163612_000049_000002	Let him go in peace.'	Let him go in peace.'
3540_163612_000050_000000	'Iron gate, iron gate,' cried the voice, growling like thunder, 'fall on him and grind him to powder.'	'Iron gate, iron gate,' cried the voice, growling like thunder, 'fall on him and grind him to powder.'
3540_163612_000051_000000	'No,' replied the gate; 'it is a hundred years since you left me to rust, and he has oiled me.	'No,' replied the gate; 'it is a hundred years since you left me to rust, and he has oiled me.
3540_163612_000051_000001	Let him go in peace.'	Let him go in peace.'
3540_163612_000053_000000	Once outside, the young adventurer put his oranges into a bag that hung from his saddle, mounted his horse, and rode quickly out of the forest.	Once outside, the young adventurer put his oranges into a bag that hung from his saddle, mounted his horse, and rode quickly out of the forest.
3540_163612_000054_000000	Now, as he was longing to see the princesses, he was very anxious to come to a river or a fountain, but, though he rode for hours, a river or fountain was nowhere to be seen.	Now, as he was longing to see the princesses, he was very anxious to come to a river or a fountain, but, though he rode for hours, a river or fountain was nowhere to be seen.
3540_163612_000054_000001	Still his heart was light, for he felt that he had got through the most difficult part of his task, and the rest was easy.	Still his heart was light, for he felt that he had got through the most difficult part of his task, and the rest was easy.
3540_163612_000055_000000	About mid-day he reached a sandy plain, scorching in the sun.	About mid day he reached a sandy plain, scorching in the sun
3540_163612_000055_000001	Here he was seized with dreadful thirst; he took his gourd and raised it to his lips.	Here he was seized with dreadful thirst; he took his gourd and raised it to his lips.
3540_163612_000056_000000	But the gourd was empty; in the excitement of his joy he had forgotten to fill it.	But the gourd was empty; in the excitement of his joy he had forgotten to fill it.
3540_163612_000056_000001	He rode on, struggling with his sufferings, but at last he could bear it no longer.	He rode on, struggling with his sufferings, but at last he could bear it no longer.
3540_163612_000057_000000	He let himself slide to the earth, and lay down beside his horse, his throat burning, his chest heaving, and his head going round.	He let himself slide to the earth, and lay down beside his horse, his throat burning, his chest heaving, and his head going round.
3540_163612_000057_000001	Already he felt that death was near him, when his eyes fell on the bag where the oranges peeped out.	Already he felt that death was near him, when his eyes fell on the bag where the oranges peeped out.
3540_163612_000059_000000	'Ah!' he said to himself.	'Ah!' he said to himself.
