1826_142752_000000_000000	CHAPTER XIV.	CHAPTER fourteen.
1826_142752_000001_000002	There can be no doubt that the hope of finding reason to believe such theses as these has been the chief inspiration of many life-long students of philosophy.	There can be no doubt that the hope of finding reason to believe such theses as these has been the chief inspiration of many life-long students of philosophy.
1826_142752_000001_000003	This hope, I believe, is vain.	This hope, I believe, is vain.
1826_142752_000001_000005	In this chapter we shall briefly consider the kind of way in which such reasoning is attempted, with a view to discovering whether we can hope that it may be valid.	In this chapter we shall briefly consider the kind of way in which such reasoning is attempted, with a view to discovering whether we can hope that it may be valid.
1826_142752_000002_000002	Just as a comparative anatomist, from a single bone, sees what kind of animal the whole must have been, so the metaphysician, according to Hegel, sees, from any one piece of reality, what the whole of reality must be--at least in its large outlines.	Just as a comparative anatomist, from a single bone, sees what kind of animal the whole must have been, so the metaphysician, according to Hegel, sees, from any one piece of reality, what the whole of reality must be-at least in its large outlines.
1826_142752_000002_000003	Every apparently separate piece of reality has, as it were, hooks which grapple it to the next piece; the next piece, in turn, has fresh hooks, and so on, until the whole universe is reconstructed.	Every apparently separate piece of reality has, as it were, hooks which grapple it to the next piece; the next piece, in turn, has fresh hooks, and so on, until the whole universe is reconstructed.
1826_142752_000002_000007	In this way Hegel advances until he reaches the 'Absolute Idea', which, according to him, has no incompleteness, no opposite, and no need of further development.	In this way Hegel advances until he reaches the 'Absolute Idea', which, according to him, has no incompleteness, no opposite, and no need of further development.
1826_142752_000002_000008	The Absolute Idea, therefore, is adequate to describe Absolute Reality; but all lower ideas only describe reality as it appears to a partial view, not as it is to one who simultaneously surveys the Whole.	The Absolute Idea, therefore, is adequate to describe Absolute Reality; but all lower ideas only describe reality as it appears to a partial view, not as it is to one who simultaneously surveys the Whole.
1826_142752_000002_000009	Thus Hegel reaches the conclusion that Absolute Reality forms one single harmonious system, not in space or time, not in any degree evil, wholly rational, and wholly spiritual.	Thus Hegel reaches the conclusion that Absolute Reality forms one single harmonious system, not in space or time, not in any degree evil, wholly rational, and wholly spiritual.
1826_142752_000002_000010	Any appearance to the contrary, in the world we know, can be proved logically--so he believes--to be entirely due to our fragmentary piecemeal view of the universe.	Any appearance to the contrary, in the world we know, can be proved logically-so he believes-to be entirely due to our fragmentary piecemeal view of the universe.
1826_142752_000003_000000	In this conception, there is undeniably something sublime, something to which we could wish to yield assent.	In this conception, there is undeniably something sublime, something to which we could wish to yield assent.
