1826_142752_000000_000000	CHAPTER XIV.	CHAPTER fourteen.	true	21.165	22.72	23.126865
1826_142752_000000_000001	THE LIMITS OF PHILOSOPHICAL KNOWLEDGE	THE LIMITS OF PHILOSOPHICAL KNOWLEDGE	false	22.91	27.69	22.243841
1826_142752_000001_000000	In all that we have said hitherto concerning philosophy, we have scarcely touched on many matters that occupy a great space in the writings of most philosophers.	In all that we have said hitherto concerning philosophy, we have scarcely touched on many matters that occupy a great space in the writings of most philosophers.	false	27.69	39.88	20.089108
1826_142752_000001_000001	Most philosophers--or, at any rate, very many--profess to be able to prove, by _a priori_ metaphysical reasoning, such things as the fundamental dogmas of religion, the essential rationality of the universe, the illusoriness of matter, the unreality of all evil, and so on.	Most philosophers-or, at any rate, very many-profess to be able to prove, by underscore a priori underscore metaphysical reasoning, such things as the fundamental dogmas of religion, the essential rationality of the universe, the illusoriness of matter, the unreality of all evil, and so on.	false	40.55	59.92	19.7846
1826_142752_000001_000002	There can be no doubt that the hope of finding reason to believe such theses as these has been the chief inspiration of many life-long students of philosophy.	There can be no doubt that the hope of finding reason to believe such theses as these has been the chief inspiration of many life-long students of philosophy.	true	60.62	69.82	20.536953
1826_142752_000001_000003	This hope, I believe, is vain.	This hope, I believe, is vain.	true	70.55	72.61	20.59753
1826_142752_000001_000004	It would seem that knowledge concerning the universe as a whole is not to be obtained by metaphysics, and that the proposed proofs that, in virtue of the laws of logic such and such things _must_ exist and such and such others cannot, are not capable of surviving a critical scrutiny.	It would seem that knowledge concerning the universe as a whole is not to be obtained by metaphysics, and that the proposed proofs that, in virtue of the laws of logic such and such things underscore must underscore exist and such and such others cannot, are not capable of surviving a critical scrutiny.	false	73.91	91.6	19.666895
1826_142752_000001_000005	In this chapter we shall briefly consider the kind of way in which such reasoning is attempted, with a view to discovering whether we can hope that it may be valid.	In this chapter we shall briefly consider the kind of way in which such reasoning is attempted, with a view to discovering whether we can hope that it may be valid.	true	92.36	102.43	20.736902
1826_142752_000002_000000	The great representative, in modern times, of the kind of view which we wish to examine, was Hegel (1770-1831).	The great representative, in modern times, of the kind of view which we wish to examine, was Hegel (seventeen seventy to eighteen thirty one).	false	104.27	113.8	22.44899
1826_142752_000002_000001	Hegel's philosophy is very difficult, and commentators differ as to the true interpretation of it. According to the interpretation I shall adopt, which is that of many, if not most, of the commentators and has the merit of giving an interesting and important type of philosophy, his main thesis is that everything short of the Whole is obviously fragmentary, and obviously incapable of existing without the complement supplied by the rest of the world.	Hegel's philosophy is very difficult, and commentators differ as to the true interpretation of it. According to the interpretation I shall adopt, which is that of many, if not most, of the commentators and has the merit of giving an interesting and important type of philosophy, his main thesis is that everything short of the Whole is obviously fragmentary, and obviously incapable of existing without the complement supplied by the rest of the world.	true	114.47	143.38	20.493917
1826_142752_000002_000002	Just as a comparative anatomist, from a single bone, sees what kind of animal the whole must have been, so the metaphysician, according to Hegel, sees, from any one piece of reality, what the whole of reality must be--at least in its large outlines.	Just as a comparative anatomist, from a single bone, sees what kind of animal the whole must have been, so the metaphysician, according to Hegel, sees, from any one piece of reality, what the whole of reality must be-at least in its large outlines.	true	144.47	160.51	20.48937
1826_142752_000002_000003	Every apparently separate piece of reality has, as it were, hooks which grapple it to the next piece; the next piece, in turn, has fresh hooks, and so on, until the whole universe is reconstructed.	Every apparently separate piece of reality has, as it were, hooks which grapple it to the next piece; the next piece, in turn, has fresh hooks, and so on, until the whole universe is reconstructed.	true	161.18	173.83	21.485601
1826_142752_000002_000004	This essential incompleteness appears, according to Hegel, equally in the world of thought and in the world of things.	This essential incompleteness appears, according to Hegel, equally in the world of thought and in the world of things.	true	174.08	181.9	19.335714
1826_142752_000002_000005	In the world of thought, if we take any idea which is abstract or incomplete, we find, on examination, that if we forget its incompleteness, we become involved in contradictions; these contradictions turn the idea in question into its opposite, or antithesis; and in order to escape, we have to find a new, less incomplete idea, which is the synthesis of our original idea and its antithesis.	In the world of thought, if we take any idea which is abstract or incomplete, we find, on examination, that if we forget its incompleteness, we become involved in contradictions; these contradictions turn the idea in question into its opposite, or antithesis; and in order to escape, we have to find a new, less incomplete idea, which is the synthesis of our original idea and its antithesis.	false	182.45	208.72	21.662506
1826_142752_000002_000006	This new idea, though less incomplete than the idea we started with, will be found, nevertheless, to be still not wholly complete, but to pass into its antithesis, with which it must be combined in a new synthesis.	This new idea, though less incomplete than the idea we started with, will be found, nevertheless, to be still not wholly complete, but to pass into its antithesis, with which it must be combined in a new synthesis.	false	209.93	224.68	21.086742
1826_142752_000002_000007	In this way Hegel advances until he reaches the 'Absolute Idea', which, according to him, has no incompleteness, no opposite, and no need of further development.	In this way Hegel advances until he reaches the 'Absolute Idea', which, according to him, has no incompleteness, no opposite, and no need of further development.	true	225.38	236.38	22.351812
1826_142752_000002_000008	The Absolute Idea, therefore, is adequate to describe Absolute Reality; but all lower ideas only describe reality as it appears to a partial view, not as it is to one who simultaneously surveys the Whole.	The Absolute Idea, therefore, is adequate to describe Absolute Reality; but all lower ideas only describe reality as it appears to a partial view, not as it is to one who simultaneously surveys the Whole.	true	236.93	252.01	20.460373
1826_142752_000002_000009	Thus Hegel reaches the conclusion that Absolute Reality forms one single harmonious system, not in space or time, not in any degree evil, wholly rational, and wholly spiritual.	Thus Hegel reaches the conclusion that Absolute Reality forms one single harmonious system, not in space or time, not in any degree evil, wholly rational, and wholly spiritual.	true	252.41	264.76	20.985136
1826_142752_000002_000010	Any appearance to the contrary, in the world we know, can be proved logically--so he believes--to be entirely due to our fragmentary piecemeal view of the universe.	Any appearance to the contrary, in the world we know, can be proved logically-so he believes-to be entirely due to our fragmentary piecemeal view of the universe.	true	266.06	278.14	21
1826_142752_000002_000011	If we saw the universe whole, as we may suppose God sees it, space and time and matter and evil and all striving and struggling would disappear, and we should see instead an eternal perfect unchanging spiritual unity.	If we saw the universe whole, as we may suppose God sees it, space and time and matter and evil and all striving and struggling would disappear, and we should see instead an eternal perfect unchanging spiritual unity.	false	278.66	293.56	19.77347
1826_142752_000003_000000	In this conception, there is undeniably something sublime, something to which we could wish to yield assent.	In this conception, there is undeniably something sublime, something to which we could wish to yield assent.	true	293.96	300.91	23.302233
1826_142752_000003_000001	Nevertheless, when the arguments in support of it are carefully examined, they appear to involve much confusion and many unwarrantable assumptions.	Nevertheless, when the arguments in support of it are carefully examined, they appear to involve much confusion and many unwarrantable assumptions.	true	301.43	311.89	20.832462
1826_142752_000003_000002	The fundamental tenet upon which the system is built up is that what is incomplete must be not self-subsistent, but must need the support of other things before it can exist.	The fundamental tenet upon which the system is built up is that what is incomplete must be not self subsistent, but must need the support of other things before it can exist.	true	312.08	323.205	20.448267
1826_142752_000003_000003	It is held that whatever has relations to things outside itself must contain some reference to those outside things in its own nature, and could not, therefore, be what it is if those outside things did not exist.	It is held that whatever has relations to things outside itself must contain some reference to those outside things in its own nature, and could not, therefore, be what it is if those outside things did not exist.	true	323.205	337.96	20.965204
1826_142752_000003_000004	A man's nature, for example, is constituted by his memories and the rest of his knowledge, by his loves and hatreds, and so on; thus, but for the objects which he knows or loves or hates, he could not be what he is.	A man's nature, for example, is constituted by his memories and the rest of his knowledge, by his loves and hatreds, and so on; thus, but for the objects which he knows or loves or hates, he could not be what he is.	false	338.48	355	20.691582
1826_142752_000003_000005	He is essentially and obviously a fragment: taken as the sum-total of reality he would be self-contradictory.	He is essentially and obviously a fragment: taken as the sum total of reality he would be self contradictory.	true	355.22	362.59	18.682453
1826_142752_000004_000000	This whole point of view, however, turns upon the notion of the 'nature' of a thing, which seems to mean 'all the truths about the thing'.	This whole point of view, however, turns upon the notion of the 'nature' of a thing, which seems to mean 'all the truths about the thing'.	true	364.22	372.55	19.798424
1826_142752_000004_000001	It is of course the case that a truth which connects one thing with another thing could not subsist if the other thing did not subsist.	It is of course the case that a truth which connects one thing with another thing could not subsist if the other thing did not subsist.	true	373.37	382.81	22.285526
1826_142752_000004_000002	But a truth about a thing is not part of the thing itself, although it must, according to the above usage, be part of the 'nature' of the thing. If we mean by a thing's 'nature' all the truths about the thing, then plainly we cannot know a thing's 'nature' unless we know all the thing's relations to all the other things in the universe.	But a truth about a thing is not part of the thing itself, although it must, according to the above usage, be part of the 'nature' of the thing. If we mean by a thing's 'nature' all the truths about the thing, then plainly we cannot know a thing's 'nature' unless we know all the thing's relations to all the other things in the universe.	false	384.56	406.18	20
1826_142752_000004_000003	But if the word 'nature' is used in this sense, we shall have to hold that the thing may be known when its 'nature' is not known, or at any rate is not known completely.	But if the word 'nature' is used in this sense, we shall have to hold that the thing may be known when its 'nature' is not known, or at any rate is not known completely.	true	406.49	417.76	20.396515
1826_142752_000004_000004	There is a confusion, when this use of the word 'nature' is employed, between knowledge of things and knowledge of truths.	There is a confusion, when this use of the word 'nature' is employed, between knowledge of things and knowledge of truths.	true	418.28	425.56	20
1826_142752_000004_000005	We may have knowledge of a thing by acquaintance even if we know very few propositions about it--theoretically we need not know any propositions about it.	We may have knowledge of a thing by acquaintance even if we know very few propositions about it-theoretically we need not know any propositions about it.	true	426.08	435.7	19
1826_142752_000004_000006	Thus, acquaintance with a thing does not involve knowledge of its 'nature' in the above sense.	Thus, acquaintance with a thing does not involve knowledge of its 'nature' in the above sense.	true	436.19	441.85	23
1826_142752_000004_000007	And although acquaintance with a thing is involved in our knowing any one proposition about a thing, knowledge of its 'nature', in the above sense, is not involved.	And although acquaintance with a thing is involved in our knowing any one proposition about a thing, knowledge of its 'nature', in the above sense, is not involved.	true	442.52	451.99	21.109894
1826_142752_000004_000008	Hence, (1) acquaintance with a thing does not logically involve a knowledge of its relations, and (2) a knowledge of some of its relations does not involve a knowledge of all of its relations nor a knowledge of its 'nature' in the above sense.	Hence, (one) acquaintance with a thing does not logically involve a knowledge of its relations, and (two) a knowledge of some of its relations does not involve a knowledge of all of its relations nor a knowledge of its 'nature' in the above sense.	true	452.24	467.17	17.885593
1826_142752_000004_000009	I may be acquainted, for example, with my toothache, and this knowledge may be as complete as knowledge by acquaintance ever can be, without knowing all that the dentist (who is not acquainted with it) can tell me about its cause, and without therefore knowing its 'nature' in the above sense.	I may be acquainted, for example, with my toothache, and this knowledge may be as complete as knowledge by acquaintance ever can be, without knowing all that the dentist (who is not acquainted with it) can tell me about its cause, and without therefore knowing its 'nature' in the above sense.	true	467.48	484.87	21.097548
1826_142752_000004_000010	Thus the fact that a thing has relations does not prove that its relations are logically necessary.	Thus the fact that a thing has relations does not prove that its relations are logically necessary.	true	485.36	491.35	19.576029
1826_142752_000004_000011	That is to say, from the mere fact that it is the thing it is we cannot deduce that it must have the various relations which in fact it has.	That is to say, from the mere fact that it is the thing it is we cannot deduce that it must have the various relations which in fact it has.	true	491.48	501.73	19.037441
1826_142752_000004_000012	This only _seems_ to follow because we know it already.	This only underscore seems underscore to follow because we know it already.	false	501.95	505.93	17.699224
1826_142752_000005_000000	It follows that we cannot prove that the universe as a whole forms a single harmonious system such as Hegel believes that it forms.	It follows that we cannot prove that the universe as a whole forms a single harmonious system such as Hegel believes that it forms.	true	507.23	515.5	20.013441
1826_142752_000005_000001	And if we cannot prove this, we also cannot prove the unreality of space and time and matter and evil, for this is deduced by Hegel from the fragmentary and relational character of these things.	And if we cannot prove this, we also cannot prove the unreality of space and time and matter and evil, for this is deduced by Hegel from the fragmentary and relational character of these things.	true	516.11	529.12	22
1826_142752_000005_000002	Thus we are left to the piecemeal investigation of the world, and are unable to know the characters of those parts of the universe that are remote from our experience.	Thus we are left to the piecemeal investigation of the world, and are unable to know the characters of those parts of the universe that are remote from our experience.	true	529.55	539.35	19
1826_142752_000005_000003	This result, disappointing as it is to those whose hopes have been raised by the systems of philosophers, is in harmony with the inductive and scientific temper of our age, and is borne out by the whole examination of human knowledge which has occupied our previous chapters.	This result, disappointing as it is to those whose hopes have been raised by the systems of philosophers, is in harmony with the inductive and scientific temper of our age, and is borne out by the whole examination of human knowledge which has occupied our previous chapters.	false	539.75	557.56	21.798248
1826_142752_000006_000000	Most of the great ambitious attempts of metaphysicians have proceeded by the attempt to prove that such and such apparent features of the actual world were self-contradictory, and therefore could not be real.	Most of the great ambitious attempts of metaphysicians have proceeded by the attempt to prove that such and such apparent features of the actual world were self contradictory, and therefore could not be real.	true	559.67	573.07	21.154373
