5093_29101_000003_000000	CHAPTER XX.	CHAPTER twenty.
5093_29101_000004_000000	The visit of Senator Abner Dilworthy was an event in Hawkeye.	The visit of Senator Abner Dilworthy was an event in Hawkeye.
5093_29101_000004_000001	When a Senator, whose place is in Washington moving among the Great and guiding the destinies of the nation, condescends to mingle among the people and accept the hospitalities of such a place as Hawkeye, the honor is not considered a light one.	When a Senator, whose place is in Washington moving among the Great and guiding the destinies of the nation, condescends to mingle among the people and accept the hospitalities of such a place as Hawkeye, the honor is not considered a light one.
5093_29101_000004_000002	All parties are flattered by it and politics are forgotten in the presence of one so distinguished among his fellows.	All parties are flattered by it and politics are forgotten in the presence of one so distinguished among his fellows.
5093_29101_000005_000001	Sellers, who had been a confederate and had not thriven by it, should give him the cold shoulder?	Sellers, who had been a confederate and had not thriven by it, should give him the cold shoulder?
5093_29101_000006_000002	Sellers for the unreserved hospitalities of the town.	Sellers for the unreserved hospitalities of the town.
5093_29101_000006_000003	It was the large hearted Colonel who, in a manner, gave him the freedom of the city.	It was the large hearted Colonel who, in a manner, gave him the freedom of the city.
5093_29101_000007_000002	Boswell.	Boswell.
5093_29101_000007_000003	But you will mingle with our people, and you will see here developments that will surprise you."	But you will mingle with our people, and you will see here developments that will surprise you."
5093_29101_000008_000001	He did, in fact, press him to dine upon the morning of the day the Senator was going away.	He did, in fact, press him to dine upon the morning of the day the Senator was going away.
5093_29101_000009_000000	Senator Dilworthy was large and portly, though not tall--a pleasant spoken man, a popular man with the people.	Senator Dilworthy was large and portly, though not tall-a pleasant spoken man, a popular man with the people.
5093_29101_000010_000000	He took a lively interest in the town and all the surrounding country, and made many inquiries as to the progress of agriculture, of education, and of religion, and especially as to the condition of the emancipated race.	He took a lively interest in the town and all the surrounding country, and made many inquiries as to the progress of agriculture, of education, and of religion, and especially as to the condition of the emancipated race.
5093_29101_000011_000000	"Providence," he said, "has placed them in our hands, and although you and I, General, might have chosen a different destiny for them, under the Constitution, yet Providence knows best."	"Providence," he said, "has placed them in our hands, and although you and I, General, might have chosen a different destiny for them, under the Constitution, yet Providence knows best."
5093_29101_000012_000002	"They are a speculating race, sir, disinclined to work for white folks without security, planning how to live by only working for themselves.	"They are a speculating race, sir, disinclined to work for white folks without security, planning how to live by only working for themselves.
5093_29101_000012_000003	Idle, sir, there's my garden just a ruin of weeds.	Idle, sir, there's my garden just a ruin of weeds.
5093_29101_000014_000001	If he won't stick to any industry except for himself now, what will he do then?"	If he won't stick to any industry except for himself now, what will he do then?"
