7188_82904_000000_000000	Chip's nervous system did not demand the relief of cachinnation.	Chip's nervous system did not demand the relief of cachinnation.	false	0	1.95	21.162245
7188_82904_000000_000001	He went away to Silver's stall and groped blindly to the place where two luminous, green moons shone upon him in the darkness.	He went away to Silver's stall and groped blindly to the place where two luminous, green moons shone upon him in the darkness.	false	1.95	5.67	17.538935
7188_82904_000000_000002	He rubbed the delicate nose gently and tangled his fingers in the dimly gleaming mane, as he had seen HER do.	He rubbed the delicate nose gently and tangled his fingers in the dimly gleaming mane, as he had seen HER do.	false	5.67	9.99	20.965307
7188_82904_000000_000003	Such pink little fingers they were!	Such pink little fingers they were!	false	9.99	10.44	14
7188_82904_000000_000004	He laid his brown cheek against the place where he remembered them to have rested.	He laid his brown cheek against the place where he remembered them to have rested.	false	10.44	11.43	10
7188_82904_000001_000000	"Silver horse," he whispered, "if I ever fall in love with a girl--which isn't likely!--I'll want her to have dimples and big, gray eyes and a laugh like--"	"Silver horse," he whispered, "if I ever fall in love with a girl-which isn't likely!--I'll want her to have dimples and big, gray eyes and a laugh like-"	false	11.43	23.025	20.802256
7188_82904_000002_000000	CHAPTER VIII. -- Prescriptions.	CHAPTER eight. -- Prescriptions.	true	23.025	25.42	21.139418
7188_82904_000003_000000	It was Sunday, the second day after the dance.	It was Sunday, the second day after the dance.	true	27.47	30.91	22.370241
7188_82904_000003_000001	The boys were scattered, for the day was delicious--one of those sweet, soft days which come to us early in May.	The boys were scattered, for the day was delicious-one of those sweet, soft days which come to us early in May.	true	31.34	39.13	19.442709
7188_82904_000003_000002	Down in the blacksmith shop Chip was putting new rowels into his spurs and whistling softly to himself while he worked.	Down in the blacksmith shop Chip was putting new rowels into his spurs and whistling softly to himself while he worked.	true	39.5	47.5	20.356293
7188_82904_000004_000000	The Little Doctor had gone with him to visit Silver that morning, and had not hurried away, but had leaned against the manger and listened while he told her of the time Silver, swimming the river when it was "up," had followed him to the Shonkin camp when Chip had thought to leave him at home.	The Little Doctor had gone with him to visit Silver that morning, and had not hurried away, but had leaned against the manger and listened while he told her of the time Silver, swimming the river when it was "up," had followed him to the Shonkin camp when Chip had thought to leave him at home.	true	47.87	64.69	19.65777
7188_82904_000004_000001	And they had laughed together over the juvenile seven and the subsequent indignation of the mothers who, with the exception of "Mary," had bundled up their offspring and gone home mad.	And they had laughed together over the juvenile seven and the subsequent indignation of the mothers who, with the exception of "Mary," had bundled up their offspring and gone home mad.	true	65.3	77.53	21.454815
7188_82904_000004_000002	True, they had none of them thoroughly understood the situation, having only the version of the children, who accused the Little Doctor of trying to make them eat rubber--"just cause she was mad about some little old candy." The mystification of the others among the Happy Family, who scented a secret with a joke to it but despaired of wringing the truth from either Weary or Chip, was dwelt upon with much enjoyment by the Little Doctor.	True, they had none of them thoroughly understood the situation, having only the version of the children, who accused the Little Doctor of trying to make them eat rubber-"just cause she was mad about some little old candy." The mystification of the others among the Happy Family, who scented a secret with a joke to it but despaired of wringing the truth from either Weary or Chip, was dwelt upon with much enjoyment by the Little Doctor.	true	78.02	104.47	21.371645
7188_82904_000005_000000	It was a good old world and a pleasant, and Chip had no present quarrel with fate--or with anybody else.	It was a good old world and a pleasant, and Chip had no present quarrel with fate-or with anybody else.	false	105.08	112.69	23.680027
7188_82904_000005_000001	That was why he whistled.	That was why he whistled.	true	112.85	114.61	22.616657
7188_82904_000006_000000	Then voices reached him through the open door, and a laugh--HER laugh. Chip smiled sympathetically, though he had not the faintest notion of the cause of her mirth.	Then voices reached him through the open door, and a laugh-HER laugh. Chip smiled sympathetically, though he had not the faintest notion of the cause of her mirth.	false	115.76	126.22	22.977438
7188_82904_000006_000001	As the voices drew nearer, the soft, smooth, hated tones of Dunk Whitaker untangled from the Little Doctor's laugh, and Chip stopped whistling.	As the voices drew nearer, the soft, smooth, hated tones of Dunk Whitaker untangled from the Little Doctor's laugh, and Chip stopped whistling.	true	126.26	136.42	23.337894
7188_82904_000006_000002	Dunk was making a good, long stay of it this time; usually he came one day and went the next, and no one grieved at his departure.	Dunk was making a good, long stay of it this time; usually he came one day and went the next, and no one grieved at his departure.	true	137.06	145.21	21.459175
7188_82904_000007_000000	"You find them an entirely new species, of course.	"You find them an entirely new species, of course.	true	145.76	149.26	14.3137865
7188_82904_000007_000001	How do you get on with them?" said Dunk.	How do you get on with them?" said Dunk.	false	149.36	152.41	23.583313
7188_82904_000008_000000	And the Little Doctor answered him frankly and distinctly: "Oh, very well, considering all things.	And the Little Doctor answered him frankly and distinctly: "Oh, very well, considering all things.	true	152.6	158.92	24.488787
7188_82904_000008_000001	They furnish me with some amusement, and I give them something quite new to talk about, so we are quits.	They furnish me with some amusement, and I give them something quite new to talk about, so we are quits.	true	158.96	165.85	22.49801
7188_82904_000008_000002	They are a good-hearted lot, you know--but SO ignorant!	They are a good hearted lot, you know-but SO ignorant!	true	166.25	169.6	22.278545
7188_82904_000008_000003	I don't suppose--"	I don't suppose-"	true	169.7	170.895	25.478168
7188_82904_000009_000000	The words trailed into an indistinct murmur, punctuated by Dunk's jarring cackle.	The words trailed into an indistinct murmur, punctuated by Dunk's jarring cackle.	true	170.895	176.2	25.967316
7188_82904_000010_000000	Chip did not resume his whistling, though he might have done so if he had heard a little more, or a little less.	Chip did not resume his whistling, though he might have done so if he had heard a little more, or a little less.	false	176.75	182.71	19.1306
7188_82904_000010_000001	As a matter of fact, it was the Densons, and the Pilgreens, and the Beckmans that were under discussion, and not the Flying U cowboys, as Chip believed.	As a matter of fact, it was the Densons, and the Pilgreens, and the Beckmans that were under discussion, and not the Flying U cowboys, as Chip believed.	true	182.78	191.64	21.457006
7188_82904_000010_000002	He no longer smiled sympathetically.	He no longer smiled sympathetically.	true	191.64	194.05	20.996597
7188_82904_000011_000000	"We furnish her with some amusement, do we?	"We furnish her with some amusement, do we?	false	194.6	196.99	21.32776
7188_82904_000011_000001	That's good!	That's good!	true	197.21	198.43	28.34528
7188_82904_000011_000002	We're a good-hearted lot, but SO ignorant!	We're a good hearted lot, but SO ignorant!	false	198.8	202.2	20.119282
7188_82904_000011_000003	The devil we are!"	The devil we are!"	false	202.2	203.65	22.009785
7188_82904_000011_000004	He struck the rivet such a blow that he snapped one shank of his spur short off. This meant ten or twelve dollars for a new pair--though the cost of it troubled him little, just then.	He struck the rivet such a blow that he snapped one shank of his spur short off. This meant ten or twelve dollars for a new pair-though the cost of it troubled him little, just then.	true	203.87	214.72	23.159021
