2393_144496_000000_000000	CHAPTER 47.	CHAPTER forty seven.	false	1.14	18.705	22.622883
2393_144496_000000_000001	MARTHA	MARTHA	true	18.705	19.45	26.990807
2393_144496_000001_000000	We were now down in Westminster.	We were now down in Westminster.	true	20.66	22.33	18.549822
2393_144496_000001_000001	We had turned back to follow her, having encountered her coming towards us; and Westminster Abbey was the point at which she passed from the lights and noise of the leading streets.	We had turned back to follow her, having encountered her coming towards us; and Westminster Abbey was the point at which she passed from the lights and noise of the leading streets.	true	22.43	31.27	20
2393_144496_000001_000002	She proceeded so quickly, when she got free of the two currents of passengers setting towards and from the bridge, that, between this and the advance she had of us when she struck off, we were in the narrow water-side street by Millbank before we came up with her.	She proceeded so quickly, when she got free of the two currents of passengers setting towards and from the bridge, that, between this and the advance she had of us when she struck off, we were in the narrow water side street by Millbank before we came up with her.	true	31.49	46	21.724424
2393_144496_000001_000003	At that moment she crossed the road, as if to avoid the footsteps that she heard so close behind; and, without looking back, passed on even more rapidly.	At that moment she crossed the road, as if to avoid the footsteps that she heard so close behind; and, without looking back, passed on even more rapidly.	true	46.7	55	23.222513
2393_144496_000002_000000	A glimpse of the river through a dull gateway, where some waggons were housed for the night, seemed to arrest my feet.	A glimpse of the river through a dull gateway, where some waggons were housed for the night, seemed to arrest my feet.	true	55.67	62.17	21.73818
2393_144496_000002_000001	I touched my companion without speaking, and we both forbore to cross after her, and both followed on that opposite side of the way; keeping as quietly as we could in the shadow of the houses, but keeping very near her.	I touched my companion without speaking, and we both forbore to cross after her, and both followed on that opposite side of the way; keeping as quietly as we could in the shadow of the houses, but keeping very near her.	false	62.3	74.98	21.697748
2393_144496_000003_000000	There was, and is when I write, at the end of that low-lying street, a dilapidated little wooden building, probably an obsolete old ferry-house.	There was, and is when I write, at the end of that low lying street, a dilapidated little wooden building, probably an obsolete old ferry house.	true	75.47	84.22	21
2393_144496_000003_000001	Its position is just at that point where the street ceases, and the road begins to lie between a row of houses and the river.	Its position is just at that point where the street ceases, and the road begins to lie between a row of houses and the river.	false	84.41	91.09	18
2393_144496_000003_000002	As soon as she came here, and saw the water, she stopped as if she had come to her destination; and presently went slowly along by the brink of the river, looking intently at it.	As soon as she came here, and saw the water, she stopped as if she had come to her destination; and presently went slowly along by the brink of the river, looking intently at it.	true	91.79	101.35	21.147738
2393_144496_000004_000000	All the way here, I had supposed that she was going to some house; indeed, I had vaguely entertained the hope that the house might be in some way associated with the lost girl.	All the way here, I had supposed that she was going to some house; indeed, I had vaguely entertained the hope that the house might be in some way associated with the lost girl.	true	101.87	111.46	19
2393_144496_000004_000001	But that one dark glimpse of the river, through the gateway, had instinctively prepared me for her going no farther.	But that one dark glimpse of the river, through the gateway, had instinctively prepared me for her going no farther.	false	111.86	118.21	21.345694
2393_144496_000005_000000	The neighbourhood was a dreary one at that time; as oppressive, sad, and solitary by night, as any about London.	The neighbourhood was a dreary one at that time; as oppressive, sad, and solitary by night, as any about London.	true	118.94	126.07	22.025791
2393_144496_000005_000001	There were neither wharves nor houses on the melancholy waste of road near the great blank Prison.	There were neither wharves nor houses on the melancholy waste of road near the great blank Prison.	true	126.41	132.61	20.430882
2393_144496_000005_000002	A sluggish ditch deposited its mud at the prison walls.	A sluggish ditch deposited its mud at the prison walls.	true	133.07	137.05	22.413855
2393_144496_000005_000003	Coarse grass and rank weeds straggled over all the marshy land in the vicinity.	Coarse grass and rank weeds straggled over all the marshy land in the vicinity.	true	137.42	142.42	20
2393_144496_000005_000004	In one part, carcases of houses, inauspiciously begun and never finished, rotted away.	In one part, carcases of houses, inauspiciously begun and never finished, rotted away.	true	143.15	148.93	22
2393_144496_000005_000005	In another, the ground was cumbered with rusty iron monsters of steam-boilers, wheels, cranks, pipes, furnaces, paddles, anchors, diving-bells, windmill-sails, and I know not what strange objects, accumulated by some speculator, and grovelling in the dust, underneath which--having sunk into the soil of their own weight in wet weather--they had the appearance of vainly trying to hide themselves. The clash and glare of sundry fiery Works upon the river-side, arose by night to disturb everything except the heavy and unbroken smoke that poured out of their chimneys.	In another, the ground was cumbered with rusty iron monsters of steam boilers, wheels, cranks, pipes, furnaces, paddles, anchors, diving bells, windmill sails, and I know not what strange objects, accumulated by some speculator, and grovelling in the dust, underneath which-having sunk into the soil of their own weight in wet weather-they had the appearance of vainly trying to hide themselves. The clash and glare of sundry fiery Works upon the river side, arose by night to disturb everything except the heavy and unbroken smoke that poured out of their chimneys.	true	149.42	187.57	22.059595
2393_144496_000005_000006	Slimy gaps and causeways, winding among old wooden piles, with a sickly substance clinging to the latter, like green hair, and the rags of last year's handbills offering rewards for drowned men fluttering above high-water mark, led down through the ooze and slush to the ebb-tide.	Slimy gaps and causeways, winding among old wooden piles, with a sickly substance clinging to the latter, like green hair, and the rags of last year's handbills offering rewards for drowned men fluttering above high water mark, led down through the ooze and slush to the ebb tide.	true	187.91	206.95	20.656437
2393_144496_000005_000007	There was a story that one of the pits dug for the dead in the time of the Great Plague was hereabout; and a blighting influence seemed to have proceeded from it over the whole place.	There was a story that one of the pits dug for the dead in the time of the Great Plague was hereabout; and a blighting influence seemed to have proceeded from it over the whole place.	false	207.5	217.93	21.766922
2393_144496_000005_000008	Or else it looked as if it had gradually decomposed into that nightmare condition, out of the overflowings of the polluted stream.	Or else it looked as if it had gradually decomposed into that nightmare condition, out of the overflowings of the polluted stream.	true	218.3	225.88	21.20596
2393_144496_000006_000000	As if she were a part of the refuse it had cast out, and left to corruption and decay, the girl we had followed strayed down to the river's brink, and stood in the midst of this night-picture, lonely and still, looking at the water.	As if she were a part of the refuse it had cast out, and left to corruption and decay, the girl we had followed strayed down to the river's brink, and stood in the midst of this night picture, lonely and still, looking at the water.	false	226.79	240.37	22.203999
2393_144496_000007_000000	There were some boats and barges astrand in the mud, and these enabled us to come within a few yards of her without being seen.	There were some boats and barges astrand in the mud, and these enabled us to come within a few yards of her without being seen.	true	241.4	248.17	20.990303
2393_144496_000007_000001	I then signed to Mr. Peggotty to remain where he was, and emerged from their shade to speak to her.	I then signed to mr Peggotty to remain where he was, and emerged from their shade to speak to her.	true	248.51	255.73	20.262697
2393_144496_000007_000002	I did not approach her solitary figure without trembling; for this gloomy end to her determined walk, and the way in which she stood, almost within the cavernous shadow of the iron bridge, looking at the lights crookedly reflected in the strong tide, inspired a dread within me.	I did not approach her solitary figure without trembling; for this gloomy end to her determined walk, and the way in which she stood, almost within the cavernous shadow of the iron bridge, looking at the lights crookedly reflected in the strong tide, inspired a dread within me.	false	255.98	274.12	22.405592
2393_144496_000008_000000	I think she was talking to herself.	I think she was talking to herself.	true	274.85	276.94	22.533737
2393_144496_000008_000001	I am sure, although absorbed in gazing at the water, that her shawl was off her shoulders, and that she was muffling her hands in it, in an unsettled and bewildered way, more like the action of a sleep-walker than a waking person.	I am sure, although absorbed in gazing at the water, that her shawl was off her shoulders, and that she was muffling her hands in it, in an unsettled and bewildered way, more like the action of a sleep walker than a waking person.	false	277.34	292.48	20.320364
2393_144496_000008_000002	I know, and never can forget, that there was that in her wild manner which gave me no assurance but that she would sink before my eyes, until I had her arm within my grasp.	I know, and never can forget, that there was that in her wild manner which gave me no assurance but that she would sink before my eyes, until I had her arm within my grasp.	true	293.12	304.03	19.616306
2393_144496_000009_000000	At the same moment I said 'Martha!'	At the same moment I said 'Martha!'	false	304.46	306.94	24.4133
2393_144496_000010_000000	She uttered a terrified scream, and struggled with me with such strength that I doubt if I could have held her alone.	She uttered a terrified scream, and struggled with me with such strength that I doubt if I could have held her alone.	true	307.52	313.69	22.829536
2393_144496_000010_000001	But a stronger hand than mine was laid upon her; and when she raised her frightened eyes and saw whose it was, she made but one more effort and dropped down between us. We carried her away from the water to where there were some dry stones, and there laid her down, crying and moaning.	But a stronger hand than mine was laid upon her; and when she raised her frightened eyes and saw whose it was, she made but one more effort and dropped down between us. We carried her away from the water to where there were some dry stones, and there laid her down, crying and moaning.	true	313.73	331	19.467857
2393_144496_000010_000002	In a little while she sat among the stones, holding her wretched head with both her hands.	In a little while she sat among the stones, holding her wretched head with both her hands.	true	331.85	337.33	21.713964
2393_144496_000011_000000	'Oh, the river!' she cried passionately.	'Oh, the river!' she cried passionately.	true	337.55	340.03	23.586617
2393_144496_000011_000001	'Oh, the river!'	'Oh, the river!'	true	340.19	341.59	22.408464
2393_144496_000012_000000	'Hush, hush!' said I. 'Calm yourself.'	'Hush, hush!' said i 'Calm yourself.'	false	341.87	344.47	20.633123
2393_144496_000013_000000	But she still repeated the same words, continually exclaiming, 'Oh, the river!' over and over again.	But she still repeated the same words, continually exclaiming, 'Oh, the river!' over and over again.	true	344.69	350.77	18
2393_144496_000014_000000	'I know it's like me!' she exclaimed.	'I know it's like me!' she exclaimed.	true	351.41	353.595	22.70189
2393_144496_000014_000001	'I know that I belong to it. I know that it's the natural company of such as I am!	'I know that I belong to it. I know that it's the natural company of such as I am!	true	353.595	358.51	21.932888
2393_144496_000014_000002	It comes from country places, where there was once no harm in it--and it creeps through the dismal streets, defiled and miserable--and it goes away, like my life, to a great sea, that is always troubled--and I feel that I must go with it!' I have never known what despair was, except in the tone of those words.	It comes from country places, where there was once no harm in it-and it creeps through the dismal streets, defiled and miserable-and it goes away, like my life, to a great sea, that is always troubled-and I feel that I must go with it!' I have never known what despair was, except in the tone of those words.	false	358.73	378.04	21.886236
2393_144496_000015_000000	'I can't keep away from it.	'I can't keep away from it.	true	378.62	380.04	25.790245
2393_144496_000015_000001	I can't forget it.	I can't forget it.	true	380.04	381.12	26.55838
2393_144496_000015_000002	It haunts me day and night.	It haunts me day and night.	true	381.12	382.74	21.742079
2393_144496_000015_000003	It's the only thing in all the world that I am fit for, or that's fit for me.	It's the only thing in all the world that I am fit for, or that's fit for me.	true	382.74	387.225	24.283712
2393_144496_000015_000004	Oh, the dreadful river!'	Oh, the dreadful river!'	true	387.225	388.96	27.41507
2393_144496_000016_000000	The thought passed through my mind that in the face of my companion, as he looked upon her without speech or motion, I might have read his niece's history, if I had known nothing of it.	The thought passed through my mind that in the face of my companion, as he looked upon her without speech or motion, I might have read his niece's history, if I had known nothing of it.	false	390.08	401.59	21.417711
2393_144496_000016_000001	I never saw, in any painting or reality, horror and compassion so impressively blended.	I never saw, in any painting or reality, horror and compassion so impressively blended.	true	401.87	408.64	19.355911
2393_144496_000016_000002	He shook as if he would have fallen; and his hand--I touched it with my own, for his appearance alarmed me--was deadly cold.	He shook as if he would have fallen; and his hand-I touched it with my own, for his appearance alarmed me-was deadly cold.	true	409.07	418.03	20.309923
2393_144496_000017_000000	'She is in a state of frenzy,' I whispered to him.	'She is in a state of frenzy,' I whispered to him.	true	419.09	421.81	18
2393_144496_000017_000001	'She will speak differently in a little time.'	'She will speak differently in a little time.'	true	422.15	424.69	15
2393_144496_000018_000000	I don't know what he would have said in answer.	I don't know what he would have said in answer.	true	425.75	429.1	19.450907
2393_144496_000018_000001	He made some motion with his mouth, and seemed to think he had spoken; but he had only pointed to her with his outstretched hand.	He made some motion with his mouth, and seemed to think he had spoken; but he had only pointed to her with his outstretched hand.	true	429.14	436.42	22.43336
2393_144496_000019_000000	A new burst of crying came upon her now, in which she once more hid her face among the stones, and lay before us, a prostrate image of humiliation and ruin.	A new burst of crying came upon her now, in which she once more hid her face among the stones, and lay before us, a prostrate image of humiliation and ruin.	false	437.21	446.5	20
2393_144496_000019_000001	Knowing that this state must pass, before we could speak to her with any hope, I ventured to restrain him when he would have raised her, and we stood by in silence until she became more tranquil.	Knowing that this state must pass, before we could speak to her with any hope, I ventured to restrain him when he would have raised her, and we stood by in silence until she became more tranquil.	true	447.2	458.35	20.72557
2393_144496_000020_000000	'Martha,' said I then, leaning down, and helping her to rise--she seemed to want to rise as if with the intention of going away, but she was weak, and leaned against a boat.	'Martha,' said I then, leaning down, and helping her to rise-she seemed to want to rise as if with the intention of going away, but she was weak, and leaned against a boat.	false	459.29	471.69	20.629257
2393_144496_000020_000001	'Do you know who this is, who is with me?'	'Do you know who this is, who is with me?'	true	471.69	473.86	15
2393_144496_000021_000000	She said faintly, 'Yes.'	She said faintly, 'Yes.'	true	474.5	476.71	18.892143
2393_144496_000022_000000	'Do you know that we have followed you a long way tonight?'	'Do you know that we have followed you a long way tonight?'	false	477.71	480.25	20.644005
2393_144496_000023_000000	She shook her head.	She shook her head.	false	480.95	482.29	16.853651
2393_144496_000023_000001	She looked neither at him nor at me, but stood in a humble attitude, holding her bonnet and shawl in one hand, without appearing conscious of them, and pressing the other, clenched, against her forehead.	She looked neither at him nor at me, but stood in a humble attitude, holding her bonnet and shawl in one hand, without appearing conscious of them, and pressing the other, clenched, against her forehead.	false	482.87	495.76	19.775616
2393_144496_000024_000000	'Are you composed enough,' said I, 'to speak on the subject which so interested you--I hope Heaven may remember it!--that snowy night?'	'Are you composed enough,' said I, 'to speak on the subject which so interested you-I hope Heaven may remember it!--that snowy night?'	true	496.55	504.52	20.340494
2393_144496_000025_000000	Her sobs broke out afresh, and she murmured some inarticulate thanks to me for not having driven her away from the door.	Her sobs broke out afresh, and she murmured some inarticulate thanks to me for not having driven her away from the door.	true	505.31	512.65	21.1554
2393_144496_000026_000000	'I want to say nothing for myself,' she said, after a few moments.	'I want to say nothing for myself,' she said, after a few moments.	true	513.68	517.21	20.464075
2393_144496_000026_000001	'I am bad, I am lost.	'I am bad, I am lost.	true	517.58	519.63	21.239395
2393_144496_000026_000002	I have no hope at all.	I have no hope at all.	true	519.63	521.38	21
2393_144496_000026_000003	But tell him, sir,' she had shrunk away from him, 'if you don't feel too hard to me to do it, that I never was in any way the cause of his misfortune.' 'It has never been attributed to you,' I returned, earnestly responding to her earnestness.	But tell him, sir,' she had shrunk away from him, 'if you don't feel too hard to me to do it, that I never was in any way the cause of his misfortune.' 'It has never been attributed to you,' I returned, earnestly responding to her earnestness.	false	522.14	539.2	20.32916
2393_144496_000027_000000	'It was you, if I don't deceive myself,' she said, in a broken voice, 'that came into the kitchen, the night she took such pity on me; was so gentle to me; didn't shrink away from me like all the rest, and gave me such kind help!	'It was you, if I don't deceive myself,' she said, in a broken voice, 'that came into the kitchen, the night she took such pity on me; was so gentle to me; didn't shrink away from me like all the rest, and gave me such kind help!	true	540.32	556.83	20.231258
2393_144496_000027_000001	Was it you, sir?'	Was it you, sir?'	true	556.83	558.37	19.799444
2393_144496_000028_000000	'It was,' said I.	'It was,' said i	false	559.22	560.53	20.239489
2393_144496_000029_000000	'I should have been in the river long ago,' she said, glancing at it with a terrible expression, 'if any wrong to her had been upon my mind. I never could have kept out of it a single winter's night, if I had not been free of any share in that!'	'I should have been in the river long ago,' she said, glancing at it with a terrible expression, 'if any wrong to her had been upon my mind. I never could have kept out of it a single winter's night, if I had not been free of any share in that!'	true	561.14	575.83	19.100597
2393_144496_000030_000000	'The cause of her flight is too well understood,' I said.	'The cause of her flight is too well understood,' I said.	true	577.19	580.45	19.832813
2393_144496_000030_000001	'You are innocent of any part in it, we thoroughly believe,--we know.'	'You are innocent of any part in it, we thoroughly believe,--we know.'	true	580.52	585.91	23.163342
2393_144496_000031_000000	'Oh, I might have been much the better for her, if I had had a better heart!' exclaimed the girl, with most forlorn regret; 'for she was always good to me!	'Oh, I might have been much the better for her, if I had had a better heart!' exclaimed the girl, with most forlorn regret; 'for she was always good to me!	false	586.22	595.63	23.065155
