2769_176263_000000_000000	CHAPTER XLIV	CHAPTER forty four
2769_176263_000002_000000	The Inspector spoke to me.	The Inspector spoke to me.
2769_176263_000003_000000	'If what the boy says is correct it sounds as if the person whom you are seeking may have had a finger in the pie.'	'If what the boy says is correct it sounds as if the person whom you are seeking may have had a finger in the pie.'
2769_176263_000004_000000	I was of the same opinion, as, apparently, were Lessingham and Sidney.	I was of the same opinion, as, apparently, were Lessingham and Sidney.
2769_176263_000004_000001	Atherton collared the youth by the shoulder which Mr Pleesman had left disengaged.	Atherton collared the youth by the shoulder which Mr Pleesman had left disengaged.
2769_176263_000005_000000	'What sort of looking bloke is it who's been murdered?'	'What sort of looking bloke is it who's been murdered?'
2769_176263_000006_000003	"'Gustus Barley," she says, "a bloke's been murdered.	"'Gustus Barley," she says, "a bloke's been murdered.
2769_176263_000006_000006	That's all I knows about it.'	That's all I knows about it.'
2769_176263_000007_000000	We went four in the hansom which had been waiting in the street to Mrs Henderson's in Paradise Place,--the Inspector and we three.	We went four in the hansom which had been waiting in the street to Mrs Henderson's in Paradise Place,--the Inspector and we three.
2769_176263_000007_000001	'Mr Pleesman' and ''Gustus Barley' followed on foot.	'Mr Pleesman' and ''Gustus Barley' followed on foot.
2769_176263_000007_000002	The Inspector was explanatory.	The Inspector was explanatory.
2769_176263_000008_000000	'Mrs Henderson keeps a sort of lodging-house,--a "Sailors' Home" she calls it, but no one could call it sweet.	'Mrs Henderson keeps a sort of lodging house,--a "Sailors' Home" she calls it, but no one could call it sweet.
2769_176263_000008_000001	It doesn't bear the best of characters, and if you asked me what I thought of it, I should say in plain English that it was a disorderly house.'	It doesn't bear the best of characters, and if you asked me what I thought of it, I should say in plain English that it was a disorderly house.'
2769_176263_000009_000001	So far as could be seen in the dark it consisted of a row of houses of considerable dimensions,--and also of considerable antiquity.	So far as could be seen in the dark it consisted of a row of houses of considerable dimensions,--and also of considerable antiquity.
2769_176263_000009_000002	They opened on to two or three stone steps which led directly into the street.	They opened on to two or three stone steps which led directly into the street.
2769_176263_000009_000003	At one of the doors stood an old lady with a shawl drawn over her head.	At one of the doors stood an old lady with a shawl drawn over her head.
2769_176263_000009_000004	This was Mrs Henderson.	This was Mrs Henderson.
2769_176263_000009_000005	She greeted us with garrulous volubility.	She greeted us with garrulous volubility.
2769_176263_000011_000000	Mr Phillips dismissed her inquiry, curtly.	Mr Phillips dismissed her inquiry, curtly.
2769_176263_000012_000000	'Never you mind who they are.	'Never you mind who they are.
2769_176263_000013_000001	'Don't you speak so loud, Mr Phillips.	'Don't you speak so loud, Mr Phillips.
2769_176263_000013_000002	No one don't know nothing about it as yet.	No one don't know nothing about it as yet.
2769_176263_000013_000003	The parties what's in my 'ouse is most respectable,--most! and they couldn't abide the notion of there being police about the place.'	The parties what's in my 'ouse is most respectable,--most! and they couldn't abide the notion of there being police about the place.'
2769_176263_000014_000000	'We quite believe that, Mrs Henderson.'	'We quite believe that, Mrs Henderson.'
2769_176263_000015_000000	The Inspector's tone was grim.	The Inspector's tone was grim.
2769_176263_000016_000000	Mrs Henderson led the way up a staircase which would have been distinctly the better for repairs.	Mrs Henderson led the way up a staircase which would have been distinctly the better for repairs.
2769_176263_000018_000001	I locked the door so that nothing mightn't be disturbed.	I locked the door so that nothing mightn't be disturbed.
2769_176263_000018_000002	I knows 'ow particular you pleesmen is.'	I knows 'ow particular you pleesmen is.'
2769_176263_000019_000000	She turned the key.	She turned the key.
