5489_65803_000000_000000	The cow's bell has ceased to tinkle the herd to rest; they have all paced across the heath.	The cow's bell has ceased to tinkle the herd to rest; they have all paced across the heath.	false	0	1.125	28
5489_65803_000000_000001	Is not this the witching time of night?	Is not this the witching time of night?	false	1.125	3.09	11
5489_65803_000000_000002	The waters murmur, and fall with more than mortal music, and spirits of peace walk abroad to calm the agitated breast.	The waters murmur, and fall with more than mortal music, and spirits of peace walk abroad to calm the agitated breast.	false	3.09	5.31	24.337723
5489_65803_000000_000003	Eternity is in these moments. Worldly cares melt into the airy stuff that dreams are made of, and reveries, mild and enchanting as the first hopes of love or the recollection of lost enjoyment, carry the hapless wight into futurity, who in bustling life has vainly strove to throw off the grief which lies heavy at the heart.	Eternity is in these moments. Worldly cares melt into the airy stuff that dreams are made of, and reveries, mild and enchanting as the first hopes of love or the recollection of lost enjoyment, carry the hapless wight into futurity, who in bustling life has vainly strove to throw off the grief which lies heavy at the heart.	false	5.31	9.99	21.893253
5489_65803_000000_000004	Good night!	Good night!	false	9.99	10.29	2
5489_65803_000000_000005	A crescent hangs out in the vault before, which woos me to stray abroad.	A crescent hangs out in the vault before, which woos me to stray abroad.	false	10.29	12.72	20.22956
5489_65803_000000_000006	It is not a silvery reflection of the sun, but glows with all its golden splendour.	It is not a silvery reflection of the sun, but glows with all its golden splendour.	false	12.72	17.88	23.103693
5489_65803_000000_000007	Who fears the fallen dew?	Who fears the fallen dew?	false	17.88	19.83	18.19865
5489_65803_000000_000008	It only makes the mown grass smell more fragrant.	It only makes the mown grass smell more fragrant.	false	19.83	23.73	21.426607
5489_65803_000000_000009	Adieu!	Adieu!	false	23.73	24.51	24.060198
5489_65803_000001_000000	LETTER III.	LETTER three.	true	24.51	25.48	29.234623
5489_65803_000002_000000	The population of Sweden has been estimated from two millions and a half to three millions; a small number for such an immense tract of country, of which only so much is cultivated--and that in the simplest manner--as is absolutely requisite to supply the necessaries of life; and near the seashore, whence herrings are easily procured, there scarcely appears a vestige of cultivation.	The population of Sweden has been estimated from two millions and a half to three millions; a small number for such an immense tract of country, of which only so much is cultivated-and that in the simplest manner-as is absolutely requisite to supply the necessaries of life; and near the seashore, whence herrings are easily procured, there scarcely appears a vestige of cultivation.	true	26.09	52.05	23.656866
5489_65803_000002_000001	The scattered huts that stand shivering on the naked rocks, braving the pitiless elements, are formed of logs of wood rudely hewn; and so little pains are taken with the craggy foundation that nothing hike a pathway points out the door.	The scattered huts that stand shivering on the naked rocks, braving the pitiless elements, are formed of logs of wood rudely hewn; and so little pains are taken with the craggy foundation that nothing hike a pathway points out the door.	false	52.05	66.49	22.742495
5489_65803_000003_000000	Gathered into himself by the cold, lowering his visage to avoid the cutting blast, is it surprising that the churlish pleasure of drinking drams takes place of social enjoyments amongst the poor, especially if we take into the account that they mostly live on high-seasoned provision and rye bread?	Gathered into himself by the cold, lowering his visage to avoid the cutting blast, is it surprising that the churlish pleasure of drinking drams takes place of social enjoyments amongst the poor, especially if we take into the account that they mostly live on high seasoned provision and rye bread?	false	67.04	85.69	22.324022
