5489_65803_000001_000000	LETTER III.	LETTER three.
5489_65803_000002_000000	The population of Sweden has been estimated from two millions and a half to three millions; a small number for such an immense tract of country, of which only so much is cultivated--and that in the simplest manner--as is absolutely requisite to supply the necessaries of life; and near the seashore, whence herrings are easily procured, there scarcely appears a vestige of cultivation.	The population of Sweden has been estimated from two millions and a half to three millions; a small number for such an immense tract of country, of which only so much is cultivated-and that in the simplest manner-as is absolutely requisite to supply the necessaries of life; and near the seashore, whence herrings are easily procured, there scarcely appears a vestige of cultivation.
5489_65803_000003_000001	Hard enough, you may imagine, as it is baked only once a year.	Hard enough, you may imagine, as it is baked only once a year.
5489_65803_000003_000002	The servants also, in most families, eat this kind of bread, and have a different kind of food from their masters, which, in spite of all the arguments I have heard to vindicate the custom, appears to me a remnant of barbarism.	The servants also, in most families, eat this kind of bread, and have a different kind of food from their masters, which, in spite of all the arguments I have heard to vindicate the custom, appears to me a remnant of barbarism.
5489_65803_000004_000000	In fact, the situation of the servants in every respect, particularly that of the women, shows how far the Swedes are from having a just conception of rational equality.	In fact, the situation of the servants in every respect, particularly that of the women, shows how far the Swedes are from having a just conception of rational equality.
5489_65803_000004_000001	They are not termed slaves; yet a man may strike a man with impunity because he pays him wages, though these wages are so low that necessity must teach them to pilfer, whilst servility renders them false and boorish.	They are not termed slaves; yet a man may strike a man with impunity because he pays him wages, though these wages are so low that necessity must teach them to pilfer, whilst servility renders them false and boorish.
5489_65803_000004_000002	Still the men stand up for the dignity of man by oppressing the women.	Still the men stand up for the dignity of man by oppressing the women.
5489_65803_000004_000003	The most menial, and even laborious offices, are therefore left to these poor drudges.	The most menial, and even laborious offices, are therefore left to these poor drudges.
5489_65803_000004_000004	Much of this I have seen.	Much of this I have seen.
5489_65803_000004_000005	In the winter, I am told, they take the linen down to the river to wash it in the cold water, and though their hands, cut by the ice, are cracked and bleeding, the men, their fellow-servants, will not disgrace their manhood by carrying a tub to lighten their burden.	In the winter, I am told, they take the linen down to the river to wash it in the cold water, and though their hands, cut by the ice, are cracked and bleeding, the men, their fellow servants, will not disgrace their manhood by carrying a tub to lighten their burden.
5489_65803_000005_000000	You will not be surprised to hear that they do not wear shoes or stockings, when I inform you that their wages are seldom more than twenty or thirty shillings per annum.	You will not be surprised to hear that they do not wear shoes or stockings, when I inform you that their wages are seldom more than twenty or thirty shillings per annum.
5489_65803_000005_000001	It is the custom, I know, to give them a new year's gift and a present at some other period, but can it all amount to a just indemnity for their labour?	It is the custom, I know, to give them a new year's gift and a present at some other period, but can it all amount to a just indemnity for their labour?
5489_65803_000005_000002	The treatment of servants in most countries, I grant, is very unjust, and in England, that boasted land of freedom, it is often extremely tyrannical.	The treatment of servants in most countries, I grant, is very unjust, and in England, that boasted land of freedom, it is often extremely tyrannical.
5489_65803_000005_000003	I have frequently, with indignation, heard gentlemen declare that they would never allow a servant to answer them; and ladies of the most exquisite sensibility, who were continually exclaiming against the cruelty of the vulgar to the brute creation, have in my presence forgot that their attendants had human feelings as well as forms.	I have frequently, with indignation, heard gentlemen declare that they would never allow a servant to answer them; and ladies of the most exquisite sensibility, who were continually exclaiming against the cruelty of the vulgar to the brute creation, have in my presence forgot that their attendants had human feelings as well as forms.
5489_65803_000005_000004	I do not know a more agreeable sight than to see servants part of a family.	I do not know a more agreeable sight than to see servants part of a family.
5489_65803_000005_000006	We must love our servants, or we shall never be sufficiently attentive to their happiness; and how can those masters be attentive to their happiness who, living above their fortunes, are more anxious to outshine their neighbours than to allow their household the innocent enjoyments they earn?	We must love our servants, or we shall never be sufficiently attentive to their happiness; and how can those masters be attentive to their happiness who, living above their fortunes, are more anxious to outshine their neighbours than to allow their household the innocent enjoyments they earn?
5489_65803_000006_000000	It is, in fact, much more difficult for servants, who are tantalised by seeing and preparing the dainties of which they are not to partake, to remain honest, than the poor, whose thoughts are not led from their homely fare; so that, though the servants here are commonly thieves, you seldom hear of housebreaking, or robbery on the highway.	It is, in fact, much more difficult for servants, who are tantalised by seeing and preparing the dainties of which they are not to partake, to remain honest, than the poor, whose thoughts are not led from their homely fare; so that, though the servants here are commonly thieves, you seldom hear of housebreaking, or robbery on the highway.
5489_65803_000006_000001	The country is, perhaps, too thinly inhabited to produce many of that description of thieves termed footpads, or highwaymen.	The country is, perhaps, too thinly inhabited to produce many of that description of thieves termed footpads, or highwaymen.
5489_65803_000006_000002	They are usually the spawn of great cities--the effect of the spurious desires generated by wealth, rather than the desperate struggles of poverty to escape from misery.	They are usually the spawn of great cities-the effect of the spurious desires generated by wealth, rather than the desperate struggles of poverty to escape from misery.
5489_65803_000008_000001	Since then the burden has continually been growing heavier, and the price of provisions has proportionately increased--nay, the advantage accruing from the exportation of corn to France and rye to Germany will probably produce a scarcity in both Sweden and Norway, should not a peace put a stop to it this autumn, for speculations of various kinds have already almost doubled the price.	Since then the burden has continually been growing heavier, and the price of provisions has proportionately increased-nay, the advantage accruing from the exportation of corn to France and rye to Germany will probably produce a scarcity in both Sweden and Norway, should not a peace put a stop to it this autumn, for speculations of various kinds have already almost doubled the price.
5489_65803_000009_000000	Such are the effects of war, that it saps the vitals even of the neutral countries, who, obtaining a sudden influx of wealth, appear to be rendered flourishing by the destruction which ravages the hapless nations who are sacrificed to the ambition of their governors.	Such are the effects of war, that it saps the vitals even of the neutral countries, who, obtaining a sudden influx of wealth, appear to be rendered flourishing by the destruction which ravages the hapless nations who are sacrificed to the ambition of their governors.
5489_65803_000010_000000	The prohibition of drinking coffee under a penalty, and the encouragement given to public distilleries, tend to impoverish the poor, who are not affected by the sumptuary laws; for the regent has lately laid very severe restraints on the articles of dress, which the middling class of people found grievous, because it obliged them to throw aside finery that might have lasted them for their lives.	The prohibition of drinking coffee under a penalty, and the encouragement given to public distilleries, tend to impoverish the poor, who are not affected by the sumptuary laws; for the regent has lately laid very severe restraints on the articles of dress, which the middling class of people found grievous, because it obliged them to throw aside finery that might have lasted them for their lives.
5489_65803_000011_000000	These may be termed vexatious; still the death of the king, by saving them from the consequences his ambition would naturally have entailed on them, may be reckoned a blessing.	These may be termed vexatious; still the death of the king, by saving them from the consequences his ambition would naturally have entailed on them, may be reckoned a blessing.
5489_65803_000012_000001	And, perhaps, the efforts which the aristocrats are making here, as well as in every other part of Europe, to secure their sway, will be the most effectual mode of undermining it, taking into the calculation that the King of Sweden, like most of the potentates of Europe, has continually been augmenting his power by encroaching on the privileges of the nobles.	And, perhaps, the efforts which the aristocrats are making here, as well as in every other part of Europe, to secure their sway, will be the most effectual mode of undermining it, taking into the calculation that the King of Sweden, like most of the potentates of Europe, has continually been augmenting his power by encroaching on the privileges of the nobles.
5489_65803_000013_000000	The well-bred Swedes of the capital are formed on the ancient French model, and they in general speak that language; for they have a knack at acquiring languages with tolerable fluency.	The well bred Swedes of the capital are formed on the ancient French model, and they in general speak that language; for they have a knack at acquiring languages with tolerable fluency.
5489_65803_000013_000001	This may be reckoned an advantage in some respects; but it prevents the cultivation of their own, and any considerable advance in literary pursuits.	This may be reckoned an advantage in some respects; but it prevents the cultivation of their own, and any considerable advance in literary pursuits.
5489_65803_000014_000000	A sensible writer has lately observed (I have not his work by me, therefore cannot quote his exact words), "That the Americans very wisely let the Europeans make their books and fashions for them." But I cannot coincide with him in this opinion.	A sensible writer has lately observed (I have not his work by me, therefore cannot quote his exact words), "That the Americans very wisely let the Europeans make their books and fashions for them." But I cannot coincide with him in this opinion.
5489_65803_000014_000001	The reflection necessary to produce a certain number even of tolerable productions augments more than he is aware of the mass of knowledge in the community.	The reflection necessary to produce a certain number even of tolerable productions augments more than he is aware of the mass of knowledge in the community.
5489_65803_000014_000003	But we must have an object to refer our reflections to, or they will seldom go below the surface.	But we must have an object to refer our reflections to, or they will seldom go below the surface.
