5538_64717_000002_000001	We embarked on board a good ship, and, after recommending ourselves to God, set sail.	We embarked on board a good ship, and, after recommending ourselves to God, set sail.
5538_64717_000002_000002	We traded from island to island, and exchanged commodities with great profit.	We traded from island to island, and exchanged commodities with great profit.
5538_64717_000002_000003	One day we landed on an island covered with several sorts of fruit trees, but we could see neither man nor animal.	One day we landed on an island covered with several sorts of fruit trees, but we could see neither man nor animal.
5538_64717_000002_000004	We walked in the meadows, along the streams that watered them.	We walked in the meadows, along the streams that watered them.
5538_64717_000002_000006	I made a good meal, and afterward fell asleep.	I made a good meal, and afterward fell asleep.
5538_64717_000002_000007	I cannot tell how long I slept, but when I awoke the ship was gone.	I cannot tell how long I slept, but when I awoke the ship was gone.
5538_64717_000003_000000	In this sad condition, I was ready to die with grief.	In this sad condition, I was ready to die with grief.
5538_64717_000003_000001	I cried out in agony, beat my head and breast, and threw myself upon the ground, where I lay some time in despair.	I cried out in agony, beat my head and breast, and threw myself upon the ground, where I lay some time in despair.
5538_64717_000003_000003	But all this was in vain, and my repentance came too late.	But all this was in vain, and my repentance came too late.
5538_64717_000003_000004	At last I resigned myself to the will of God.	At last I resigned myself to the will of God.
5538_64717_000003_000005	Not knowing what to do, I climbed up to the top of a lofty tree, from whence I looked about on all sides, to see if I could discover anything that could give me hopes.	Not knowing what to do, I climbed up to the top of a lofty tree, from whence I looked about on all sides, to see if I could discover anything that could give me hopes.
5538_64717_000004_000000	As I approached, I thought it to be a white dome, of a prodigious height and extent; and when I came up to it, I touched it, and found it to be very smooth.	As I approached, I thought it to be a white dome, of a prodigious height and extent; and when I came up to it, I touched it, and found it to be very smooth.
5538_64717_000004_000001	I went round to see if it was open on any side, but saw it was not, and that there was no climbing up to the top, as it was so smooth.	I went round to see if it was open on any side, but saw it was not, and that there was no climbing up to the top, as it was so smooth.
5538_64717_000004_000002	It was at least fifty paces round.	It was at least fifty paces round.
5538_64717_000005_000000	By this time the sun was about to set, and all of a sudden the sky became as dark as if it had been covered with a thick cloud.	By this time the sun was about to set, and all of a sudden the sky became as dark as if it had been covered with a thick cloud.
5538_64717_000005_000001	I was much astonished at this sudden darkness, but much more when I found it occasioned by a bird of a monstrous size, that came flying toward me.	I was much astonished at this sudden darkness, but much more when I found it occasioned by a bird of a monstrous size, that came flying toward me.
5538_64717_000005_000003	In short, the bird alighted, and sat over the egg.	In short, the bird alighted, and sat over the egg.
5538_64717_000005_000004	As I perceived her coming, I crept close to the egg, so that I had before me one of the legs of the bird, which was as big as the trunk of a tree.	As I perceived her coming, I crept close to the egg, so that I had before me one of the legs of the bird, which was as big as the trunk of a tree.
5538_64717_000005_000005	I tied myself strongly to it with my turban, in hopes that the roc next morning would carry me with her out of this desert island. After having passed the night in this condition, the bird flew away as soon as it was daylight, and carried me so high, that I could not discern the earth; she afterward descended with so much rapidity that I lost my senses.	I tied myself strongly to it with my turban, in hopes that the roc next morning would carry me with her out of this desert island. After having passed the night in this condition, the bird flew away as soon as it was daylight, and carried me so high, that I could not discern the earth; she afterward descended with so much rapidity that I lost my senses.
5538_64717_000006_000001	This was a new perplexity; so that when I compared this place with the desert island from which the roc had brought me, I found that I had gained nothing by the change.	This was a new perplexity; so that when I compared this place with the desert island from which the roc had brought me, I found that I had gained nothing by the change.
5538_64717_000007_000000	As I walked through this valley, I perceived it was strewed with diamonds, some of which were of surprising bigness.	As I walked through this valley, I perceived it was strewed with diamonds, some of which were of surprising bigness.
5538_64717_000007_000001	I took pleasure in looking upon them; but shortly saw at a distance such objects as greatly diminished my satisfaction, and which I could not view without terror, namely, a great number of serpents, so monstrous that the least of them was capable of swallowing an elephant.	I took pleasure in looking upon them; but shortly saw at a distance such objects as greatly diminished my satisfaction, and which I could not view without terror, namely, a great number of serpents, so monstrous that the least of them was capable of swallowing an elephant.
5538_64717_000008_000002	I secured the entrance, which was low and narrow, with a great stone, to preserve me from the serpents; but not so far as to exclude the light.	I secured the entrance, which was low and narrow, with a great stone, to preserve me from the serpents; but not so far as to exclude the light.
5538_64717_000008_000006	At last I sat down, and notwithstanding my apprehensions, not having closed my eyes during the night, fell asleep, after having eaten a little more of my provisions.	At last I sat down, and notwithstanding my apprehensions, not having closed my eyes during the night, fell asleep, after having eaten a little more of my provisions.
5538_64717_000008_000008	This was a large piece of raw meat; and at the same time I saw several others fall down from the rocks in different places.	This was a large piece of raw meat; and at the same time I saw several others fall down from the rocks in different places.
5538_64717_000009_000000	I had always regarded as fabulous what I had heard sailors and others relate of the valley of diamonds, and of the stratagems employed by merchants to obtain jewels from thence; but now I found that they had stated nothing but the truth.	I had always regarded as fabulous what I had heard sailors and others relate of the valley of diamonds, and of the stratagems employed by merchants to obtain jewels from thence; but now I found that they had stated nothing but the truth.
5538_64717_000010_000000	I perceived in this device the means of my deliverance.	I perceived in this device the means of my deliverance.
5538_64717_000012_000002	He was much alarmed when he saw me; but recovering himself, instead of inquiring how I came thither, began to quarrel with me, and asked why I stole his goods?	He was much alarmed when he saw me; but recovering himself, instead of inquiring how I came thither, began to quarrel with me, and asked why I stole his goods?
5538_64717_000012_000003	"You will treat me," replied I, "with more civility, when you know me better.	"You will treat me," replied I, "with more civility, when you know me better.
5538_64717_000013_000000	They conducted me to their encampment; and there having opened my bag, they were surprised at the largeness of my diamonds, and confessed that they had never seen any of such size and perfection.	They conducted me to their encampment; and there having opened my bag, they were surprised at the largeness of my diamonds, and confessed that they had never seen any of such size and perfection.
5538_64717_000013_000001	I prayed the merchant who owned the nest to which I had been carried (for every merchant had his own) to take as many for his share as he pleased.	I prayed the merchant who owned the nest to which I had been carried (for every merchant had his own) to take as many for his share as he pleased.
5538_64717_000015_000000	The merchants had thrown their pieces of meat into the valley for several days; and each of them being satisfied with the diamonds that had fallen to his lot, we left the place the next morning, and travelled near high mountains, where there were serpents of a prodigious length, which we had the good fortune to escape.	The merchants had thrown their pieces of meat into the valley for several days; and each of them being satisfied with the diamonds that had fallen to his lot, we left the place the next morning, and travelled near high mountains, where there were serpents of a prodigious length, which we had the good fortune to escape.
5538_64717_000015_000001	We took shipping at the first port we reached, and touched at the isle of Roha, where the trees grow that yield camphire.	We took shipping at the first port we reached, and touched at the isle of Roha, where the trees grow that yield camphire.
5538_64717_000015_000002	This tree is so large, and its branches so thick, that one hundred men may easily sit under its shade.	This tree is so large, and its branches so thick, that one hundred men may easily sit under its shade.
5538_64717_000015_000004	After the juice is thus drawn out, the tree withers and dies.	After the juice is thus drawn out, the tree withers and dies.
5538_64717_000016_000000	In this island is also found the rhinoceros, an animal less than the elephant, but larger than the buffalo.	In this island is also found the rhinoceros, an animal less than the elephant, but larger than the buffalo.
5538_64717_000016_000001	It has a horn upon its nose, about a cubit in length; this horn is solid, and cleft through the middle.	It has a horn upon its nose, about a cubit in length; this horn is solid, and cleft through the middle.
5538_64717_000017_000000	I pass over many other things peculiar to this island, lest I should weary you.	I pass over many other things peculiar to this island, lest I should weary you.
5538_64717_000017_000001	Here I exchanged some of my diamonds for merchandise.	Here I exchanged some of my diamonds for merchandise.
5538_64717_000017_000003	There I immediately gave large presents to the poor, and lived honourably upon the vast riches I had brought, and gained with so much fatigue.	There I immediately gave large presents to the poor, and lived honourably upon the vast riches I had brought, and gained with so much fatigue.
