5538_64717_000000_000000	CHAPTER VII	CHAPTER seven	false	12.63	28.305	23.077726
5538_64717_000001_000000	THE SECOND VOYAGE OF SINDBAD THE SAILOR	THE SECOND VOYAGE OF SINDBAD THE SAILOR	false	28.305	36.345	20.717417
5538_64717_000002_000000	I designed, after my first voyage, to spend the rest of my days at Bagdad, but it was not long ere I grew weary of an indolent life, and I put to sea a second time, with merchants of known probity.	I designed, after my first voyage, to spend the rest of my days at Bagdad, but it was not long ere I grew weary of an indolent life, and I put to sea a second time, with merchants of known probity.	false	36.345	52.03	23.335321
5538_64717_000002_000001	We embarked on board a good ship, and, after recommending ourselves to God, set sail.	We embarked on board a good ship, and, after recommending ourselves to God, set sail.	true	52.76	58.93	24.379253
5538_64717_000002_000002	We traded from island to island, and exchanged commodities with great profit.	We traded from island to island, and exchanged commodities with great profit.	true	59.39	64.99	24.901134
5538_64717_000002_000003	One day we landed on an island covered with several sorts of fruit trees, but we could see neither man nor animal.	One day we landed on an island covered with several sorts of fruit trees, but we could see neither man nor animal.	true	65.9	73.18	23.422306
5538_64717_000002_000004	We walked in the meadows, along the streams that watered them.	We walked in the meadows, along the streams that watered them.	true	73.64	77.44	24
5538_64717_000002_000005	While some diverted themselves with gathering flowers, and others fruits, I took my wine and provisions, and sat down near a stream betwixt two high trees, which formed a thick shade.	While some diverted themselves with gathering flowers, and others fruits, I took my wine and provisions, and sat down near a stream betwixt two high trees, which formed a thick shade.	false	77.99	90.16	24.76345
5538_64717_000002_000006	I made a good meal, and afterward fell asleep.	I made a good meal, and afterward fell asleep.	true	91.07	94	25.875399
5538_64717_000002_000007	I cannot tell how long I slept, but when I awoke the ship was gone.	I cannot tell how long I slept, but when I awoke the ship was gone.	true	94.34	99.28	25.465061
5538_64717_000003_000000	In this sad condition, I was ready to die with grief.	In this sad condition, I was ready to die with grief.	true	101.21	105.315	21.778
5538_64717_000003_000001	I cried out in agony, beat my head and breast, and threw myself upon the ground, where I lay some time in despair.	I cried out in agony, beat my head and breast, and threw myself upon the ground, where I lay some time in despair.	true	105.315	112.99	24.370995
5538_64717_000003_000002	I upbraided myself a hundred times for not being content with the produce of my first voyage, that might have sufficed me all my life.	I upbraided myself a hundred times for not being content with the produce of my first voyage, that might have sufficed me all my life.	false	114.05	123.61	25.893509
5538_64717_000003_000003	But all this was in vain, and my repentance came too late.	But all this was in vain, and my repentance came too late.	true	124.64	128.74	21.022545
5538_64717_000003_000004	At last I resigned myself to the will of God.	At last I resigned myself to the will of God.	true	129.26	133.45	22.561787
5538_64717_000003_000005	Not knowing what to do, I climbed up to the top of a lofty tree, from whence I looked about on all sides, to see if I could discover anything that could give me hopes.	Not knowing what to do, I climbed up to the top of a lofty tree, from whence I looked about on all sides, to see if I could discover anything that could give me hopes.	true	135.23	144.76	22
5538_64717_000003_000006	When I gazed toward the sea I could see nothing but sky and water; but looking over the land, I beheld something white; and coming down, I took what provision I had left and went toward it, the distance being so great, that I could not distinguish what it was.	When I gazed toward the sea I could see nothing but sky and water; but looking over the land, I beheld something white; and coming down, I took what provision I had left and went toward it, the distance being so great, that I could not distinguish what it was.	false	145.13	163.57	25.887386
5538_64717_000004_000000	As I approached, I thought it to be a white dome, of a prodigious height and extent; and when I came up to it, I touched it, and found it to be very smooth.	As I approached, I thought it to be a white dome, of a prodigious height and extent; and when I came up to it, I touched it, and found it to be very smooth.	true	165.89	177.13	25.70478
5538_64717_000004_000001	I went round to see if it was open on any side, but saw it was not, and that there was no climbing up to the top, as it was so smooth.	I went round to see if it was open on any side, but saw it was not, and that there was no climbing up to the top, as it was so smooth.	true	177.47	186.52	23.723928
5538_64717_000004_000002	It was at least fifty paces round.	It was at least fifty paces round.	true	186.68	190.06	23.35299
5538_64717_000005_000000	By this time the sun was about to set, and all of a sudden the sky became as dark as if it had been covered with a thick cloud.	By this time the sun was about to set, and all of a sudden the sky became as dark as if it had been covered with a thick cloud.	true	191.21	199.75	23.276163
5538_64717_000005_000001	I was much astonished at this sudden darkness, but much more when I found it occasioned by a bird of a monstrous size, that came flying toward me.	I was much astonished at this sudden darkness, but much more when I found it occasioned by a bird of a monstrous size, that came flying toward me.	true	200.15	210.52	25
5538_64717_000005_000002	I remembered that I had often heard mariners speak of a miraculous bird called the Roc, and conceived that the great dome which I so much admired must be its egg.	I remembered that I had often heard mariners speak of a miraculous bird called the Roc, and conceived that the great dome which I so much admired must be its egg.	false	211.46	221.89	25
