7339_86804_000000_000000	"And what crime has he committed?"	"And what crime has he committed?"	false	0	3.72	15.973448
7339_86804_000001_000000	"He is accused," said the commissary with his inflexible voice, "of having assassinated the man named Caderousse, his former companion in prison, at the moment he was making his escape from the house of the Count of Monte Cristo." Monte Cristo cast a rapid glance around him. Andrea was gone.	"He is accused," said the commissary with his inflexible voice, "of having assassinated the man named Caderousse, his former companion in prison, at the moment he was making his escape from the house of the Count of Monte Cristo." Monte Cristo cast a rapid glance around him. Andrea was gone.	false	3.72	20.175	13
7339_86804_000002_000000	Chapter 97.	Chapter ninety seven.	false	20.175	21.69	12
7339_86804_000002_000001	The Departure for Belgium.	The Departure for Belgium.	true	21.69	23.62	12
7339_86804_000003_000000	A few minutes after the scene of confusion produced in the salons of M. Danglars by the unexpected appearance of the brigade of soldiers, and by the disclosure which had followed, the mansion was deserted with as much rapidity as if a case of plague or of cholera morbus had broken out among the guests.	A few minutes after the scene of confusion produced in the salons of m Danglars by the unexpected appearance of the brigade of soldiers, and by the disclosure which had followed, the mansion was deserted with as much rapidity as if a case of plague or of cholera morbus had broken out among the guests.	true	24.92	45.13	10
7339_86804_000003_000001	In a few minutes, through all the doors, down all the staircases, by every exit, every one hastened to retire, or rather to fly; for it was a situation where the ordinary condolences,--which even the best friends are so eager to offer in great catastrophes,--were seen to be utterly futile.	In a few minutes, through all the doors, down all the staircases, by every exit, every one hastened to retire, or rather to fly; for it was a situation where the ordinary condolences,--which even the best friends are so eager to offer in great catastrophes,--were seen to be utterly futile.	true	45.92	66.27	12
7339_86804_000003_000002	There remained in the banker's house only Danglars, closeted in his study, and making his statement to the officer of gendarmes; Madame Danglars, terrified, in the boudoir with which we are acquainted; and Eugenie, who with haughty air and disdainful lip had retired to her room with her inseparable companion, Mademoiselle Louise d'Armilly.	There remained in the banker's house only Danglars, closeted in his study, and making his statement to the officer of gendarmes; Madame Danglars, terrified, in the boudoir with which we are acquainted; and Eugenie, who with haughty air and disdainful lip had retired to her room with her inseparable companion, Mademoiselle Louise d'Armilly.	false	66.27	93.51	15
7339_86804_000003_000003	As for the numerous servants (more numerous that evening than usual, for their number was augmented by cooks and butlers from the Cafe de Paris), venting on their employers their anger at what they termed the insult to which they had been subjected, they collected in groups in the hall, in the kitchens, or in their rooms, thinking very little of their duty, which was thus naturally interrupted.	As for the numerous servants (more numerous that evening than usual, for their number was augmented by cooks and butlers from the Cafe de Paris), venting on their employers their anger at what they termed the insult to which they had been subjected, they collected in groups in the hall, in the kitchens, or in their rooms, thinking very little of their duty, which was thus naturally interrupted.	false	93.51	120.15	13
7339_86804_000003_000004	Of all this household, only two persons deserve our notice; these are Mademoiselle Eugenie Danglars and Mademoiselle Louise d'Armilly.	Of all this household, only two persons deserve our notice; these are Mademoiselle Eugenie Danglars and Mademoiselle Louise d'Armilly.	false	120.15	130.84	14
7339_86804_000004_000000	The betrothed had retired, as we said, with haughty air, disdainful lip, and the demeanor of an outraged queen, followed by her companion, who was paler and more disturbed than herself.	The betrothed had retired, as we said, with haughty air, disdainful lip, and the demeanor of an outraged queen, followed by her companion, who was paler and more disturbed than herself.	true	131.9	143.77	15
7339_86804_000004_000001	On reaching her room Eugenie locked her door, while Louise fell on a chair.	On reaching her room Eugenie locked her door, while Louise fell on a chair.	true	144.11	148.81	10
7339_86804_000004_000002	"Ah, what a dreadful thing," said the young musician; "who would have suspected it?	"Ah, what a dreadful thing," said the young musician; "who would have suspected it?	true	149.3	154.54	17
7339_86804_000004_000003	M. Andrea Cavalcanti a murderer--a galley-slave escaped--a convict!" An ironical smile curled the lip of Eugenie.	M. Andrea Cavalcanti a murderer-a galley slave escaped-a convict!" An ironical smile curled the lip of Eugenie.	false	154.67	165.73	15
7339_86804_000004_000004	"In truth I was fated," said she.	"In truth I was fated," said she.	true	166.13	169.12	15
7339_86804_000004_000005	"I escaped the Morcerf only to fall into the Cavalcanti."	"I escaped the Morcerf only to fall into the Cavalcanti."	true	169.31	173.71	14
7339_86804_000005_000000	"Oh, do not confound the two, Eugenie."	"Oh, do not confound the two, Eugenie."	false	174.86	177.43	12
7339_86804_000006_000000	"Hold your tongue!	"Hold your tongue!	true	177.59	178.995	16.91003
7339_86804_000006_000001	The men are all infamous, and I am happy to be able now to do more than detest them--I despise them."	The men are all infamous, and I am happy to be able now to do more than detest them-I despise them."	true	178.995	187.27	13
7339_86804_000007_000000	"What shall we do?" asked Louise.	"What shall we do?" asked Louise.	true	187.82	189.7	8
7339_86804_000008_000000	"What shall we do?"	"What shall we do?"	true	189.92	191.11	18.693241
7339_86804_000009_000000	"Yes."	"Yes."	true	191.27	192.07	14
7339_86804_000010_000000	"Why, the same we had intended doing three days since--set off."	"Why, the same we had intended doing three days since-set off."	true	192.47	196.9	11
7339_86804_000011_000000	"What?--although you are not now going to be married, you intend still"--	"What?--although you are not now going to be married, you intend still"--	true	197.33	202.21	16
7339_86804_000012_000000	"Listen, Louise.	"Listen, Louise.	true	202.22	203.5	10
7339_86804_000012_000001	I hate this life of the fashionable world, always ordered, measured, ruled, like our music-paper.	I hate this life of the fashionable world, always ordered, measured, ruled, like our music paper.	true	203.72	210.82	12
