3307_145145_000003_000000	CHAPTER XV: THE LABYRINTH SPIDER	CHAPTER fifteen: THE LABYRINTH SPIDER
3307_145145_000004_000001	Some of them are celebrities of long-standing renown, who are mentioned in all the books.	Some of them are celebrities of long-standing renown, who are mentioned in all the books.
3307_145145_000005_000001	The Lycosa surrounds the mouth of her shaft with a simple parapet, a mere collection of tiny pebbles, sticks and silk; the others fix a movable door to theirs, a round shutter with a hinge, a groove and a set of bolts.	The Lycosa surrounds the mouth of her shaft with a simple parapet, a mere collection of tiny pebbles, sticks and silk; the others fix a movable door to theirs, a round shutter with a hinge, a groove and a set of bolts.
3307_145145_000005_000003	If the aggressor persist and seek to raise the trap-door, the recluse pushes the bolt, that is to say, plants her claws into certain holes on the opposite side to the hinge, props herself against the wall and holds the door firmly.	If the aggressor persist and seek to raise the trap door, the recluse pushes the bolt, that is to say, plants her claws into certain holes on the opposite side to the hinge, props herself against the wall and holds the door firmly.
3307_145145_000006_000000	Another, the Argyroneta, or Water Spider, builds herself an elegant silken diving-bell, in which she stores air.	Another, the Argyroneta, or Water Spider, builds herself an elegant silken diving bell, in which she stores air.
3307_145145_000006_000001	Thus supplied with the wherewithal to breathe, she awaits the coming of the game and keeps herself cool meanwhile.	Thus supplied with the wherewithal to breathe, she awaits the coming of the game and keeps herself cool meanwhile.
3307_145145_000006_000002	At times of scorching heat, hers must be a regular sybaritic abode, such as eccentric man has sometimes ventured to build under water, with mighty blocks of stone and marble.	At times of scorching heat, hers must be a regular sybaritic abode, such as eccentric man has sometimes ventured to build under water, with mighty blocks of stone and marble.
3307_145145_000007_000000	If I possessed documents derived from personal observation, I should like to speak of these ingenious workers; I would gladly add a few unpublished facts to their life-history.	If I possessed documents derived from personal observation, I should like to speak of these ingenious workers; I would gladly add a few unpublished facts to their life history.
3307_145145_000007_000001	But I must abandon the idea.	But I must abandon the idea.
3307_145145_000007_000002	The Water Spider is not found in my district.	The Water Spider is not found in my district.
3307_145145_000007_000005	Opportunity, as we know, is fleeting.	Opportunity, as we know, is fleeting.
3307_145145_000007_000007	The opportunity fled and has never returned.	The opportunity fled and has never returned.
3307_145145_000008_000000	Let us make up for it with trivial things of frequent encounter, a condition favourable to consecutive study.	Let us make up for it with trivial things of frequent encounter, a condition favourable to consecutive study.
3307_145145_000008_000001	What is common is not necessarily unimportant.	What is common is not necessarily unimportant.
3307_145145_000008_000002	Give it our sustained attention and we shall discover in it merits which our former ignorance prevented us from seeing.	Give it our sustained attention and we shall discover in it merits which our former ignorance prevented us from seeing.
3307_145145_000008_000003	When patiently entreated, the least of creatures adds its note to the harmonies of life.	When patiently entreated, the least of creatures adds its note to the harmonies of life.
3307_145145_000009_000002	In the open country and especially in hilly places laid bare by the wood-man's axe, the favourite sites are tufts of bracken, rock-rose, lavender, everlasting and rosemary cropped close by the teeth of the flocks.	In the open country and especially in hilly places laid bare by the wood man's axe, the favourite sites are tufts of bracken, rock rose, lavender, everlasting and rosemary cropped close by the teeth of the flocks.
3307_145145_000009_000003	This is where I resort, as the isolation and kindliness of the supports lend themselves to proceedings which might not be tolerated by the unfriendly hedge.	This is where I resort, as the isolation and kindliness of the supports lend themselves to proceedings which might not be tolerated by the unfriendly hedge.
3307_145145_000010_000000	Several times a week, in July, I go to study my Spiders on the spot, at an early hour, before the sun beats fiercely on one's neck.	Several times a week, in July, I go to study my Spiders on the spot, at an early hour, before the sun beats fiercely on one's neck.
3307_145145_000010_000002	They lend me their good eyes and supple limbs.	They lend me their good eyes and supple limbs.
3307_145145_000010_000003	The expedition promises to be fruitful.	The expedition promises to be fruitful.
3307_145145_000011_000000	We soon discover high silk buildings, betrayed at a distance by the glittering threads which the dawn has converted into dewy rosaries.	We soon discover high silk buildings, betrayed at a distance by the glittering threads which the dawn has converted into dewy rosaries.
3307_145145_000011_000003	A splendid spectacle indeed is that of our Spider's labyrinth, heavy with the tears of the night and lit up by the first rays of the sun.	A splendid spectacle indeed is that of our Spider's labyrinth, heavy with the tears of the night and lit up by the first rays of the sun
3307_145145_000011_000004	Accompanied as it is by the Thrushes' symphony, this alone is worth getting up for.	Accompanied as it is by the Thrushes' symphony, this alone is worth getting up for.
3307_145145_000012_000000	Half an hour's heat; and the magic jewels disappear with the dew.	Half an hour's heat; and the magic jewels disappear with the dew.
3307_145145_000012_000001	Now is the moment to inspect the webs.	Now is the moment to inspect the webs.
3307_145145_000012_000002	Here is one spreading its sheet over a large cluster of rock-roses; it is the size of a handkerchief.	Here is one spreading its sheet over a large cluster of rock roses; it is the size of a handkerchief.
3307_145145_000012_000004	There is not a twig but supplies a contact-point.	There is not a twig but supplies a contact point.
3307_145145_000012_000005	Entwined on every side, surrounded and surmounted, the bush disappears from view, veiled in white muslin.	Entwined on every side, surrounded and surmounted, the bush disappears from view, veiled in white muslin.
