2481_12731_000000_000000	COMMON SIMPLE DYES.	COMMON SIMPLE DYES.	true	21.21	22.86	21.899803
2481_12731_000001_000000	433.	four hundred thirty three.	false	22.86	25.44	20.707537
2481_12731_000001_000001	_To Dye Black._	underscore To Dye Black.underscore	false	25.44	27.45	20.645308
2481_12731_000002_000000	Allow a pound of logwood to each pound of goods that are to be dyed. Soak it over night in soft water, then boil it an hour, and strain the water in which it is boiled.	Allow a pound of logwood to each pound of goods that are to be dyed. Soak it over night in soft water, then boil it an hour, and strain the water in which it is boiled.	true	27.45	38.77	23.50928
2481_12731_000002_000001	For each pound of logwood, dissolve an ounce of blue vitriol in lukewarm water sufficient to wet the goods.	For each pound of logwood, dissolve an ounce of blue vitriol in lukewarm water sufficient to wet the goods.	true	38.93	45.78	23.528439
2481_12731_000002_000002	Dip the goods in--when saturated with it, turn the whole into the logwood dye.	Dip the goods in-when saturated with it, turn the whole into the logwood dye.	true	45.78	50.76	24.744051
2481_12731_000002_000003	If the goods are cotton, set the vessel on the fire, and let the goods boil ten or fifteen minutes, stirring them constantly to prevent their spotting.	If the goods are cotton, set the vessel on the fire, and let the goods boil ten or fifteen minutes, stirring them constantly to prevent their spotting.	true	50.76	60.84	25.829788
2481_12731_000002_000004	Silk and woollen goods should not be boiled in the dye-stuff, but it should be kept at a scalding heat for twenty minutes. Drain the goods without wringing, and hang them in a dry, shady place, where they will have the air.	Silk and woollen goods should not be boiled in the dye stuff, but it should be kept at a scalding heat for twenty minutes. Drain the goods without wringing, and hang them in a dry, shady place, where they will have the air.	true	60.84	74.13	25.486616
2481_12731_000002_000005	When dry, set the color by, put them into scalding hot water, that has salt in it, in the proportion of a tea-cup full to three gallons of the water.	When dry, set the color by, put them into scalding hot water, that has salt in it, in the proportion of a tea cup full to three gallons of the water.	false	74.13	83.46	20.777483
2481_12731_000002_000006	Let the goods remain in it till cold; then hang them where they will dry; (they should not be wrung.) Boiling hot suds is the best thing to set the color of black silk--let it remain in it till cold.	Let the goods remain in it till cold; then hang them where they will dry; (they should not be wrung.) Boiling hot suds is the best thing to set the color of black silk-let it remain in it till cold.	true	83.46	95.865	25.1266
2481_12731_000002_000007	Soaking black-dyed goods in sour milk, is also good to set the color.	Soaking black dyed goods in sour milk, is also good to set the color.	true	95.865	101.19	23.35175
2481_12731_000003_000000	434.	four hundred thirty four.	false	101.19	102.93	12.015878
2481_12731_000003_000001	_Green and Blue Dye, for Silks and Woollens._	underscore Green and Blue Dye, for Silks and Woollens.underscore	false	102.93	107.07	23.638092
2481_12731_000004_000000	For green dye, take a pound of oil of vitriol, and turn it upon half an ounce of Spanish indigo, that has been reduced to a fine powder.	For green dye, take a pound of oil of vitriol, and turn it upon half an ounce of Spanish indigo, that has been reduced to a fine powder.	true	107.07	116.055	25.694416
2481_12731_000004_000001	Stir them well together, then add a lump of pearl ash, of the size of a pea--as soon as the fermentation ceases, bottle it--the dye will be fit for use the next day.	Stir them well together, then add a lump of pearl ash, of the size of a pea-as soon as the fermentation ceases, bottle it-the dye will be fit for use the next day.	false	116.055	127.44	23.478043
2481_12731_000004_000002	Chemic blue is made in the same manner, only using half the quantity of vitriol.	Chemic blue is made in the same manner, only using half the quantity of vitriol.	true	127.44	133.36	22.928205
2481_12731_000004_000003	For woollen goods, the East indigo will answer as well as the Spanish, and comes much lower.	For woollen goods, the East indigo will answer as well as the Spanish, and comes much lower.	true	133.46	140.805	26.4082
2481_12731_000004_000004	This dye will not answer for cotton goods, as the vitriol rots the threads.	This dye will not answer for cotton goods, as the vitriol rots the threads.	true	140.805	145.93	25.450626
2481_12731_000004_000005	Wash the articles that are to be dyed till perfectly clean, and free from color. If you cannot extract the color by rubbing it in hot suds, boil it out--rinse it in soft water, till entirely free from soap, as the soap will ruin the dye.	Wash the articles that are to be dyed till perfectly clean, and free from color. If you cannot extract the color by rubbing it in hot suds, boil it out-rinse it in soft water, till entirely free from soap, as the soap will ruin the dye.	false	146.18	161.83	24.25616
2481_12731_000004_000006	To dye a pale color, put to each quart of soft warm water that is to be used for the dye, ten drops of the above composition--if you wish a deep color, more will be necessary.	To dye a pale color, put to each quart of soft warm water that is to be used for the dye, ten drops of the above composition-if you wish a deep color, more will be necessary.	false	161.9	174.96	24.049812
2481_12731_000004_000007	Put in the articles without crowding, and let them remain in it till of a good color--the dye-stuff should be kept warm--take the articles out without wringing, drain as much of the dye out of them as possible, then hang them to dry in a shady, airy place.	Put in the articles without crowding, and let them remain in it till of a good color-the dye stuff should be kept warm-take the articles out without wringing, drain as much of the dye out of them as possible, then hang them to dry in a shady, airy place.	false	174.96	191.475	24.768839
2481_12731_000004_000008	They should be dyed when the weather is dry--if not dried quick, they will not look nice.	They should be dyed when the weather is dry-if not dried quick, they will not look nice.	true	191.475	197.115	24.024706
2481_12731_000004_000009	When perfectly dry, wash them in lukewarm suds, to keep the vitriol from injuring the texture of the cloth.	When perfectly dry, wash them in lukewarm suds, to keep the vitriol from injuring the texture of the cloth.	true	197.115	204.465	26.43902
2481_12731_000004_000010	If you wish for a lively bright green, mix a little of the above composition with yellow dye.	If you wish for a lively bright green, mix a little of the above composition with yellow dye.	true	204.465	210.09	22.169813
2481_12731_000005_000000	435.	four hundred thirty five.	false	210.09	211.56	17.066952
2481_12731_000005_000001	_Yellow Dyes._	underscore Yellow Dyes.underscore	false	211.56	212.76	27.864067
2481_12731_000006_000000	To dye a buff color, boil equal parts of arnotto and common potash, in soft clear water.	To dye a buff color, boil equal parts of arnotto and common potash, in soft clear water.	false	212.76	220	25.511007
2481_12731_000006_000001	When dissolved, take it from the fire; when cool, put in the goods, which should previously be washed free from spots, and color; set them on a moderate fire, where they will keep hot, till the goods are of the shade you wish.	When dissolved, take it from the fire; when cool, put in the goods, which should previously be washed free from spots, and color; set them on a moderate fire, where they will keep hot, till the goods are of the shade you wish.	true	220.22	234.345	24.742086
2481_12731_000006_000002	To dye salmon and orange color, tie arnotto in a bag, and soak it in warm soft soap suds, till it becomes soft, so that you can squeeze enough of it through the bag to make the suds a deep yellow--put in the articles, which should be clean, and free from color; boil them till of the shade you wish.	To dye salmon and orange color, tie arnotto in a bag, and soak it in warm soft soap suds, till it becomes soft, so that you can squeeze enough of it through the bag to make the suds a deep yellow-put in the articles, which should be clean, and free from color; boil them till of the shade you wish.	false	234.345	253.53	23.333546
2481_12731_000006_000003	There should be enough of the dye to cover the goods--stir them while boiling, to keep them from spotting.	There should be enough of the dye to cover the goods-stir them while boiling, to keep them from spotting.	false	253.53	259.215	24.500635
2481_12731_000006_000004	This dye will make a salmon or orange color, according to the strength of it, and the time the goods remain in.	This dye will make a salmon or orange color, according to the strength of it, and the time the goods remain in.	true	259.215	265.5	24.710514
2481_12731_000006_000005	Drain them out of the dye, and dry them quick, in the shade--when dry, wash them in soft soap suds.	Drain them out of the dye, and dry them quick, in the shade-when dry, wash them in soft soap suds.	false	265.5	272.235	24.24108
2481_12731_000006_000006	Goods dyed in this manner should never be rinsed in clear water.	Goods dyed in this manner should never be rinsed in clear water.	true	272.235	276.06	24.07231
2481_12731_000006_000007	Peach leaves, fustic, and saffron, all make a good straw or lemon color, according to the strength of the dye.	Peach leaves, fustic, and saffron, all make a good straw or lemon color, according to the strength of the dye.	true	276.06	283.57	26.160255
2481_12731_000006_000008	They should be steeped in soft fair water, in an earthen or tin vessel, and then strained, and the dye set with alum, and a little gum arabic dissolved in the dye, if you wish to stiffen the article.	They should be steeped in soft fair water, in an earthen or tin vessel, and then strained, and the dye set with alum, and a little gum arabic dissolved in the dye, if you wish to stiffen the article.	false	283.58	297.045	24.874964
2481_12731_000006_000009	When the dye-stuff is strained, steep the articles in it.	When the dye stuff is strained, steep the articles in it.	true	297.045	300.75	27.84881
2481_12731_000007_000000	436.	four hundred thirty six.	false	300.75	302.52	29.205982
2481_12731_000007_000001	_Red Dyes._	underscore Red Dyes.underscore	false	302.52	303.69	23.75954
2481_12731_000008_000000	Madder makes a good durable red, but not a brilliant color.	Madder makes a good durable red, but not a brilliant color.	true	303.69	307.305	24.53067
2481_12731_000008_000001	To make a dye of it, allow for half a pound of it three ounces of alum, and one of cream of tartar, and six gallons of water.	To make a dye of it, allow for half a pound of it three ounces of alum, and one of cream of tartar, and six gallons of water.	true	307.305	316.635	25.27476
2481_12731_000008_000002	This proportion of ingredients will make sufficient dye for six or seven pounds of goods. Heat half of the water scalding hot, in a clean brass kettle, then put in the alum and cream of tartar, and let it dissolve.	This proportion of ingredients will make sufficient dye for six or seven pounds of goods. Heat half of the water scalding hot, in a clean brass kettle, then put in the alum and cream of tartar, and let it dissolve.	true	316.635	331.62	25.726435
2481_12731_000008_000003	When the water boils, stir the alum and tartar up in it, put in the goods, and let them boil a couple of hours; then rinse them in fair water--empty the kettle, and put in three gallons of water, and the madder; rub it fine in the water, then put in the goods, and set them where they will keep scalding hot for an hour, without boiling--stir them constantly.	When the water boils, stir the alum and tartar up in it, put in the goods, and let them boil a couple of hours; then rinse them in fair water-empty the kettle, and put in three gallons of water, and the madder; rub it fine in the water, then put in the goods, and set them where they will keep scalding hot for an hour, without boiling-stir them constantly.	true	331.62	355.24	24.23806
2481_12731_000008_000004	When they have been scalding an hour, increase the fire till they boil.	When they have been scalding an hour, increase the fire till they boil.	true	355.34	359.7	24.912914
2481_12731_000008_000005	Let them boil five minutes; then drain them out of the dye, and rinse them, without wringing, in fair water, and hang them in the shade, where they will dry.	Let them boil five minutes; then drain them out of the dye, and rinse them, without wringing, in fair water, and hang them in the shade, where they will dry.	true	359.7	368.88	22.12394
2481_12731_000008_000006	To dye a fine crimson, take for each pound of goods two and a half ounces of alum, an ounce and a half of white tartar--put them in a brass kettle, with sufficient fair water to cover your goods; set it where it will boil briskly for several minutes; then put in the goods, which should be washed clean, and rinsed in fair water.	To dye a fine crimson, take for each pound of goods two and a half ounces of alum, an ounce and a half of white tartar-put them in a brass kettle, with sufficient fair water to cover your goods; set it where it will boil briskly for several minutes; then put in the goods, which should be washed clean, and rinsed in fair water.	false	368.88	389.05	24.46738
2481_12731_000008_000007	When the goods have boiled half an hour, take them out, without wringing, and hang it where it will cool all over alike, without drying; empty out the alum and tartar water, put fresh water in the kettle, and for each pound of goods to be dyed, put in an ounce of cochineal, powdered fine.	When the goods have boiled half an hour, take them out, without wringing, and hang it where it will cool all over alike, without drying; empty out the alum and tartar water, put fresh water in the kettle, and for each pound of goods to be dyed, put in an ounce of cochineal, powdered fine.	false	389.12	407.43	24.097937
2481_12731_000008_000008	Set the kettle on the fire, and let the water boil fifteen or twenty minutes; then put in sufficient cold water to make it lukewarm, put in the goods, and boil them an hour and a quarter--take them out without wringing, and dry them in a shady place.	Set the kettle on the fire, and let the water boil fifteen or twenty minutes; then put in sufficient cold water to make it lukewarm, put in the goods, and boil them an hour and a quarter-take them out without wringing, and dry them in a shady place.	true	407.43	422.44	24.930584
2481_12731_000008_000009	The blossoms of the Balm of Gilead, steeped with fair water in a vessel, then strained, will dye silk a pretty red color.	The blossoms of the Balm of Gilead, steeped with fair water in a vessel, then strained, will dye silk a pretty red color.	true	422.57	431.05	22.228611
2481_12731_000008_000010	The silk should be washed clean, and free from color, then rinsed in fair water, and boiled in the strained dye, with a small piece of alum.	The silk should be washed clean, and free from color, then rinsed in fair water, and boiled in the strained dye, with a small piece of alum.	true	431.06	440.34	24.912695
2481_12731_000008_000011	To dye a fine delicate pink, use a carmine saucer--the directions for dyeing come with the saucers.	To dye a fine delicate pink, use a carmine saucer-the directions for dyeing come with the saucers.	true	440.34	448.14	23.626007
2481_12731_000008_000012	It is too expensive a dye for bulky goods, but for faded fancy shawls and ribbons, it is quite worth the while to use it, as it gives a beautiful shade of pink.	It is too expensive a dye for bulky goods, but for faded fancy shawls and ribbons, it is quite worth the while to use it, as it gives a beautiful shade of pink.	true	448.14	457.62	22.934534
2481_12731_000009_000000	437.	four hundred thirty seven.	false	457.62	459.72	23.173927
2481_12731_000009_000001	_Slate-Colored Dye._	underscore Slate Colored Dye.underscore	false	459.72	461.52	28.369083
2481_12731_000010_000000	To make a good dark slate color, boil sugar-loaf paper with vinegar, in an iron utensil--put in alum to set the color.	To make a good dark slate color, boil sugar loaf paper with vinegar, in an iron utensil-put in alum to set the color.	true	461.52	470.19	25.35962
2481_12731_000010_000001	Tea grounds, set with copperas, makes a good slate color.	Tea grounds, set with copperas, makes a good slate color.	true	470.19	474.51	26.833973
2481_12731_000010_000002	To produce a light slate color, boil white maple bark in clear water, with a little alum--the bark should be boiled in a brass utensil.	To produce a light slate color, boil white maple bark in clear water, with a little alum-the bark should be boiled in a brass utensil.	true	474.51	483.54	24.42966
2481_12731_000010_000003	The dye for slate color should be strained before the goods are put into it.	The dye for slate color should be strained before the goods are put into it.	true	483.54	488.16	24.52925
2481_12731_000010_000004	They should be boiled in it, and then hung where they will drain and dry.	They should be boiled in it, and then hung where they will drain and dry.	true	488.16	492.33	21.272139
2481_12731_000011_000000	438.	four hundred thirty eight.	false	492.33	493.65	21.470665
2481_12731_000011_000001	_Soap from Scraps._	underscore Soap from Scraps.underscore	false	493.65	495.36	28.828312
2481_12731_000012_000000	Dissolve eighteen pounds of potash in three pailsful of water; then add to it twenty-five pounds of grease, and boil it over a slow fire for a couple of hours.	Dissolve eighteen pounds of potash in three pailsful of water; then add to it twenty five pounds of grease, and boil it over a slow fire for a couple of hours.	false	495.36	507.405	24.405869
2481_12731_000012_000001	Turn it into a barrel, and fill it up with water.	Turn it into a barrel, and fill it up with water.	true	507.405	510.51	22.401772
2481_12731_000013_000000	439.	four hundred thirty nine.	false	510.51	511.89	19.551462
2481_12731_000013_000001	_Cold Soap._	underscore Cold Soap.underscore	false	511.89	513.3	24.788744
2481_12731_000014_000000	Heat twenty-six pounds of strained grease.	Heat twenty six pounds of strained grease.	true	513.3	516.36	26.773975
2481_12731_000014_000001	When melted, mix it with four pailsful of lye, made of twenty pounds of white potash.	When melted, mix it with four pailsful of lye, made of twenty pounds of white potash.	false	516.36	522.64	24.14768
