3638_758_000002_000000	Chapter III.	Chapter three.
3638_758_000002_000002	The Speech At The Stone	The Speech At The Stone
3638_758_000003_000000	He really was late.	He really was late.
3638_758_000003_000001	They had waited for him and had already decided to bear the pretty flower-decked little coffin to the church without him.	They had waited for him and had already decided to bear the pretty flower decked little coffin to the church without him.
3638_758_000003_000002	It was the coffin of poor little Ilusha.	It was the coffin of poor little Ilusha.
3638_758_000003_000003	He had died two days after Mitya was sentenced.	He had died two days after Mitya was sentenced.
3638_758_000003_000004	At the gate of the house Alyosha was met by the shouts of the boys, Ilusha's schoolfellows.	At the gate of the house Alyosha was met by the shouts of the boys, Ilusha's schoolfellows.
3638_758_000003_000005	They had all been impatiently expecting him and were glad that he had come at last.	They had all been impatiently expecting him and were glad that he had come at last.
3638_758_000003_000006	There were about twelve of them, they all had their school-bags or satchels on their shoulders.	There were about twelve of them, they all had their school bags or satchels on their shoulders.
3638_758_000003_000007	"Father will cry, be with father," Ilusha had told them as he lay dying, and the boys remembered it.	"Father will cry, be with father," Ilusha had told them as he lay dying, and the boys remembered it.
3638_758_000003_000008	Kolya Krassotkin was the foremost of them.	Kolya Krassotkin was the foremost of them.
3638_758_000004_000000	"How glad I am you've come, Karamazov!" he cried, holding out his hand to Alyosha.	"How glad I am you've come, Karamazov!" he cried, holding out his hand to Alyosha.
3638_758_000004_000001	"It's awful here.	"It's awful here.
3638_758_000004_000004	I am always manly, but this is awful. Karamazov, if I am not keeping you, one question before you go in?"	I am always manly, but this is awful. Karamazov, if I am not keeping you, one question before you go in?"
3638_758_000005_000000	"What is it, Kolya?" said Alyosha.	"What is it, Kolya?" said Alyosha.
3638_758_000006_000000	"Is your brother innocent or guilty?	"Is your brother innocent or guilty?
3638_758_000006_000001	Was it he killed your father or was it the valet?	Was it he killed your father or was it the valet?
3638_758_000006_000002	As you say, so it will be.	As you say, so it will be.
3638_758_000006_000003	I haven't slept for the last four nights for thinking of it."	I haven't slept for the last four nights for thinking of it."
3638_758_000007_000000	"The valet killed him, my brother is innocent," answered Alyosha.	"The valet killed him, my brother is innocent," answered Alyosha.
3638_758_000009_000000	"So he will perish an innocent victim!" exclaimed Kolya; "though he is ruined he is happy!	"So he will perish an innocent victim!" exclaimed Kolya; "though he is ruined he is happy!
3638_758_000009_000001	I could envy him!"	I could envy him!"
3638_758_000010_000000	"What do you mean?	"What do you mean?
3638_758_000010_000001	How can you?	How can you?
3638_758_000011_000000	"Oh, if I, too, could sacrifice myself some day for truth!" said Kolya with enthusiasm.	"Oh, if I, too, could sacrifice myself some day for truth!" said Kolya with enthusiasm.
3638_758_000012_000000	"But not in such a cause, not with such disgrace and such horror!" said Alyosha.	"But not in such a cause, not with such disgrace and such horror!" said Alyosha.
3638_758_000013_000000	"Of course ...	"Of course ...
3638_758_000013_000001	I should like to die for all humanity, and as for disgrace, I don't care about that--our names may perish.	I should like to die for all humanity, and as for disgrace, I don't care about that-our names may perish.
3638_758_000013_000002	I respect your brother!"	I respect your brother!"
3638_758_000014_000000	"And so do I!" the boy, who had once declared that he knew who had founded Troy, cried suddenly and unexpectedly, and he blushed up to his ears like a peony as he had done on that occasion.	"And so do I!" the boy, who had once declared that he knew who had founded Troy, cried suddenly and unexpectedly, and he blushed up to his ears like a peony as he had done on that occasion.
3638_758_000015_000000	Alyosha went into the room.	Alyosha went into the room.
3638_758_000015_000001	Ilusha lay with his hands folded and his eyes closed in a blue coffin with a white frill round it.	Ilusha lay with his hands folded and his eyes closed in a blue coffin with a white frill round it.
3638_758_000015_000002	His thin face was hardly changed at all, and strange to say there was no smell of decay from the corpse.	His thin face was hardly changed at all, and strange to say there was no smell of decay from the corpse.
3638_758_000015_000003	The expression of his face was serious and, as it were, thoughtful.	The expression of his face was serious and, as it were, thoughtful.
3638_758_000015_000004	His hands, crossed over his breast, looked particularly beautiful, as though chiseled in marble.	His hands, crossed over his breast, looked particularly beautiful, as though chiseled in marble.
3638_758_000015_000006	But there were flowers too from Katerina Ivanovna, and when Alyosha opened the door, the captain had a bunch in his trembling hands and was strewing them again over his dear boy.	But there were flowers too from Katerina Ivanovna, and when Alyosha opened the door, the captain had a bunch in his trembling hands and was strewing them again over his dear boy.
3638_758_000015_000007	He scarcely glanced at Alyosha when he came in, and he would not look at any one, even at his crazy weeping wife, "mamma," who kept trying to stand on her crippled legs to get a nearer look at her dead boy.	He scarcely glanced at Alyosha when he came in, and he would not look at any one, even at his crazy weeping wife, "mamma," who kept trying to stand on her crippled legs to get a nearer look at her dead boy.
3638_758_000015_000008	Nina had been pushed in her chair by the boys close up to the coffin.	Nina had been pushed in her chair by the boys close up to the coffin.
3638_758_000015_000010	There was something crazy about his gestures and the words that broke from him.	There was something crazy about his gestures and the words that broke from him.
3638_758_000015_000012	It was his habit to call Ilusha "old man," as a term of affection when he was alive.	It was his habit to call Ilusha "old man," as a term of affection when he was alive.
3638_758_000016_000000	"Father, give me a flower, too; take that white one out of his hand and give it me," the crazy mother begged, whimpering.	"Father, give me a flower, too; take that white one out of his hand and give it me," the crazy mother begged, whimpering.
3638_758_000016_000001	Either because the little white rose in Ilusha's hand had caught her fancy or that she wanted one from his hand to keep in memory of him, she moved restlessly, stretching out her hands for the flower.	Either because the little white rose in Ilusha's hand had caught her fancy or that she wanted one from his hand to keep in memory of him, she moved restlessly, stretching out her hands for the flower.
3638_758_000017_000000	"I won't give it to any one, I won't give you anything," Snegiryov cried callously.	"I won't give it to any one, I won't give you anything," Snegiryov cried callously.
3638_758_000017_000001	"They are his flowers, not yours!	"They are his flowers, not yours!
3638_758_000017_000002	Everything is his, nothing is yours!"	Everything is his, nothing is yours!"
3638_758_000018_000000	"Father, give mother a flower!" said Nina, lifting her face wet with tears.	"Father, give mother a flower!" said Nina, lifting her face wet with tears.
3638_758_000019_000000	"I won't give away anything and to her less than any one!	"I won't give away anything and to her less than any one!
3638_758_000019_000002	She took away his little cannon and he gave it to her," the captain broke into loud sobs at the thought of how Ilusha had given up his cannon to his mother.	She took away his little cannon and he gave it to her," the captain broke into loud sobs at the thought of how Ilusha had given up his cannon to his mother.
3638_758_000019_000003	The poor, crazy creature was bathed in noiseless tears, hiding her face in her hands.	The poor, crazy creature was bathed in noiseless tears, hiding her face in her hands.
3638_758_000020_000000	The boys, seeing that the father would not leave the coffin and that it was time to carry it out, stood round it in a close circle and began to lift it up.	The boys, seeing that the father would not leave the coffin and that it was time to carry it out, stood round it in a close circle and began to lift it up.
3638_758_000021_000000	"I don't want him to be buried in the churchyard," Snegiryov wailed suddenly; "I'll bury him by the stone, by our stone!	"I don't want him to be buried in the churchyard," Snegiryov wailed suddenly; "I'll bury him by the stone, by our stone!
3638_758_000021_000001	Ilusha told me to.	Ilusha told me to.
3638_758_000021_000002	I won't let him be carried out!"	I won't let him be carried out!"
3638_758_000022_000000	He had been saying for the last three days that he would bury him by the stone, but Alyosha, Krassotkin, the landlady, her sister and all the boys interfered.	He had been saying for the last three days that he would bury him by the stone, but Alyosha, Krassotkin, the landlady, her sister and all the boys interfered.
