7313_91072_000000_000000	HORACE GREELEY.	HORACE GREELEY.	true	22.665	23.98	24.565086
7313_91072_000001_000000	Among the hills of New Hampshire, in a lonely, unpainted house, Horace Greeley was born, Feb. 3, 1811, the third of seven children.	Among the hills of New Hampshire, in a lonely, unpainted house, Horace Greeley was born, february third eighteen eleven, the third of seven children.	true	25.25	34.81	23.251568
7313_91072_000001_000001	His father was a plain farmer, hard-working, yet not very successful, but aided by a wife of uncommon energy and good spirits, notwithstanding her many cares.	His father was a plain farmer, hard-working, yet not very successful, but aided by a wife of uncommon energy and good spirits, notwithstanding her many cares.	true	35.3	45.7	22.616756
7313_91072_000001_000002	Besides her housework, and spinning, and making the children's clothes, she hoed in the garden, raked and loaded hay to help her husband, laughing and singing all day long, and telling her feeble little son, Horace, stories and legends all the evening.	Besides her housework, and spinning, and making the children's clothes, she hoed in the garden, raked and loaded hay to help her husband, laughing and singing all day long, and telling her feeble little son, Horace, stories and legends all the evening.	true	46.13	62.08	19.439615
7313_91072_000001_000003	Her first two children having died, this boy was especially dear.	Her first two children having died, this boy was especially dear.	true	62.78	67.27	24.582476
7313_91072_000001_000004	Mrs. Greeley was a great reader of such books as she could obtain, and remembered all she read.	mrs Greeley was a great reader of such books as she could obtain, and remembered all she read.	true	67.79	73.69	20.498201
7313_91072_000001_000005	It requires no great discernment to see from whence Horace Greeley derived his intense love for reading, and his boundless energy.	It requires no great discernment to see from whence Horace Greeley derived his intense love for reading, and his boundless energy.	true	74.21	82.98	22.990187
7313_91072_000002_000000	[Illustration: HORACE GREELEY.]	[Illustration: HORACE GREELEY.]	false	82.98	84.24	-20
7313_91072_000003_000000	He learned to read, one can scarcely tell how.	He learned to read, one can scarcely tell how.	true	84.24	87.25	24.081553
7313_91072_000003_000001	When two years old, he would pore over the Bible, as he lay on the floor, and ask questions about the letters; at three, he went to the "district school," often carried through the deep snow on the shoulders of one of his aunts, or on the back of an older boy.	When two years old, he would pore over the Bible, as he lay on the floor, and ask questions about the letters; at three, he went to the "district school," often carried through the deep snow on the shoulders of one of his aunts, or on the back of an older boy.	true	87.53	102.61	23.903011
7313_91072_000003_000002	He soon stood at the head of his little class in spelling and reading, "and took it so much to heart when he did happen to lose his place, that he would cry bitterly; so that some boys, when they had gained the right to get above him, declined the honor, because it hurt Horace's feelings so."	He soon stood at the head of his little class in spelling and reading, "and took it so much to heart when he did happen to lose his place, that he would cry bitterly; so that some boys, when they had gained the right to get above him, declined the honor, because it hurt Horace's feelings so."	true	102.98	120.94	22.44557
7313_91072_000004_000000	Before he was six years old he had read the Bible through, and "Pilgrim's Progress." Their home contained only about twenty books, and these he read and re-read.	Before he was six years old he had read the Bible through, and "Pilgrim's Progress." Their home contained only about twenty books, and these he read and re read.	true	122.06	132.25	21.229305
7313_91072_000004_000001	As he grew older, every book within seven miles was borrowed, and perused after the hard day's work of farming was over.	As he grew older, every book within seven miles was borrowed, and perused after the hard day's work of farming was over.	true	132.65	139.99	23.15765
7313_91072_000004_000002	He gathered a stock of pine knots, and, lighting one each night, lay down by the hearth, and read, oblivious to all around him.	He gathered a stock of pine knots, and, lighting one each night, lay down by the hearth, and read, oblivious to all around him.	true	140.54	149.11	22.357937
7313_91072_000004_000003	The neighbors came and made their friendly visits, and ate apples and drank cider, as was the fashion, but the lad never noticed their coming or their going.	The neighbors came and made their friendly visits, and ate apples and drank cider, as was the fashion, but the lad never noticed their coming or their going.	true	149.6	158.74	21.203783
7313_91072_000004_000004	When really forced to leave his precious books for bed, he would repeat the information he had learned, or the lessons for the next day, to his brother, who usually, most ungraciously, fell asleep before the conversation was half completed.	When really forced to leave his precious books for bed, he would repeat the information he had learned, or the lessons for the next day, to his brother, who usually, most ungraciously, fell asleep before the conversation was half completed.	true	159.35	173.95	22.854538
7313_91072_000005_000000	When Horace was nearly ten years old, his father, who had speculated in a small way in lumber, became a bankrupt; his house and furniture were sold by the sheriff, and he was obliged to flee from the State to avoid arrest.	When Horace was nearly ten years old, his father, who had speculated in a small way in lumber, became a bankrupt; his house and furniture were sold by the sheriff, and he was obliged to flee from the State to avoid arrest.	true	175.01	189.34	21.44559
7313_91072_000005_000001	Some of these debts were paid, thirty years afterward, by his noble son.	Some of these debts were paid, thirty years afterward, by his noble son.	true	189.98	195.52	21.689596
7313_91072_000005_000002	Going to Westhaven, Vt., Mr. Greeley obtained work on a farm, and moved his family thither.	Going to Westhaven, vermont., mr Greeley obtained work on a farm, and moved his family thither.	true	196.49	202.57	24.082178
7313_91072_000005_000003	They were very poor, the children sitting on the floor and eating their porridge together out of a tin pan; but they were happy in the midst of their hard work and plain food.	They were very poor, the children sitting on the floor and eating their porridge together out of a tin pan; but they were happy in the midst of their hard work and plain food.	true	203	213.46	24.97954
7313_91072_000005_000004	The father and the boys chopped logs, and the little sisters, with the mother, gathered them in heaps, the voice of the latter, says Mr. James Parton, in his biography, "ringing out in laughter from the tangled brushwood in which she was often buried." Would there were thousands more of such women, who can laugh at disaster, and keep their children and themselves from getting soured with life.	The father and the boys chopped logs, and the little sisters, with the mother, gathered them in heaps, the voice of the latter, says mr james Parton, in his biography, "ringing out in laughter from the tangled brushwood in which she was often buried." Would there were thousands more of such women, who can laugh at disaster, and keep their children and themselves from getting soured with life.	false	214.16	238.84	23.523558
7313_91072_000005_000005	Everybody has troubles; and very wise are they who do not tell them, either in their faces or by their words.	Everybody has troubles; and very wise are they who do not tell them, either in their faces or by their words.	true	239.33	246.76	20.38994
7313_91072_000006_000000	Horace earned a few pennies all his own; sometimes by selling nuts, or bundles of the roots of pitch-pine for kindling, which he carried on his back to the store.	Horace earned a few pennies all his own; sometimes by selling nuts, or bundles of the roots of pitch pine for kindling, which he carried on his back to the store.	true	248	256.75	21.276241
7313_91072_000006_000001	This money he spent in books, buying Mrs. Hemans's poetry and "Shakspeare." No wonder that the minister of the town said, "Mark my words; that boy was not made for nothing."	This money he spent in books, buying mrs Hemans's poetry and "Shakspeare." No wonder that the minister of the town said, "Mark my words; that boy was not made for nothing."	false	257.03	268.84	22.108814
7313_91072_000007_000000	He could go to school no longer, and must now support himself.	He could go to school no longer, and must now support himself.	true	270.29	274.06	19.500618
