7313_91072_000000_000000	HORACE GREELEY.	HORACE GREELEY.
7313_91072_000001_000000	Among the hills of New Hampshire, in a lonely, unpainted house, Horace Greeley was born, Feb. 3, 1811, the third of seven children.	Among the hills of New Hampshire, in a lonely, unpainted house, Horace Greeley was born, february third eighteen eleven, the third of seven children.
7313_91072_000001_000001	His father was a plain farmer, hard-working, yet not very successful, but aided by a wife of uncommon energy and good spirits, notwithstanding her many cares.	His father was a plain farmer, hard-working, yet not very successful, but aided by a wife of uncommon energy and good spirits, notwithstanding her many cares.
7313_91072_000001_000003	Her first two children having died, this boy was especially dear.	Her first two children having died, this boy was especially dear.
7313_91072_000001_000004	Mrs. Greeley was a great reader of such books as she could obtain, and remembered all she read.	mrs Greeley was a great reader of such books as she could obtain, and remembered all she read.
7313_91072_000001_000005	It requires no great discernment to see from whence Horace Greeley derived his intense love for reading, and his boundless energy.	It requires no great discernment to see from whence Horace Greeley derived his intense love for reading, and his boundless energy.
7313_91072_000003_000000	He learned to read, one can scarcely tell how.	He learned to read, one can scarcely tell how.
7313_91072_000003_000001	When two years old, he would pore over the Bible, as he lay on the floor, and ask questions about the letters; at three, he went to the "district school," often carried through the deep snow on the shoulders of one of his aunts, or on the back of an older boy.	When two years old, he would pore over the Bible, as he lay on the floor, and ask questions about the letters; at three, he went to the "district school," often carried through the deep snow on the shoulders of one of his aunts, or on the back of an older boy.
7313_91072_000003_000002	He soon stood at the head of his little class in spelling and reading, "and took it so much to heart when he did happen to lose his place, that he would cry bitterly; so that some boys, when they had gained the right to get above him, declined the honor, because it hurt Horace's feelings so."	He soon stood at the head of his little class in spelling and reading, "and took it so much to heart when he did happen to lose his place, that he would cry bitterly; so that some boys, when they had gained the right to get above him, declined the honor, because it hurt Horace's feelings so."
7313_91072_000004_000000	Before he was six years old he had read the Bible through, and "Pilgrim's Progress." Their home contained only about twenty books, and these he read and re-read.	Before he was six years old he had read the Bible through, and "Pilgrim's Progress." Their home contained only about twenty books, and these he read and re read.
7313_91072_000004_000001	As he grew older, every book within seven miles was borrowed, and perused after the hard day's work of farming was over.	As he grew older, every book within seven miles was borrowed, and perused after the hard day's work of farming was over.
7313_91072_000004_000002	He gathered a stock of pine knots, and, lighting one each night, lay down by the hearth, and read, oblivious to all around him.	He gathered a stock of pine knots, and, lighting one each night, lay down by the hearth, and read, oblivious to all around him.
7313_91072_000004_000003	The neighbors came and made their friendly visits, and ate apples and drank cider, as was the fashion, but the lad never noticed their coming or their going.	The neighbors came and made their friendly visits, and ate apples and drank cider, as was the fashion, but the lad never noticed their coming or their going.
7313_91072_000004_000004	When really forced to leave his precious books for bed, he would repeat the information he had learned, or the lessons for the next day, to his brother, who usually, most ungraciously, fell asleep before the conversation was half completed.	When really forced to leave his precious books for bed, he would repeat the information he had learned, or the lessons for the next day, to his brother, who usually, most ungraciously, fell asleep before the conversation was half completed.
7313_91072_000005_000000	When Horace was nearly ten years old, his father, who had speculated in a small way in lumber, became a bankrupt; his house and furniture were sold by the sheriff, and he was obliged to flee from the State to avoid arrest.	When Horace was nearly ten years old, his father, who had speculated in a small way in lumber, became a bankrupt; his house and furniture were sold by the sheriff, and he was obliged to flee from the State to avoid arrest.
7313_91072_000005_000001	Some of these debts were paid, thirty years afterward, by his noble son.	Some of these debts were paid, thirty years afterward, by his noble son.
7313_91072_000005_000002	Going to Westhaven, Vt., Mr. Greeley obtained work on a farm, and moved his family thither.	Going to Westhaven, vermont., mr Greeley obtained work on a farm, and moved his family thither.
7313_91072_000005_000003	They were very poor, the children sitting on the floor and eating their porridge together out of a tin pan; but they were happy in the midst of their hard work and plain food.	They were very poor, the children sitting on the floor and eating their porridge together out of a tin pan; but they were happy in the midst of their hard work and plain food.
7313_91072_000005_000005	Everybody has troubles; and very wise are they who do not tell them, either in their faces or by their words.	Everybody has troubles; and very wise are they who do not tell them, either in their faces or by their words.
7313_91072_000006_000000	Horace earned a few pennies all his own; sometimes by selling nuts, or bundles of the roots of pitch-pine for kindling, which he carried on his back to the store.	Horace earned a few pennies all his own; sometimes by selling nuts, or bundles of the roots of pitch pine for kindling, which he carried on his back to the store.
7313_91072_000007_000001	From earliest childhood he had determined to be a printer; so, when eleven years of age, he walked nine miles to see the publisher of a newspaper, and obtain a situation.	From earliest childhood he had determined to be a printer; so, when eleven years of age, he walked nine miles to see the publisher of a newspaper, and obtain a situation.
7313_91072_000007_000002	The editor looked at the small, tow-haired boy, shook his head, and said, "You are too young." With a heavy heart the child walked the long nine miles back again.	The editor looked at the small, tow haired boy, shook his head, and said, "You are too young." With a heavy heart the child walked the long nine miles back again.
7313_91072_000007_000003	But he must do something; and, a little later, with seventy-five cents in his pocket, and some food tied in a bundle, which he hung on the end of a stick, slung over his shoulder, he walked one hundred and twenty miles back to New Hampshire, to see his relatives.	But he must do something; and, a little later, with seventy five cents in his pocket, and some food tied in a bundle, which he hung on the end of a stick, slung over his shoulder, he walked one hundred and twenty miles back to New Hampshire, to see his relatives.
7313_91072_000007_000004	After some weeks he returned, with a few more cents in his purse than when he started!	After some weeks he returned, with a few more cents in his purse than when he started!
7313_91072_000008_000000	The father Greeley ought to have foreseen that such energy and will would produce results; but because Horace, in a fit of abstraction, tried to yoke the "off" ox on the "near" side, he said, "Ah! that boy will never get along in the world.	The father Greeley ought to have foreseen that such energy and will would produce results; but because Horace, in a fit of abstraction, tried to yoke the "off" ox on the "near" side, he said, "Ah! that boy will never get along in the world.
7313_91072_000008_000001	He'll never know more than enough to come in when it rains." Alas! for the blindness of Zaccheus Greeley, whose name even would not be remembered but for his illustrious son.	He'll never know more than enough to come in when it rains." Alas! for the blindness of Zaccheus Greeley, whose name even would not be remembered but for his illustrious son.
7313_91072_000009_000000	When Horace was fourteen, he read in a newspaper that an apprentice was wanted in a printing-office eleven miles distant.	When Horace was fourteen, he read in a newspaper that an apprentice was wanted in a printing office eleven miles distant.
7313_91072_000009_000001	He hastened thither, and, though unprepossessing, from his thin voice, short pantaloons, lack of stockings, and worn hat, he was hired on trial.	He hastened thither, and, though unprepossessing, from his thin voice, short pantaloons, lack of stockings, and worn hat, he was hired on trial.
7313_91072_000009_000002	The first day he worked at the types in silence.	The first day he worked at the types in silence.
7313_91072_000009_000003	Finally the boys began to tease him with saucy remarks, and threw type at him; but he paid no attention.	Finally the boys began to tease him with saucy remarks, and threw type at him; but he paid no attention.
