2110_161101_000000_000000	TOUCHING MUSICAL PERFORMANCES	TOUCHING MUSICAL PERFORMANCES	true	35.145	37.54	16
2110_161101_000001_000000	58.	fifty eight.	true	38.66	40.02	21.785017
2110_161101_000001_000001	"Herr Stein sees and hears that I am more of a player than Beecke,--that without making grimaces of any kind I play so expressively that, according to his own confession, no one shows off his pianoforte as well as I. That I always remain strictly in time surprises every one; they can not understand that the left hand should not in the least be concerned in a tempo rubato.	"Herr Stein sees and hears that I am more of a player than Beecke,--that without making grimaces of any kind I play so expressively that, according to his own confession, no one shows off his pianoforte as well as i That I always remain strictly in time surprises every one; they can not understand that the left hand should not in the least be concerned in a tempo rubato.	false	40.02	68.02	20
2110_161101_000001_000002	When they play the left hand always follows."	When they play the left hand always follows."	true	68.81	71.56	17
2110_161101_000002_000000	(Augsburg, October 23, 1777, to his father.	(Augsburg, october twenty third seventeen seventy seven, to his father.	false	72.92	79.66	22.135515
2110_161101_000002_000001	[We have here a suggestion of the tempo rubato as played by Chopin according to the testimony of Mikuli, who said that no matter how free Chopin was either in melody or arabesque with his right hand, the left always adhered strictly to the time.	[We have here a suggestion of the tempo rubato as played by Chopin according to the testimony of Mikuli, who said that no matter how free Chopin was either in melody or arabesque with his right hand, the left always adhered strictly to the time.	true	80.63	97.9	15
2110_161101_000002_000002	Mozart learned the principle from his father who in his method for the violin condemned the accompanists who spoiled the tempo rubato of an artist by waiting to follow him.	Mozart learned the principle from his father who in his method for the violin condemned the accompanists who spoiled the tempo rubato of an artist by waiting to follow him.	true	98.63	111.49	16
2110_161101_000002_000003	H.E.K.])	h e k])	true	111.71	113.71	24.653456
2110_161101_000003_000000	59.	fifty nine.	true	115.49	116.86	17.040167
2110_161101_000003_000001	"Whoever can see and hear her (the daughter of Stein) play without laughing must be a stone (Stein) like her father.	"Whoever can see and hear her (the daughter of Stein) play without laughing must be a stone (Stein) like her father.	true	117.68	127.15	20
2110_161101_000003_000002	She sits opposite the treble instead of in the middle of the instrument, so that there may be greater opportunities for swaying about and making grimaces.	She sits opposite the treble instead of in the middle of the instrument, so that there may be greater opportunities for swaying about and making grimaces.	true	127.4	137.35	14
2110_161101_000003_000003	Then she rolls up her eyes and smirks.	Then she rolls up her eyes and smirks.	true	138.35	141.04	16
2110_161101_000003_000004	If a passage occurs twice it is played slower the second time; if three times, still slower.	If a passage occurs twice it is played slower the second time; if three times, still slower.	true	141.89	149.53	19
2110_161101_000003_000005	When a passage comes up goes the arm, and if there is to be an emphasis it must come from the arm, heavily and clumsily, not from the fingers.	When a passage comes up goes the arm, and if there is to be an emphasis it must come from the arm, heavily and clumsily, not from the fingers.	true	150.14	159.94	16
2110_161101_000003_000006	But the best of all is that when there comes a passage (which ought to flow like oil) in which there necessarily occurs a change of fingers, there is no need of taking care; when the time comes you stop, lift the hand and nonchalantly begin again.	But the best of all is that when there comes a passage (which ought to flow like oil) in which there necessarily occurs a change of fingers, there is no need of taking care; when the time comes you stop, lift the hand and nonchalantly begin again.	true	161.21	178.54	16
2110_161101_000003_000007	This helps one the better to catch a false note, and the effect is frequently curious."	This helps one the better to catch a false note, and the effect is frequently curious."	true	179.39	184.72	17
2110_161101_000004_000000	(Augsburg, October 23, 1777.	(Augsburg, october twenty third seventeen seventy seven.	false	186.02	191.23	20.628113
2110_161101_000004_000001	The letter is to his father and the young woman whose playing is criticized is the little miss of eight years, Nanette Stein.)	The letter is to his father and the young woman whose playing is criticized is the little miss of eight years, Nanette Stein.)	true	191.81	200.05	15
2110_161101_000005_000000	60.	sixty.	true	201.35	202.45	23.291971
2110_161101_000005_000001	"When I told Herr Stein that I would like to play on his organ and that I was passionately fond of the instrument, he marveled greatly and said: 'What, a man like you, so great a clavier player, want to play on an instrument which has no douceur, no expression, neither piano nor forte, but goes on always the same?' 'But all that signifies nothing; to me the organ is nevertheless the king of instruments.' "	"When I told Herr Stein that I would like to play on his organ and that I was passionately fond of the instrument, he marveled greatly and said: 'What, a man like you, so great a clavier player, want to play on an instrument which has no douceur, no expression, neither piano nor forte, but goes on always the same?' 'But all that signifies nothing; to me the organ is nevertheless the king of instruments.' "	false	203.3	231.19	20
2110_161101_000006_000000	(Augsburg, October 17, 1777, to his father.)	(Augsburg, october seventeenth seventeen seventy seven, to his father.)	false	231.32	239.46	19.977398
2110_161101_000007_000000	61.	sixty one.	true	239.46	240.67	17.707775
2110_161101_000007_000001	"I had the pleasure to hear Herr Franzl (whose wife is a sister of Madame Cannabich) play a concerto on the violin.	"I had the pleasure to hear Herr Franzl (whose wife is a sister of Madame Cannabich) play a concerto on the violin.	false	241.34	249.52	14
2110_161101_000007_000002	He pleases me greatly.	He pleases me greatly.	true	249.98	251.56	19.181854
2110_161101_000007_000003	You know that I am no great lover of difficulties.	You know that I am no great lover of difficulties.	true	251.6	254.98	18
2110_161101_000007_000004	He plays difficult things, but one does not recognize that they are difficult, but imagines that one could do the same thing at once; that is true art.	He plays difficult things, but one does not recognize that they are difficult, but imagines that one could do the same thing at once; that is true art.	true	255.23	266.41	18
2110_161101_000007_000005	He also has a beautiful, round tone,--not a note is missing, one hears everything; everything is well marked.	He also has a beautiful, round tone,--not a note is missing, one hears everything; everything is well marked.	true	266.9	274.57	18
2110_161101_000007_000006	He has a fine staccato bow, up as well as down; and I have never heard so good a double shake as his.	He has a fine staccato bow, up as well as down; and I have never heard so good a double shake as his.	true	275.51	283.51	16
2110_161101_000007_000007	In a word, though he is no wizard he is a solid violinist."	In a word, though he is no wizard he is a solid violinist."	true	284.15	289.03	15
2110_161101_000008_000000	(Mannheim, November 22, 1777, to his father.)	(Mannheim, november twenty second seventeen seventy seven, to his father.)	false	290.24	296.11	18.887157
2110_161101_000009_000000	62.	sixty two.	false	297.23	299.49	20.37654
2110_161101_000009_000001	"Wherein consists the art of playing prima vista?	"Wherein consists the art of playing prima vista?	true	299.49	303.34	18
2110_161101_000009_000002	In this: To play in the proper tempo; give expression to every note, appoggiatura, etc., tastefully and as they are written, so as to create the impression that the player had composed the piece."	In this: To play in the proper tempo; give expression to every note, appoggiatura, etc, tastefully and as they are written, so as to create the impression that the player had composed the piece."	true	303.71	318.64	17
2110_161101_000010_000000	(Mannheim, January 17, 1778, to his father.	(Mannheim, january seventeenth seventeen seventy eight, to his father.	false	320.03	326.38	19.321468
