288_130994_000003_000000	Other Defects of the Present Confederation	Other Defects of the Present Confederation
288_130994_000004_000000	For the Independent Journal.	For the Independent Journal.
288_130994_000004_000001	Wednesday, December 12, 1787	wednesday december twelfth seventeen eighty seven
288_130994_000005_000000	HAMILTON	HAMILTON
288_130994_000007_000000	HAVING in the three last numbers taken a summary review of the principal circumstances and events which have depicted the genius and fate of other confederate governments, I shall now proceed in the enumeration of the most important of those defects which have hitherto disappointed our hopes from the system established among ourselves.	HAVING in the three last numbers taken a summary review of the principal circumstances and events which have depicted the genius and fate of other confederate governments, I shall now proceed in the enumeration of the most important of those defects which have hitherto disappointed our hopes from the system established among ourselves.
288_130994_000007_000001	To form a safe and satisfactory judgment of the proper remedy, it is absolutely necessary that we should be well acquainted with the extent and malignity of the disease.	To form a safe and satisfactory judgment of the proper remedy, it is absolutely necessary that we should be well acquainted with the extent and malignity of the disease.
288_130994_000008_000001	The United States, as now composed, have no powers to exact obedience, or punish disobedience to their resolutions, either by pecuniary mulcts, by a suspension or divestiture of privileges, or by any other constitutional mode.	The United States, as now composed, have no powers to exact obedience, or punish disobedience to their resolutions, either by pecuniary mulcts, by a suspension or divestiture of privileges, or by any other constitutional mode.
288_130994_000008_000004	It will appear, from the specimens which have been cited, that the American Confederacy, in this particular, stands discriminated from every other institution of a similar kind, and exhibits a new and unexampled phenomenon in the political world.	It will appear, from the specimens which have been cited, that the American Confederacy, in this particular, stands discriminated from every other institution of a similar kind, and exhibits a new and unexampled phenomenon in the political world.
288_130994_000009_000000	The want of a mutual guaranty of the State governments is another capital imperfection in the federal plan.	The want of a mutual guaranty of the State governments is another capital imperfection in the federal plan.
288_130994_000010_000001	Usurpation may rear its crest in each State, and trample upon the liberties of the people, while the national government could legally do nothing more than behold its encroachments with indignation and regret.	Usurpation may rear its crest in each State, and trample upon the liberties of the people, while the national government could legally do nothing more than behold its encroachments with indignation and regret.
288_130994_000010_000002	A successful faction may erect a tyranny on the ruins of order and law, while no succor could constitutionally be afforded by the Union to the friends and supporters of the government.	A successful faction may erect a tyranny on the ruins of order and law, while no succor could constitutionally be afforded by the Union to the friends and supporters of the government.
288_130994_000010_000003	The tempestuous situation from which Massachusetts has scarcely emerged, evinces that dangers of this kind are not merely speculative.	The tempestuous situation from which Massachusetts has scarcely emerged, evinces that dangers of this kind are not merely speculative.
288_130994_000010_000005	Who can predict what effect a despotism, established in Massachusetts, would have upon the liberties of New Hampshire or Rhode Island, of Connecticut or New York?	Who can predict what effect a despotism, established in Massachusetts, would have upon the liberties of New Hampshire or Rhode Island, of Connecticut or New York?
288_130994_000011_000002	It could be no impediment to reforms of the State constitution by a majority of the people in a legal and peaceable mode.	It could be no impediment to reforms of the State constitution by a majority of the people in a legal and peaceable mode.
288_130994_000011_000003	This right would remain undiminished.	This right would remain undiminished.
288_130994_000011_000005	Towards the preventions of calamities of this kind, too many checks cannot be provided.	Towards the preventions of calamities of this kind, too many checks cannot be provided.
288_130994_000011_000006	The peace of society and the stability of government depend absolutely on the efficacy of the precautions adopted on this head.	The peace of society and the stability of government depend absolutely on the efficacy of the precautions adopted on this head.
288_130994_000011_000008	The natural cure for an ill-administration, in a popular or representative constitution, is a change of men.	The natural cure for an ill administration, in a popular or representative constitution, is a change of men.
288_130994_000011_000009	A guaranty by the national authority would be as much levelled against the usurpations of rulers as against the ferments and outrages of faction and sedition in the community.	A guaranty by the national authority would be as much levelled against the usurpations of rulers as against the ferments and outrages of faction and sedition in the community.
288_130994_000012_000002	I speak of it now solely with a view to equality among the States.	I speak of it now solely with a view to equality among the States.
288_130994_000012_000003	Those who have been accustomed to contemplate the circumstances which produce and constitute national wealth, must be satisfied that there is no common standard or barometer by which the degrees of it can be ascertained.	Those who have been accustomed to contemplate the circumstances which produce and constitute national wealth, must be satisfied that there is no common standard or barometer by which the degrees of it can be ascertained.
288_130994_000014_000002	This, however, is an evil inseparable from the principle of quotas and requisitions.	This, however, is an evil inseparable from the principle of quotas and requisitions.
288_130994_000015_000001	Imposts, excises, and, in general, all duties upon articles of consumption, may be compared to a fluid, which will, in time, find its level with the means of paying them.	Imposts, excises, and, in general, all duties upon articles of consumption, may be compared to a fluid, which will, in time, find its level with the means of paying them.
288_130994_000015_000002	The amount to be contributed by each citizen will in a degree be at his own option, and can be regulated by an attention to his resources.	The amount to be contributed by each citizen will in a degree be at his own option, and can be regulated by an attention to his resources.
288_130994_000015_000003	The rich may be extravagant, the poor can be frugal; and private oppression may always be avoided by a judicious selection of objects proper for such impositions.	The rich may be extravagant, the poor can be frugal; and private oppression may always be avoided by a judicious selection of objects proper for such impositions.
288_130994_000015_000004	If inequalities should arise in some States from duties on particular objects, these will, in all probability, be counterbalanced by proportional inequalities in other States, from the duties on other objects.	If inequalities should arise in some States from duties on particular objects, these will, in all probability, be counterbalanced by proportional inequalities in other States, from the duties on other objects.
288_130994_000016_000001	They prescribe their own limit; which cannot be exceeded without defeating the end proposed, that is, an extension of the revenue.	They prescribe their own limit; which cannot be exceeded without defeating the end proposed, that is, an extension of the revenue.
288_130994_000016_000002	When applied to this object, the saying is as just as it is witty, that, "in political arithmetic, two and two do not always make four." If duties are too high, they lessen the consumption; the collection is eluded; and the product to the treasury is not so great as when they are confined within proper and moderate bounds.	When applied to this object, the saying is as just as it is witty, that, "in political arithmetic, two and two do not always make four." If duties are too high, they lessen the consumption; the collection is eluded; and the product to the treasury is not so great as when they are confined within proper and moderate bounds.
288_130994_000016_000003	This forms a complete barrier against any material oppression of the citizens by taxes of this class, and is itself a natural limitation of the power of imposing them.	This forms a complete barrier against any material oppression of the citizens by taxes of this class, and is itself a natural limitation of the power of imposing them.
288_130994_000017_000000	Impositions of this kind usually fall under the denomination of indirect taxes, and must for a long time constitute the chief part of the revenue raised in this country.	Impositions of this kind usually fall under the denomination of indirect taxes, and must for a long time constitute the chief part of the revenue raised in this country.
288_130994_000017_000001	Those of the direct kind, which principally relate to land and buildings, may admit of a rule of apportionment. Either the value of land, or the number of the people, may serve as a standard.	Those of the direct kind, which principally relate to land and buildings, may admit of a rule of apportionment. Either the value of land, or the number of the people, may serve as a standard.
288_130994_000017_000002	The state of agriculture and the populousness of a country have been considered as nearly connected with each other.	The state of agriculture and the populousness of a country have been considered as nearly connected with each other.
288_130994_000017_000003	And, as a rule, for the purpose intended, numbers, in the view of simplicity and certainty, are entitled to a preference.	And, as a rule, for the purpose intended, numbers, in the view of simplicity and certainty, are entitled to a preference.
288_130994_000017_000004	In every country it is a herculean task to obtain a valuation of the land; in a country imperfectly settled and progressive in improvement, the difficulties are increased almost to impracticability.	In every country it is a herculean task to obtain a valuation of the land; in a country imperfectly settled and progressive in improvement, the difficulties are increased almost to impracticability.
