288_130994_000000_000000	I make no apology for having dwelt so long on the contemplation of these federal precedents.	I make no apology for having dwelt so long on the contemplation of these federal precedents.	false	0	0.75	44.225418
288_130994_000000_000001	Experience is the oracle of truth; and where its responses are unequivocal, they ought to be conclusive and sacred.	Experience is the oracle of truth; and where its responses are unequivocal, they ought to be conclusive and sacred.	false	0.75	3.69	17.93804
288_130994_000000_000002	The important truth, which it unequivocally pronounces in the present case, is that a sovereignty over sovereigns, a government over governments, a legislation for communities, as contradistinguished from individuals, as it is a solecism in theory, so in practice it is subversive of the order and ends of civil polity, by substituting VIOLENCE in place of LAW, or the destructive COERCION of the SWORD in place of the mild and salutary COERCION of the MAGISTRACY.	The important truth, which it unequivocally pronounces in the present case, is that a sovereignty over sovereigns, a government over governments, a legislation for communities, as contradistinguished from individuals, as it is a solecism in theory, so in practice it is subversive of the order and ends of civil polity, by substituting VIOLENCE in place of LAW, or the destructive COERCION of the SWORD in place of the mild and salutary COERCION of the MAGISTRACY.	false	3.69	16.14	23.647524
288_130994_000001_000000	PUBLIUS	PUBLIUS	false	16.14	16.275	-20
288_130994_000002_000000	FEDERALIST No. 21	FEDERALIST no twenty one	false	16.275	22.5	19.924248
288_130994_000003_000000	Other Defects of the Present Confederation	Other Defects of the Present Confederation	true	22.5	25.21	23.865551
288_130994_000004_000000	For the Independent Journal.	For the Independent Journal.	true	25.46	27.1	23.039633
288_130994_000004_000001	Wednesday, December 12, 1787	wednesday december twelfth seventeen eighty seven	true	27.5	32.14	22.427956
288_130994_000005_000000	HAMILTON	HAMILTON	true	33.65	34.54	25.946318
288_130994_000006_000000	To the People of the State of New York:	To the People of the State of New York:	false	35.9	38.26	26.379255
288_130994_000007_000000	HAVING in the three last numbers taken a summary review of the principal circumstances and events which have depicted the genius and fate of other confederate governments, I shall now proceed in the enumeration of the most important of those defects which have hitherto disappointed our hopes from the system established among ourselves.	HAVING in the three last numbers taken a summary review of the principal circumstances and events which have depicted the genius and fate of other confederate governments, I shall now proceed in the enumeration of the most important of those defects which have hitherto disappointed our hopes from the system established among ourselves.	true	39.71	59.86	23.128668
288_130994_000007_000001	To form a safe and satisfactory judgment of the proper remedy, it is absolutely necessary that we should be well acquainted with the extent and malignity of the disease.	To form a safe and satisfactory judgment of the proper remedy, it is absolutely necessary that we should be well acquainted with the extent and malignity of the disease.	true	60.44	70.42	23.637636
288_130994_000008_000000	The next most palpable defect of the subsisting Confederation, is the total want of a SANCTION to its laws.	The next most palpable defect of the subsisting Confederation, is the total want of a SANCTION to its laws.	false	73.55	80.14	22.52977
