4246_12545_000000_000000	[Illustration: Going up the steep, rocky sides of Little Canyon.]	[Illustration: Going up the steep, rocky sides of Little Canyon.]	false	0.93	24.21	20.383194
4246_12545_000001_000000	CHAPTER TWENTY-SEVEN	CHAPTER TWENTY SEVEN	true	24.21	25.45	21.064283
4246_12545_000002_000000	A BIT OF BAD LUCK	A BIT OF BAD LUCK	true	25.61	27.31	21.056898
4246_12545_000003_000000	"OLD Oregon Trail Monument Expedition, Brady Island, Nebraska, August 9, 1906, Camp No. 120.	"OLD Oregon Trail Monument Expedition, Brady Island, Nebraska, august ninth nineteen o six, Camp no one hundred twenty.	false	28.13	36.67	21
4246_12545_000003_000001	Odometer, 1,536 5/8.	Odometer, one thousand five hundred thirty six and five eighths.	true	36.83	40.69	19.122566
4246_12545_000003_000002	Yesterday morning Twist ate his breakfast as usual and showed no signs of sickness until we were on the road two or three miles, when he began to put his tongue out and his breathing became heavy.	Yesterday morning Twist ate his breakfast as usual and showed no signs of sickness until we were on the road two or three miles, when he began to put his tongue out and his breathing became heavy.	true	41.27	51.28	17
4246_12545_000003_000003	But he leaned on the yoke more heavily than usual and determined to pull the whole load.	But he leaned on the yoke more heavily than usual and determined to pull the whole load.	true	51.71	56.38	16
4246_12545_000003_000004	I finally stopped, put him on the off side, gave him the long end of the yoke, and tied his head back with the halter strap to the chain; but to no purpose, for he pulled by the head very heavily.	I finally stopped, put him on the off side, gave him the long end of the yoke, and tied his head back with the halter strap to the chain; but to no purpose, for he pulled by the head very heavily.	true	56.54	68.23	20.211323
4246_12545_000003_000005	I finally unyoked, gave him a quart of lard, a gill of vinegar, and a handful of sugar, but all to no purpose, for he soon fell down and in two hours was dead."	I finally unyoked, gave him a quart of lard, a gill of vinegar, and a handful of sugar, but all to no purpose, for he soon fell down and in two hours was dead."	true	68.81	79	20.278894
4246_12545_000004_000000	Such is the record in my journal of this noble animal's death.	Such is the record in my journal of this noble animal's death.	true	80.21	83.68	15
4246_12545_000004_000001	I think he died from eating some poisonous plant.	I think he died from eating some poisonous plant.	true	83.96	86.59	17
4246_12545_000005_000000	When we started, Twist weighed 1470 pounds.	When we started, Twist weighed one thousand four hundred seventy pounds.	true	87.26	91.36	19
