2045_158081_000002_000000	Chapter 7	Chapter seven
2045_158081_000003_000000	An Administration Protest-Dudley Field Malone Resigns	An Administration Protest Dudley Field Malone Resigns
2045_158081_000004_000001	He had known and supported the President from the beginning of the President's political career.	He had known and supported the President from the beginning of the President's political career.
2045_158081_000004_000002	He had campaigned twice through New Jersey with Mr. Wilson as Governor; he had managed Mr. Wilson's campaigns in many states for the nomination before the Baltimore Convention; he had toured the country with Mr. Wilson in 1912 ; and it was he who led to victory President Wilson's fight for California in 1916.	He had campaigned twice through New Jersey with mr Wilson as Governor; he had managed mr Wilson's campaigns in many states for the nomination before the Baltimore Convention; he had toured the country with mr Wilson in nineteen twelve ; and it was he who led to victory President Wilson's fight for California in nineteen sixteen.
2045_158081_000006_000000	Mr. Malone has consented to tell for the first time, in this record of the militant campaign, what happened at his memorable interview with President Wilson in July, 1917, an interview which he followed up two months later with his resignation as Collector of the Port of New York.	mr Malone has consented to tell for the first time, in this record of the militant campaign, what happened at his memorable interview with President Wilson in July, nineteen seventeen, an interview which he followed up two months later with his resignation as Collector of the Port of New York.
2045_158081_000006_000001	I quote the story in his own words:	I quote the story in his own words:
2045_158081_000007_000000	Frank P. Walsh, Amos Pinchot, Frederic C. Howe, J. A. H. Hopkins, Allen McCurdy and I were present throughout the trial of the sixteen women in July.	Frank p Walsh, amos Pinchot, Frederic c Howe, j a h Hopkins, Allen McCurdy and I were present throughout the trial of the sixteen women in July.
2045_158081_000009_000002	It was three o'clock.	It was three o'clock.
2045_158081_000009_000003	I called a taxicab, drove direct to the executive offices and met him.	I called a taxicab, drove direct to the executive offices and met him.
2045_158081_000010_000000	I began by reminding the President that in the seven years and a half of our personal and political association we had never had a serious difference.	I began by reminding the President that in the seven years and a half of our personal and political association we had never had a serious difference.
2045_158081_000010_000003	I also informed him that I had offered to act as counsel for the suffragists on the appeal of their case.	I also informed him that I had offered to act as counsel for the suffragists on the appeal of their case.
2045_158081_000010_000004	He asked me for full details of my complaint and attitude.	He asked me for full details of my complaint and attitude.
2045_158081_000010_000005	I told Mr. Wilson everything I had witnessed from the time we saw the suffragists arrested in front of the White House to their sentence in the police court.	I told mr Wilson everything I had witnessed from the time we saw the suffragists arrested in front of the White House to their sentence in the police court.
2045_158081_000010_000006	I observed that although we might not agree with the "manners" of picketing, citizens had a right to petition the President or any other official of the government for a redress of grievances.	I observed that although we might not agree with the "manners" of picketing, citizens had a right to petition the President or any other official of the government for a redress of grievances.
2045_158081_000010_000007	He seemed to acquiesce in this view, and reminded me that the women had been unmolested at the White House gates for over five months, adding that he had even ordered the head usher to invite the women on cold days to come into the White House and warm themselves and have coffee.	He seemed to acquiesce in this view, and reminded me that the women had been unmolested at the White House gates for over five months, adding that he had even ordered the head usher to invite the women on cold days to come into the White House and warm themselves and have coffee.
2045_158081_000011_000000	"If the situation is as you describe it, it is shocking," said the President'.	"If the situation is as you describe it, it is shocking," said the President'.
2045_158081_000011_000001	"The manhandling of the women by the police was outrageous and the entire trial (before a judge of your own appointment) was a perversion of justice," I said.	"The manhandling of the women by the police was outrageous and the entire trial (before a judge of your own appointment) was a perversion of justice," I said.
2045_158081_000011_000002	This seemed to annoy the President and he replied with asperity, "Why do you come to me in this indignant fashion for things which have been done by the police officials of the city of Washington?"	This seemed to annoy the President and he replied with asperity, "Why do you come to me in this indignant fashion for things which have been done by the police officials of the city of Washington?"
2045_158081_000012_000000	"Mr.	"mr
2045_158081_000015_000000	The President asserted his ignorance of all this.	The President asserted his ignorance of all this.
2045_158081_000016_000000	"Do you mean to tell me," he said, "that you intend to resign, to repudiate me and my Administration and sacrifice me for your views on this suffrage question?"	"Do you mean to tell me," he said, "that you intend to resign, to repudiate me and my Administration and sacrifice me for your views on this suffrage question?"
2045_158081_000017_000001	President, if there is any sacrifice in this unhappy circumstance, it is I who am making the sacrifice.	President, if there is any sacrifice in this unhappy circumstance, it is I who am making the sacrifice.
2045_158081_000017_000002	I was sent twice as your spokesman in the last campaign to the Woman Suffrage States of the West.	I was sent twice as your spokesman in the last campaign to the Woman Suffrage States of the West.
2045_158081_000017_000005	I told you that I found your strength with women voters lay in the fact that you had with great patience and statesmanship kept this country out of the European war.	I told you that I found your strength with women voters lay in the fact that you had with great patience and statesmanship kept this country out of the European war.
2045_158081_000017_000006	But that your great weakness with women voters was that you had not taken any step throughout your entire Administration to urge the passage of the Federal Suffrage Amendment, which Mr. Hughes was advocating and which alone can enfranchise all the women of the nation.	But that your great weakness with women voters was that you had not taken any step throughout your entire Administration to urge the passage of the Federal Suffrage Amendment, which mr Hughes was advocating and which alone can enfranchise all the women of the nation.
2045_158081_000017_000008	You were pleased and approved of what I had done.	You were pleased and approved of what I had done.
2045_158081_000017_000009	I returned to California and repeated this promise, and so far as I am concerned, I must keep my part of that obligation."	I returned to California and repeated this promise, and so far as I am concerned, I must keep my part of that obligation."
2045_158081_000018_000000	I reiterated to the President my earlier appeal that he assist suffrage as an urgent war measure and a necessary part of America's program for world democracy, to which the President replied: "The enfranchisement of women is not at all necessary to a program of democracy and I see nothing in	I reiterated to the President my earlier appeal that he assist suffrage as an urgent war measure and a necessary part of America's program for world democracy, to which the President replied: "The enfranchisement of women is not at all necessary to a program of democracy and I see nothing in
2045_158081_000020_000001	"Mr.	"mr
2045_158081_000021_000000	The President was visibly moved as I added, "You are the President now, reelected to office.	The President was visibly moved as I added, "You are the President now, reelected to office.
2045_158081_000021_000001	You ask if I am going to sacrifice you.	You ask if I am going to sacrifice you.
2045_158081_000021_000002	You sacrifice nothing by my resignation.	You sacrifice nothing by my resignation.
2045_158081_000021_000003	But I lose much.	But I lose much.
2045_158081_000021_000004	I quit a political career.	I quit a political career.
2045_158081_000021_000005	I give up a powerful office in my own state.	I give up a powerful office in my own state.
2045_158081_000021_000006	I, who have no money, sacrifice a lucrative salary, and go back to revive my law practice.	I, who have no money, sacrifice a lucrative salary, and go back to revive my law practice.
2045_158081_000021_000007	But most of all I sever a personal association with you of the deepest affection which you know has meant much to me these past seven years.	But most of all I sever a personal association with you of the deepest affection which you know has meant much to me these past seven years.
2045_158081_000021_000008	But I cannot and will not remain in office and see women thrown into jail because they demand their political freedom."	But I cannot and will not remain in office and see women thrown into jail because they demand their political freedom."
2045_158081_000022_000000	The President earnestly urged me not to resign, saying, "What will the people of the country think when they hear that the Collector of the Port of New York has resigned because of an injustice done to a group of suffragists by the police officials of the city of Washington?"	The President earnestly urged me not to resign, saying, "What will the people of the country think when they hear that the Collector of the Port of New York has resigned because of an injustice done to a group of suffragists by the police officials of the city of Washington?"
2045_158081_000023_000000	My reply to this was, "With all respect for you, Mr. President, my explanation to the public will not be as difficult as yours, if I am compelled to remind the public that you have appointed to office and can remove all the important officials of the city of Washington."	My reply to this was, "With all respect for you, mr President, my explanation to the public will not be as difficult as yours, if I am compelled to remind the public that you have appointed to office and can remove all the important officials of the city of Washington."
2045_158081_000027_000000	"But," I said, "Mr.	"But," I said, "mr
2045_158081_000027_000002	I agreed to this, and we closed the interview with the President saying, "If you consider my personal request and do not resign, please do not leave Washington without coming to see me." I left the executive offices and never saw him again.	I agreed to this, and we closed the interview with the President saying, "If you consider my personal request and do not resign, please do not leave Washington without coming to see me." I left the executive offices and never saw him again.
2045_158081_000028_000000	There was just a day and a half left to perfect the exceptions for the appeal under the rules of procedure.	There was just a day and a half left to perfect the exceptions for the appeal under the rules of procedure.
2045_158081_000028_000001	No stenographic record of the trial had been taken, which put me under the greatest legal difficulties.	No stenographic record of the trial had been taken, which put me under the greatest legal difficulties.
2045_158081_000028_000002	I was in the midst of these preparations for appeal the next day when I learned to my surprise that the President had pardoned the women.	I was in the midst of these preparations for appeal the next day when I learned to my surprise that the President had pardoned the women.
2045_158081_000028_000003	He had not even consulted me as their attorney.	He had not even consulted me as their attorney.
2045_158081_000028_000004	Moreover, I was amazed that since the President had said he considered the treatment of the women "shocking," he had pardoned them without stating that he did so to correct a grave injustice.	Moreover, I was amazed that since the President had said he considered the treatment of the women "shocking," he had pardoned them without stating that he did so to correct a grave injustice.
2045_158081_000028_000005	I felt certain that the high-spirited women in the workhouse would refuse to accept the pardon as a mere "benevolent" act on the part of the President.	I felt certain that the high spirited women in the workhouse would refuse to accept the pardon as a mere "benevolent" act on the part of the President.
2045_158081_000029_000001	My opinion was confirmed.	My opinion was confirmed.
2045_158081_000029_000003	I advised them that as a matter of law no one could compel them to accept the pardon, but that as a matter of fact they would have to accept it, for the Attorney	I advised them that as a matter of law no one could compel them to accept the pardon, but that as a matter of fact they would have to accept it, for the Attorney
2045_158081_000032_000000	"The President's pardon is an acknowledgment by him of the grave injustice that has been done:"	"The President's pardon is an acknowledgment by him of the grave injustice that has been done:"
2045_158081_000032_000001	This he never denied.	This he never denied.
2045_158081_000033_000000	Under this published interpretation of his pardon the women at Occoquan accepted the pardon and returned to Washington.	Under this published interpretation of his pardon the women at Occoquan accepted the pardon and returned to Washington.
2045_158081_000033_000001	The incident was closed.	The incident was closed.
2045_158081_000033_000002	I returned to New York.	I returned to New York.
2045_158081_000033_000003	During the next two months I carefully watched the situation.	During the next two months I carefully watched the situation.
2045_158081_000033_000006	Under this development it seemed to me that self-respect demanded action, so I sent my resignation to the President, publicly stated my attitude and regretfully left his Administration."	Under this development it seemed to me that self respect demanded action, so I sent my resignation to the President, publicly stated my attitude and regretfully left his Administration."
2045_158081_000034_000000	Mr. Malone's resignation in September, 1917, came with a sudden shock, because the entire country and surely the Administration thought him quieted and subdued by the President's personal appeal to him in July.	mr Malone's resignation in September, nineteen seventeen, came with a sudden shock, because the entire country and surely the Administration thought him quieted and subdued by the President's personal appeal to him in July.
2045_158081_000035_000001	Mr. Wilson and his Administration were shocked that any one should care enough about the liberty of women to resign a lucrative post in the Government.	mr Wilson and his Administration were shocked that any one should care enough about the liberty of women to resign a lucrative post in the Government.
2045_158081_000035_000002	The nation was shocked into the realization that this was not a street brawl between women and policemen, but a controversy between suffragists and a powerful Administration.	The nation was shocked into the realization that this was not a street brawl between women and policemen, but a controversy between suffragists and a powerful Administration.
2045_158081_000035_000003	We had said so but it would have taken months to convince the public that the President was in any way responsible.	We had said so but it would have taken months to convince the public that the President was in any way responsible.
2045_158081_000035_000004	Mr. Malone did what we could only have done with the greatest difficulty and after more pro-	mr Malone did what we could only have done with the greatest difficulty and after more pro
2045_158081_000037_000000	longed sacrifices.	longed sacrifices.
2045_158081_000037_000001	He laid the responsibility squarely and dramatically where it belonged.	He laid the responsibility squarely and dramatically where it belonged.
2045_158081_000037_000002	It is impossible to overemphasize what a tremendous acceleration Mr. Malone's fine, solitary and generous act gave to the speedy break-down of the Administration's resistance.	It is impossible to overemphasize what a tremendous acceleration mr Malone's fine, solitary and generous act gave to the speedy break down of the Administration's resistance.
2045_158081_000037_000003	His sacrifice lightened ours.	His sacrifice lightened ours.
2045_158081_000038_000000	Women ought to be willing to make sacrifices for their own liberation, but for a man to have the courage and imagination to make such a sacrifice for the liberation of women is unparalleled.	Women ought to be willing to make sacrifices for their own liberation, but for a man to have the courage and imagination to make such a sacrifice for the liberation of women is unparalleled.
2045_158081_000038_000001	Mr. Malone called to the attention of the nation the true cause of the obstruction and suppression.	mr Malone called to the attention of the nation the true cause of the obstruction and suppression.
2045_158081_000038_000002	He reproached the President and his colleagues after mature consideration, in the most honorable and vital way,-by refusing longer to associate himself with an Administration which backed such policies.	He reproached the President and his colleagues after mature consideration, in the most honorable and vital way,-by refusing longer to associate himself with an Administration which backed such policies.
2045_158081_000039_000000	And Mr. Malone's resignation was not only welcomed by the militant group.	And mr Malone's resignation was not only welcomed by the militant group.
2045_158081_000039_000001	The conservative suffrage leaders, although they heartily disapproved of , picketing, were as outspoken in their gratitude.	The conservative suffrage leaders, although they heartily disapproved of , picketing, were as outspoken in their gratitude.
2045_158081_000040_000000	Alice Stone Blackwell, the daughter of Lucy Stone, herself a pioneer suffrage leader and editor, wrote to Mr. Malone:	Alice Stone Blackwell, the daughter of Lucy Stone, herself a pioneer suffrage leader and editor, wrote to mr Malone:
2045_158081_000041_000000	"May I express my appreciation and gratitude for the excellent and manly letter that you have written to President Wilson on woman suffrage?	"May I express my appreciation and gratitude for the excellent and manly letter that you have written to President Wilson on woman suffrage?
2045_158081_000041_000001	I am sure that I am only one of many women who feel thankful to you for it.	I am sure that I am only one of many women who feel thankful to you for it.
2045_158081_000042_000000	"The picketing seems to me a very silly business, and I am sure it is doing the cause harm instead of good; but the picketers are being shamefully and illegally treated, and it is a thousand pities, for President Wilson's own sake, that he ever allowed the Washington authorities to enter on this course of persecution.	"The picketing seems to me a very silly business, and I am sure it is doing the cause harm instead of good; but the picketers are being shamefully and illegally treated, and it is a thousand pities, for President Wilson's own sake, that he ever allowed the Washington authorities to enter on this course of persecution.
2045_158081_000042_000001	It was high time for some one to make a protest, and you have made one that has been heard far and wide . . . ."	It was high time for some one to make a protest, and you have made one that has been heard far and wide . . . ."
2045_158081_000043_000000	Mrs. Carrie Chapman Catt, the President of the National American Woman Suffrage Association, wrote:	mrs Carrie Chapman Catt, the President of the National American Woman Suffrage Association, wrote:
2045_158081_000044_000001	It was the noblest act that any man	It was the noblest act that any man
2045_158081_000046_000001	The letter itself was a high minded appeal . . . .	The letter itself was a high minded appeal . . . .
2045_158081_000047_000000	Mrs. Norman de R. Whitehouse, the President of the New York State Woman Suffrage Party, with which Mr. Malone had worked for years, wired:	mrs Norman de r Whitehouse, the President of the New York State Woman Suffrage Party, with which mr Malone had worked for years, wired:
2045_158081_000048_000000	"Although we disagree with you on the question of picketing every suffragist must be grateful to you for the gallant support you are giving our cause and the great sacrifice you are making."	"Although we disagree with you on the question of picketing every suffragist must be grateful to you for the gallant support you are giving our cause and the great sacrifice you are making."
2045_158081_000049_000000	Mrs. James Lees Laidlaw, Vice Chairman of the New York Suffrage Party, said:	mrs james Lees Laidlaw, Vice Chairman of the New York Suffrage Party, said:
2045_158081_000050_000000	"No words of mine can tell you how our hearts have been lifted and our purposes strengthened in this tremendous struggle in New York State by the reading of your powerful and noble utterances in your letter to President Wilson.	"No words of mine can tell you how our hearts have been lifted and our purposes strengthened in this tremendous struggle in New York State by the reading of your powerful and noble utterances in your letter to President Wilson.
2045_158081_000050_000001	There flashed through my mind all the memories of Knights of chivalry and of romance that I have ever read, and they all paled before your championship, and the sacrifice and the high-spirited leadership that it signifies. Where you lead, I believe, thousands of other men will follow, even though at a distance, and most inadequately . . . ."	There flashed through my mind all the memories of Knights of chivalry and of romance that I have ever read, and they all paled before your championship, and the sacrifice and the high spirited leadership that it signifies. Where you lead, I believe, thousands of other men will follow, even though at a distance, and most inadequately . . . ."
