1413_121799_000000_000000	II	two	false	9.33	9.87	4
1413_121799_000001_000000	THE DREAM MECHANISM	THE DREAM MECHANISM	false	9.87	19.11	19.18451
1413_121799_000002_000000	We are compelled to assume that such transformation of scene has also taken place in intricate dreams, though we do not know whether it has encountered any possible desire.	We are compelled to assume that such transformation of scene has also taken place in intricate dreams, though we do not know whether it has encountered any possible desire.	true	19.11	27.31	17
1413_121799_000002_000001	The dream instanced at the commencement, which we analyzed somewhat thoroughly, did give us occasion in two places to suspect something of the kind.	The dream instanced at the commencement, which we analyzed somewhat thoroughly, did give us occasion in two places to suspect something of the kind.	false	27.77	35.32	19.118347
1413_121799_000002_000002	Analysis brought out that my wife was occupied with others at table, and that I did not like it; in the dream itself _exactly the opposite_ occurs, for the person who replaces my wife gives me her undivided attention.	Analysis brought out that my wife was occupied with others at table, and that I did not like it; in the dream itself underscore exactly the opposite underscore occurs, for the person who replaces my wife gives me her undivided attention.	false	35.63	48.31	18.983978
1413_121799_000002_000003	But can one wish for anything pleasanter after a disagreeable incident than that the exact contrary should have occurred, just as the dream has it? The stinging thought in the analysis, that I have never had anything for nothing, is similarly connected with the woman's remark in the dream: "You have always had such beautiful eyes." Some portion of the opposition between the latent and manifest content of the dream must be therefore derived from the realization of a wish.	But can one wish for anything pleasanter after a disagreeable incident than that the exact contrary should have occurred, just as the dream has it? The stinging thought in the analysis, that I have never had anything for nothing, is similarly connected with the woman's remark in the dream: "You have always had such beautiful eyes." Some portion of the opposition between the latent and manifest content of the dream must be therefore derived from the realization of a wish.	false	48.5	74.65	19.606058
1413_121799_000003_000000	Another manifestation of the dream work which all incoherent dreams have in common is still more noticeable.	Another manifestation of the dream work which all incoherent dreams have in common is still more noticeable.	true	76.28	83.23	19.93535
1413_121799_000003_000001	Choose any instance, and compare the number of separate elements in it, or the extent of the dream, if written down, with the dream thoughts yielded by analysis, and of which but a trace can be refound in the dream itself.	Choose any instance, and compare the number of separate elements in it, or the extent of the dream, if written down, with the dream thoughts yielded by analysis, and of which but a trace can be refound in the dream itself.	true	83.27	94.84	19
1413_121799_000003_000002	There can be no doubt that the dream working has resulted in an extraordinary compression or _condensation_.	There can be no doubt that the dream working has resulted in an extraordinary compression or underscore condensation underscore.	false	95.51	101.91	21.154694
1413_121799_000003_000003	It is not at first easy to form an opinion as to the extent of the condensation; the more deeply you go into the analysis, the more deeply you are impressed by it.	It is not at first easy to form an opinion as to the extent of the condensation; the more deeply you go into the analysis, the more deeply you are impressed by it.	false	101.91	110.16	19
1413_121799_000003_000004	There will be found no factor in the dream whence the chains of associations do not lead in two or more directions, no scene which has not been pieced together out of two or more impressions and events.	There will be found no factor in the dream whence the chains of associations do not lead in two or more directions, no scene which has not been pieced together out of two or more impressions and events.	false	110.16	120.76	20.109123
1413_121799_000003_000005	For instance, I once dreamt about a kind of swimming-bath where the bathers suddenly separated in all directions; at one place on the edge a person stood bending towards one of the bathers as if to drag him out.	For instance, I once dreamt about a kind of swimming bath where the bathers suddenly separated in all directions; at one place on the edge a person stood bending towards one of the bathers as if to drag him out.	true	121.31	134.41	20.11918
1413_121799_000003_000006	The scene was a composite one, made up out of an event that occurred at the time of puberty, and of two pictures, one of which I had seen just shortly before the dream.	The scene was a composite one, made up out of an event that occurred at the time of puberty, and of two pictures, one of which I had seen just shortly before the dream.	false	134.48	144.01	21.273666
1413_121799_000003_000007	The two pictures were The Surprise in the Bath, from Schwind's Cycle of the Melusine (note the bathers suddenly separating), and The Flood, by an Italian master.	The two pictures were The Surprise in the Bath, from Schwind's Cycle of the Melusine (note the bathers suddenly separating), and The Flood, by an Italian master.	false	144.26	154.51	18.24246
1413_121799_000003_000008	The little incident was that I once witnessed a lady, who had tarried in the swimming-bath until the men's hour, being helped out of the water by the swimming-master.	The little incident was that I once witnessed a lady, who had tarried in the swimming bath until the men's hour, being helped out of the water by the swimming master.	false	155.57	164.8	19.883919
1413_121799_000003_000009	The scene in the dream which was selected for analysis led to a whole group of reminiscences, each one of which had contributed to the dream content.	The scene in the dream which was selected for analysis led to a whole group of reminiscences, each one of which had contributed to the dream content.	false	165.23	174.28	18.783813
1413_121799_000003_000010	First of all came the little episode from the time of my courting, of which I have already spoken; the pressure of a hand under the table gave rise in the dream to the "under the table," which I had subsequently to find a place for in my recollection.	First of all came the little episode from the time of my courting, of which I have already spoken; the pressure of a hand under the table gave rise in the dream to the "under the table," which I had subsequently to find a place for in my recollection.	true	174.71	188.5	20.056368
1413_121799_000003_000011	There was, of course, at the time not a word about "undivided attention." Analysis taught me that this factor is the realization of a desire through its contradictory and related to the behavior of my wife at the table d'hote.	There was, of course, at the time not a word about "undivided attention." Analysis taught me that this factor is the realization of a desire through its contradictory and related to the behavior of my wife at the table d'hote.	false	188.72	203.43	18.916176
1413_121799_000003_000012	An exactly similar and much more important episode of our courtship, one which separated us for an entire day, lies hidden behind this recent recollection.	An exactly similar and much more important episode of our courtship, one which separated us for an entire day, lies hidden behind this recent recollection.	false	203.43	212.8	19.942125
1413_121799_000003_000013	The intimacy, the hand resting upon the knee, refers to a quite different connection and to quite other persons.	The intimacy, the hand resting upon the knee, refers to a quite different connection and to quite other persons.	true	213.77	220.33	19.262342
