688_15446_000001_000001	These preparations are not volatile, so that there is not much fear of lung trouble.	These preparations are not volatile, so that there is not much fear of lung trouble.
688_15446_000001_000002	In chronic cases death occurs from stricture of the oesophagus causing starvation.	In chronic cases death occurs from stricture of the oesophagus causing starvation.
688_15446_000002_000001	Inflammation may have extended to larynx.	Inflammation may have extended to larynx.
688_15446_000004_000001	The salts give a yellow precipitate with platinum chloride, and a white precipitate with tartaric acid.	The salts give a yellow precipitate with platinum chloride, and a white precipitate with tartaric acid.
688_15446_000004_000002	They are not dissipated by heat, and give a violet colour to the deoxidizing flame of the blowpipe.	They are not dissipated by heat, and give a violet colour to the deoxidizing flame of the blowpipe.
688_15446_000004_000003	Stains on dark clothing are red or brown.	Stains on dark clothing are red or brown.
688_15446_000005_000001	Do not use the stomach-tube.	Do not use the stomach tube.
688_15446_000005_000002	The glottis may be inflamed, and if there is danger of asphyxia, tracheotomy may have to be performed.	The glottis may be inflamed, and if there is danger of asphyxia, tracheotomy may have to be performed.
688_15446_000006_000001	It is also found as 'washing soda.'	It is also found as 'washing soda.'
688_15446_000010_000001	The urgent symptoms are those of suffocation.	The urgent symptoms are those of suffocation.
688_15446_000011_000000	Inhalation of the fumes of strong ammonia may lead to death from capillary bronchitis or broncho-pneumonia.	Inhalation of the fumes of strong ammonia may lead to death from capillary bronchitis or broncho pneumonia.
688_15446_000011_000001	Death may result from inflammation of the larynx and lungs.	Death may result from inflammation of the larynx and lungs.
688_15446_000011_000002	When swallowed in solution, the symptoms are similar to those of soda and potash.	When swallowed in solution, the symptoms are similar to those of soda and potash.
688_15446_000015_000001	Other treatment according to symptoms.	Other treatment according to symptoms.
688_15446_000018_000000	XVI.--INORGANIC IRRITANTS	sixteen.--INORGANIC IRRITANTS
688_15446_000020_000000	XVII.--CHLORATE OF POTASSIUM, ETC.	seventeen.--CHLORATE OF POTASSIUM, etc
688_15446_000027_000001	Lungs congested.	Lungs congested.
688_15446_000033_000001	Burnt on platinum-foil, it gives a green colour to the flame.	Burnt on platinum foil, it gives a green colour to the flame.
688_15446_000034_000001	The salts of barium are also cardiac poisons.	The salts of barium are also cardiac poisons.
688_15446_000035_000001	Stomach may be perforated.	Stomach may be perforated.
688_15446_000037_000000	XIX.--IODINE--IODIDE OF POTASSIUM	nineteen.--IODINE-IODIDE OF POTASSIUM
