7881_109662_000003_000000	THE CACTUS	THE CACTUS
7881_109662_000004_000000	The most notable thing about Time is that it is so purely relative.	The most notable thing about Time is that it is so purely relative.
7881_109662_000005_000000	That is what Trysdale was doing, standing by a table in his bachelor apartments.	That is what Trysdale was doing, standing by a table in his bachelor apartments.
7881_109662_000005_000001	On the table stood a singular-looking green plant in a red earthen jar.	On the table stood a singular looking green plant in a red earthen jar.
7881_109662_000005_000002	The plant was one of the species of cacti, and was provided with long, tentacular leaves that perpetually swayed with the slightest breeze with a peculiar beckoning motion.	The plant was one of the species of cacti, and was provided with long, tentacular leaves that perpetually swayed with the slightest breeze with a peculiar beckoning motion.
7881_109662_000006_000001	Both men were in evening dress.	Both men were in evening dress.
7881_109662_000006_000002	White favors like stars upon their coats shone through the gloom of the apartment.	White favors like stars upon their coats shone through the gloom of the apartment.
7881_109662_000007_000000	As he slowly unbuttoned his gloves, there passed through Trysdale's mind a swift, scarifying retrospect of the last few hours.	As he slowly unbuttoned his gloves, there passed through Trysdale's mind a swift, scarifying retrospect of the last few hours.
7881_109662_000007_000001	It seemed that in his nostrils was still the scent of the flowers that had been banked in odorous masses about the church, and in his ears the lowpitched hum of a thousand well-bred voices, the rustle of crisp garments, and, most insistently recurring, the drawling words of the minister irrevocably binding her to another.	It seemed that in his nostrils was still the scent of the flowers that had been banked in odorous masses about the church, and in his ears the lowpitched hum of a thousand well bred voices, the rustle of crisp garments, and, most insistently recurring, the drawling words of the minister irrevocably binding her to another.
7881_109662_000008_000000	From this last hopeless point of view he still strove, as if it had become a habit of his mind, to reach some conjecture as to why and how he had lost her.	From this last hopeless point of view he still strove, as if it had become a habit of his mind, to reach some conjecture as to why and how he had lost her.
7881_109662_000008_000004	Vanity and conceit?	Vanity and conceit?
7881_109662_000008_000005	These were the joints in his armor.	These were the joints in his armor.
7881_109662_000008_000006	And how free from either she had always been--But why--	And how free from either she had always been-But why-
7881_109662_000009_000001	He had told himself that her paleness was from thoughts of another than the man to whom she was about to give herself.	He had told himself that her paleness was from thoughts of another than the man to whom she was about to give herself.
7881_109662_000009_000002	But even that poor consolation had been wrenched from him.	But even that poor consolation had been wrenched from him.
7881_109662_000009_000003	For, when he saw that swift, limpid, upward look that she gave the man when he took her hand, he knew himself to be forgotten.	For, when he saw that swift, limpid, upward look that she gave the man when he took her hand, he knew himself to be forgotten.
7881_109662_000009_000004	Once that same look had been raised to him, and he had gauged its meaning.	Once that same look had been raised to him, and he had gauged its meaning.
7881_109662_000009_000005	Indeed, his conceit had crumbled; its last prop was gone.	Indeed, his conceit had crumbled; its last prop was gone.
7881_109662_000009_000007	There had been no quarrel between them, nothing--	There had been no quarrel between them, nothing-
7881_109662_000011_000000	She had always insisted upon placing him upon a pedestal, and he had accepted her homage with royal grandeur.	She had always insisted upon placing him upon a pedestal, and he had accepted her homage with royal grandeur.
7881_109662_000012_000000	As Trysdale grimly wrenched apart the seam of his last glove, the crowning instance of his fatuous and tardily mourned egoism came vividly back to him.	As Trysdale grimly wrenched apart the seam of his last glove, the crowning instance of his fatuous and tardily mourned egoism came vividly back to him.
7881_109662_000012_000001	The scene was the night when he had asked her to come up on his pedestal with him and share his greatness.	The scene was the night when he had asked her to come up on his pedestal with him and share his greatness.
7881_109662_000012_000002	He could not, now, for the pain of it, allow his mind to dwell upon the memory of her convincing beauty that night--the careless wave of her hair, the tenderness and virginal charm of her looks and words.	He could not, now, for the pain of it, allow his mind to dwell upon the memory of her convincing beauty that night-the careless wave of her hair, the tenderness and virginal charm of her looks and words.
7881_109662_000012_000003	But they had been enough, and they had brought him to speak.	But they had been enough, and they had brought him to speak.
7881_109662_000012_000004	During their conversation she had said:	During their conversation she had said:
7881_109662_000013_000001	Why have you hidden this accomplishment from me?	Why have you hidden this accomplishment from me?
7881_109662_000013_000002	Is there anything you do not know?"	Is there anything you do not know?"
7881_109662_000014_000000	Now, Carruthers was an idiot.	Now, Carruthers was an idiot.
7881_109662_000014_000001	No doubt he (Trysdale) had been guilty (he sometimes did such things) of airing at the club some old, canting Castilian proverb dug from the hotchpotch at the back of dictionaries. Carruthers, who was one of his incontinent admirers, was the very man to have magnified this exhibition of doubtful erudition.	No doubt he (Trysdale) had been guilty (he sometimes did such things) of airing at the club some old, canting Castilian proverb dug from the hotchpotch at the back of dictionaries. Carruthers, who was one of his incontinent admirers, was the very man to have magnified this exhibition of doubtful erudition.
7881_109662_000015_000001	He allowed the imputation to pass without denial.	He allowed the imputation to pass without denial.
7881_109662_000015_000002	Without protest, he allowed her to twine about his brow this spurious bay of Spanish scholarship.	Without protest, he allowed her to twine about his brow this spurious bay of Spanish scholarship.
7881_109662_000015_000003	He let it grace his conquering head, and, among its soft convolutions, he did not feel the prick of the thorn that was to pierce him later.	He let it grace his conquering head, and, among its soft convolutions, he did not feel the prick of the thorn that was to pierce him later.
7881_109662_000016_000002	He could have sworn, and he could swear now, that unmistakable consent was in her eyes, but, coyly, she would give him no direct answer.	He could have sworn, and he could swear now, that unmistakable consent was in her eyes, but, coyly, she would give him no direct answer.
7881_109662_000016_000003	"I will send you my answer to-morrow," she said; and he, the indulgent, confident victor, smilingly granted the delay.	"I will send you my answer to morrow," she said; and he, the indulgent, confident victor, smilingly granted the delay.
7881_109662_000016_000006	There was no note, no message, merely a tag upon the plant bearing a barbarous foreign or botanical name.	There was no note, no message, merely a tag upon the plant bearing a barbarous foreign or botanical name.
7881_109662_000016_000007	He waited until night, but her answer did not come.	He waited until night, but her answer did not come.
7881_109662_000016_000008	His large pride and hurt vanity kept him from seeking her. Two evenings later they met at a dinner.	His large pride and hurt vanity kept him from seeking her. Two evenings later they met at a dinner.
7881_109662_000016_000009	Their greetings were conventional, but she looked at him, breathless, wondering, eager.	Their greetings were conventional, but she looked at him, breathless, wondering, eager.
7881_109662_000016_000010	He was courteous, adamant, waiting her explanation.	He was courteous, adamant, waiting her explanation.
7881_109662_000016_000011	With womanly swiftness she took her cue from his manner, and turned to snow and ice. Thus, and wider from this on, they had drifted apart.	With womanly swiftness she took her cue from his manner, and turned to snow and ice. Thus, and wider from this on, they had drifted apart.
7881_109662_000016_000012	Where was his fault?	Where was his fault?
7881_109662_000016_000013	Who had been to blame?	Who had been to blame?
