3994_149798_000001_000000	Chapter Seventeen	Chapter Seventeen
3994_149798_000002_000000	Under the Great Dome	Under the Great Dome
3994_149798_000005_000001	So I think our best plan will be to go to the Skeezer Country, raise the sunken island and save our friends and the imprisoned Skeezers.	So I think our best plan will be to go to the Skeezer Country, raise the sunken island and save our friends and the imprisoned Skeezers.
3994_149798_000005_000002	Afterward we can visit the mountain and punish the cruel magician of the Flatheads."	Afterward we can visit the mountain and punish the cruel magician of the Flatheads."
3994_149798_000006_000000	"That is sensible," approved the Shaggy Man.	"That is sensible," approved the Shaggy Man.
3994_149798_000006_000001	"I quite agree with you."	"I quite agree with you."
3994_149798_000007_000000	The others, too, seemed to think the Wizard's plan the best, and Glinda herself commended it, so on they marched toward the line of palm trees that hid the Skeezers' lake from view.	The others, too, seemed to think the Wizard's plan the best, and Glinda herself commended it, so on they marched toward the line of palm trees that hid the Skeezers' lake from view.
3994_149798_000008_000000	Pretty soon they came to the palms.	Pretty soon they came to the palms.
3994_149798_000008_000001	These were set closely together, the branches, which came quite to the ground, being so tightly interlaced that even the Glass Cat could scarcely find a place to squeeze through.	These were set closely together, the branches, which came quite to the ground, being so tightly interlaced that even the Glass Cat could scarcely find a place to squeeze through.
3994_149798_000008_000002	The path which the Flatheads used was some distance away.	The path which the Flatheads used was some distance away.
3994_149798_000009_000000	"Here's a job for the Tin Woodman," said the Scarecrow.	"Here's a job for the Tin Woodman," said the Scarecrow.
3994_149798_000012_000000	Of course every eye was at first fixed upon this dome, where Ozma and Dorothy and the Skeezers were still fast prisoners.	Of course every eye was at first fixed upon this dome, where Ozma and Dorothy and the Skeezers were still fast prisoners.
3994_149798_000012_000001	But soon their attention was caught by a more brilliant sight, for here was the Diamond Swan swimming just before them, its long neck arched proudly, the amethyst eyes gleaming and all the diamond-sprinkled feathers glistening splendidly under the rays of the sun.	But soon their attention was caught by a more brilliant sight, for here was the Diamond Swan swimming just before them, its long neck arched proudly, the amethyst eyes gleaming and all the diamond sprinkled feathers glistening splendidly under the rays of the sun
3994_149798_000014_000000	"She's wonderfully beautiful now," remarked the Frogman.	"She's wonderfully beautiful now," remarked the Frogman.
3994_149798_000015_000000	"It doesn't seem like much of a punishment," said Trot.	"It doesn't seem like much of a punishment," said Trot.
3994_149798_000016_000000	"I am sure Coo-ee-oh is punished," said Glinda, "for she has lost all her magic power and her grand palace and can no longer misrule the poor Skeezers."	"I am sure Coo ee oh is punished," said Glinda, "for she has lost all her magic power and her grand palace and can no longer misrule the poor Skeezers."
3994_149798_000018_000001	Before anyone could speak Coo-ee-oh called to them in a rasping voice--for the voice of a swan is always harsh and unpleasant--and said with much pride:	Before anyone could speak Coo ee oh called to them in a rasping voice-for the voice of a swan is always harsh and unpleasant-and said with much pride:
3994_149798_000019_000000	"Admire me, Strangers!	"Admire me, Strangers!
3994_149798_000019_000002	Admire me!"	Admire me!"
3994_149798_000020_000000	"Handsome is as handsome does," replied the Scarecrow.	"Handsome is as handsome does," replied the Scarecrow.
3994_149798_000021_000001	What deeds can a swan do but swim around and give pleasure to all beholders?" said the sparkling bird.	What deeds can a swan do but swim around and give pleasure to all beholders?" said the sparkling bird.
3994_149798_000022_000000	"Have you forgotten your former life?	"Have you forgotten your former life?
