4957_30119_000003_000000	CHAPTER XXIV.	CHAPTER twenty four.
4957_30119_000004_000000	PEGGY HAS REVENGE.	PEGGY HAS REVENGE.
4957_30119_000005_000000	Joe Wegg made a rapid recovery, his strength returning under the influence of pleasant surroundings and frequent visits from Ethel and Uncle John's three nieces.	Joe Wegg made a rapid recovery, his strength returning under the influence of pleasant surroundings and frequent visits from Ethel and Uncle John's three nieces.
4957_30119_000005_000002	Joe was planning to exploit a new patent as soon as he could earn enough to get it introduced, and Ethel exhibited a sublime confidence in the boy's ability that rendered all question of money insignificant.	Joe was planning to exploit a new patent as soon as he could earn enough to get it introduced, and Ethel exhibited a sublime confidence in the boy's ability that rendered all question of money insignificant.
4957_30119_000006_000000	Joe's sudden appearance in the land of his birth and his generally smashed up condition were a nine days' wonder in Millville.	Joe's sudden appearance in the land of his birth and his generally smashed up condition were a nine days' wonder in Millville.
4957_30119_000006_000001	The gossips wanted to know all the whys and wherefores, but the boy kept his room in the hotel, or only walked out when accompanied by Ethel or one of the three nieces.	The gossips wanted to know all the whys and wherefores, but the boy kept his room in the hotel, or only walked out when accompanied by Ethel or one of the three nieces.
4957_30119_000007_000000	McNutt, always busy over somebody else's affairs, was very curious to know what had caused the accident Joe had suffered.	McNutt, always busy over somebody else's affairs, was very curious to know what had caused the accident Joe had suffered.
4957_30119_000007_000002	But that did not deter him from indulging in various vivid speculations about Joe Wegg, which the simple villagers listened to with attention.	But that did not deter him from indulging in various vivid speculations about Joe Wegg, which the simple villagers listened to with attention.
4957_30119_000007_000003	For one thing, he confided to "the boys" at the store that, in his opinion, the man who had murdered Cap'n Wegg had tried to murder his son also, and it wasn't likely Joe could manage to escape him a second time.	For one thing, he confided to "the boys" at the store that, in his opinion, the man who had murdered Cap'n Wegg had tried to murder his son also, and it wasn't likely Joe could manage to escape him a second time.
4957_30119_000009_000000	He waylaid the nieces once or twice, and tried to secure from them a verification of his somber suspicions, which they mischievously fostered.	He waylaid the nieces once or twice, and tried to secure from them a verification of his somber suspicions, which they mischievously fostered.
4957_30119_000010_000000	The girls found him a source of much amusement, and relieved their own disappointment at finding the "Wegg Mystery" a pricked bubble by getting McNutt excited over many sly suggestions of hidden crimes.	The girls found him a source of much amusement, and relieved their own disappointment at finding the "Wegg Mystery" a pricked bubble by getting McNutt excited over many sly suggestions of hidden crimes.
4957_30119_000011_000001	These he had fostered with great care since the plants had first sprouted through the soil, and in these late August days two or three hundreds of fine, big melons were just getting ripe.	These he had fostered with great care since the plants had first sprouted through the soil, and in these late August days two or three hundreds of fine, big melons were just getting ripe.
4957_30119_000011_000002	He showed the patch with much pride one day to the nieces, saying:	He showed the patch with much pride one day to the nieces, saying:
4957_30119_000012_000001	Dan Brayley he thinks he kin raise mellings, but the ol' fool ain't got a circumstance to this.	Dan Brayley he thinks he kin raise mellings, but the ol' fool ain't got a circumstance to this.
4957_30119_000013_000000	"It seems to me," observed Patsy, gravely, "that Brayley's are just as good.	"It seems to me," observed Patsy, gravely, "that Brayley's are just as good.
4957_30119_000013_000001	We passed his place this morning and wondered how he could raise such enormous melons."	We passed his place this morning and wondered how he could raise such enormous melons."
4957_30119_000014_000000	"'Normous!	"'Normous!
