3009_10327_000000_000000	Their substance we consider absolutely and in relation to corporeal things.	Their substance we consider absolutely and in relation to corporeal things.
3009_10327_000001_000000	Concerning their substance absolutely considered, there are five points of inquiry:	Concerning their substance absolutely considered, there are five points of inquiry:
3009_10327_000009_000000	Objection 1: It would seem that an angel is not entirely incorporeal. For what is incorporeal only as regards ourselves, and not in relation to God, is not absolutely incorporeal.	Objection one: It would seem that an angel is not entirely incorporeal. For what is incorporeal only as regards ourselves, and not in relation to God, is not absolutely incorporeal.
3009_10327_000011_000002	Therefore, every creature is corporeal.	Therefore, every creature is corporeal.
3009_10327_000013_000001	For what is principally intended by God in creatures is good, and this consists in assimilation to God Himself.	For what is principally intended by God in creatures is good, and this consists in assimilation to God Himself.
3009_10327_000013_000002	And the perfect assimilation of an effect to a cause is accomplished when the effect imitates the cause according to that whereby the cause produces the effect; as heat makes heat.	And the perfect assimilation of an effect to a cause is accomplished when the effect imitates the cause according to that whereby the cause produces the effect; as heat makes heat.
3009_10327_000013_000004	Hence the perfection of the universe requires that there should be intellectual creatures.	Hence the perfection of the universe requires that there should be intellectual creatures.
3009_10327_000013_000005	Now intelligence cannot be the action of a body, nor of any corporeal faculty; for every body is limited to "here" and "now." Hence the perfection of the universe requires the existence of an incorporeal creature.	Now intelligence cannot be the action of a body, nor of any corporeal faculty; for every body is limited to "here" and "now." Hence the perfection of the universe requires the existence of an incorporeal creature.
3009_10327_000014_000000	The ancients, however, not properly realizing the force of intelligence, and failing to make a proper distinction between sense and intellect, thought that nothing existed in the world but what could be apprehended by sense and imagination.	The ancients, however, not properly realizing the force of intelligence, and failing to make a proper distinction between sense and intellect, thought that nothing existed in the world but what could be apprehended by sense and imagination.
3009_10327_000015_000000	But the very fact that intellect is above sense is a reasonable proof that there are some incorporeal things comprehensible by the intellect alone.	But the very fact that intellect is above sense is a reasonable proof that there are some incorporeal things comprehensible by the intellect alone.
3009_10327_000016_000001	Now the medium compared to one extreme appears to be the other extreme, as what is tepid compared to heat seems to be cold; and thus it is said that angels, compared to God, are material and corporeal, not, however, as if anything corporeal existed in them.	Now the medium compared to one extreme appears to be the other extreme, as what is tepid compared to heat seems to be cold; and thus it is said that angels, compared to God, are material and corporeal, not, however, as if anything corporeal existed in them.
3009_10327_000017_000001	Therefore an angel is called an ever mobile substance, because he is ever actually intelligent, and not as if he were sometimes actually and sometimes potentially, as we are.	Therefore an angel is called an ever mobile substance, because he is ever actually intelligent, and not as if he were sometimes actually and sometimes potentially, as we are.
3009_10327_000020_000000	Whether an Angel Is Composed of Matter and Form?	Whether an Angel Is Composed of Matter and Form?
3009_10327_000021_000000	Objection 1: It would seem that an angel is composed of matter and form.	Objection one: It would seem that an angel is composed of matter and form.
3009_10327_000021_000001	For everything which is contained under any genus is composed of the genus, and of the difference which added to the genus makes the species.	For everything which is contained under any genus is composed of the genus, and of the difference which added to the genus makes the species.
3009_10327_000021_000003	Therefore everything which is in a genus is composed of matter and form.	Therefore everything which is in a genus is composed of matter and form.
3009_10327_000021_000005	Therefore he is composed of matter and form.	Therefore he is composed of matter and form.
3009_10327_000022_000002	Therefore an angel is composed of matter and form.	Therefore an angel is composed of matter and form.
3009_10327_000023_000001	So what is form only is pure act.	So what is form only is pure act.
3009_10327_000023_000002	But an angel is not pure act, for this belongs to God alone.	But an angel is not pure act, for this belongs to God alone.
3009_10327_000024_000001	So the form which is not in matter is an infinite form.	So the form which is not in matter is an infinite form.
3009_10327_000024_000002	But the form of an angel is not infinite, for every creature is finite.	But the form of an angel is not infinite, for every creature is finite.
3009_10327_000024_000003	Therefore the form of an angel is in matter.	Therefore the form of an angel is in matter.
3009_10327_000026_000001	Now as regards incorporeal substance, the intellect apprehends that which distinguishes it from corporeal substance, and that which it has in common with it.	Now as regards incorporeal substance, the intellect apprehends that which distinguishes it from corporeal substance, and that which it has in common with it.
3009_10327_000026_000002	Hence he concludes that what distinguishes incorporeal from corporeal substance is a kind of form to it, and whatever is subject to this distinguishing form, as it were something common, is its matter.	Hence he concludes that what distinguishes incorporeal from corporeal substance is a kind of form to it, and whatever is subject to this distinguishing form, as it were something common, is its matter.
3009_10327_000026_000003	Therefore, he asserts the universal matter of spiritual and corporeal things is the same; so that it must be understood that the form of incorporeal substance is impressed in the matter of spiritual things, in the same way as the form of quantity is impressed in the matter of corporeal things.	Therefore, he asserts the universal matter of spiritual and corporeal things is the same; so that it must be understood that the form of incorporeal substance is impressed in the matter of spiritual things, in the same way as the form of quantity is impressed in the matter of corporeal things.
3009_10327_000027_000000	But one glance is enough to show that there cannot be one matter of spiritual and of corporeal things.	But one glance is enough to show that there cannot be one matter of spiritual and of corporeal things.
3009_10327_000027_000001	For it is not possible that a spiritual and a corporeal form should be received into the same part of matter, otherwise one and the same thing would be corporeal and spiritual.	For it is not possible that a spiritual and a corporeal form should be received into the same part of matter, otherwise one and the same thing would be corporeal and spiritual.
3009_10327_000027_000002	Hence it would follow that one part of matter receives the corporeal form, and another receives the spiritual form.	Hence it would follow that one part of matter receives the corporeal form, and another receives the spiritual form.
3009_10327_000027_000004	Therefore it would follow that the matter of spiritual things is subject to quantity; which cannot be.	Therefore it would follow that the matter of spiritual things is subject to quantity; which cannot be.
3009_10327_000027_000005	Therefore it is impossible that corporeal and spiritual things should have the same matter.	Therefore it is impossible that corporeal and spiritual things should have the same matter.
3009_10327_000028_000000	It is, further, impossible for an intellectual substance to have any kind of matter.	It is, further, impossible for an intellectual substance to have any kind of matter.
3009_10327_000028_000001	For the operation belonging to anything is according to the mode of its substance.	For the operation belonging to anything is according to the mode of its substance.
3009_10327_000028_000002	Now to understand is an altogether immaterial operation, as appears from its object, whence any act receives its species and nature.	Now to understand is an altogether immaterial operation, as appears from its object, whence any act receives its species and nature.
3009_10327_000028_000003	For a thing is understood according to its degree of immateriality; because forms that exist in matter are individual forms which the intellect cannot apprehend as such.	For a thing is understood according to its degree of immateriality; because forms that exist in matter are individual forms which the intellect cannot apprehend as such.
3009_10327_000028_000004	Hence it must be that every individual substance is altogether immaterial.	Hence it must be that every individual substance is altogether immaterial.
3009_10327_000029_000000	But things distinguished by the intellect are not necessarily distinguished in reality; because the intellect does not apprehend things according to their mode, but according to its own mode.	But things distinguished by the intellect are not necessarily distinguished in reality; because the intellect does not apprehend things according to their mode, but according to its own mode.
