3009_10327_000000_000000	Their substance we consider absolutely and in relation to corporeal things.	Their substance we consider absolutely and in relation to corporeal things.	true	85.575	90.97	23.816118
3009_10327_000001_000000	Concerning their substance absolutely considered, there are five points of inquiry:	Concerning their substance absolutely considered, there are five points of inquiry:	true	91.91	97.59	22.950832
3009_10327_000002_000000	(1) Whether there is any entirely spiritual creature, altogether incorporeal?	(one) Whether there is any entirely spiritual creature, altogether incorporeal?	false	97.59	103.17	24.157434
3009_10327_000003_000000	(2) Supposing that an angel is such, we ask whether it is composed of matter and form?	(two) Supposing that an angel is such, we ask whether it is composed of matter and form?	false	103.17	110.61	19.606365
3009_10327_000004_000000	(3) We ask concerning their number.	(three) We ask concerning their number.	false	110.61	113.88	22.141193
3009_10327_000005_000000	(4) Of their difference from each other.	(four) Of their difference from each other.	false	113.88	117.03	20.225218
3009_10327_000006_000000	(5) Of their immortality or incorruptibility. _______________________	(five) Of their immortality or incorruptibility. , blank ,	false	117.03	122.43	28.64848
3009_10327_000007_000000	FIRST ARTICLE [I, Q. 50, Art. 1]	FIRST ARTICLE [I, q fifty, Art. one]	false	122.43	124.005	28.75294
3009_10327_000008_000000	Whether an Angel Is Altogether Incorporeal?	Whether an Angel Is Altogether Incorporeal?	true	124.005	127.39	16
3009_10327_000009_000000	Objection 1: It would seem that an angel is not entirely incorporeal. For what is incorporeal only as regards ourselves, and not in relation to God, is not absolutely incorporeal.	Objection one: It would seem that an angel is not entirely incorporeal. For what is incorporeal only as regards ourselves, and not in relation to God, is not absolutely incorporeal.	true	128.66	143.35	23.214195
3009_10327_000009_000001	But Damascene says (De Fide Orth.	But Damascene says (De Fide Orth.	false	143.72	145.17	19.17842
3009_10327_000009_000002	ii) that "an angel is said to be incorporeal and immaterial as regards us; but compared to God it is corporeal and material. Therefore he is not simply incorporeal."	ii) that "an angel is said to be incorporeal and immaterial as regards us; but compared to God it is corporeal and material. Therefore he is not simply incorporeal."	false	145.17	156.93	23
3009_10327_000010_000000	Obj. 2: Further, nothing is moved except a body, as the Philosopher says (Phys. vi, text 32).	o b j. two: Further, nothing is moved except a body, as the Philosopher says (Phys. vi, text thirty two).	false	156.93	164.16	22.349106
3009_10327_000010_000001	But Damascene says (De Fide Orth. ii) that "an angel is an ever movable intellectual substance." Therefore an angel is a corporeal substance.	But Damascene says (De Fide Orth. ii) that "an angel is an ever movable intellectual substance." Therefore an angel is a corporeal substance.	false	164.16	172.71	20
3009_10327_000011_000000	Obj. 3: Further, Ambrose says (De Spir.	o b j. three: Further, Ambrose says (De Spir.	false	172.71	176.49	18.835144
3009_10327_000011_000001	Sanct. i, 7): "Every creature is limited within its own nature." But to be limited belongs to bodies.	Sanct. i, seven): "Every creature is limited within its own nature." But to be limited belongs to bodies.	false	176.49	182.68	23.70794
3009_10327_000011_000002	Therefore, every creature is corporeal.	Therefore, every creature is corporeal.	true	182.78	185.26	24.72935
3009_10327_000011_000003	Now angels are God's creatures, as appears from Ps. 148:2: "Praise ye" the Lord, "all His angels"; and, farther on (verse 4), "For He spoke, and they were made; He commanded, and they were created." Therefore angels are corporeal.	Now angels are God's creatures, as appears from p's. one hundred forty eight to two: "Praise ye" the Lord, "all His angels"; and, farther on (verse four), "For He spoke, and they were made; He commanded, and they were created." Therefore angels are corporeal.	false	185.48	201.72	23
3009_10327_000012_000000	_On the contrary,_ It is said (Ps. 103:4): "Who makes His angels spirits."	underscore On the contrary,underscore It is said (p's. one hundred three to four): "Who makes His angels spirits."	false	201.72	207.87	20.887602
