192_128345_000009_000000	XII. Darkness	twelve. Darkness
192_128345_000010_000000	Sydney Carton paused in the street, not quite decided where to go.	Sydney Carton paused in the street, not quite decided where to go.
192_128345_000010_000001	"At Tellson's banking-house at nine," he said, with a musing face.	"At Tellson's banking house at nine," he said, with a musing face.
192_128345_000010_000002	"Shall I do well, in the mean time, to show myself?	"Shall I do well, in the mean time, to show myself?
192_128345_000010_000003	I think so.	I think so.
192_128345_000010_000005	But care, care, care! Let me think it out!"	But care, care, care! Let me think it out!"
192_128345_000011_000000	Checking his steps which had begun to tend towards an object, he took a turn or two in the already darkening street, and traced the thought in his mind to its possible consequences.	Checking his steps which had begun to tend towards an object, he took a turn or two in the already darkening street, and traced the thought in his mind to its possible consequences.
192_128345_000011_000001	His first impression was confirmed.	His first impression was confirmed.
192_128345_000012_000000	Defarge had described himself, that day, as the keeper of a wine-shop in the Saint Antoine suburb.	Defarge had described himself, that day, as the keeper of a wine shop in the Saint Antoine suburb.
192_128345_000012_000001	It was not difficult for one who knew the city well, to find his house without asking any question.	It was not difficult for one who knew the city well, to find his house without asking any question.
192_128345_000012_000002	Having ascertained its situation, Carton came out of those closer streets again, and dined at a place of refreshment and fell sound asleep after dinner.	Having ascertained its situation, Carton came out of those closer streets again, and dined at a place of refreshment and fell sound asleep after dinner.
192_128345_000013_000000	It was as late as seven o'clock when he awoke refreshed, and went out into the streets again.	It was as late as seven o'clock when he awoke refreshed, and went out into the streets again.
192_128345_000013_000001	As he passed along towards Saint Antoine, he stopped at a shop-window where there was a mirror, and slightly altered the disordered arrangement of his loose cravat, and his coat-collar, and his wild hair.	As he passed along towards Saint Antoine, he stopped at a shop window where there was a mirror, and slightly altered the disordered arrangement of his loose cravat, and his coat collar, and his wild hair.
192_128345_000013_000002	This done, he went on direct to Defarge's, and went in.	This done, he went on direct to Defarge's, and went in.
192_128345_000014_000000	There happened to be no customer in the shop but Jacques Three, of the restless fingers and the croaking voice.	There happened to be no customer in the shop but Jacques Three, of the restless fingers and the croaking voice.
192_128345_000015_000000	As Carton walked in, took his seat and asked (in very indifferent French) for a small measure of wine, Madame Defarge cast a careless glance at him, and then a keener, and then a keener, and then advanced to him herself, and asked him what it was he had ordered.	As Carton walked in, took his seat and asked (in very indifferent French) for a small measure of wine, Madame Defarge cast a careless glance at him, and then a keener, and then a keener, and then advanced to him herself, and asked him what it was he had ordered.
192_128345_000017_000000	"English?" asked Madame Defarge, inquisitively raising her dark eyebrows.	"English?" asked Madame Defarge, inquisitively raising her dark eyebrows.
192_128345_000018_000000	After looking at her, as if the sound of even a single French word were slow to express itself to him, he answered, in his former strong foreign accent.	After looking at her, as if the sound of even a single French word were slow to express itself to him, he answered, in his former strong foreign accent.
192_128345_000018_000002	I am English!"	I am English!"
192_128345_000019_000000	Madame Defarge returned to her counter to get the wine, and, as he took up a Jacobin journal and feigned to pore over it puzzling out its meaning, he heard her say, "I swear to you, like Evremonde!"	Madame Defarge returned to her counter to get the wine, and, as he took up a Jacobin journal and feigned to pore over it puzzling out its meaning, he heard her say, "I swear to you, like Evremonde!"
192_128345_000020_000000	Defarge brought him the wine, and gave him Good Evening.	Defarge brought him the wine, and gave him Good Evening.
192_128345_000021_000000	"How?"	"How?"
192_128345_000022_000000	"Good evening."	"Good evening."
192_128345_000023_000000	"Oh!	"Oh!
192_128345_000023_000001	Good evening, citizen," filling his glass.	Good evening, citizen," filling his glass.
192_128345_000023_000002	"Ah! and good wine.	"Ah! and good wine.
192_128345_000023_000003	I drink to the Republic."	I drink to the Republic."
192_128345_000026_000001	"Why stop?	"Why stop?
192_128345_000026_000002	There is great force in that.	There is great force in that.
192_128345_000027_000000	"Well, well," reasoned Defarge, "but one must stop somewhere.	"Well, well," reasoned Defarge, "but one must stop somewhere.
192_128345_000027_000001	After all, the question is still where?"	After all, the question is still where?"
192_128345_000029_000000	"Magnificent!" croaked Jacques Three.	"Magnificent!" croaked Jacques Three.
192_128345_000029_000001	The Vengeance, also, highly approved.	The Vengeance, also, highly approved.
192_128345_000030_000001	But this Doctor has suffered much; you have seen him to-day; you have observed his face when the paper was read."	But this Doctor has suffered much; you have seen him to day; you have observed his face when the paper was read."
192_128345_000031_000002	I have observed his face to be not the face of a true friend of the Republic.	I have observed his face to be not the face of a true friend of the Republic.
192_128345_000031_000003	Let him take care of his face!"	Let him take care of his face!"
192_128345_000033_000001	I have observed her to-day, and I have observed her other days.	I have observed her to day, and I have observed her other days.
192_128345_000033_000002	I have observed her in the court, and I have observed her in the street by the prison.	I have observed her in the court, and I have observed her in the street by the prison.
192_128345_000033_000003	Let me but lift my finger--!" She seemed to raise it (the listener's eyes were always on his paper), and to let it fall with a rattle on the ledge before her, as if the axe had dropped.	Let me but lift my finger-!" She seemed to raise it (the listener's eyes were always on his paper), and to let it fall with a rattle on the ledge before her, as if the axe had dropped.
192_128345_000035_000000	"She is an Angel!" said The Vengeance, and embraced her.	"She is an Angel!" said The Vengeance, and embraced her.
192_128345_000037_000001	"Not if to lift this glass would do it!	"Not if to lift this glass would do it!
192_128345_000037_000003	I say, stop there."	I say, stop there."
192_128345_000038_000001	Listen!	Listen!
192_128345_000038_000003	Ask my husband, is that so."	Ask my husband, is that so."
192_128345_000040_000000	"In the beginning of the great days, when the Bastille falls, he finds this paper of to-day, and he brings it home, and in the middle of the night when this place is clear and shut, we read it, here on this spot, by the light of this lamp.	"In the beginning of the great days, when the Bastille falls, he finds this paper of to day, and he brings it home, and in the middle of the night when this place is clear and shut, we read it, here on this spot, by the light of this lamp.
192_128345_000042_000000	"That night, I tell him, when the paper is read through, and the lamp is burnt out, and the day is gleaming in above those shutters and between those iron bars, that I have now a secret to communicate.	"That night, I tell him, when the paper is read through, and the lamp is burnt out, and the day is gleaming in above those shutters and between those iron bars, that I have now a secret to communicate.
192_128345_000042_000001	Ask him, is that so."	Ask him, is that so."
192_128345_000044_000000	"I communicate to him that secret.	"I communicate to him that secret.
192_128345_000045_000000	"It is so," assented Defarge once more.	"It is so," assented Defarge once more.
192_128345_000046_000000	"Then tell Wind and Fire where to stop," returned madame; "but don't tell me."	"Then tell Wind and Fire where to stop," returned madame; "but don't tell me."
192_128345_000047_000000	Both her hearers derived a horrible enjoyment from the deadly nature of her wrath--the listener could feel how white she was, without seeing her--and both highly commended it.	Both her hearers derived a horrible enjoyment from the deadly nature of her wrath-the listener could feel how white she was, without seeing her-and both highly commended it.
192_128345_000047_000001	Defarge, a weak minority, interposed a few words for the memory of the compassionate wife of the Marquis; but only elicited from his own wife a repetition of her last reply.	Defarge, a weak minority, interposed a few words for the memory of the compassionate wife of the Marquis; but only elicited from his own wife a repetition of her last reply.
192_128345_000047_000002	"Tell the Wind and the Fire where to stop; not me!"	"Tell the Wind and the Fire where to stop; not me!"
192_128345_000048_000001	The English customer paid for what he had had, perplexedly counted his change, and asked, as a stranger, to be directed towards the National Palace.	The English customer paid for what he had had, perplexedly counted his change, and asked, as a stranger, to be directed towards the National Palace.
192_128345_000048_000002	Madame Defarge took him to the door, and put her arm on his, in pointing out the road. The English customer was not without his reflections then, that it might be a good deed to seize that arm, lift it, and strike under it sharp and deep.	Madame Defarge took him to the door, and put her arm on his, in pointing out the road. The English customer was not without his reflections then, that it might be a good deed to seize that arm, lift it, and strike under it sharp and deep.
192_128345_000049_000000	But, he went his way, and was soon swallowed up in the shadow of the prison wall.	But, he went his way, and was soon swallowed up in the shadow of the prison wall.
192_128345_000049_000002	He said he had been with Lucie until just now, and had only left her for a few minutes, to come and keep his appointment.	He said he had been with Lucie until just now, and had only left her for a few minutes, to come and keep his appointment.
192_128345_000049_000003	Her father had not been seen, since he quitted the banking-house towards four o'clock.	Her father had not been seen, since he quitted the banking house towards four o'clock.
192_128345_000049_000005	He had been more than five hours gone: where could he be?	He had been more than five hours gone: where could he be?
192_128345_000051_000000	He waited and waited, and the clock struck twelve; but Doctor Manette did not come back.	He waited and waited, and the clock struck twelve; but Doctor Manette did not come back.
192_128345_000051_000002	Where could he be?	Where could he be?
192_128345_000052_000001	The instant he entered the room, it was plain that all was lost.	The instant he entered the room, it was plain that all was lost.
192_128345_000053_000001	As he stood staring at them, they asked him no question, for his face told them everything.	As he stood staring at them, they asked him no question, for his face told them everything.
192_128345_000054_000000	"I cannot find it," said he, "and I must have it.	"I cannot find it," said he, "and I must have it.
192_128345_000054_000001	Where is it?"	Where is it?"
192_128345_000056_000001	I have been looking everywhere for my bench, and I can't find it.	I have been looking everywhere for my bench, and I can't find it.
192_128345_000056_000002	What have they done with my work?	What have they done with my work?
192_128345_000057_000000	They looked at one another, and their hearts died within them.	They looked at one another, and their hearts died within them.
192_128345_000059_000000	Receiving no answer, he tore his hair, and beat his feet upon the ground, like a distracted child.	Receiving no answer, he tore his hair, and beat his feet upon the ground, like a distracted child.
192_128345_000060_000000	"Don't torture a poor forlorn wretch," he implored them, with a dreadful cry; "but give me my work!	"Don't torture a poor forlorn wretch," he implored them, with a dreadful cry; "but give me my work!
192_128345_000062_000000	It was so clearly beyond hope to reason with him, or try to restore him, that--as if by agreement--they each put a hand upon his shoulder, and soothed him to sit down before the fire, with a promise that he should have his work presently.	It was so clearly beyond hope to reason with him, or try to restore him, that-as if by agreement-they each put a hand upon his shoulder, and soothed him to sit down before the fire, with a promise that he should have his work presently.
