192_128345_000000_000000	"I have no hope," said Mr. Lorry, in a low and sorrowful whisper.	"I have no hope," said mr Lorry, in a low and sorrowful whisper.	false	0	1.56	19.554867
192_128345_000001_000000	"Nor have I."	"Nor have i"	false	1.56	1.74	-2
192_128345_000002_000000	"If any one of these men, or all of these men, were disposed to spare him--which is a large supposition; for what is his life, or any man's to them!--I doubt if they durst spare him after the demonstration in the court."	"If any one of these men, or all of these men, were disposed to spare him-which is a large supposition; for what is his life, or any man's to them!--I doubt if they durst spare him after the demonstration in the court."	false	1.74	4.8	20.214342
192_128345_000003_000000	"And so do I. I heard the fall of the axe in that sound."	"And so do i I heard the fall of the axe in that sound."	false	4.8	7.11	26.487394
192_128345_000004_000000	Mr. Lorry leaned his arm upon the door-post, and bowed his face upon it.	mr Lorry leaned his arm upon the door post, and bowed his face upon it.	false	7.11	8.94	13
192_128345_000005_000000	"Don't despond," said Carton, very gently; "don't grieve.	"Don't despond," said Carton, very gently; "don't grieve.	false	8.94	11.4	20.723133
192_128345_000005_000001	I encouraged Doctor Manette in this idea, because I felt that it might one day be consolatory to her.	I encouraged Doctor Manette in this idea, because I felt that it might one day be consolatory to her.	false	11.4	16.89	22.068666
192_128345_000005_000002	Otherwise, she might think 'his life was wantonly thrown away or wasted,' and that might trouble her."	Otherwise, she might think 'his life was wantonly thrown away or wasted,' and that might trouble her."	false	16.89	17.97	23.037138
192_128345_000006_000000	"Yes, yes, yes," returned Mr. Lorry, drying his eyes, "you are right. But he will perish; there is no real hope."	"Yes, yes, yes," returned mr Lorry, drying his eyes, "you are right. But he will perish; there is no real hope."	false	17.97	19.32	25.982437
192_128345_000007_000000	"Yes.	"Yes.	false	19.32	19.38	19
192_128345_000007_000001	He will perish: there is no real hope," echoed Carton.	He will perish: there is no real hope," echoed Carton.	false	19.38	20.01	19
192_128345_000008_000000	And walked with a settled step, down-stairs.	And walked with a settled step, down stairs.	false	20.01	20.55	18.762955
192_128345_000009_000000	XII. Darkness	twelve. Darkness	true	20.55	22.21	21.222874
192_128345_000010_000000	Sydney Carton paused in the street, not quite decided where to go.	Sydney Carton paused in the street, not quite decided where to go.	true	23.06	27.01	24
192_128345_000010_000001	"At Tellson's banking-house at nine," he said, with a musing face.	"At Tellson's banking house at nine," he said, with a musing face.	true	27.26	32.05	21.924711
192_128345_000010_000002	"Shall I do well, in the mean time, to show myself?	"Shall I do well, in the mean time, to show myself?	true	33.59	36.55	20.635176
192_128345_000010_000003	I think so.	I think so.	true	36.65	37.69	22.536688
192_128345_000010_000004	It is best that these people should know there is such a man as I here; it is a sound precaution, and may be a necessary preparation.	It is best that these people should know there is such a man as I here; it is a sound precaution, and may be a necessary preparation.	false	38.54	47.05	19.611702
192_128345_000010_000005	But care, care, care! Let me think it out!"	But care, care, care! Let me think it out!"	true	47.21	51.58	20.904024
192_128345_000011_000000	Checking his steps which had begun to tend towards an object, he took a turn or two in the already darkening street, and traced the thought in his mind to its possible consequences.	Checking his steps which had begun to tend towards an object, he took a turn or two in the already darkening street, and traced the thought in his mind to its possible consequences.	true	52.61	62.89	22.924784
192_128345_000011_000001	His first impression was confirmed.	His first impression was confirmed.	true	63.41	65.64	22.559858
192_128345_000011_000002	"It is best," he said, finally resolved, "that these people should know there is such a man as I here." And he turned his face towards Saint Antoine.	"It is best," he said, finally resolved, "that these people should know there is such a man as I here." And he turned his face towards Saint Antoine.	false	65.64	75.24	20.27412
192_128345_000012_000000	Defarge had described himself, that day, as the keeper of a wine-shop in the Saint Antoine suburb.	Defarge had described himself, that day, as the keeper of a wine shop in the Saint Antoine suburb.	true	75.24	81.28	21.145687
192_128345_000012_000001	It was not difficult for one who knew the city well, to find his house without asking any question.	It was not difficult for one who knew the city well, to find his house without asking any question.	true	81.62	87.07	22
192_128345_000012_000002	Having ascertained its situation, Carton came out of those closer streets again, and dined at a place of refreshment and fell sound asleep after dinner.	Having ascertained its situation, Carton came out of those closer streets again, and dined at a place of refreshment and fell sound asleep after dinner.	true	87.38	96.46	20.940207
192_128345_000012_000003	For the first time in many years, he had no strong drink.	For the first time in many years, he had no strong drink.	true	97.34	100.63	18.253687
192_128345_000012_000004	Since last night he had taken nothing but a little light thin wine, and last night he had dropped the brandy slowly down on Mr. Lorry's hearth like a man who had done with it.	Since last night he had taken nothing but a little light thin wine, and last night he had dropped the brandy slowly down on mr Lorry's hearth like a man who had done with it.	false	100.85	110.8	21.335518
192_128345_000013_000000	It was as late as seven o'clock when he awoke refreshed, and went out into the streets again.	It was as late as seven o'clock when he awoke refreshed, and went out into the streets again.	true	111.14	116.475	20.123232
192_128345_000013_000001	As he passed along towards Saint Antoine, he stopped at a shop-window where there was a mirror, and slightly altered the disordered arrangement of his loose cravat, and his coat-collar, and his wild hair.	As he passed along towards Saint Antoine, he stopped at a shop window where there was a mirror, and slightly altered the disordered arrangement of his loose cravat, and his coat collar, and his wild hair.	true	116.475	128.43	20
192_128345_000013_000002	This done, he went on direct to Defarge's, and went in.	This done, he went on direct to Defarge's, and went in.	true	128.43	132.16	22.190798
192_128345_000014_000000	There happened to be no customer in the shop but Jacques Three, of the restless fingers and the croaking voice.	There happened to be no customer in the shop but Jacques Three, of the restless fingers and the croaking voice.	true	132.65	138.85	22.831425
192_128345_000014_000001	This man, whom he had seen upon the Jury, stood drinking at the little counter, in conversation with the Defarges, man and wife.	This man, whom he had seen upon the Jury, stood drinking at the little counter, in conversation with the Defarges, man and wife.	false	139.31	147.34	21.922745
192_128345_000014_000002	The Vengeance assisted in the conversation, like a regular member of the establishment.	The Vengeance assisted in the conversation, like a regular member of the establishment.	true	147.47	152.05	18
192_128345_000015_000000	As Carton walked in, took his seat and asked (in very indifferent French) for a small measure of wine, Madame Defarge cast a careless glance at him, and then a keener, and then a keener, and then advanced to him herself, and asked him what it was he had ordered.	As Carton walked in, took his seat and asked (in very indifferent French) for a small measure of wine, Madame Defarge cast a careless glance at him, and then a keener, and then a keener, and then advanced to him herself, and asked him what it was he had ordered.	true	152.51	170.14	21.798061
192_128345_000016_000000	He repeated what he had already said.	He repeated what he had already said.	true	170.51	172.87	19.524307
192_128345_000017_000000	"English?" asked Madame Defarge, inquisitively raising her dark eyebrows.	"English?" asked Madame Defarge, inquisitively raising her dark eyebrows.	true	173.48	178.45	22.851122
192_128345_000018_000000	After looking at her, as if the sound of even a single French word were slow to express itself to him, he answered, in his former strong foreign accent.	After looking at her, as if the sound of even a single French word were slow to express itself to him, he answered, in his former strong foreign accent.	true	180.17	190.63	21.415915
192_128345_000018_000001	"Yes, madame, yes.	"Yes, madame, yes.	true	190.85	192.375	17.944643
192_128345_000018_000002	I am English!"	I am English!"	true	192.375	193.84	21.336212
192_128345_000019_000000	Madame Defarge returned to her counter to get the wine, and, as he took up a Jacobin journal and feigned to pore over it puzzling out its meaning, he heard her say, "I swear to you, like Evremonde!"	Madame Defarge returned to her counter to get the wine, and, as he took up a Jacobin journal and feigned to pore over it puzzling out its meaning, he heard her say, "I swear to you, like Evremonde!"	true	194.33	207.97	21.950134
192_128345_000020_000000	Defarge brought him the wine, and gave him Good Evening.	Defarge brought him the wine, and gave him Good Evening.	true	208.43	211.3	20.780878
192_128345_000021_000000	"How?"	"How?"	true	211.79	212.74	30.286352
192_128345_000022_000000	"Good evening."	"Good evening."	true	213.08	214.03	22.080236
192_128345_000023_000000	"Oh!	"Oh!	true	214.22	214.905	21.542154
192_128345_000023_000001	Good evening, citizen," filling his glass.	Good evening, citizen," filling his glass.	true	214.905	217.69	20.188545
192_128345_000023_000002	"Ah! and good wine.	"Ah! and good wine.	true	217.85	219.49	23.233547
192_128345_000023_000003	I drink to the Republic."	I drink to the Republic."	true	219.68	221.47	23.270855
192_128345_000024_000000	Defarge went back to the counter, and said, "Certainly, a little like." Madame sternly retorted, "I tell you a good deal like." Jacques Three pacifically remarked, "He is so much in your mind, see you, madame." The amiable Vengeance added, with a laugh, "Yes, my faith!	Defarge went back to the counter, and said, "Certainly, a little like." Madame sternly retorted, "I tell you a good deal like." Jacques Three pacifically remarked, "He is so much in your mind, see you, madame." The amiable Vengeance added, with a laugh, "Yes, my faith!	false	221.78	240.765	19.436775
192_128345_000024_000001	And you are looking forward with so much pleasure to seeing him once more to-morrow!"	And you are looking forward with so much pleasure to seeing him once more to morrow!"	false	240.765	245.8	22.794134
192_128345_000025_000000	Carton followed the lines and words of his paper, with a slow forefinger, and with a studious and absorbed face.	Carton followed the lines and words of his paper, with a slow forefinger, and with a studious and absorbed face.	true	246.41	252.85	17
192_128345_000025_000001	They were all leaning their arms on the counter close together, speaking low.	They were all leaning their arms on the counter close together, speaking low.	true	253.28	257.08	14.839903
192_128345_000025_000002	After a silence of a few moments, during which they all looked towards him without disturbing his outward attention from the Jacobin editor, they resumed their conversation.	After a silence of a few moments, during which they all looked towards him without disturbing his outward attention from the Jacobin editor, they resumed their conversation.	true	257.54	267.03	19
192_128345_000026_000000	"It is true what madame says," observed Jacques Three.	"It is true what madame says," observed Jacques Three.	false	267.03	268.02	-20
192_128345_000026_000001	"Why stop?	"Why stop?	true	268.02	269.2	22.730854
192_128345_000026_000002	There is great force in that.	There is great force in that.	true	269.63	271.2	22
192_128345_000026_000003	Why stop?"	Why stop?"	true	271.2	271.965	13
192_128345_000027_000000	"Well, well," reasoned Defarge, "but one must stop somewhere.	"Well, well," reasoned Defarge, "but one must stop somewhere.	true	271.965	276.64	23.262028
192_128345_000027_000001	After all, the question is still where?"	After all, the question is still where?"	true	277.19	279.67	20
192_128345_000028_000000	"At extermination," said madame.	"At extermination," said madame.	true	280.1	282.28	19.994425
192_128345_000029_000000	"Magnificent!" croaked Jacques Three.	"Magnificent!" croaked Jacques Three.	true	282.77	285.19	20.16103
192_128345_000029_000001	The Vengeance, also, highly approved.	The Vengeance, also, highly approved.	true	285.44	288.34	21.663904
192_128345_000030_000000	"Extermination is good doctrine, my wife," said Defarge, rather troubled; "in general, I say nothing against it.	"Extermination is good doctrine, my wife," said Defarge, rather troubled; "in general, I say nothing against it.	true	289.34	295.75	18.143568
