8396_240992_000000_000001	THE RESURRECTION.	THE RESURRECTION.
8396_240992_000001_000001	If he was one with the Father, the question cannot be argued, seeing that Jesus apart from the Father is not a conceivable idea.	If he was one with the Father, the question cannot be argued, seeing that Jesus apart from the Father is not a conceivable idea.
8396_240992_000002_000001	All knew that the Lord had risen indeed: what matter whether some of them saw one or two angels in the tomb?	All knew that the Lord had risen indeed: what matter whether some of them saw one or two angels in the tomb?
8396_240992_000002_000002	The first who came saw one angel outside and another inside the sepulchre.	The first who came saw one angel outside and another inside the sepulchre.
8396_240992_000002_000003	One at a different time saw two inside.	One at a different time saw two inside.
8396_240992_000002_000004	What wonder then that one of the records should say of them all, that they saw two angels?	What wonder then that one of the records should say of them all, that they saw two angels?
8396_240992_000002_000005	I do not care to set myself to the reconciliation of the differing reports.	I do not care to set myself to the reconciliation of the differing reports.
8396_240992_000002_000006	Their trifling disagreement is to me even valuable from its truth to our human nature.	Their trifling disagreement is to me even valuable from its truth to our human nature.
8396_240992_000002_000007	All I care to do is to suggest to any one anxious to understand the records the following arrangement of facts.	All I care to do is to suggest to any one anxious to understand the records the following arrangement of facts.
8396_240992_000002_000009	Perhaps something might yet be done to rescue the precious form, and lay it aside with all futile honours.	Perhaps something might yet be done to rescue the precious form, and lay it aside with all futile honours.
8396_240992_000002_000010	With Peter and John she returned to the grave, whence, in the mean time, her former companions, having seen and conversed with the angel outside and the angel inside, had departed to find their friends.	With peter and john she returned to the grave, whence, in the mean time, her former companions, having seen and conversed with the angel outside and the angel inside, had departed to find their friends.
8396_240992_000002_000012	As she wept, she stooped down into the sepulchre.	As she wept, she stooped down into the sepulchre.
8396_240992_000002_000015	It is a lovely story that follows, full of marvel, as how should it not be?	It is a lovely story that follows, full of marvel, as how should it not be?
8396_240992_000003_000000	"Woman, why weepest thou?" said the angels.	"Woman, why weepest thou?" said the angels.
8396_240992_000004_000000	"Because they have taken away my Lord, and I know not where they have laid him," answered Mary, and turning away, tear-blinded, saw the gardener, as she thought.	"Because they have taken away my Lord, and I know not where they have laid him," answered Mary, and turning away, tear blinded, saw the gardener, as she thought.
8396_240992_000005_000000	"Woman, why weepest thou?" repeats the gardener.	"Woman, why weepest thou?" repeats the gardener.
8396_240992_000006_000000	"Whom seekest thou?"	"Whom seekest thou?"
