205_123882_000001_000000	TWELVE.	TWELVE.
205_123882_000001_000002	The Train to Mariposa	The Train to Mariposa
205_123882_000002_000000	It leaves the city every day about five o'clock in the evening, the train for Mariposa.	It leaves the city every day about five o'clock in the evening, the train for Mariposa.
205_123882_000003_000000	Strange that you did not know of it, though you come from the little town--or did, long years ago.	Strange that you did not know of it, though you come from the little town-or did, long years ago.
205_123882_000004_000000	Odd that you never knew, in all these years, that the train was there every afternoon, puffing up steam in the city station, and that you might have boarded it any day and gone home.	Odd that you never knew, in all these years, that the train was there every afternoon, puffing up steam in the city station, and that you might have boarded it any day and gone home.
205_123882_000005_000000	But of course "home" would hardly be the word you would apply to the little town, unless perhaps, late at night, when you'd been sitting reading in a quiet corner somewhere such a book as the present one.	But of course "home" would hardly be the word you would apply to the little town, unless perhaps, late at night, when you'd been sitting reading in a quiet corner somewhere such a book as the present one.
205_123882_000006_000000	Naturally you don't know of the Mariposa train now.	Naturally you don't know of the Mariposa train now.
205_123882_000006_000001	Years ago, when you first came to the city as a boy with your way to make, you knew of it well enough, only too well.	Years ago, when you first came to the city as a boy with your way to make, you knew of it well enough, only too well.
205_123882_000006_000002	The price of a ticket counted in those days, and though you knew of the train you couldn't take it, but sometimes from sheer homesickness you used to wander down to the station on a Friday afternoon after your work, and watch the Mariposa people getting on the train and wish that you could go.	The price of a ticket counted in those days, and though you knew of the train you couldn't take it, but sometimes from sheer homesickness you used to wander down to the station on a Friday afternoon after your work, and watch the Mariposa people getting on the train and wish that you could go.
205_123882_000010_000000	But if you have half forgotten Mariposa, and long since lost the way to it, you are only like the greater part of the men here in this Mausoleum Club in the city.	But if you have half forgotten Mariposa, and long since lost the way to it, you are only like the greater part of the men here in this Mausoleum Club in the city.
205_123882_000011_000000	They all do.	They all do.
205_123882_000011_000001	Only they're half ashamed to own it.	Only they're half ashamed to own it.
205_123882_000012_000001	Ask him if he ever tasted duck that could for a moment be compared to the black ducks in the rice marsh along the Ossawippi.	Ask him if he ever tasted duck that could for a moment be compared to the black ducks in the rice marsh along the Ossawippi.
205_123882_000013_000000	But no wonder they don't know about the five o'clock train for Mariposa. Very few people know about it.	But no wonder they don't know about the five o'clock train for Mariposa. Very few people know about it.
205_123882_000013_000001	Hundreds of them know that there is a train that goes out at five o'clock, but they mistake it.	Hundreds of them know that there is a train that goes out at five o'clock, but they mistake it.
205_123882_000013_000002	Ever so many of them think it's just a suburban train.	Ever so many of them think it's just a suburban train.
205_123882_000013_000003	Lots of people that take it every day think it's only the train to the golf grounds, but the joke is that after it passes out of the city and the suburbs and the golf grounds, it turns itself little by little into the Mariposa train, thundering and pounding towards the north with hemlock sparks pouring out into the darkness from the funnel of it.	Lots of people that take it every day think it's only the train to the golf grounds, but the joke is that after it passes out of the city and the suburbs and the golf grounds, it turns itself little by little into the Mariposa train, thundering and pounding towards the north with hemlock sparks pouring out into the darkness from the funnel of it.
205_123882_000014_000000	Of course you can't tell it just at first.	Of course you can't tell it just at first.
205_123882_000014_000001	All those people that are crowding into it with golf clubs, and wearing knickerbockers and flat caps, would deceive anybody.	All those people that are crowding into it with golf clubs, and wearing knickerbockers and flat caps, would deceive anybody.
205_123882_000014_000002	That crowd of suburban people going home on commutation tickets and sometimes standing thick in the aisles, those are, of course, not Mariposa people.	That crowd of suburban people going home on commutation tickets and sometimes standing thick in the aisles, those are, of course, not Mariposa people.
205_123882_000014_000004	Here and there in the crowd those people with the clothes that are perfectly all right and yet look odd in some way, the women with the peculiar hats and the--what do you say?--last year's fashions?	Here and there in the crowd those people with the clothes that are perfectly all right and yet look odd in some way, the women with the peculiar hats and the-what do you say?--last year's fashions?
205_123882_000014_000005	Ah yes, of course, that must be it.	Ah yes, of course, that must be it.
205_123882_000015_000001	That man with the two-dollar panama and the glaring spectacles is one of the greatest judges that ever adorned the bench of Missinaba County.	That man with the two dollar panama and the glaring spectacles is one of the greatest judges that ever adorned the bench of Missinaba County.
205_123882_000015_000002	That clerical gentleman with the wide black hat, who is explaining to the man with him the marvellous mechanism of the new air brake (one of the most conspicuous illustrations of the divine structure of the physical universe), surely you have seen him before.	That clerical gentleman with the wide black hat, who is explaining to the man with him the marvellous mechanism of the new air brake (one of the most conspicuous illustrations of the divine structure of the physical universe), surely you have seen him before.
205_123882_000015_000003	Mariposa people!	Mariposa people!
205_123882_000015_000004	Oh yes, there are any number of them on the train every day.	Oh yes, there are any number of them on the train every day.
205_123882_000016_000000	But of course you hardly recognize them while the train is still passing through the suburbs and the golf district and the outlying parts of the city area.	But of course you hardly recognize them while the train is still passing through the suburbs and the golf district and the outlying parts of the city area.
205_123882_000016_000001	But wait a little, and you will see that when the city is well behind you, bit by bit the train changes its character.	But wait a little, and you will see that when the city is well behind you, bit by bit the train changes its character.
205_123882_000016_000003	I suppose, very probably, you haven't seen one of these wood engines since you were a boy forty years ago,--the old engine with a wide top like a hat on its funnel, and with sparks enough to light up a suit for damages once in every mile.	I suppose, very probably, you haven't seen one of these wood engines since you were a boy forty years ago,--the old engine with a wide top like a hat on its funnel, and with sparks enough to light up a suit for damages once in every mile.
205_123882_000017_000001	The stove is burning furiously at its sticks this autumn evening, for the air sets in chill as you get clear away from the city and are rising up to the higher ground of the country of the pines and the lakes.	The stove is burning furiously at its sticks this autumn evening, for the air sets in chill as you get clear away from the city and are rising up to the higher ground of the country of the pines and the lakes.
205_123882_000018_000000	Look from the window as you go.	Look from the window as you go.
205_123882_000018_000002	There is a dull red light from the windows of the farmstead.	There is a dull red light from the windows of the farmstead.
205_123882_000018_000003	It must be comfortable there after the roar and clatter of the city, and only think of the still quiet of it.	It must be comfortable there after the roar and clatter of the city, and only think of the still quiet of it.
205_123882_000019_000000	As you sit back half dreaming in the car, you keep wondering why it is that you never came up before in all these years.	As you sit back half dreaming in the car, you keep wondering why it is that you never came up before in all these years.
205_123882_000020_000000	It is almost night now.	It is almost night now.
205_123882_000022_000000	This is Lake Ossawippi surely enough.	This is Lake Ossawippi surely enough.
205_123882_000022_000001	You would know it anywhere by the broad, still, black water with hardly a ripple, and with the grip of the coming frost already on it.	You would know it anywhere by the broad, still, black water with hardly a ripple, and with the grip of the coming frost already on it.
205_123882_000022_000002	Such a great sheet of blackness it looks as the train thunders along the side, swinging the curve of the embankment at a breakneck speed as it rounds the corner of the lake.	Such a great sheet of blackness it looks as the train thunders along the side, swinging the curve of the embankment at a breakneck speed as it rounds the corner of the lake.
205_123882_000023_000003	Don't tell me that the speed is only twenty-five miles an hour.	Don't tell me that the speed is only twenty five miles an hour.
205_123882_000023_000004	I don't care what it is.	I don't care what it is.
205_123882_000024_000000	Yes, and the best too,--the most comfortable, the most reliable, the most luxurious and the speediest train that ever turned a wheel.	Yes, and the best too,--the most comfortable, the most reliable, the most luxurious and the speediest train that ever turned a wheel.
205_123882_000025_000003	They are talking,--listen,--of the harvest, and the late election, and of how the local member is mentioned for the cabinet and all the old familiar topics of the sort.	They are talking,--listen,--of the harvest, and the late election, and of how the local member is mentioned for the cabinet and all the old familiar topics of the sort.
205_123882_000026_000000	What is it now--nine thirty?	What is it now-nine thirty?
205_123882_000026_000001	Ah, then we must be nearing the town,--this big bush that we are passing through, you remember it surely as the great swamp just this side of the bridge over the Ossawippi?	Ah, then we must be nearing the town,--this big bush that we are passing through, you remember it surely as the great swamp just this side of the bridge over the Ossawippi?
205_123882_000026_000003	Hear the clatter as we pass the semaphores and switch lights!	Hear the clatter as we pass the semaphores and switch lights!
205_123882_000026_000004	We must be close in now!	We must be close in now!
205_123882_000027_000001	It must indeed.	It must indeed.
