205_123882_000000_000000	Mr. Smith, of course, said nothing.	mr Smith, of course, said nothing.	false	0	2.94	18.62765
205_123882_000000_000001	He didn't have to,--not for four years,--and he knew it.	He didn't have to,--not for four years,--and he knew it.	false	2.94	16.74	21.825487
205_123882_000001_000000	TWELVE.	TWELVE.	true	16.74	17.46	23.198826
205_123882_000001_000001	L'Envoi.	L'Envoi.	false	17.46	20.49	18.398954
205_123882_000001_000002	The Train to Mariposa	The Train to Mariposa	true	20.49	22.27	24.834393
205_123882_000002_000000	It leaves the city every day about five o'clock in the evening, the train for Mariposa.	It leaves the city every day about five o'clock in the evening, the train for Mariposa.	true	23.87	29.2	22.481861
205_123882_000003_000000	Strange that you did not know of it, though you come from the little town--or did, long years ago.	Strange that you did not know of it, though you come from the little town-or did, long years ago.	true	29.75	35.53	21.071226
205_123882_000004_000000	Odd that you never knew, in all these years, that the train was there every afternoon, puffing up steam in the city station, and that you might have boarded it any day and gone home.	Odd that you never knew, in all these years, that the train was there every afternoon, puffing up steam in the city station, and that you might have boarded it any day and gone home.	true	36.14	46.63	20.154535
205_123882_000004_000001	No, not "home,"--of course you couldn't call it "home" now; "home" means that big red sandstone house of yours in the costlier part of the city.	No, not "home,"--of course you couldn't call it "home" now; "home" means that big red sandstone house of yours in the costlier part of the city.	true	47.03	55.485	19.533684
205_123882_000004_000002	"Home" means, in a way, this Mausoleum Club where you sometimes talk with me of the times that you had as a boy in Mariposa.	"Home" means, in a way, this Mausoleum Club where you sometimes talk with me of the times that you had as a boy in Mariposa.	false	55.485	62.65	21.472183
205_123882_000005_000000	But of course "home" would hardly be the word you would apply to the little town, unless perhaps, late at night, when you'd been sitting reading in a quiet corner somewhere such a book as the present one.	But of course "home" would hardly be the word you would apply to the little town, unless perhaps, late at night, when you'd been sitting reading in a quiet corner somewhere such a book as the present one.	true	62.87	74.14	22.367693
205_123882_000006_000000	Naturally you don't know of the Mariposa train now.	Naturally you don't know of the Mariposa train now.	true	74.27	77.41	22.255697
205_123882_000006_000001	Years ago, when you first came to the city as a boy with your way to make, you knew of it well enough, only too well.	Years ago, when you first came to the city as a boy with your way to make, you knew of it well enough, only too well.	true	77.78	84.1	20.492943
205_123882_000006_000002	The price of a ticket counted in those days, and though you knew of the train you couldn't take it, but sometimes from sheer homesickness you used to wander down to the station on a Friday afternoon after your work, and watch the Mariposa people getting on the train and wish that you could go.	The price of a ticket counted in those days, and though you knew of the train you couldn't take it, but sometimes from sheer homesickness you used to wander down to the station on a Friday afternoon after your work, and watch the Mariposa people getting on the train and wish that you could go.	true	84.53	100.87	22
205_123882_000007_000000	Why, you knew that train at one time better, I suppose, than any other single thing in the city, and loved it too for the little town in the sunshine that it ran to.	Why, you knew that train at one time better, I suppose, than any other single thing in the city, and loved it too for the little town in the sunshine that it ran to.	false	101.15	110.13	19.762993
205_123882_000008_000000	Do you remember how when you first began to make money you used to plan that just as soon as you were rich, really rich, you'd go back home again to the little town and build a great big house with a fine verandah,--no stint about it, the best that money could buy, planed lumber, every square foot of it, and a fine picket fence in front of it.	Do you remember how when you first began to make money you used to plan that just as soon as you were rich, really rich, you'd go back home again to the little town and build a great big house with a fine verandah,--no stint about it, the best that money could buy, planed lumber, every square foot of it, and a fine picket fence in front of it.	false	110.13	130.72	21.33819
205_123882_000009_000000	It was to be one of the grandest and finest houses that thought could conceive; much finer, in true reality, than that vast palace of sandstone with the porte cochere and the sweeping conservatories that you afterwards built in the costlier part of the city.	It was to be one of the grandest and finest houses that thought could conceive; much finer, in true reality, than that vast palace of sandstone with the porte cochere and the sweeping conservatories that you afterwards built in the costlier part of the city.	false	131.18	145.36	20.474604
205_123882_000010_000000	But if you have half forgotten Mariposa, and long since lost the way to it, you are only like the greater part of the men here in this Mausoleum Club in the city.	But if you have half forgotten Mariposa, and long since lost the way to it, you are only like the greater part of the men here in this Mausoleum Club in the city.	true	145.7	154.57	20
205_123882_000010_000001	Would you believe it that practically every one of them came from Mariposa once upon a time, and that there isn't one of them that doesn't sometimes dream in the dull quiet of the long evening here in the club, that some day he will go back and see the place.	Would you believe it that practically every one of them came from Mariposa once upon a time, and that there isn't one of them that doesn't sometimes dream in the dull quiet of the long evening here in the club, that some day he will go back and see the place.	true	154.85	168.22	18
205_123882_000011_000000	They all do.	They all do.	true	168.62	169.57	30.389898
205_123882_000011_000001	Only they're half ashamed to own it.	Only they're half ashamed to own it.	true	169.58	171.85	25
205_123882_000012_000000	Ask your neighbour there at the next table whether the partridge that they sometimes serve to you here can be compared for a moment to the birds that he and you, or he and some one else, used to shoot as boys in the spruce thickets along the lake.	Ask your neighbour there at the next table whether the partridge that they sometimes serve to you here can be compared for a moment to the birds that he and you, or he and some one else, used to shoot as boys in the spruce thickets along the lake.	true	172.16	185.47	19
205_123882_000012_000001	Ask him if he ever tasted duck that could for a moment be compared to the black ducks in the rice marsh along the Ossawippi.	Ask him if he ever tasted duck that could for a moment be compared to the black ducks in the rice marsh along the Ossawippi.	true	185.72	192.64	22
205_123882_000012_000002	And as for fish, and fishing,--no, don't ask him about that, for if he ever starts telling you of the chub they used to catch below the mill dam and the green bass that used to lie in the water-shadow of the rocks beside the Indian's Island, not even the long dull evening in this club would be long enough for the telling of it.	And as for fish, and fishing,--no, don't ask him about that, for if he ever starts telling you of the chub they used to catch below the mill dam and the green bass that used to lie in the water shadow of the rocks beside the Indian's Island, not even the long dull evening in this club would be long enough for the telling of it.	false	193.01	211.84	21.282104
205_123882_000013_000000	But no wonder they don't know about the five o'clock train for Mariposa. Very few people know about it.	But no wonder they don't know about the five o'clock train for Mariposa. Very few people know about it.	true	212.66	218.41	21.332216
205_123882_000013_000001	Hundreds of them know that there is a train that goes out at five o'clock, but they mistake it.	Hundreds of them know that there is a train that goes out at five o'clock, but they mistake it.	true	218.42	222.91	21.591236
205_123882_000013_000002	Ever so many of them think it's just a suburban train.	Ever so many of them think it's just a suburban train.	true	223.43	226.54	21.59215
205_123882_000013_000003	Lots of people that take it every day think it's only the train to the golf grounds, but the joke is that after it passes out of the city and the suburbs and the golf grounds, it turns itself little by little into the Mariposa train, thundering and pounding towards the north with hemlock sparks pouring out into the darkness from the funnel of it.	Lots of people that take it every day think it's only the train to the golf grounds, but the joke is that after it passes out of the city and the suburbs and the golf grounds, it turns itself little by little into the Mariposa train, thundering and pounding towards the north with hemlock sparks pouring out into the darkness from the funnel of it.	true	226.76	245.5	22.480885
205_123882_000014_000000	Of course you can't tell it just at first.	Of course you can't tell it just at first.	true	246.17	248.83	23.155483
205_123882_000014_000001	All those people that are crowding into it with golf clubs, and wearing knickerbockers and flat caps, would deceive anybody.	All those people that are crowding into it with golf clubs, and wearing knickerbockers and flat caps, would deceive anybody.	true	248.87	255.13	20
205_123882_000014_000002	That crowd of suburban people going home on commutation tickets and sometimes standing thick in the aisles, those are, of course, not Mariposa people.	That crowd of suburban people going home on commutation tickets and sometimes standing thick in the aisles, those are, of course, not Mariposa people.	true	255.38	264.4	20.698343
205_123882_000014_000003	But look round a little bit and you'll find them easily enough.	But look round a little bit and you'll find them easily enough.	false	264.5	267.66	23.168325
205_123882_000014_000004	Here and there in the crowd those people with the clothes that are perfectly all right and yet look odd in some way, the women with the peculiar hats and the--what do you say?--last year's fashions?	Here and there in the crowd those people with the clothes that are perfectly all right and yet look odd in some way, the women with the peculiar hats and the-what do you say?--last year's fashions?	true	267.66	279.345	21.334087
205_123882_000014_000005	Ah yes, of course, that must be it.	Ah yes, of course, that must be it.	true	279.345	282.25	24.239548
205_123882_000015_000000	Anyway, those are the Mariposa people all right enough.	Anyway, those are the Mariposa people all right enough.	false	282.8	286.33	20.63291
205_123882_000015_000001	That man with the two-dollar panama and the glaring spectacles is one of the greatest judges that ever adorned the bench of Missinaba County.	That man with the two dollar panama and the glaring spectacles is one of the greatest judges that ever adorned the bench of Missinaba County.	true	286.58	294.46	20
205_123882_000015_000002	That clerical gentleman with the wide black hat, who is explaining to the man with him the marvellous mechanism of the new air brake (one of the most conspicuous illustrations of the divine structure of the physical universe), surely you have seen him before.	That clerical gentleman with the wide black hat, who is explaining to the man with him the marvellous mechanism of the new air brake (one of the most conspicuous illustrations of the divine structure of the physical universe), surely you have seen him before.	true	294.92	309.82	21.556473
205_123882_000015_000003	Mariposa people!	Mariposa people!	true	309.83	311.2	26.635107
205_123882_000015_000004	Oh yes, there are any number of them on the train every day.	Oh yes, there are any number of them on the train every day.	true	311.3	314.59	21
205_123882_000016_000000	But of course you hardly recognize them while the train is still passing through the suburbs and the golf district and the outlying parts of the city area.	But of course you hardly recognize them while the train is still passing through the suburbs and the golf district and the outlying parts of the city area.	true	315.17	323.23	21
205_123882_000016_000001	But wait a little, and you will see that when the city is well behind you, bit by bit the train changes its character.	But wait a little, and you will see that when the city is well behind you, bit by bit the train changes its character.	true	323.39	330.25	22.034966
205_123882_000016_000002	The electric locomotive that took you through the city tunnels is off now and the old wood engine is hitched on in its place.	The electric locomotive that took you through the city tunnels is off now and the old wood engine is hitched on in its place.	false	330.53	338.05	21.626698
205_123882_000016_000003	I suppose, very probably, you haven't seen one of these wood engines since you were a boy forty years ago,--the old engine with a wide top like a hat on its funnel, and with sparks enough to light up a suit for damages once in every mile.	I suppose, very probably, you haven't seen one of these wood engines since you were a boy forty years ago,--the old engine with a wide top like a hat on its funnel, and with sparks enough to light up a suit for damages once in every mile.	true	338.84	352.99	21.81807
205_123882_000017_000000	Do you see, too, that the trim little cars that came out of the city on the electric suburban express are being discarded now at the way stations, one by one, and in their place is the old familiar car with the stuff cushions in red plush (how gorgeous it once seemed!) and with a box stove set up in one end of it?	Do you see, too, that the trim little cars that came out of the city on the electric suburban express are being discarded now at the way stations, one by one, and in their place is the old familiar car with the stuff cushions in red plush (how gorgeous it once seemed!) and with a box stove set up in one end of it?	false	354.35	373.21	22.22914
205_123882_000017_000001	The stove is burning furiously at its sticks this autumn evening, for the air sets in chill as you get clear away from the city and are rising up to the higher ground of the country of the pines and the lakes.	The stove is burning furiously at its sticks this autumn evening, for the air sets in chill as you get clear away from the city and are rising up to the higher ground of the country of the pines and the lakes.	true	373.55	384.52	21.20629
205_123882_000018_000000	Look from the window as you go.	Look from the window as you go.	true	385.19	386.8	22.554632
205_123882_000018_000001	The city is far behind now and right and left of you there are trim farms with elms and maples near them and with tall windmills beside the barns that you can still see in the gathering dusk.	The city is far behind now and right and left of you there are trim farms with elms and maples near them and with tall windmills beside the barns that you can still see in the gathering dusk.	false	386.9	397.06	21.446085
205_123882_000018_000002	There is a dull red light from the windows of the farmstead.	There is a dull red light from the windows of the farmstead.	true	397.37	400.755	20.865067
205_123882_000018_000003	It must be comfortable there after the roar and clatter of the city, and only think of the still quiet of it.	It must be comfortable there after the roar and clatter of the city, and only think of the still quiet of it.	true	400.755	407.05	21.071472
205_123882_000019_000000	As you sit back half dreaming in the car, you keep wondering why it is that you never came up before in all these years.	As you sit back half dreaming in the car, you keep wondering why it is that you never came up before in all these years.	true	407.6	414.52	20
205_123882_000019_000001	Ever so many times you planned that just as soon as the rush and strain of business eased up a little, you would take the train and go back to the little town to see what it was like now, and if things had changed much since your day. But each time when your holidays came, somehow you changed your mind and went down to Naragansett or Nagahuckett or Nagasomething, and left over the visit to Mariposa for another time.	Ever so many times you planned that just as soon as the rush and strain of business eased up a little, you would take the train and go back to the little town to see what it was like now, and if things had changed much since your day. But each time when your holidays came, somehow you changed your mind and went down to Naragansett or Nagahuckett or Nagasomething, and left over the visit to Mariposa for another time.	false	415.04	441.46	21.905592
205_123882_000020_000000	It is almost night now.	It is almost night now.	true	441.92	443.415	23.23752
205_123882_000020_000001	You can still see the trees and the fences and the farmsteads, but they are fading fast in the twilight.	You can still see the trees and the fences and the farmsteads, but they are fading fast in the twilight.	true	443.415	448.78	19.952908
205_123882_000020_000002	They have lengthened out the train by this time with a string of flat cars and freight cars between where we are sitting and the engine.	They have lengthened out the train by this time with a string of flat cars and freight cars between where we are sitting and the engine.	false	449.03	455.58	19
205_123882_000020_000003	But at every crossway we can hear the long muffled roar of the whistle, dying to a melancholy wail that echoes into the woods; the woods, I say, for the farms are thinning out and the track plunges here and there into great stretches of bush,--tall tamerack and red scrub willow and with a tangled undergrowth of bush that has defied for two generations all attempts to clear it into the form of fields.	But at every crossway we can hear the long muffled roar of the whistle, dying to a melancholy wail that echoes into the woods; the woods, I say, for the farms are thinning out and the track plunges here and there into great stretches of bush,--tall tamerack and red scrub willow and with a tangled undergrowth of bush that has defied for two generations all attempts to clear it into the form of fields.	false	455.58	479.41	22.230768
205_123882_000021_000000	Why, look, that great space that seems to open out in the half-dark of the falling evening,--why, surely yes,--Lake Ossawippi, the big lake, as they used to call it, from which the river runs down to the smaller lake,--Lake Wissanotti,--where the town of Mariposa has lain waiting for you there for thirty years.	Why, look, that great space that seems to open out in the half dark of the falling evening,--why, surely yes,--Lake Ossawippi, the big lake, as they used to call it, from which the river runs down to the smaller lake,--Lake Wissanotti,--where the town of Mariposa has lain waiting for you there for thirty years.	false	479.54	498.82	23.595459
205_123882_000022_000000	This is Lake Ossawippi surely enough.	This is Lake Ossawippi surely enough.	true	499.49	502.2	24
205_123882_000022_000001	You would know it anywhere by the broad, still, black water with hardly a ripple, and with the grip of the coming frost already on it.	You would know it anywhere by the broad, still, black water with hardly a ripple, and with the grip of the coming frost already on it.	true	502.2	509.62	21
205_123882_000022_000002	Such a great sheet of blackness it looks as the train thunders along the side, swinging the curve of the embankment at a breakneck speed as it rounds the corner of the lake.	Such a great sheet of blackness it looks as the train thunders along the side, swinging the curve of the embankment at a breakneck speed as it rounds the corner of the lake.	true	509.84	519.04	23
205_123882_000023_000000	How fast the train goes this autumn night!	How fast the train goes this autumn night!	true	519.44	521.83	18.905102
205_123882_000023_000001	You have travelled, I know you have; in the Empire State Express, and the New Limited and the Maritime Express that holds the record of six hundred whirling miles from Paris to Marseilles.	You have travelled, I know you have; in the Empire State Express, and the New Limited and the Maritime Express that holds the record of six hundred whirling miles from Paris to Marseilles.	true	522.17	532.48	19
205_123882_000023_000002	But what are they to this, this mad career, this breakneck speed, this thundering roar of the Mariposa local driving hard to its home!	But what are they to this, this mad career, this breakneck speed, this thundering roar of the Mariposa local driving hard to its home!	false	533.12	541.54	22.622494
205_123882_000023_000003	Don't tell me that the speed is only twenty-five miles an hour.	Don't tell me that the speed is only twenty five miles an hour.	true	541.67	544.8	23
205_123882_000023_000004	I don't care what it is.	I don't care what it is.	true	544.8	546.19	22.518625
205_123882_000023_000005	I tell you, and you can prove it for yourself if you will, that that train of mingled flat cars and coaches that goes tearing into the night, its engine whistle shrieking out its warning into the silent woods and echoing over the dull still lake, is the fastest train in the whole world.	I tell you, and you can prove it for yourself if you will, that that train of mingled flat cars and coaches that goes tearing into the night, its engine whistle shrieking out its warning into the silent woods and echoing over the dull still lake, is the fastest train in the whole world.	false	546.32	562.12	20
205_123882_000024_000000	Yes, and the best too,--the most comfortable, the most reliable, the most luxurious and the speediest train that ever turned a wheel.	Yes, and the best too,--the most comfortable, the most reliable, the most luxurious and the speediest train that ever turned a wheel.	true	562.67	570.28	22.814041
205_123882_000025_000000	And the most genial, the most sociable too.	And the most genial, the most sociable too.	false	570.44	573.04	20
205_123882_000025_000001	See how the passengers all turn and talk to one another now as they get nearer and nearer to the little town.	See how the passengers all turn and talk to one another now as they get nearer and nearer to the little town.	false	573.29	578.38	18
205_123882_000025_000002	That dull reserve that seemed to hold the passengers in the electric suburban has clean vanished and gone.	That dull reserve that seemed to hold the passengers in the electric suburban has clean vanished and gone.	false	578.66	584.29	19
205_123882_000025_000003	They are talking,--listen,--of the harvest, and the late election, and of how the local member is mentioned for the cabinet and all the old familiar topics of the sort.	They are talking,--listen,--of the harvest, and the late election, and of how the local member is mentioned for the cabinet and all the old familiar topics of the sort.	true	584.54	593.98	22.39022
205_123882_000025_000004	Already the conductor has changed his glazed hat for an ordinary round Christie and you can hear the passengers calling him and the brakesman "Bill" and "Sam" as if they were all one family.	Already the conductor has changed his glazed hat for an ordinary round Christie and you can hear the passengers calling him and the brakesman "Bill" and "Sam" as if they were all one family.	false	594.14	605.65	21.034777
205_123882_000026_000000	What is it now--nine thirty?	What is it now-nine thirty?	true	606.89	608.505	23
205_123882_000026_000001	Ah, then we must be nearing the town,--this big bush that we are passing through, you remember it surely as the great swamp just this side of the bridge over the Ossawippi?	Ah, then we must be nearing the town,--this big bush that we are passing through, you remember it surely as the great swamp just this side of the bridge over the Ossawippi?	true	608.505	618.1	21
205_123882_000026_000002	There is the bridge itself, and the long roar of the train as it rushes sounding over the trestle work that rises above the marsh.	There is the bridge itself, and the long roar of the train as it rushes sounding over the trestle work that rises above the marsh.	true	618.98	625.81	19
205_123882_000026_000003	Hear the clatter as we pass the semaphores and switch lights!	Hear the clatter as we pass the semaphores and switch lights!	true	625.82	629.235	21.922764
205_123882_000026_000004	We must be close in now!	We must be close in now!	true	629.235	630.82	22.199528
205_123882_000027_000000	What? it feels nervous and strange to be coming here again after all these years?	What? it feels nervous and strange to be coming here again after all these years?	false	631.49	636.24	18
205_123882_000027_000001	It must indeed.	It must indeed.	true	636.24	637.42	22.075377
