3816_290923_000000_000000	CHICAGO: HAZLITT & WALKER, PUBLISHERS 1910	CHICAGO: HAZLITT and WALKER, PUBLISHERS nineteen ten	false	0	0.42	-20
3816_290923_000001_000000	CONTENTS.	CONTENTS.	false	0.42	0.48	-20
3816_290923_000002_000000	CHAPTER I.	CHAPTER one	true	0.48	1.32	19
3816_290923_000003_000000	The raw material.	The raw material.	false	1.32	1.95	23.102211
3816_290923_000003_000001	The gravers.	The gravers.	false	1.95	2.37	8
3816_290923_000003_000002	The roughing out.	The roughing out.	false	2.37	3.03	13
3816_290923_000003_000003	The hardening and tempering 5	The hardening and tempering five	false	3.03	4.38	20
3816_290923_000004_000000	CHAPTER II.	CHAPTER two.	false	4.38	5.04	100
3816_290923_000005_000000	Kinds of pivots.	Kinds of pivots.	false	5.04	6.03	15
3816_290923_000005_000001	Their shape.	Their shape.	false	6.03	6.69	32.629856
3816_290923_000005_000002	Capillarity.	Capillarity.	false	6.69	7.02	100
3816_290923_000005_000003	The requirements of a good pivot 13	The requirements of a good pivot thirteen	false	7.02	8.07	15
3816_290923_000006_000000	CHAPTER III.	CHAPTER three.	false	8.07	8.4	-20
3816_290923_000007_000000	The proper measurements and how obtained 19	The proper measurements and how obtained nineteen	false	8.4	10.86	23.155962
3816_290923_000008_000000	CHAPTER IV.	CHAPTER four.	false	10.86	11.67	7
3816_290923_000009_000000	The gauging of holes.	The gauging of holes.	false	11.67	13.29	31.04536
3816_290923_000009_000001	The side shake.	The side shake.	false	13.29	14.49	28
3816_290923_000009_000002	The position of the graver 23	The position of the graver twenty three	false	14.49	17.31	21.898914
3816_290923_000010_000000	CHAPTER V.	CHAPTER five	false	17.31	18.12	-20
3816_290923_000011_000000	The grinding and polishing.	The grinding and polishing.	false	18.12	19.74	19
3816_290923_000011_000001	The reversal of the work.	The reversal of the work.	false	19.74	21.75	20.855478
3816_290923_000011_000002	The wax chuck 29	The wax chuck twenty nine	false	21.75	23.79	26.130772
3816_290923_000012_000000	CHAPTER VI.	CHAPTER six.	false	23.79	24.6	23.18063
3816_290923_000013_000000	Another wax chuck.	Another wax chuck.	false	24.6	25.65	10
3816_290923_000013_000001	The centering of the work 35	The centering of the work thirty five	false	25.65	27.99	22.000557
3816_290923_000014_000000	CHAPTER VII.	CHAPTER seven.	false	27.99	28.41	22.523466
3816_290923_000015_000000	The finishing of the staff.	The finishing of the staff.	false	28.41	29.91	27.305958
3816_290923_000015_000001	Pivoting.	Pivoting.	false	29.91	29.91	
3816_290923_000015_000002	Making pivot drills.	Making pivot drills.	false	29.91	29.91	
3816_290923_000015_000003	Hardening drills.	Hardening drills.	false	29.91	30.57	4
3816_290923_000015_000004	The drilling and fitting of new pivots 39	The drilling and fitting of new pivots thirty nine	false	30.57	31.56	32
3816_290923_000016_000000	STAFF MAKING AND PIVOTING.	STAFF MAKING AND PIVOTING.	false	31.56	32.04	-20
3816_290923_000017_000000	CHAPTER I.	CHAPTER one	false	32.04	32.28	-20
