6694_70837_000001_000000	Chapter IV	Chapter four
6694_70837_000002_000000	The Fall of the Provisional Government	The Fall of the Provisional Government
6694_70837_000003_000000	Wednesday, November 7th, I rose very late.	wednesday november seventh, I rose very late.
6694_70837_000003_000001	The noon cannon boomed from Peter-Paul as I went down the Nevsky.	The noon cannon boomed from Peter Paul as I went down the Nevsky.
6694_70837_000003_000002	It was a raw, chill day. In front of the State Bank some soldiers with fixed bayonets were standing at the closed gates.	It was a raw, chill day. In front of the State Bank some soldiers with fixed bayonets were standing at the closed gates.
6694_70837_000004_000000	"What side do you belong to?" I asked.	"What side do you belong to?" I asked.
6694_70837_000004_000001	"The Government?"	"The Government?"
6694_70837_000006_000000	The street-cars were running on the Nevsky, men, women and small boys hanging on every projection.	The street cars were running on the Nevsky, men, women and small boys hanging on every projection.
6694_70837_000006_000001	Shops were open, and there seemed even less uneasiness among the street crowds than there had been the day before.	Shops were open, and there seemed even less uneasiness among the street crowds than there had been the day before.
6694_70837_000006_000002	A whole crop of new appeals against insurrection had blossomed out on the walls during the night--to the peasants, to the soldiers at the front, to the workmen of Petrograd.	A whole crop of new appeals against insurrection had blossomed out on the walls during the night-to the peasants, to the soldiers at the front, to the workmen of Petrograd.
6694_70837_000007_000000	FROM THE PETROGRAD MUNICIPAL DUMA:	FROM THE PETROGRAD MUNICIPAL DUMA:
6694_70837_000009_000000	Members of the Committee of Public Safety will be on duty in the building of the Municipal Duma.	Members of the Committee of Public Safety will be on duty in the building of the Municipal Duma.
6694_70837_000010_000000	November 7th, 1917.	november seventh nineteen seventeen.
6694_70837_000011_000000	Though I didn't realize it then, this was the Duma's declaration of war against the Bolsheviki.	Though I didn't realize it then, this was the Duma's declaration of war against the Bolsheviki.
6694_70837_000012_000001	PEACE!	PEACE!
6694_70837_000012_000002	BREAD!	BREAD!
6694_70837_000012_000003	LAND!" The leading article was signed "Zinoviev,"--Lenin's companion in hiding.	LAND!" The leading article was signed "Zinoviev,"--Lenin's companion in hiding.
6694_70837_000012_000004	It began:	It began:
6694_70837_000013_000000	Every soldier, every worker, every real Socialist, every honest democrat realises that there are only two alternatives to the present situation.	Every soldier, every worker, every real Socialist, every honest democrat realises that there are only two alternatives to the present situation.
6694_70837_000015_000000	Or--the power will be transferred to the hands of the revolutionary workers, soldiers and peasants; and in that case it will mean a complete abolition of landlord tyranny, immediate check of the capitalists, immediate proposal of a just peace.	Or-the power will be transferred to the hands of the revolutionary workers, soldiers and peasants; and in that case it will mean a complete abolition of landlord tyranny, immediate check of the capitalists, immediate proposal of a just peace.
6694_70837_000015_000001	Then the land is assured to the peasants, then control of industry is assured to the workers, then bread is assured to the hungry, then the end of this nonsensical war!...	Then the land is assured to the peasants, then control of industry is assured to the workers, then bread is assured to the hungry, then the end of this nonsensical war!...
6694_70837_000017_000003	They haven't the men to run a government.	They haven't the men to run a government.
6694_70837_000017_000004	Perhaps it's a good thing to let them try--that will furnish them...."	Perhaps it's a good thing to let them try-that will furnish them...."
6694_70837_000018_000000	The Military Hotel at the corner of St. Isaac's Square was picketed by armed sailors.	The Military Hotel at the corner of saint Isaac's Square was picketed by armed sailors.
6694_70837_000018_000001	In the lobby were many of the smart young officers, walking up and down or muttering together; the sailors wouldn't let them leave....	In the lobby were many of the smart young officers, walking up and down or muttering together; the sailors wouldn't let them leave....
6694_70837_000019_000000	Suddenly came the sharp crack of a rifle outside, followed by a scattered burst of firing.	Suddenly came the sharp crack of a rifle outside, followed by a scattered burst of firing.
6694_70837_000019_000001	I ran out.	I ran out.
6694_70837_000019_000002	Something unusual was going on around the Marinsky Palace, where the Council of the Russian Republic met.	Something unusual was going on around the Marinsky Palace, where the Council of the Russian Republic met.
6694_70837_000019_000003	Diagonally across the wide square was drawn a line of soldiers, rifles ready, staring at the hotel roof.	Diagonally across the wide square was drawn a line of soldiers, rifles ready, staring at the hotel roof.
6694_70837_000021_000001	A barricade had been heaped up across the mouth of Novaya Ulitza--boxes, barrels, an old bed-spring, a wagon.	A barricade had been heaped up across the mouth of Novaya Ulitza-boxes, barrels, an old bed spring, a wagon.
6694_70837_000022_000000	"Is there going to be any fighting?" I asked.	"Is there going to be any fighting?" I asked.
6694_70837_000023_000000	"Soon, soon," answered a soldier, nervously.	"Soon, soon," answered a soldier, nervously.
6694_70837_000023_000001	"Go away, comrade, you'll get hurt.	"Go away, comrade, you'll get hurt.
6694_70837_000023_000002	They will come from that direction," pointing toward the Admiralty.	They will come from that direction," pointing toward the Admiralty.
6694_70837_000024_000000	"Who will?"	"Who will?"
6694_70837_000025_000000	"That I couldn't tell you, brother," he answered, and spat.	"That I couldn't tell you, brother," he answered, and spat.
6694_70837_000026_000000	Before the door of the Palace was a crowd of soldiers and sailors.	Before the door of the Palace was a crowd of soldiers and sailors.
6694_70837_000026_000001	A sailor was telling of the end of the Council of the Russian Republic.	A sailor was telling of the end of the Council of the Russian Republic.
6694_70837_000026_000002	"We walked in there," he said, "and filled all the doors with comrades.	"We walked in there," he said, "and filled all the doors with comrades.
6694_70837_000026_000003	I went up to the counter-revolutionist Kornilovitz who sat in the president's chair.	I went up to the counter revolutionist Kornilovitz who sat in the president's chair.
6694_70837_000026_000004	'No more Council,' I says.	'No more Council,' I says.
6694_70837_000027_000000	There was laughter.	There was laughter.
6694_70837_000027_000001	By waving assorted papers I managed to get around to the door of the press gallery.	By waving assorted papers I managed to get around to the door of the press gallery.
6694_70837_000027_000002	There an enormous smiling sailor stopped me, and when I showed my pass, just said, "If you were Saint Michael himself, comrade, you couldn't pass here!" Through the glass of the door I made out the distorted face and gesticulating arms of a French correspondent, locked in....	There an enormous smiling sailor stopped me, and when I showed my pass, just said, "If you were Saint Michael himself, comrade, you couldn't pass here!" Through the glass of the door I made out the distorted face and gesticulating arms of a French correspondent, locked in....
6694_70837_000028_000000	Around in front stood a little, grey-moustached man in the uniform of a general, the centre of a knot of soldiers.	Around in front stood a little, grey moustached man in the uniform of a general, the centre of a knot of soldiers.
6694_70837_000028_000001	He was very red in the face.	He was very red in the face.
6694_70837_000029_000001	"As your superior officer and as a member of the Council of the Republic I demand to be allowed to pass!"	"As your superior officer and as a member of the Council of the Republic I demand to be allowed to pass!"
6694_70837_000029_000002	The guard scratched his head, looking uneasily out of the corner of his eye; he beckoned to an approaching officer, who grew very agitated when he saw who it was and saluted before he realised what he was doing.	The guard scratched his head, looking uneasily out of the corner of his eye; he beckoned to an approaching officer, who grew very agitated when he saw who it was and saluted before he realised what he was doing.
6694_70837_000031_000000	An automobile came by, and I saw Gotz sitting inside, laughing apparently with great amusement.	An automobile came by, and I saw Gotz sitting inside, laughing apparently with great amusement.
6694_70837_000031_000001	A few minutes later another, with armed soldiers on the front seat, full of arrested members of the Provisional Government.	A few minutes later another, with armed soldiers on the front seat, full of arrested members of the Provisional Government.
6694_70837_000031_000002	Peters, Lettish member of the Military Revolutionary Committee, came hurrying across the Square.	Peters, Lettish member of the Military Revolutionary Committee, came hurrying across the Square.
6694_70837_000032_000000	"I thought you bagged all those gentlemen last night," said I, pointing to them.	"I thought you bagged all those gentlemen last night," said I, pointing to them.
6694_70837_000033_000000	"Oh," he answered, with the expression of a disappointed small boy. "The damn fools let most of them go again before we made up our minds...."	"Oh," he answered, with the expression of a disappointed small boy. "The damn fools let most of them go again before we made up our minds...."
6694_70837_000035_000000	We went toward the Winter Palace by way of the Admiralteisky.	We went toward the Winter Palace by way of the Admiralteisky.
6694_70837_000035_000001	All the entrances to the Palace Square were closed by sentries, and a cordon of troops stretched clear across the western end, besieged by an uneasy throng of citizens.	All the entrances to the Palace Square were closed by sentries, and a cordon of troops stretched clear across the western end, besieged by an uneasy throng of citizens.
6694_70837_000035_000002	Except for far-away soldiers who seemed to be carrying wood out of the Palace courtyard and piling it in front of the main gateway, everything was quiet.	Except for far away soldiers who seemed to be carrying wood out of the Palace courtyard and piling it in front of the main gateway, everything was quiet.
6694_70837_000036_000000	We couldn't make out whether the sentries were pro-Government or pro-Soviet.	We couldn't make out whether the sentries were pro Government or pro Soviet.
6694_70837_000036_000001	Our papers from Smolny had no effect, however, so we approached another part of the line with an important air and showed our American passports, saying "Official business!" and shouldered through.	Our papers from Smolny had no effect, however, so we approached another part of the line with an important air and showed our American passports, saying "Official business!" and shouldered through.
6694_70837_000036_000003	In the dark, gloomy corridor, stripped of its tapestries, a few old attendants were lounging about, and in front of Kerensky's door a young officer paced up and down, gnawing his moustache.	In the dark, gloomy corridor, stripped of its tapestries, a few old attendants were lounging about, and in front of Kerensky's door a young officer paced up and down, gnawing his moustache.
6694_70837_000036_000004	We asked if we could interview the Minister-president.	We asked if we could interview the Minister president.
6694_70837_000036_000005	He bowed and clicked his heels.	He bowed and clicked his heels.
6694_70837_000037_000000	"No, I am sorry," he replied in French.	"No, I am sorry," he replied in French.
6694_70837_000037_000002	"In fact, he is not here...."	"In fact, he is not here...."
6694_70837_000038_000000	"Where is he?"	"Where is he?"
6694_70837_000039_000000	"He has gone to the Front. (See App.	"He has gone to the Front. (See App.
6694_70837_000039_000002	We had to send to the English Hospital and borrow some."	We had to send to the English Hospital and borrow some."
6694_70837_000041_000000	"They are meeting in some room--I don't know where.'	"They are meeting in some room-I don't know where.'
6694_70837_000042_000000	"Are the Bolsheviki coming?"	"Are the Bolsheviki coming?"
6694_70837_000043_000000	"Of course.	"Of course.
6694_70837_000043_000001	Certainly, they are coming.	Certainly, they are coming.
6694_70837_000043_000002	I expect a telephone call every minute to say that they are coming.	I expect a telephone call every minute to say that they are coming.
6694_70837_000043_000003	But we are ready.	But we are ready.
6694_70837_000044_000000	"Can we go in there?"	"Can we go in there?"
6694_70837_000045_000000	"No. Certainly not.	"no Certainly not.
6694_70837_000045_000001	It is not permitted." Abruptly he shook hands all around and walked away.	It is not permitted." Abruptly he shook hands all around and walked away.
6694_70837_000045_000002	We turned to the forbidden door, set in a temporary partition dividing the hall and locked on the outside. On the other side were voices, and somebody laughing.	We turned to the forbidden door, set in a temporary partition dividing the hall and locked on the outside. On the other side were voices, and somebody laughing.
6694_70837_000045_000003	Except for that the vast spaces of the old Palace were silent as the grave.	Except for that the vast spaces of the old Palace were silent as the grave.
6694_70837_000046_000000	"Why is the door locked?"	"Why is the door locked?"
6694_70837_000047_000000	"To keep the soldiers in," he answered.	"To keep the soldiers in," he answered.
