6694_70837_000000_000000	Behind us great Smolny, bright with lights, hummed like a gigantic hive....	Behind us great Smolny, bright with lights, hummed like a gigantic hive....	false	0	22.665	25.081934
6694_70837_000001_000000	Chapter IV	Chapter four	true	22.665	23.65	25.403633
6694_70837_000002_000000	The Fall of the Provisional Government	The Fall of the Provisional Government	true	23.93	26.11	24.527357
6694_70837_000003_000000	Wednesday, November 7th, I rose very late.	wednesday november seventh, I rose very late.	true	27.47	30.97	24.117
6694_70837_000003_000001	The noon cannon boomed from Peter-Paul as I went down the Nevsky.	The noon cannon boomed from Peter Paul as I went down the Nevsky.	true	31.7	35.59	22.87841
6694_70837_000003_000002	It was a raw, chill day. In front of the State Bank some soldiers with fixed bayonets were standing at the closed gates.	It was a raw, chill day. In front of the State Bank some soldiers with fixed bayonets were standing at the closed gates.	true	36.11	44.05	25.950947
6694_70837_000004_000000	"What side do you belong to?" I asked.	"What side do you belong to?" I asked.	true	45.23	47.53	22.68112
6694_70837_000004_000001	"The Government?"	"The Government?"	true	47.75	48.76	36.539444
6694_70837_000005_000000	"No more Government," one answered with a grin, "_Slava Bogu!_ Glory to God!" That was all I could get out of him....	"No more Government," one answered with a grin, "underscore Slava Bogu!underscore Glory to God!" That was all I could get out of him....	false	49.55	58.06	21.863228
6694_70837_000006_000000	The street-cars were running on the Nevsky, men, women and small boys hanging on every projection.	The street cars were running on the Nevsky, men, women and small boys hanging on every projection.	true	59.3	65.17	23.635431
6694_70837_000006_000001	Shops were open, and there seemed even less uneasiness among the street crowds than there had been the day before.	Shops were open, and there seemed even less uneasiness among the street crowds than there had been the day before.	true	65.9	71.98	23.18232
6694_70837_000006_000002	A whole crop of new appeals against insurrection had blossomed out on the walls during the night--to the peasants, to the soldiers at the front, to the workmen of Petrograd.	A whole crop of new appeals against insurrection had blossomed out on the walls during the night-to the peasants, to the soldiers at the front, to the workmen of Petrograd.	true	72.77	82.81	24.61165
6694_70837_000006_000003	One read:	One read:	true	83.63	84.52	17.435371
