6701_71402_000001_000000	CHAPTER XI	CHAPTER eleven
6701_71402_000002_000000	AT THE CORONER'S INQUEST	AT THE CORONER'S INQUEST
6701_71402_000003_000000	Sidham was in a state of keen excitement.	Sidham was in a state of keen excitement.
6701_71402_000003_000001	No such mystery as the double tragedy had occurred in that neighborhood before, and all of the inhabitants were anxious to hear the latest news and learn what the coroner and the police were going to do.	No such mystery as the double tragedy had occurred in that neighborhood before, and all of the inhabitants were anxious to hear the latest news and learn what the coroner and the police were going to do.
6701_71402_000003_000002	A hundred theories were afloat, all centering on the one object--to find the murderer.	A hundred theories were afloat, all centering on the one object-to find the murderer.
6701_71402_000004_000000	"Find him or her, and swing him or her to the nearest tree," was the verdict of many.	"Find him or her, and swing him or her to the nearest tree," was the verdict of many.
6701_71402_000004_000001	"The law is all well enough, but this dastardly crime demands an object lesson."	"The law is all well enough, but this dastardly crime demands an object lesson."
6701_71402_000005_000000	Coroner Jack Busby, who was a dealer in horses, had never had a murder case before, and was uncertain as to the method of procedure.	Coroner Jack Busby, who was a dealer in horses, had never had a murder case before, and was uncertain as to the method of procedure.
6701_71402_000005_000002	He felt that his own little office was altogether too small for the occasion and so arranged to bring off the affair in the general courtroom.	He felt that his own little office was altogether too small for the occasion and so arranged to bring off the affair in the general courtroom.
6701_71402_000006_000000	The place was soon crowded with people, and another crowd gathered outside.	The place was soon crowded with people, and another crowd gathered outside.
6701_71402_000006_000001	The hour for opening the inquest was at hand and the majority of the witnesses were present.	The hour for opening the inquest was at hand and the majority of the witnesses were present.
6701_71402_000006_000002	The coroner, short, fat and bald-headed, looked around anxiously and then turned to the chief of police, who was near at hand.	The coroner, short, fat and bald headed, looked around anxiously and then turned to the chief of police, who was near at hand.
6701_71402_000007_000000	"I don't see Miss Langmore."	"I don't see Miss Langmore."
6701_71402_000008_000000	"Neither do I," answered the guardian of the law, with a shrug of his shoulders, as if it was none of his especial business,	"Neither do I," answered the guardian of the law, with a shrug of his shoulders, as if it was none of his especial business,
6701_71402_000009_000000	"Yes, but--ahem! you are--ahem! responsible--"	"Yes, but-ahem! you are-ahem! responsible-"
6701_71402_000010_000000	"She'll be here, coroner, don't worry."	"She'll be here, coroner, don't worry."
6701_71402_000011_000000	"You have had her properly guarded?"	"You have had her properly guarded?"
6701_71402_000012_000000	"Yes.	"Yes.
6701_71402_000012_000001	I reckon she's coming now," and the chief of police nodded towards a side door of the courtroom.	I reckon she's coming now," and the chief of police nodded towards a side door of the courtroom.
6701_71402_000013_000000	There was a slight commotion, and Margaret entered, escorted by Raymond Case, and followed by one of the women and the policeman who had been on guard at the Langmore mansion.	There was a slight commotion, and Margaret entered, escorted by Raymond Case, and followed by one of the women and the policeman who had been on guard at the Langmore mansion.
6701_71402_000013_000001	The crowd arose to gaze at the girl and to pass various comments.	The crowd arose to gaze at the girl and to pass various comments.
6701_71402_000014_000000	"Mighty pale, ain't she?"	"Mighty pale, ain't she?"
6701_71402_000016_000003	Don't tell me!"	Don't tell me!"
6701_71402_000019_000000	"He must know, if he's as slick at tryin' folks as he is in a hoss dicker," returned an old farmer who had made a trade of steeds which had proved unprofitable for him.	"He must know, if he's as slick at tryin' folks as he is in a hoss dicker," returned an old farmer who had made a trade of steeds which had proved unprofitable for him.
6701_71402_000021_000000	"Courage, Margaret," he whispered.	"Courage, Margaret," he whispered.
6701_71402_000021_000001	"It is bound to come out right in the end."	"It is bound to come out right in the end."
6701_71402_000022_000000	"I can scarcely see a friendly face," she faltered, taking a shy look around.	"I can scarcely see a friendly face," she faltered, taking a shy look around.
6701_71402_000022_000001	"They all think I am--" She could not finish, but had to bite her lip to keep the tears from flowing.	"They all think I am-" She could not finish, but had to bite her lip to keep the tears from flowing.
6701_71402_000023_000000	The coroner mounted the platform and rapped on a desk with his knuckles.	The coroner mounted the platform and rapped on a desk with his knuckles.
6701_71402_000025_000000	There was a final buzz and then the place became quiet, broken only by the ticking of a big round clock on the wall.	There was a final buzz and then the place became quiet, broken only by the ticking of a big round clock on the wall.
6701_71402_000026_000000	"We are gathered here--ahem! to inquire into the mysterious deaths of Mr. and Mrs. Barry Langmore," went on the coroner.	"We are gathered here-ahem! to inquire into the mysterious deaths of mr and mrs Barry Langmore," went on the coroner.
6701_71402_000027_000000	"That's so--an' we want plain facts," put in an old farmer, sitting well up front.	"That's so-an' we want plain facts," put in an old farmer, sitting well up front.
6701_71402_000028_000000	"Silence!" cried the coroner.	"Silence!" cried the coroner.
6701_71402_000028_000001	"We must have silence!"	"We must have silence!"
6701_71402_000029_000000	"All right, Jack," replied the farmer.	"All right, Jack," replied the farmer.
6701_71402_000029_000001	"I won't say another word."	"I won't say another word."
6701_71402_000030_000000	"Silence.	"Silence.
6701_71402_000030_000001	We cannot go on if there is not silence.	We cannot go on if there is not silence.
6701_71402_000031_000000	Margaret arose and bowed slightly.	Margaret arose and bowed slightly.
6701_71402_000031_000001	Then the coroner swore her in as a witness and told her to relate her story.	Then the coroner swore her in as a witness and told her to relate her story.
