1944_159227_000000_000000	"I have been faithful for eleven years.	"I have been faithful for eleven years.	false	0	0.54	18
1944_159227_000000_000001	Give me my reward soon, won't you, dear?" whispered Sidney.	Give me my reward soon, won't you, dear?" whispered Sidney.	false	0.54	1.35	-4
1944_159227_000001_000000	"Don't marry me to-morrow, and if mamma is willing I'll think about it by and by," answered Amy.	"Don't marry me to morrow, and if mamma is willing I'll think about it by and by," answered Amy.	false	1.35	6.81	16
1944_159227_000002_000000	"It is beautiful! let us go and do likewise," said Sigismund to his betrothed.	"It is beautiful! let us go and do likewise," said Sigismund to his betrothed.	false	6.81	10.47	19.479263
1944_159227_000003_000000	But Helen, anxious to turn the thoughts of all from emotions too deep for words, drew from her pocket a small pearl-colored object, which she gave to Amy with mock solemnity, as she said, turning to lay her hand again in her lover's,--	But Helen, anxious to turn the thoughts of all from emotions too deep for words, drew from her pocket a small pearl colored object, which she gave to Amy with mock solemnity, as she said, turning to lay her hand again in her lover's,--	false	10.47	16.47	18
1944_159227_000004_000000	"Amy, our search is over.	"Amy, our search is over.	false	16.47	17.34	20.220234
1944_159227_000004_000001	_You_ may keep the gloves; _I_ have the baron."	underscore You underscore may keep the gloves; underscore I underscore have the baron."	false	17.34	23.19	19.229733
1944_159227_000005_000000	MY RED CAP	MY RED CAP	false	23.19	29.46	19.474852
1944_159227_000006_000000	"He who serves well need not fear to ask his wages."	"He who serves well need not fear to ask his wages."	true	29.46	33.39	15
1944_159227_000007_000000	I	I	false	33.39	36.21	-20
1944_159227_000008_000000	It was under a blue cap that I first saw the honest face of Joe Collins.	It was under a blue cap that I first saw the honest face of Joe Collins.	true	36.21	42.25	16
1944_159227_000008_000001	In the third year of the late war a Maine regiment was passing through Boston, on its way to Washington.	In the third year of the late war a Maine regiment was passing through Boston, on its way to Washington.	true	42.65	49.54	16
1944_159227_000008_000002	The Common was all alive with troops and the spectators who clustered round them to say God-speed, as the brave fellows marched away to meet danger and death for our sakes.	The Common was all alive with troops and the spectators who clustered round them to say God speed, as the brave fellows marched away to meet danger and death for our sakes.	true	50.06	61.54	16
1944_159227_000009_000000	Every one was eager to do something; and, as the men stood at ease, the people mingled freely with them, offering gifts, hearty grips of the hand, and hopeful prophecies of victory in the end.	Every one was eager to do something; and, as the men stood at ease, the people mingled freely with them, offering gifts, hearty grips of the hand, and hopeful prophecies of victory in the end.	true	62.36	76.27	17
1944_159227_000009_000001	Irresistibly attracted, my boy Tom and I drew near, and soon, becoming excited by the scene, ravaged the fruit-stands in our neighborhood for tokens of our regard, mingling candy and congratulations, peanuts and prayers, apples and applause, in one enthusiastic jumble.	Irresistibly attracted, my boy Tom and I drew near, and soon, becoming excited by the scene, ravaged the fruit stands in our neighborhood for tokens of our regard, mingling candy and congratulations, peanuts and prayers, apples and applause, in one enthusiastic jumble.	false	76.91	97.9	16
1944_159227_000010_000000	While Tom was off on his third raid, my attention was attracted by a man who stood a little apart, looking as if his thoughts were far away.	While Tom was off on his third raid, my attention was attracted by a man who stood a little apart, looking as if his thoughts were far away.	true	98.57	108.31	16
1944_159227_000010_000001	All the men were fine, stalwart fellows, as Maine men usually are; but this one over-topped his comrades, standing straight and tall as a Norway pine, with a face full of the mingled shrewdness, sobriety, and self-possession of the typical New Englander.	All the men were fine, stalwart fellows, as Maine men usually are; but this one over topped his comrades, standing straight and tall as a Norway pine, with a face full of the mingled shrewdness, sobriety, and self possession of the typical New Englander.	true	109.28	128.53	15
1944_159227_000010_000002	I liked the look of him; and, seeing that he seemed solitary, even in a crowd, I offered him my last apple with a word of interest.	I liked the look of him; and, seeing that he seemed solitary, even in a crowd, I offered him my last apple with a word of interest.	true	129.23	139.39	16
1944_159227_000010_000003	The keen blue eyes met mine gratefully, and the apple began to vanish in vigorous bites as we talked; for no one thought of ceremony at such a time.	The keen blue eyes met mine gratefully, and the apple began to vanish in vigorous bites as we talked; for no one thought of ceremony at such a time.	true	139.85	150.91	15
1944_159227_000011_000000	"Where are you from?"	"Where are you from?"	true	152.45	153.76	19.350924
1944_159227_000012_000000	"Woolidge, ma'am."	"Woolidge, ma'am."	true	154.64	155.86	20
1944_159227_000013_000000	"Are you glad to go?"	"Are you glad to go?"	true	157.1	158.55	19
1944_159227_000014_000000	"Wal, there's two sides to that question.	"Wal, there's two sides to that question.	false	158.55	162.79	18.62255
1944_159227_000014_000001	I calk'late to do my duty, and do it hearty: but it _is_ rough on a feller leavin' his folks, for good, maybe."	I calk'late to do my duty, and do it hearty: but it underscore is underscore rough on a feller leavin' his folks, for good, maybe."	false	163.55	171.88	17
1944_159227_000015_000000	There was a sudden huskiness in the man's voice that was not apple-skins, though he tried to make believe that it was.	There was a sudden huskiness in the man's voice that was not apple skins, though he tried to make believe that it was.	true	173.54	181.12	17
1944_159227_000015_000001	I knew a word about home would comfort him, so I went on with my questions.	I knew a word about home would comfort him, so I went on with my questions.	false	181.76	188.19	17.828758
1944_159227_000016_000000	"It is very hard.	"It is very hard.	false	188.19	189.46	19
1944_159227_000016_000001	Do you leave a family?"	Do you leave a family?"	true	189.74	191.26	20.717249
1944_159227_000017_000000	"My old mother, a sick brother,--and Lucindy."	"My old mother, a sick brother,--and Lucindy."	true	191.9	197.56	18.867456
1944_159227_000018_000000	The last word was uttered in a tone of intense regret, and his brown cheek reddened as he added hastily, to hide some embarrassment.--	The last word was uttered in a tone of intense regret, and his brown cheek reddened as he added hastily, to hide some embarrassment.--	false	198.8	208.45	15
1944_159227_000019_000000	"You see, Jim went last year, and got pretty well used up; so I felt as if I'd ought to take my turn now.	"You see, Jim went last year, and got pretty well used up; so I felt as if I'd ought to take my turn now.	true	209	218.17	20
1944_159227_000019_000001	Mother was a regular old hero about it and I dropped everything, and come off.	Mother was a regular old hero about it and I dropped everything, and come off.	false	218.6	224.05	18
1944_159227_000019_000002	Lucindy didn't think it was my duty; and that made it awful hard, I tell you."	Lucindy didn't think it was my duty; and that made it awful hard, I tell you."	true	224.51	230.11	16
1944_159227_000020_000000	"Wives are less patriotic than mothers," I began; but he would not hear Lucindy blamed, and said quickly,--	"Wives are less patriotic than mothers," I began; but he would not hear Lucindy blamed, and said quickly,--	true	231.56	239.34	16
1944_159227_000021_000000	"She ain't my wife yet, but we calk'lated to be married in a month or so; and it was wus for her than for me, women lot so on not being disappointed.	"She ain't my wife yet, but we calk'lated to be married in a month or so; and it was wus for her than for me, women lot so on not being disappointed.	false	239.34	253.725	20.169167
1944_159227_000021_000001	I _couldn't_ shirk, and here I be.	I underscore couldn't underscore shirk, and here I be.	false	253.725	257.11	18.296217
1944_159227_000021_000002	When I git to work, I shall be all right: the first wrench is the tryin' part."	When I git to work, I shall be all right: the first wrench is the tryin' part."	false	257.66	263.56	20.546715
1944_159227_000022_000000	Here he straightened his broad shoulders, and turned his face toward the flags fluttering far in front, as if no backward look should betray the longing of his heart for mother, home, and wife.	Here he straightened his broad shoulders, and turned his face toward the flags fluttering far in front, as if no backward look should betray the longing of his heart for mother, home, and wife.	true	265.07	278.68	17
1944_159227_000022_000001	I liked that little glimpse of character; and when Tom returned with empty hands, reporting that every stall was exhausted, I told him to find out what the man would like best, then run across the street and get it.	I liked that little glimpse of character; and when Tom returned with empty hands, reporting that every stall was exhausted, I told him to find out what the man would like best, then run across the street and get it.	true	279.2	294.49	18
1944_159227_000023_000000	"I know without asking.	"I know without asking.	true	295.22	296.92	18
1944_159227_000023_000001	Give us your purse, and I'll make him as happy as a king," said the boy, laughing, as he looked up admiringly at our tall friend, who looked down on him with an elder-brotherly air pleasant to see.	Give us your purse, and I'll make him as happy as a king," said the boy, laughing, as he looked up admiringly at our tall friend, who looked down on him with an elder brotherly air pleasant to see.	true	297.59	310.75	15
1944_159227_000023_000002	While Tom was gone, I found out Joe's name and business, promised to write and tell his mother how finely the regiment went off, and was just expressing a hope that we might meet again, for I too was going to the war as nurse, when the order to "Fall in!" came rolling down the ranks, and the talk was over.	While Tom was gone, I found out Joe's name and business, promised to write and tell his mother how finely the regiment went off, and was just expressing a hope that we might meet again, for I too was going to the war as nurse, when the order to "Fall in!" came rolling down the ranks, and the talk was over.	false	311.72	333.85	18
1944_159227_000023_000003	Fearing Tom would miss our man in the confusion, I kept my eye on him till the boy came rushing up with a packet of tobacco in one hand and a good supply of cigars in the other.	Fearing Tom would miss our man in the confusion, I kept my eye on him till the boy came rushing up with a packet of tobacco in one hand and a good supply of cigars in the other.	true	334.79	346.75	15
1944_159227_000023_000004	Not a romantic offering, certainly, but a very acceptable one, as Joe's face proved, as we scrambled these treasures into his pockets, all laughing at the flurry, while less fortunate comrades helped us, with an eye to a share of these fragrant luxuries by and by.	Not a romantic offering, certainly, but a very acceptable one, as Joe's face proved, as we scrambled these treasures into his pockets, all laughing at the flurry, while less fortunate comrades helped us, with an eye to a share of these fragrant luxuries by and by.	true	347.6	367.06	18
1944_159227_000023_000005	There was just time for this, a hearty shake of the big hand, and a grateful "Good-by, ma'am;" then the word was given, and they were off.	There was just time for this, a hearty shake of the big hand, and a grateful "Good by, ma'am;" then the word was given, and they were off.	true	367.79	377.16	20
