8266_279363_000004_000000	Colonel Woodville had begun to swear.	Colonel Woodville had begun to swear.
8266_279363_000004_000001	It was not the torrent of loud imprecation that Dick had heard in Jackson, but subdued, and all the more fierce because it was so like the ferocious whine of a powerful and hurt wild animal.	It was not the torrent of loud imprecation that Dick had heard in Jackson, but subdued, and all the more fierce because it was so like the ferocious whine of a powerful and hurt wild animal.
8266_279363_000005_000000	Dick heard oaths, ripe and rich, entirely new to him, and he heard the old ones in new arrangements and with new inflections.	Dick heard oaths, ripe and rich, entirely new to him, and he heard the old ones in new arrangements and with new inflections.
8266_279363_000005_000001	And yet there was no blasphemy about it.	And yet there was no blasphemy about it.
8266_279363_000006_000000	They reached the door, the cut in the side of the ravine, and at once a wide portion of the battlefield sprang into the light, while the roar of the guns was redoubled.	They reached the door, the cut in the side of the ravine, and at once a wide portion of the battlefield sprang into the light, while the roar of the guns was redoubled.
8266_279363_000006_000001	Dick would have stepped back now, but Colonel Woodville's hand rested on his shoulder and his support was needed.	Dick would have stepped back now, but Colonel Woodville's hand rested on his shoulder and his support was needed.
8266_279363_000007_000000	"My glasses, Margaret!" said the colonel.	"My glasses, Margaret!" said the colonel.
8266_279363_000007_000001	"I must see!	"I must see!
8266_279363_000007_000002	I will see!	I will see!
8266_279363_000007_000003	If I am but an old hound, lying here while the pack is in full cry, I will nevertheless see the chase!	If I am but an old hound, lying here while the pack is in full cry, I will nevertheless see the chase!
8266_279363_000007_000004	And even if I am an old hound I could run with the best of them if that infernal Yankee bullet had not taken me in the leg!"	And even if I am an old hound I could run with the best of them if that infernal Yankee bullet had not taken me in the leg!"
8266_279363_000008_000001	Dick saw only the field of battle, dark lines and blurs, the red flare of cannon and rifle fire, and towers and banks of smoke, but the colonel saw individual human beings, and, with his trained military eye, he knew what the movements meant.	Dick saw only the field of battle, dark lines and blurs, the red flare of cannon and rifle fire, and towers and banks of smoke, but the colonel saw individual human beings, and, with his trained military eye, he knew what the movements meant.
8266_279363_000008_000002	Dick felt the hand upon his shoulder trembling with excitement.	Dick felt the hand upon his shoulder trembling with excitement.
8266_279363_000008_000003	He was excited himself.	He was excited himself.
8266_279363_000008_000004	Miss Woodville stood just behind them, and a faint tinge of color appeared in her pale face.	Miss Woodville stood just behind them, and a faint tinge of color appeared in her pale face.
8266_279363_000009_000000	"The Yankees are getting ready to charge," said the colonel.	"The Yankees are getting ready to charge," said the colonel.
8266_279363_000009_000001	"At the point we see they will not yet rush forward.	"At the point we see they will not yet rush forward.
8266_279363_000009_000003	But the woods and ravines are filled with their skirmishers, trying to clear the way.	But the woods and ravines are filled with their skirmishers, trying to clear the way.
8266_279363_000009_000004	I can see them in hundreds and hundreds, and their rifles make sheets of flame.	I can see them in hundreds and hundreds, and their rifles make sheets of flame.
8266_279363_000009_000005	All the time the cannon are firing over their heads.	All the time the cannon are firing over their heads.
8266_279363_000009_000006	Heavens, what a bombardment!	Heavens, what a bombardment!
8266_279363_000009_000007	I've never before listened to its like!"	I've never before listened to its like!"
8266_279363_000010_000000	"What are our troops doing, father?" asked Miss Woodville.	"What are our troops doing, father?" asked Miss Woodville.
8266_279363_000011_000000	"Very little yet, and they should do little.	"Very little yet, and they should do little.
8266_279363_000011_000001	Pemberton is showing more judgment than I expected of him.	Pemberton is showing more judgment than I expected of him.
8266_279363_000011_000002	The defense should hold its fire until the enemy is well within range and that's what we're doing!"	The defense should hold its fire until the enemy is well within range and that's what we're doing!"
8266_279363_000012_000000	The colonel leaned a little more heavily upon him, but Dick steadied himself.	The colonel leaned a little more heavily upon him, but Dick steadied himself.
8266_279363_000012_000002	The hills shook with the thunder of the cannon, and the brilliant sun, piercing through the smoke, lighted up the vast battle line.	The hills shook with the thunder of the cannon, and the brilliant sun, piercing through the smoke, lighted up the vast battle line.
8266_279363_000013_000000	"The attack of the skirmishers grows hotter," said the old man.	"The attack of the skirmishers grows hotter," said the old man.
8266_279363_000013_000001	"The thickets blaze with the fire of their rifles.	"The thickets blaze with the fire of their rifles.
8266_279363_000013_000003	Now they stop and lie on their arms.	Now they stop and lie on their arms.
8266_279363_000013_000004	They are awaiting the word from other parts of the field, and it shows with certainty that a grand attack is coming.	They are awaiting the word from other parts of the field, and it shows with certainty that a grand attack is coming.
8266_279363_000013_000005	Two batteries of eight guns each have come nearer.	Two batteries of eight guns each have come nearer.
8266_279363_000013_000006	I did not think it possible for the fire of their cannon to increase, but it has done so.	I did not think it possible for the fire of their cannon to increase, but it has done so.
8266_279363_000013_000007	Young sir, would you care to look through the glasses?"	Young sir, would you care to look through the glasses?"
8266_279363_000014_000000	"I believe not, Colonel.	"I believe not, Colonel.
8266_279363_000014_000001	I will trust to the naked eye and your report."	I will trust to the naked eye and your report."
8266_279363_000015_000000	It was an odd feeling that made Dick decline the glasses.	It was an odd feeling that made Dick decline the glasses.
8266_279363_000015_000001	If he looked he must tell to the others what he saw, and he wished to show neither exultation nor depression.	If he looked he must tell to the others what he saw, and he wished to show neither exultation nor depression.
8266_279363_000015_000002	The colonel, the duty of courtesy discharged, resumed his own position of witness and herald.	The colonel, the duty of courtesy discharged, resumed his own position of witness and herald.
8266_279363_000016_000000	"The columns of infantry are getting up again," he said.	"The columns of infantry are getting up again," he said.
8266_279363_000016_000001	"I see a man in what I take to be a general's uniform riding along their front.	"I see a man in what I take to be a general's uniform riding along their front.
8266_279363_000016_000002	He must be making a speech.	He must be making a speech.
8266_279363_000016_000003	No doubt he knows the desperate nature of the attack, and would inspire them.	No doubt he knows the desperate nature of the attack, and would inspire them.
8266_279363_000016_000004	Now he is gone and other officers, colonels and majors are moving about."	Now he is gone and other officers, colonels and majors are moving about."
8266_279363_000017_000000	"What are the skirmishers doing, Colonel?"	"What are the skirmishers doing, Colonel?"
8266_279363_000018_000000	"Their fire is not so hot.	"Their fire is not so hot.
8266_279363_000018_000001	They must be drawing back.	They must be drawing back.
8266_279363_000018_000002	They have made the prelude, and the importance of their role has passed.	They have made the prelude, and the importance of their role has passed.
8266_279363_000018_000003	The masses of infantry are drawing together again.	The masses of infantry are drawing together again.
8266_279363_000018_000004	Now I see men on horseback with trumpets to their lips.	Now I see men on horseback with trumpets to their lips.
8266_279363_000018_000005	Yes, the charge is coming.	Yes, the charge is coming.
8266_279363_000018_000007	That burnt them!"	That burnt them!"
8266_279363_000019_000000	There was a terrific crash much nearer, and Dick knew that it was the Southern batteries opening fire.	There was a terrific crash much nearer, and Dick knew that it was the Southern batteries opening fire.
8266_279363_000019_000001	The shoulder upon which the colonel's hand rested shook a little, but it was from excitement.	The shoulder upon which the colonel's hand rested shook a little, but it was from excitement.
8266_279363_000019_000002	He said nothing and Colonel Woodville continued:	He said nothing and Colonel Woodville continued:
8266_279363_000020_000000	"The smoke is so heavy I can't see what damage was done!	"The smoke is so heavy I can't see what damage was done!
8266_279363_000020_000001	Now it has cleared away!	Now it has cleared away!
8266_279363_000020_000002	There are gaps in the Yankee lines, but the men have closed up, and they come on at the double quick with their cannon still firing over their heads!"	There are gaps in the Yankee lines, but the men have closed up, and they come on at the double quick with their cannon still firing over their heads!"
8266_279363_000021_000000	In his excitement he took his hand off Dick's shoulder and leaned forward a little farther, supporting himself now against the earthen wall.	In his excitement he took his hand off Dick's shoulder and leaned forward a little farther, supporting himself now against the earthen wall.
8266_279363_000021_000001	Dick stood just behind him, shielded from the sight of any one who might be passing in the ravine, although there was little danger now from searchers with a great battle going on.	Dick stood just behind him, shielded from the sight of any one who might be passing in the ravine, although there was little danger now from searchers with a great battle going on.
