4495_10160_000000_000000	Few men of forty would have resisted her at that moment.	Few men of forty would have resisted her at that moment.	false	0.81	5.28	20.481098
4495_10160_000000_000001	Frank was twenty last birthday.	Frank was twenty last birthday.	false	5.28	6.39	12
4495_10160_000000_000002	In other words, he threw aside his cigar, and followed her out of the greenhouse.	In other words, he threw aside his cigar, and followed her out of the greenhouse.	false	6.39	8.82	19.68587
4495_10160_000001_000000	As he turned and closed the door--in the instant when he lost sight of her--his disinclination to be associated with the private theatricals revived.	As he turned and closed the door-in the instant when he lost sight of her-his disinclination to be associated with the private theatricals revived.	false	8.82	14.94	17.58611
4495_10160_000001_000001	At the foot of the house-steps he stopped again; plucked a twig from a plant near him; broke it in his hand; and looked about him uneasily, on this side and on that.	At the foot of the house steps he stopped again; plucked a twig from a plant near him; broke it in his hand; and looked about him uneasily, on this side and on that.	false	14.94	21.63	18.520939
4495_10160_000001_000002	The path to the left led back to his father's cottage--the way of escape lay open.	The path to the left led back to his father's cottage-the way of escape lay open.	false	21.63	21.72	5
4495_10160_000001_000003	Why not take it?	Why not take it?	false	21.72	21.75	-9
4495_10160_000002_000000	While he still hesitated, Mr. Vanstone and his daughter reached the top of the steps.	While he still hesitated, mr Vanstone and his daughter reached the top of the steps.	false	21.75	21.84	-20
4495_10160_000002_000001	Once more, Magdalen looked round--looked with her resistless beauty, with her all-conquering smile.	Once more, Magdalen looked round-looked with her resistless beauty, with her all conquering smile.	false	21.84	21.93	-20
4495_10160_000002_000002	She beckoned again; and again he followed her--up the steps, and over the threshold.	She beckoned again; and again he followed her-up the steps, and over the threshold.	false	21.93	22.89	9
4495_10160_000002_000003	The door closed on them.	The door closed on them.	false	22.89	23.04	-20
4495_10160_000003_000000	So, with a trifling gesture of invitation on one side, with a trifling act of compliance on the other: so--with no knowledge in his mind, with no thought in hers, of the secret still hidden under the journey to London--they took the way which led to that secret's discovery, through many a darker winding that was yet to come.	So, with a trifling gesture of invitation on one side, with a trifling act of compliance on the other: so-with no knowledge in his mind, with no thought in hers, of the secret still hidden under the journey to London-they took the way which led to that secret's discovery, through many a darker winding that was yet to come.	false	23.04	24.945	22.830673
4495_10160_000004_000000	CHAPTER V.	CHAPTER five	true	24.945	26.53	20.444416
4495_10160_000005_000000	MR.	mr	true	27.74	28.32	15
4495_10160_000005_000001	VANSTONE'S inquiries into the proposed theatrical entertainment at Evergreen Lodge were answered by a narrative of dramatic disasters; of which Miss Marrable impersonated the innocent cause, and in which her father and mother played the parts of chief victims.	VANSTONE'S inquiries into the proposed theatrical entertainment at Evergreen Lodge were answered by a narrative of dramatic disasters; of which Miss Marrable impersonated the innocent cause, and in which her father and mother played the parts of chief victims.	true	28.32	46.3	18
4495_10160_000006_000000	Miss Marrable was that hardest of all born tyrants--an only child.	Miss Marrable was that hardest of all born tyrants-an only child.	true	47.06	52.03	16
4495_10160_000006_000001	She had never granted a constitutional privilege to her oppressed father and mother since the time when she cut her first tooth.	She had never granted a constitutional privilege to her oppressed father and mother since the time when she cut her first tooth.	true	52.07	60.25	19.680723
4495_10160_000006_000002	Her seventeenth birthday was now near at hand; she had decided on celebrating it by acting a play; had issued her orders accordingly; and had been obeyed by her docile parents as implicitly as usual.	Her seventeenth birthday was now near at hand; she had decided on celebrating it by acting a play; had issued her orders accordingly; and had been obeyed by her docile parents as implicitly as usual.	true	60.65	74.47	17.952936
