2581_157857_000000_000000	Mr. Raymond Greene was a very gallant man, and he did not hesitate for a moment.	mr Raymond Greene was a very gallant man, and he did not hesitate for a moment.	false	0	5.55	17.882769
2581_157857_000000_000001	He sprang to his feet and escorted the young lady from the saloon.	He sprang to his feet and escorted the young lady from the saloon.	false	5.55	8.85	16
2581_157857_000000_000002	He glanced back, as he left the table, to nod his adieux to the little company whom he had taken under his charge.	He glanced back, as he left the table, to nod his adieux to the little company whom he had taken under his charge.	false	8.85	14.19	18
2581_157857_000000_000003	Philip Romilly was gazing steadfastly out of the porthole.	Philip Romilly was gazing steadfastly out of the porthole.	false	14.19	16.38	23.240307
2581_157857_000001_000000	"Kind of delicate young fellow, that," he remarked.	"Kind of delicate young fellow, that," he remarked.	false	16.38	17.79	18.034294
2581_157857_000001_000001	"Nice face, too. Can't help thinking that I've met or seen some one like him lately."	"Nice face, too. Can't help thinking that I've met or seen some one like him lately."	false	17.79	20.43	18.370504
2581_157857_000002_000000	CHAPTER V	CHAPTER five	true	20.43	21.55	21.757792
2581_157857_000003_000000	Philip Romilly found himself alone at last with the things which he had craved--darkness, solitude, the rushing of the salt wind, the sense of open spaces.	Philip Romilly found himself alone at last with the things which he had craved-darkness, solitude, the rushing of the salt wind, the sense of open spaces.	true	22.52	32.29	12
2581_157857_000003_000001	On the other, the sheltered side of the steamer, long lines of passengers were stretched in wicker chairs, smoking and drinking their coffee, but where he was no one came save an occasional promenader.	On the other, the sheltered side of the steamer, long lines of passengers were stretched in wicker chairs, smoking and drinking their coffee, but where he was no one came save an occasional promenader.	true	32.78	44.44	11
2581_157857_000003_000002	Yet even here was a disappointment.	Yet even here was a disappointment.	true	44.96	47.115	13
2581_157857_000003_000003	He had come for peace, for a brief escape from the thrall of memories which during the last few hours had become charged with undreamed-of horrors--and there was to be no peace.	He had come for peace, for a brief escape from the thrall of memories which during the last few hours had become charged with undreamed of horrors-and there was to be no peace.	true	47.115	57.85	14
2581_157857_000003_000004	In the shadowy darkness which rested upon the white-churned sea flying past him, he saw again, with horrible distinctness, the face, the figure of the man who for those few brief minutes he had hated with a desperate and passionate hatred.	In the shadowy darkness which rested upon the white churned sea flying past him, he saw again, with horrible distinctness, the face, the figure of the man who for those few brief minutes he had hated with a desperate and passionate hatred.	false	58.4	72.79	12
2581_157857_000003_000005	He saw the broken photograph, the glass splintered into a thousand pieces.	He saw the broken photograph, the glass splintered into a thousand pieces.	true	73.46	77.68	14
2581_157857_000003_000006	He saw the man himself, choking, sinking down beneath the black waters; heard the stifled cry from his palsied lips, saw the slow dawning agony of death in his distorted features.	He saw the man himself, choking, sinking down beneath the black waters; heard the stifled cry from his palsied lips, saw the slow dawning agony of death in his distorted features.	false	77.84	89.89	12
2581_157857_000003_000007	Some one was playing a mandolin down in the second class.	Some one was playing a mandolin down in the second class.	true	90.62	93.61	8
2581_157857_000003_000008	He heard the feet of a dancer upon the deck, the little murmur of applause.	He heard the feet of a dancer upon the deck, the little murmur of applause.	true	93.8	97.75	14
2581_157857_000003_000009	Well, after all, this was life.	Well, after all, this was life.	true	98.06	100.39	15
2581_157857_000003_000010	It was a rebuke of fate to his own illogical and useless vapourings.	It was a rebuke of fate to his own illogical and useless vapourings.	true	100.55	105.04	10
2581_157857_000003_000011	Men died every second whilst women danced, and no one who knew life had any care save for the measure of their own days.	Men died every second whilst women danced, and no one who knew life had any care save for the measure of their own days.	true	105.29	112.42	9
2581_157857_000003_000012	Some freakish thought pleaded stridently his own justification.	Some freakish thought pleaded stridently his own justification.	true	113.06	117.01	13
2581_157857_000003_000013	His mind travelled back down the gloomy avenues of his past, along those last aching years of grinding and undeserved poverty.	His mind travelled back down the gloomy avenues of his past, along those last aching years of grinding and undeserved poverty.	true	117.65	125.08	10
2581_157857_000003_000014	He remembered his upbringing, his widowed mother, a woman used to every luxury, struggling to make both ends meet in a suburban street, in a hired cottage filled with hired furniture.	He remembered his upbringing, his widowed mother, a woman used to every luxury, struggling to make both ends meet in a suburban street, in a hired cottage filled with hired furniture.	true	125.72	136.69	13
2581_157857_000003_000015	He remembered his schooldays, devoid of pocket money, unable to join in the sports of others, slaving with melancholy perseverance for a scholarship to lighten his mother's burden.	He remembered his schooldays, devoid of pocket money, unable to join in the sports of others, slaving with melancholy perseverance for a scholarship to lighten his mother's burden.	true	137.33	147.19	11
