664_129011_000002_000000	CHAPTER IV	CHAPTER four
664_129011_000003_000000	The Green Silk Purse	The Green Silk Purse
664_129011_000004_000001	She was all respectful gratitude to Mrs. Sedley; delighted beyond measure at the Bazaars; and in a whirl of wonder at the theatre, whither the good-natured lady took her.	She was all respectful gratitude to mrs Sedley; delighted beyond measure at the Bazaars; and in a whirl of wonder at the theatre, whither the good-natured lady took her.
664_129011_000004_000002	One day, Amelia had a headache, and could not go upon some party of pleasure to which the two young people were invited: nothing could induce her friend to go without her.	One day, Amelia had a headache, and could not go upon some party of pleasure to which the two young people were invited: nothing could induce her friend to go without her.
664_129011_000004_000004	Never!" and the green eyes looked up to Heaven and filled with tears; and Mrs. Sedley could not but own that her daughter's friend had a charming kind heart of her own.	Never!" and the green eyes looked up to Heaven and filled with tears; and mrs Sedley could not but own that her daughter's friend had a charming kind heart of her own.
664_129011_000005_000000	As for Mr. Sedley's jokes, Rebecca laughed at them with a cordiality and perseverance which not a little pleased and softened that good-natured gentleman.	As for mr Sedley's jokes, Rebecca laughed at them with a cordiality and perseverance which not a little pleased and softened that good-natured gentleman.
664_129011_000008_000000	"My love!	"My love!
664_129011_000009_000000	"The poor child is all heart," said Mrs. Sedley.	"The poor child is all heart," said mrs Sedley.
664_129011_000010_000000	"I wish she could stay with us another week," said Amelia.	"I wish she could stay with us another week," said Amelia.
664_129011_000011_000000	"She's devilish like Miss Cutler that I used to meet at Dumdum, only fairer.	"She's devilish like Miss Cutler that I used to meet at Dumdum, only fairer.
664_129011_000011_000002	Do you know, Ma'am, that once Quintin, of the 14th, bet me--"	Do you know, Ma'am, that once Quintin, of the fourteenth, bet me-"
664_129011_000012_000000	"O Joseph, we know that story," said Amelia, laughing.	"O Joseph, we know that story," said Amelia, laughing.
664_129011_000012_000001	"Never mind about telling that; but persuade Mamma to write to Sir Something Crawley for leave of absence for poor dear Rebecca: here she comes, her eyes red with weeping."	"Never mind about telling that; but persuade Mamma to write to Sir Something Crawley for leave of absence for poor dear Rebecca: here she comes, her eyes red with weeping."
664_129011_000013_000001	"How kind you all are to me!	"How kind you all are to me!
664_129011_000015_000000	"Yes; how could you be so cruel as to make me eat that horrid pepper-dish at dinner, the first day I ever saw you?	"Yes; how could you be so cruel as to make me eat that horrid pepper dish at dinner, the first day I ever saw you?
664_129011_000015_000001	You are not so good to me as dear Amelia."	You are not so good to me as dear Amelia."
664_129011_000016_000000	"He doesn't know you so well," cried Amelia.	"He doesn't know you so well," cried Amelia.
664_129011_000019_000000	"And the chilis?"	"And the chilis?"
664_129011_000020_000000	"By Jove, how they made you cry out!" said Joe, caught by the ridicule of the circumstance, and exploding in a fit of laughter which ended quite suddenly, as usual.	"By Jove, how they made you cry out!" said Joe, caught by the ridicule of the circumstance, and exploding in a fit of laughter which ended quite suddenly, as usual.
664_129011_000021_000000	"I shall take care how I let YOU choose for me another time," said Rebecca, as they went down again to dinner.	"I shall take care how I let YOU choose for me another time," said Rebecca, as they went down again to dinner.
664_129011_000021_000001	"I didn't think men were fond of putting poor harmless girls to pain."	"I didn't think men were fond of putting poor harmless girls to pain."
664_129011_000024_000000	It was an advance, and as such, perhaps, some ladies of indisputable correctness and gentility will condemn the action as immodest; but, you see, poor dear Rebecca had all this work to do for herself.	It was an advance, and as such, perhaps, some ladies of indisputable correctness and gentility will condemn the action as immodest; but, you see, poor dear Rebecca had all this work to do for herself.
664_129011_000024_000003	We can't resist them, if they do.	We can't resist them, if they do.
664_129011_000024_000005	A woman with fair opportunities, and without an absolute hump, may marry WHOM SHE LIKES. Only let us be thankful that the darlings are like the beasts of the field, and don't know their own power.	A woman with fair opportunities, and without an absolute hump, may marry WHOM SHE LIKES. Only let us be thankful that the darlings are like the beasts of the field, and don't know their own power.
664_129011_000024_000006	They would overcome us entirely if they did.	They would overcome us entirely if they did.
664_129011_000025_000000	"Egad!" thought Joseph, entering the dining-room, "I exactly begin to feel as I did at Dumdum with Miss Cutler." Many sweet little appeals, half tender, half jocular, did Miss Sharp make to him about the dishes at dinner; for by this time she was on a footing of considerable familiarity with the family, and as for the girls, they loved each other like sisters.	"Egad!" thought Joseph, entering the dining room, "I exactly begin to feel as I did at Dumdum with Miss Cutler." Many sweet little appeals, half tender, half jocular, did Miss Sharp make to him about the dishes at dinner; for by this time she was on a footing of considerable familiarity with the family, and as for the girls, they loved each other like sisters.
664_129011_000026_000000	As if bent upon advancing Rebecca's plans in every way--what must Amelia do, but remind her brother of a promise made last Easter holidays--"When I was a girl at school," said she, laughing--a promise that he, Joseph, would take her to Vauxhall.	As if bent upon advancing Rebecca's plans in every way-what must Amelia do, but remind her brother of a promise made last Easter holidays-"When I was a girl at school," said she, laughing-a promise that he, Joseph, would take her to Vauxhall.
664_129011_000027_000000	"O, delightful!" said Rebecca, going to clap her hands; but she recollected herself, and paused, like a modest creature, as she was.	"O, delightful!" said Rebecca, going to clap her hands; but she recollected herself, and paused, like a modest creature, as she was.
664_129011_000028_000000	"To-night is not the night," said Joe.	"To night is not the night," said Joe.
664_129011_000029_000000	"Well, to-morrow."	"Well, to morrow."
664_129011_000032_000000	"The children must have someone with them," cried Mrs. Sedley.	"The children must have someone with them," cried mrs Sedley.
664_129011_000033_000000	"Let Joe go," said-his father, laughing.	"Let Joe go," said his father, laughing.
664_129011_000033_000001	"He's big enough." At which speech even Mr. Sambo at the sideboard burst out laughing, and poor fat Joe felt inclined to become a parricide almost.	"He's big enough." At which speech even mr Sambo at the sideboard burst out laughing, and poor fat Joe felt inclined to become a parricide almost.
664_129011_000034_000002	Poor victim! carry him up; he's as light as a feather!"	Poor victim! carry him up; he's as light as a feather!"
664_129011_000036_000000	"Order Mr. Jos's elephant, Sambo!" cried the father.	"Order mr Jos's elephant, Sambo!" cried the father.
664_129011_000037_000000	A goblet of Champagne restored Joseph's equanimity, and before the bottle was emptied, of which as an invalid he took two-thirds, he had agreed to take the young ladies to Vauxhall.	A goblet of Champagne restored Joseph's equanimity, and before the bottle was emptied, of which as an invalid he took two thirds, he had agreed to take the young ladies to Vauxhall.
664_129011_000038_000000	"The girls must have a gentleman apiece," said the old gentleman.	"The girls must have a gentleman apiece," said the old gentleman.
664_129011_000039_000000	At this, I don't know in the least for what reason, Mrs. Sedley looked at her husband and laughed.	At this, I don't know in the least for what reason, mrs Sedley looked at her husband and laughed.
664_129011_000039_000002	"Amelia had better write a note," said her father; "and let George Osborne see what a beautiful handwriting we have brought back from Miss Pinkerton's.	"Amelia had better write a note," said her father; "and let George Osborne see what a beautiful handwriting we have brought back from Miss Pinkerton's.
664_129011_000042_000000	"It was quite wicked of you, Mr. Sedley," said she, "to torment the poor boy so."	"It was quite wicked of you, mr Sedley," said she, "to torment the poor boy so."
664_129011_000043_000007	But, mark my words, the first woman who fishes for him, hooks him."	But, mark my words, the first woman who fishes for him, hooks him."
664_129011_000044_000000	"She shall go off to-morrow, the little artful creature," said Mrs. Sedley, with great energy.	"She shall go off to morrow, the little artful creature," said mrs Sedley, with great energy.
664_129011_000045_000001	The girl's a white face at any rate.	The girl's a white face at any rate.
664_129011_000045_000002	I don't care who marries him.	I don't care who marries him.
664_129011_000045_000003	Let Joe please himself."	Let Joe please himself."
664_129011_000046_000000	And presently the voices of the two speakers were hushed, or were replaced by the gentle but unromantic music of the nose; and save when the church bells tolled the hour and the watchman called it, all was silent at the house of John Sedley, Esquire, of Russell Square, and the Stock Exchange.	And presently the voices of the two speakers were hushed, or were replaced by the gentle but unromantic music of the nose; and save when the church bells tolled the hour and the watchman called it, all was silent at the house of john Sedley, Esquire, of Russell Square, and the Stock Exchange.
664_129011_000049_000002	In a word, George was as familiar with the family as such daily acts of kindness and intercourse could make him.	In a word, George was as familiar with the family as such daily acts of kindness and intercourse could make him.
664_129011_000051_000000	Jos remembered this remarkable circumstance perfectly well, but vowed that he had totally forgotten it.	Jos remembered this remarkable circumstance perfectly well, but vowed that he had totally forgotten it.
664_129011_000054_000000	"Yes, and after I had cut the tassels of his boots too.	"Yes, and after I had cut the tassels of his boots too.
664_129011_000054_000001	Boys never forget those tips at school, nor the givers."	Boys never forget those tips at school, nor the givers."
664_129011_000057_000000	"I shan't have time to do it here," said Rebecca.	"I shan't have time to do it here," said Rebecca.
664_129011_000058_000000	"O that you could stay longer, dear Rebecca," said Amelia.	"O that you could stay longer, dear Rebecca," said Amelia.
664_129011_000059_000000	"Why?" answered the other, still more sadly.	"Why?" answered the other, still more sadly.
664_129011_000059_000002	George Osborne looked at the two young women with a touched curiosity; and Joseph Sedley heaved something very like a sigh out of his big chest, as he cast his eyes down towards his favourite Hessian boots.	George Osborne looked at the two young women with a touched curiosity; and Joseph Sedley heaved something very like a sigh out of his big chest, as he cast his eyes down towards his favourite Hessian boots.
664_129011_000060_000002	But this arrangement left Mr. Joseph Sedley tete-a-tete with Rebecca, at the drawing-room table, where the latter was occupied in knitting a green silk purse.	But this arrangement left mr Joseph Sedley tete a tete with Rebecca, at the drawing room table, where the latter was occupied in knitting a green silk purse.
664_129011_000061_000000	"There is no need to ask family secrets," said Miss Sharp.	"There is no need to ask family secrets," said Miss Sharp.
664_129011_000061_000001	"Those two have told theirs."	"Those two have told theirs."
664_129011_000062_000000	"As soon as he gets his company," said Joseph, "I believe the affair is settled.	"As soon as he gets his company," said Joseph, "I believe the affair is settled.
664_129011_000062_000001	George Osborne is a capital fellow."	George Osborne is a capital fellow."
664_129011_000064_000000	When two unmarried persons get together, and talk upon such delicate subjects as the present, a great deal of confidence and intimacy is presently established between them.	When two unmarried persons get together, and talk upon such delicate subjects as the present, a great deal of confidence and intimacy is presently established between them.
664_129011_000064_000002	As there was music in the next room, the talk was carried on, of course, in a low and becoming tone, though, for the matter of that, the couple in the next apartment would not have been disturbed had the talking been ever so loud, so occupied were they with their own pursuits.	As there was music in the next room, the talk was carried on, of course, in a low and becoming tone, though, for the matter of that, the couple in the next apartment would not have been disturbed had the talking been ever so loud, so occupied were they with their own pursuits.
664_129011_000065_000000	Almost for the first time in his life, Mr. Sedley found himself talking, without the least timidity or hesitation, to a person of the other sex.	Almost for the first time in his life, mr Sedley found himself talking, without the least timidity or hesitation, to a person of the other sex.
664_129011_000065_000001	Miss Rebecca asked him a great number of questions about India, which gave him an opportunity of narrating many interesting anecdotes about that country and himself.	Miss Rebecca asked him a great number of questions about India, which gave him an opportunity of narrating many interesting anecdotes about that country and himself.
