8527_281131_000000_000000	CHAPTER III.	CHAPTER three.	false	23.73	26.82	22.868793
8527_281131_000001_000000	The Return from California to New Mexico--San Fernando and the Peublo of Los Angelos--Description of these Peublos--Passports demanded at Los Angelos--Trouble with the Mexican Authorities--Kit Carson sent on with the Pack Animals One Trapper shoots another--The Mexicans become frightened--Indians come into Camp with their Weapons concealed--Cool Reception by Kit Carson--Arrival at Santa Fe and Taos--Money realized soon parted with--Carson joins another Expedition--The Rivers trapped on--Four Men Killed by Blackfeet Indians--Kit Carson joins Gaunt's Party--The Parks--Winter Quarters--Crow Indian Depredations--Kit Carson and his Party in Pursuit--the Fight--Winter on the Arkansas--Another Expedition--Two Deserters--Kit Carson sent in Pursuit--The Fate of the Runaways--Adventures with Indians--Hair-breadth Escape made by Kit Carson.	The Return from California to New Mexico-San Fernando and the Peublo of Los Angelos-Description of these Peublos-Passports demanded at Los Angelos-Trouble with the Mexican Authorities-Kit Carson sent on with the Pack Animals One Trapper shoots another-The Mexicans become frightened-Indians come into Camp with their Weapons concealed-Cool Reception by Kit Carson-Arrival at Santa Fe and Taos-Money realized soon parted with-Carson joins another Expedition-The Rivers trapped on-Four Men Killed by Blackfeet Indians-Kit Carson joins Gaunt's Party-The Parks-Winter Quarters-Crow Indian Depredations-Kit Carson and his Party in Pursuit-the Fight-Winter on the Arkansas-Another Expedition-Two Deserters-Kit Carson sent in Pursuit-The Fate of the Runaways-Adventures with Indians-Hair breadth Escape made by Kit Carson.	false	26.82	101.38	21.56317
8527_281131_000002_000000	In September, Mr. Young, having accomplished all that he had intended, informed his men that he was going to New Mexico.	In September, mr Young, having accomplished all that he had intended, informed his men that he was going to New Mexico.	true	103.4	109.63	22.387266
8527_281131_000002_000001	The homeward route was through most of the country over which they had previously traveled.	The homeward route was through most of the country over which they had previously traveled.	true	110.27	114.61	23.540443
8527_281131_000002_000002	The preparations for the journey having been completed, the party started, touching on the way at the Mission of San Fernando, and thence through to the Peublo of Los Angelos.	The preparations for the journey having been completed, the party started, touching on the way at the Mission of San Fernando, and thence through to the Peublo of Los Angelos.	false	115.04	124.27	21.743866
8527_281131_000002_000003	Scattered over various parts of the dominion of Old Mexico are these Peublos, or Indian villages, called so because they are inhabited by Indians who bear that name.	Scattered over various parts of the dominion of Old Mexico are these Peublos, or Indian villages, called so because they are inhabited by Indians who bear that name.	true	125.36	134.92	22.26353
8527_281131_000002_000004	These are the true descendants of the ancient Aztecs, who were once the subjects of the Montezumas.	These are the true descendants of the ancient Aztecs, who were once the subjects of the Montezumas.	true	135.35	140.62	21.326838
8527_281131_000002_000005	They are usually a quiet and industrious race, and are most devout in their religious worship, according to the principles, forms, and ceremonies of the Roman Catholic Church.	They are usually a quiet and industrious race, and are most devout in their religious worship, according to the principles, forms, and ceremonies of the Roman Catholic Church.	true	141.14	151.09	23.314875
8527_281131_000002_000006	They have not failed to inherit the superstition of their forefathers.	They have not failed to inherit the superstition of their forefathers.	true	151.61	155.2	21.175404
8527_281131_000002_000007	Not withstanding the changes which time, with its cohorts of emigration, books, religious teachings, association with other races, mechanics, science and art, in greater or less degree, has introduced into their country, and accomplished under their eyes, they still believe that some day their great chief will return to them; accordingly, in each and every one of their towns, they keep a watch-fire burning, in order, on his advent, to let him know where his children live.	Not withstanding the changes which time, with its cohorts of emigration, books, religious teachings, association with other races, mechanics, science and art, in greater or less degree, has introduced into their country, and accomplished under their eyes, they still believe that some day their great chief will return to them; accordingly, in each and every one of their towns, they keep a watch fire burning, in order, on his advent, to let him know where his children live.	false	155.54	185.475	22.120575
8527_281131_000003_000000	At Los Angelos the Mexican authorities came to the trappers and demanded their passports.	At Los Angelos the Mexican authorities came to the trappers and demanded their passports.	false	185.475	190.12	21.445208
8527_281131_000003_000001	On finding that such articles of paper authority did not form any part of a trapper's outfit, they determined to arrest them.	On finding that such articles of paper authority did not form any part of a trapper's outfit, they determined to arrest them.	false	190.82	198.4	26.425793
8527_281131_000003_000002	Fear, however, prevented their determination from assuming any very formidable action.	Fear, however, prevented their determination from assuming any very formidable action.	false	199.13	203.62	21.492802
8527_281131_000003_000003	Former experience in a similar matter of official duty had taught those Mexicans that the American trappers were men of a peculiarly resolute nature.	Former experience in a similar matter of official duty had taught those Mexicans that the American trappers were men of a peculiarly resolute nature.	true	204.26	212.56	22
8527_281131_000003_000004	Fair and legitimate means were therefore laid aside, and a foul policy adopted.	Fair and legitimate means were therefore laid aside, and a foul policy adopted.	true	213.5	218.14	20.73711
8527_281131_000003_000005	They commenced supplying them with "firewater," thus attacking them in a weak point.	They commenced supplying them with "firewater," thus attacking them in a weak point.	false	218.42	224.83	25.928816
8527_281131_000003_000006	When they should become fully inebriated they considered the matter of their arrest both easy and certain.	When they should become fully inebriated they considered the matter of their arrest both easy and certain.	true	225.44	231.49	19.615847
