3083_7943_000004_000000	TO FRANCES, MY WIFE	TO FRANCES, MY WIFE
3083_7943_000005_000000	IN MEMORY OF THAT BEAUTIFUL SUMMER IN THE OZARK HILLS, WHEN, SO OFTEN, WE FOLLOWED THE OLD TRAIL AROUND THE RISE OF MUTTON HOLLOW--THE TRAIL THAT IS NOBODY KNOWS HOW OLD--AND FROM SAMMY'S LOOKOUT WATCHED THE DAY GO OVER THE WESTERN RIDGES.	IN MEMORY OF THAT BEAUTIFUL SUMMER IN THE OZARK HILLS, WHEN, SO OFTEN, WE FOLLOWED THE OLD TRAIL AROUND THE RISE OF MUTTON HOLLOW-THE TRAIL THAT IS NOBODY KNOWS HOW OLD-AND FROM SAMMY'S LOOKOUT WATCHED THE DAY GO OVER THE WESTERN RIDGES.
3083_7943_000006_000000	"That all with one consent praise new-born gawds, Tho they are made and moulded of things past, And give to dust that is a little gilt More laud than gilt o'er-dusted."	"That all with one consent praise new born gawds, Tho they are made and moulded of things past, And give to dust that is a little gilt More laud than gilt o'er dusted."
3083_7943_000007_000000	TROILUS AND CRESSIDA.	TROILUS AND CRESSIDA.
3083_7943_000008_000000	CHAPTER I.	CHAPTER one
3083_7943_000010_000000	It was corn-planting time, when the stranger followed the Old Trail into the Mutton Hollow neighborhood.	It was corn planting time, when the stranger followed the Old Trail into the Mutton Hollow neighborhood.
3083_7943_000011_000000	All day a fine rain had fallen steadily, and the mists hung heavy over the valley.	All day a fine rain had fallen steadily, and the mists hung heavy over the valley.
3083_7943_000011_000001	The lower hills were wrapped as in a winding sheet; dank and cold.	The lower hills were wrapped as in a winding sheet; dank and cold.
3083_7943_000011_000002	The trees were dripping with moisture.	The trees were dripping with moisture.
3083_7943_000011_000003	The stranger looked tired and wet.	The stranger looked tired and wet.
3083_7943_000012_000001	His form stooped a little in the shoulders, perhaps with weariness, but he carried himself with the unconscious air of one long used to a position of conspicuous power and influence; and, while his well-kept hair and beard were strongly touched with white, the brown, clear lighted eyes, that looked from under their shaggy brows, told of an intellect unclouded by the shadows of many years.	His form stooped a little in the shoulders, perhaps with weariness, but he carried himself with the unconscious air of one long used to a position of conspicuous power and influence; and, while his well kept hair and beard were strongly touched with white, the brown, clear lighted eyes, that looked from under their shaggy brows, told of an intellect unclouded by the shadows of many years.
3083_7943_000012_000002	It was a face marked deeply by pride; pride of birth, of intellect, of culture; the face of a scholar and poet; but it was more--it was the countenance of one fairly staggering under a burden of disappointment and grief.	It was a face marked deeply by pride; pride of birth, of intellect, of culture; the face of a scholar and poet; but it was more-it was the countenance of one fairly staggering under a burden of disappointment and grief.
3083_7943_000013_000000	As the stranger walked, he looked searchingly into the mists on every hand, and paused frequently as if questioning the proper course.	As the stranger walked, he looked searchingly into the mists on every hand, and paused frequently as if questioning the proper course.
3083_7943_000014_000000	As the figure of the traveler emerged from the mists, the native checked his horse to greet the newcomer with the customary salutation of the backwoods, "Howdy."	As the figure of the traveler emerged from the mists, the native checked his horse to greet the newcomer with the customary salutation of the backwoods, "Howdy."
3083_7943_000015_000000	The man returned Jed's greeting cordially, and, resting his satchel on a rock beside the narrow path, added, "I am very glad to meet you.	The man returned Jed's greeting cordially, and, resting his satchel on a rock beside the narrow path, added, "I am very glad to meet you.
3083_7943_000015_000001	I fear that I am lost."	I fear that I am lost."
3083_7943_000016_000000	The voice was marvelously pure, deep, and musical, and, like the brown eyes, betrayed the real strength of the man, denied by his gray hair and bent form.	The voice was marvelously pure, deep, and musical, and, like the brown eyes, betrayed the real strength of the man, denied by his gray hair and bent form.
3083_7943_000016_000002	The boy looked at the speaker in wide-eyed wonder; he had a queer feeling that he was in the presence of a superior being.	The boy looked at the speaker in wide eyed wonder; he had a queer feeling that he was in the presence of a superior being.
3083_7943_000018_000000	"Where am I trying to get to?" As the man repeated Jed's question, he drew his hand wearily across his brow; "I--I--it doesn't much matter, boy.	"Where am I trying to get to?" As the man repeated Jed's question, he drew his hand wearily across his brow; "I-I-it doesn't much matter, boy.
3083_7943_000018_000002	Do you live near here?"	Do you live near here?"
3083_7943_000019_000001	Hit'll be plumb dark 'gin I git home.	Hit'll be plumb dark 'gin I git home.
3083_7943_000019_000003	What might YER name be, Mister?"	What might YER name be, Mister?"
