3083_7943_000000_000000	THE SHEPHERD OF THE HILLS ***	THE SHEPHERD OF THE HILLS asterisk asterisk asterisk	false	3.12	5.37	22.124498
3083_7943_000001_000000	Produced by Jim Weiler and Robert Rowe	Produced by Jim Weiler and Robert Rowe	false	5.37	8.97	22.667494
3083_7943_000002_000000	THE SHEPHERD OF THE HILLS	THE SHEPHERD OF THE HILLS	false	8.97	22.38	20.33349
3083_7943_000003_000000	BY HAROLD BELL WRIGHT	BY HAROLD BELL WRIGHT	false	22.38	28.05	21.275457
3083_7943_000004_000000	TO FRANCES, MY WIFE	TO FRANCES, MY WIFE	true	28.05	29.89	21
3083_7943_000005_000000	IN MEMORY OF THAT BEAUTIFUL SUMMER IN THE OZARK HILLS, WHEN, SO OFTEN, WE FOLLOWED THE OLD TRAIL AROUND THE RISE OF MUTTON HOLLOW--THE TRAIL THAT IS NOBODY KNOWS HOW OLD--AND FROM SAMMY'S LOOKOUT WATCHED THE DAY GO OVER THE WESTERN RIDGES.	IN MEMORY OF THAT BEAUTIFUL SUMMER IN THE OZARK HILLS, WHEN, SO OFTEN, WE FOLLOWED THE OLD TRAIL AROUND THE RISE OF MUTTON HOLLOW-THE TRAIL THAT IS NOBODY KNOWS HOW OLD-AND FROM SAMMY'S LOOKOUT WATCHED THE DAY GO OVER THE WESTERN RIDGES.	true	30.17	46.24	21.349657
3083_7943_000006_000000	"That all with one consent praise new-born gawds, Tho they are made and moulded of things past, And give to dust that is a little gilt More laud than gilt o'er-dusted."	"That all with one consent praise new born gawds, Tho they are made and moulded of things past, And give to dust that is a little gilt More laud than gilt o'er dusted."	true	48.59	61.6	23.847666
3083_7943_000007_000000	TROILUS AND CRESSIDA.	TROILUS AND CRESSIDA.	true	62.24	63.75	20
3083_7943_000007_000001	ACT 3; SC. 3.	a c t three; s c. three.	false	63.75	66.1	20.288824
3083_7943_000008_000000	CHAPTER I.	CHAPTER one	true	67.94	69.1	24.225973
3083_7943_000009_000000	THE STRANGER.	THE STRANGER.	true	69.32	70.54	18.551792
