203_132073_000000_000000	Somebody opened the door from inside the house.	Somebody opened the door from inside the house.	false	0	2.58	26.196228
203_132073_000001_000000	"Good-night," said Platt.	"Good night," said Platt.	false	2.58	3.87	39.70984
203_132073_000001_000001	"I'll see you at the store to-morrow."	"I'll see you at the store to morrow."	false	3.87	5.22	14
203_132073_000002_000000	Miss Asher ran up to her room and shook the school teacher until she sat up in bed ready to scream "Fire!"	Miss Asher ran up to her room and shook the school teacher until she sat up in bed ready to scream "Fire!"	false	5.22	8.22	28.306437
203_132073_000003_000000	"Where is it?" she cried.	"Where is it?" she cried.	false	8.22	8.22	
203_132073_000004_000000	"That's what I want to know," said the model.	"That's what I want to know," said the model.	false	8.22	8.22	
203_132073_000004_000001	"You've studied geography, Emma, and you ought to know.	"You've studied geography, Emma, and you ought to know.	false	8.22	8.43	-20
203_132073_000004_000002	Where is a town called Cac--Cac--Carac--Caracas City, I think, they called it?"	Where is a town called Cac-Cac-Carac-Caracas City, I think, they called it?"	false	8.43	8.595	22
203_132073_000005_000000	"How dare you wake me up for that?" said the school teacher. "Caracas is in Venezuela, of course."	"How dare you wake me up for that?" said the school teacher. "Caracas is in Venezuela, of course."	false	8.595	12.03	25.75269
203_132073_000006_000000	"What's it like?"	"What's it like?"	false	12.03	13.2	21.481287
203_132073_000007_000000	"Why, it's principally earthquakes and negroes and monkeys and malarial fever and volcanoes."	"Why, it's principally earthquakes and negroes and monkeys and malarial fever and volcanoes."	false	13.2	17.91	26.057802
203_132073_000008_000000	"I don't care," said Miss Asher, blithely; "I'm going there to-morrow."	"I don't care," said Miss Asher, blithely; "I'm going there to morrow."	false	17.91	22.41	21.67245
203_132073_000009_000000	THE BADGE OF POLICEMAN O'ROON	THE BADGE OF POLICEMAN O'ROON	true	22.41	25.12	25.600313
203_132073_000010_000000	It cannot be denied that men and women have looked upon one another for the first time and become instantly enamored.	It cannot be denied that men and women have looked upon one another for the first time and become instantly enamored.	true	26.33	33.46	24.247704
203_132073_000010_000001	It is a risky process, this love at first sight, before she has seen him in Bradstreet or he has seen her in curl papers.	It is a risky process, this love at first sight, before she has seen him in Bradstreet or he has seen her in curl papers.	true	33.68	42.22	23.320581
203_132073_000010_000002	But these things do happen; and one instance must form a theme for this story--though not, thank Heaven, to the overshadowing of more vital and important subjects, such as drink, policemen, horses and earldoms.	But these things do happen; and one instance must form a theme for this story-though not, thank Heaven, to the overshadowing of more vital and important subjects, such as drink, policemen, horses and earldoms.	true	42.71	55.84	23.128317
203_132073_000011_000000	During a certain war a troop calling itself the Gentle Riders rode into history and one or two ambuscades.	During a certain war a troop calling itself the Gentle Riders rode into history and one or two ambuscades.	true	56.36	62.86	21.560863
203_132073_000011_000001	The Gentle Riders were recruited from the aristocracy of the wild men of the West and the wild men of the aristocracy of the East.	The Gentle Riders were recruited from the aristocracy of the wild men of the West and the wild men of the aristocracy of the East.	true	63.35	70.87	21.096375
203_132073_000011_000002	In khaki there is little telling them one from another, so they became good friends and comrades all around.	In khaki there is little telling them one from another, so they became good friends and comrades all around.	true	71.66	78.7	22.777773
203_132073_000012_000000	Ellsworth Remsen, whose old Knickerbocker descent atoned for his modest rating at only ten millions, ate his canned beef gayly by the campfires of the Gentle Riders.	Ellsworth Remsen, whose old Knickerbocker descent atoned for his modest rating at only ten millions, ate his canned beef gayly by the campfires of the Gentle Riders.	true	79.16	90.16	21.72497
203_132073_000012_000001	The war was a great lark to him, so that he scarcely regretted polo and planked shad.	The war was a great lark to him, so that he scarcely regretted polo and planked shad.	true	90.62	96.34	23.893545
203_132073_000013_000000	One of the troopers was a well set up, affable, cool young man, who called himself O'Roon.	One of the troopers was a well set up, affable, cool young man, who called himself O'Roon.	true	96.83	102.64	22.679054
203_132073_000013_000001	To this young man Remsen took an especial liking.	To this young man Remsen took an especial liking.	true	103.25	106.24	20.529577
203_132073_000013_000002	The two rode side by side during the famous mooted up-hill charge that was disputed so hotly at the time by the Spaniards and afterward by the Democrats.	The two rode side by side during the famous mooted up hill charge that was disputed so hotly at the time by the Spaniards and afterward by the Democrats.	true	106.82	116.5	21
203_132073_000014_000000	After the war Remsen came back to his polo and shad.	After the war Remsen came back to his polo and shad.	true	116.96	120.7	23.286907
203_132073_000014_000001	One day a well set up, affable, cool young man disturbed him at his club, and he and O'Roon were soon pounding each other and exchanging opprobrious epithets after the manner of long-lost friends.	One day a well set up, affable, cool young man disturbed him at his club, and he and O'Roon were soon pounding each other and exchanging opprobrious epithets after the manner of long lost friends.	true	121.13	134.2	22.238182
203_132073_000014_000002	O'Roon looked seedy and out of luck and perfectly contented.	O'Roon looked seedy and out of luck and perfectly contented.	true	134.54	138.52	26.893467
203_132073_000014_000003	But it seemed that his content was only apparent.	But it seemed that his content was only apparent.	true	138.68	141.61	23.917332
203_132073_000015_000000	"Get me a job, Remsen," he said.	"Get me a job, Remsen," he said.	true	144.32	146.325	21.093098
203_132073_000015_000001	"I've just handed a barber my last shilling."	"I've just handed a barber my last shilling."	true	146.325	148.72	19.896013
203_132073_000016_000000	"No trouble at all," said Remsen.	"No trouble at all," said Remsen.	true	149.45	151.245	20.53954
203_132073_000016_000001	"I know a lot of men who have banks and stores and things downtown.	"I know a lot of men who have banks and stores and things downtown.	true	151.245	155.205	19
203_132073_000016_000002	Any particular line you fancy?"	Any particular line you fancy?"	true	155.205	157.3	26.57134
203_132073_000017_000000	"Yes," said O'Roon, with a look of interest.	"Yes," said O'Roon, with a look of interest.	true	157.61	160.42	23.670319
203_132073_000017_000001	"I took a walk in your Central Park this morning.	"I took a walk in your Central Park this morning.	true	160.73	163.39	29.379162
203_132073_000017_000002	I'd like to be one of those bobbies on horseback.	I'd like to be one of those bobbies on horseback.	true	163.55	166.39	22.642704
203_132073_000017_000003	That would be about the ticket.	That would be about the ticket.	true	166.49	168.25	24.805933
203_132073_000017_000004	Besides, it's the only thing I could do.	Besides, it's the only thing I could do.	true	168.53	170.95	25.122816
203_132073_000017_000005	I can ride a little and the fresh air suits me. Think you could land that for me?"	I can ride a little and the fresh air suits me. Think you could land that for me?"	true	171.23	176.08	25.558983
203_132073_000018_000000	Remsen was sure that he could.	Remsen was sure that he could.	true	176.69	178.53	22.863226
203_132073_000018_000001	And in a very short time he did.	And in a very short time he did.	true	178.53	180.52	20.705929
203_132073_000018_000002	And they who were not above looking at mounted policemen might have seen a well set up, affable, cool young man on a prancing chestnut steed attending to his duties along the driveways of the park.	And they who were not above looking at mounted policemen might have seen a well set up, affable, cool young man on a prancing chestnut steed attending to his duties along the driveways of the park.	false	181.04	193.24	22.02389
203_132073_000019_000000	And now at the extreme risk of wearying old gentlemen who carry leather fob chains, and elderly ladies who--but no! grandmother herself yet thrills at foolish, immortal Romeo--there must be a hint of love at first sight.	And now at the extreme risk of wearying old gentlemen who carry leather fob chains, and elderly ladies who-but no! grandmother herself yet thrills at foolish, immortal Romeo-there must be a hint of love at first sight.	true	193.76	208.09	22.780891
203_132073_000020_000000	It came just as Remsen was strolling into Fifth avenue from his club a few doors away.	It came just as Remsen was strolling into Fifth avenue from his club a few doors away.	true	208.88	214.27	23.72625
203_132073_000021_000000	A motor car was creeping along foot by foot, impeded by a freshet of vehicles that filled the street.	A motor car was creeping along foot by foot, impeded by a freshet of vehicles that filled the street.	true	214.79	221.08	24.719452
203_132073_000021_000001	In the car was a chauffeur and an old gentleman with snowy side whiskers and a Scotch plaid cap which could not be worn while automobiling except by a personage. Not even a wine agent would dare do it.	In the car was a chauffeur and an old gentleman with snowy side whiskers and a Scotch plaid cap which could not be worn while automobiling except by a personage. Not even a wine agent would dare do it.	true	221.36	235.39	22.96451
203_132073_000021_000002	But these two were of no consequence--except, perhaps, for the guiding of the machine and the paying for it.	But these two were of no consequence-except, perhaps, for the guiding of the machine and the paying for it.	true	236.33	243.31	22.499157
203_132073_000021_000003	At the old gentleman's side sat a young lady more beautiful than pomegranate blossoms, more exquisite than the first quarter moon viewed at twilight through the tops of oleanders. Remsen saw her and knew his fate.	At the old gentleman's side sat a young lady more beautiful than pomegranate blossoms, more exquisite than the first quarter moon viewed at twilight through the tops of oleanders. Remsen saw her and knew his fate.	false	243.89	258.64	23.43647
203_132073_000021_000004	He could have flung himself under the very wheels that conveyed her, but he knew that would be the last means of attracting the attention of those who ride in motor cars. Slowly the auto passed, and, if we place the poets above the autoists, carried the heart of Remsen with it.	He could have flung himself under the very wheels that conveyed her, but he knew that would be the last means of attracting the attention of those who ride in motor cars. Slowly the auto passed, and, if we place the poets above the autoists, carried the heart of Remsen with it.	true	259.01	275.95	22.450413
203_132073_000021_000005	Here was a large city of millions, and many women who at a certain distance appear to resemble pomegranate blossoms.	Here was a large city of millions, and many women who at a certain distance appear to resemble pomegranate blossoms.	false	276.71	284.29	21.849318
203_132073_000021_000006	Yet he hoped to see her again; for each one fancies that his romance has its own tutelary guardian and divinity.	Yet he hoped to see her again; for each one fancies that his romance has its own tutelary guardian and divinity.	true	285.71	294.1	23.620567
203_132073_000022_000000	Luckily for Remsen's peace of mind there came a diversion in the guise of a reunion of the Gentle Riders of the city.	Luckily for Remsen's peace of mind there came a diversion in the guise of a reunion of the Gentle Riders of the city.	false	295.07	301.9	19.587355
203_132073_000022_000001	There were not many of them--perhaps a score--and there was wassail and things to eat, and speeches and the Spaniard was bearded again in recapitulation.	There were not many of them-perhaps a score-and there was wassail and things to eat, and speeches and the Spaniard was bearded again in recapitulation.	true	302.33	311.95	23.626368
203_132073_000022_000002	And when daylight threatened them the survivors prepared to depart.	And when daylight threatened them the survivors prepared to depart.	true	312.38	316.15	24.687002
203_132073_000022_000003	But some remained upon the battlefield.	But some remained upon the battlefield.	true	316.49	318.88	23.03742
203_132073_000022_000004	One of these was Trooper O'Roon, who was not seasoned to potent liquids. His legs declined to fulfil the obligations they had sworn to the police department.	One of these was Trooper O'Roon, who was not seasoned to potent liquids. His legs declined to fulfil the obligations they had sworn to the police department.	true	319.28	329.38	21.864222
203_132073_000023_000000	"I'm stewed, Remsen," said O'Roon to his friend.	"I'm stewed, Remsen," said O'Roon to his friend.	true	331.25	334.48	21.619051
203_132073_000023_000001	"Why do they build hotels that go round and round like catherine wheels? They'll take away my shield and break me.	"Why do they build hotels that go round and round like catherine wheels? They'll take away my shield and break me.	true	334.55	341.08	23.616951
203_132073_000023_000002	I can think and talk con-con-consec-sec-secutively, but I s-s-stammer with my feet.	I can think and talk con con consec sec secutively, but I s s stammer with my feet.	false	341.33	348.06	25.051035
203_132073_000023_000003	I've got to go on duty in three hours.	I've got to go on duty in three hours.	true	348.06	350.53	23.469963
203_132073_000023_000004	The jig is up, Remsen.	The jig is up, Remsen.	true	350.81	352.335	28.368557
203_132073_000023_000005	The jig is up, I tell you."	The jig is up, I tell you."	true	352.335	353.91	27.312075
203_132073_000024_000000	"Look at me," said Remsen, who was his smiling self, pointing to his own face; "whom do you see here?"	"Look at me," said Remsen, who was his smiling self, pointing to his own face; "whom do you see here?"	false	353.91	354.21	-20
