4719_25765_000001_000000	CHAPTER I.	CHAPTER one
4719_25765_000002_000000	AFTER SHILOH.	AFTER SHILOH.
4719_25765_000004_000001	Although defeated they had not been conquered.	Although defeated they had not been conquered.
4719_25765_000004_000002	They had set forth from Corinth in the highest hopes, fully expecting to drive Grant's army into the Tennessee River.	They had set forth from Corinth in the highest hopes, fully expecting to drive Grant's army into the Tennessee River.
4719_25765_000004_000003	This hope was almost realized, when it suddenly perished: twenty thousand fresh troops had arrived upon the field, and the Confederates were forced to retreat.	This hope was almost realized, when it suddenly perished: twenty thousand fresh troops had arrived upon the field, and the Confederates were forced to retreat.
4719_25765_000004_000004	But they had fallen back unmolested, for the Federal army had been too severely punished to think of pursuing.	But they had fallen back unmolested, for the Federal army had been too severely punished to think of pursuing.
4719_25765_000005_000001	They had fought as only brave men can fight; they left one-third of their number on the field, killed and wounded.	They had fought as only brave men can fight; they left one third of their number on the field, killed and wounded.
4719_25765_000005_000004	No charge could pierce that line of heroes.	No charge could pierce that line of heroes.
4719_25765_000005_000005	With faces to the foe, they slowly fell back, contesting every inch of ground.	With faces to the foe, they slowly fell back, contesting every inch of ground.
4719_25765_000008_000001	"It looks to me," said Breckinridge, with a sigh, "that if we are forced to give up Corinth, our cause in the West will be lost.	"It looks to me," said Breckinridge, with a sigh, "that if we are forced to give up Corinth, our cause in the West will be lost.
4719_25765_000008_000002	I am in favor of holding Corinth to the last man."	I am in favor of holding Corinth to the last man."
4719_25765_000009_000000	"What is your opinion, Morgan?" asked one of the officers, turning to the captain of whom we have spoken.	"What is your opinion, Morgan?" asked one of the officers, turning to the captain of whom we have spoken.
4719_25765_000011_000000	"What! would you give up Corinth without a struggle?" asked the officer, in surprise.	"What! would you give up Corinth without a struggle?" asked the officer, in surprise.
4719_25765_000012_000001	Corinth is nothing; the army is everything."	Corinth is nothing; the army is everything."
4719_25765_000013_000000	"Then you believe, Captain, that Corinth could be lost, and our cause not greatly suffer?"	"Then you believe, Captain, that Corinth could be lost, and our cause not greatly suffer?"
4719_25765_000014_000000	"Certainly.	"Certainly.
4719_25765_000016_000000	"No joke about it.	"No joke about it.
4719_25765_000019_000000	A murmur of surprise arose, and then Trabue asked: "Will Beauregard let you make the hazardous attempt?"	A murmur of surprise arose, and then Trabue asked: "Will Beauregard let you make the hazardous attempt?"
4719_25765_000021_000000	"Well, good-bye, John, if you try it," said one of the officers, laughing.	"Well, good bye, john, if you try it," said one of the officers, laughing.
4719_25765_000022_000000	"Why good-bye, Colonel?"	"Why good bye, Colonel?"
4719_25765_000024_000000	"Perhaps!" answered Morgan, dryly, as he arose to go.	"Perhaps!" answered Morgan, dryly, as he arose to go.
4719_25765_000026_000000	"A perfect dare-devil.	"A perfect dare devil.
4719_25765_000028_000000	"He said he must see you," continued the orderly, "and if necessary he would wait all night."	"He said he must see you," continued the orderly, "and if necessary he would wait all night."
4719_25765_000030_000000	Morgan gave him a swift glance, and then exclaimed: "Bless my heart!	Morgan gave him a swift glance, and then exclaimed: "Bless my heart!
