4719_25765_000000_000000	RAIDING WITH MORGAN.	RAIDING WITH MORGAN.	false	1.32	15.06	20.956657
4719_25765_000001_000000	CHAPTER I.	CHAPTER one	true	15.06	16.09	20.028503
4719_25765_000002_000000	AFTER SHILOH.	AFTER SHILOH.	true	16.31	17.68	20.406534
4719_25765_000003_000000	The great battle of Shiloh had been fought, and victory had been snatched from the hands of the Confederates by the opportune arrival of Buell's army.	The great battle of Shiloh had been fought, and victory had been snatched from the hands of the Confederates by the opportune arrival of Buell's army.	true	18.53	26.235	17
4719_25765_000004_000000	The Southerners had lost their beloved commander, slain; a third of their number had fallen.	The Southerners had lost their beloved commander, slain; a third of their number had fallen.	true	26.235	31.06	17
4719_25765_000004_000001	Although defeated they had not been conquered.	Although defeated they had not been conquered.	true	31.07	33.49	20.011803
4719_25765_000004_000002	They had set forth from Corinth in the highest hopes, fully expecting to drive Grant's army into the Tennessee River.	They had set forth from Corinth in the highest hopes, fully expecting to drive Grant's army into the Tennessee River.	true	33.59	39.915	21
4719_25765_000004_000003	This hope was almost realized, when it suddenly perished: twenty thousand fresh troops had arrived upon the field, and the Confederates were forced to retreat.	This hope was almost realized, when it suddenly perished: twenty thousand fresh troops had arrived upon the field, and the Confederates were forced to retreat.	true	39.915	48.76	22.09814
4719_25765_000004_000004	But they had fallen back unmolested, for the Federal army had been too severely punished to think of pursuing.	But they had fallen back unmolested, for the Federal army had been too severely punished to think of pursuing.	true	48.83	54.57	22
4719_25765_000004_000005	Both armies were willing to rest and have their decimated ranks filled with fresh troops.	Both armies were willing to rest and have their decimated ranks filled with fresh troops.	true	54.57	59.07	16
4719_25765_000005_000000	Of all the Southern troops engaged at Shiloh none felt their defeat more keenly than the Kentucky brigade under the command of Colonel Trabue.	Of all the Southern troops engaged at Shiloh none felt their defeat more keenly than the Kentucky brigade under the command of Colonel Trabue.	false	59.07	66.6	18
4719_25765_000005_000001	They had fought as only brave men can fight; they left one-third of their number on the field, killed and wounded.	They had fought as only brave men can fight; they left one third of their number on the field, killed and wounded.	true	66.6	72.39	21
4719_25765_000005_000002	Defeat could not demoralize them, and it fell to their lot to cover the retreat of Beauregard.	Defeat could not demoralize them, and it fell to their lot to cover the retreat of Beauregard.	true	72.39	77.325	17
4719_25765_000005_000003	They had stood like a wall of adamant between their fleeing army and the victorious Federals.	They had stood like a wall of adamant between their fleeing army and the victorious Federals.	true	77.325	81.67	15
4719_25765_000005_000004	No charge could pierce that line of heroes.	No charge could pierce that line of heroes.	true	81.89	84.285	24
4719_25765_000005_000005	With faces to the foe, they slowly fell back, contesting every inch of ground.	With faces to the foe, they slowly fell back, contesting every inch of ground.	true	84.285	89.07	20
4719_25765_000006_000000	Fondly had they hoped that Grant would first be crushed, then Buell annihilated, and their march to Nashville would be unopposed.	Fondly had they hoped that Grant would first be crushed, then Buell annihilated, and their march to Nashville would be unopposed.	false	89.07	95.445	15
4719_25765_000006_000001	From Nashville it would be an easy matter to redeem their beloved Kentucky from the ruthless Northern invaders.	From Nashville it would be an easy matter to redeem their beloved Kentucky from the ruthless Northern invaders.	true	95.445	100.785	10
4719_25765_000007_000000	It was but a few days after the battle that there was a social gathering of Kentucky officers at the headquarters of General John C. Breckinridge. Conspicuous in that group of notable men was one whose insignia of office showed him to be only a captain.	It was but a few days after the battle that there was a social gathering of Kentucky officers at the headquarters of General john c Breckinridge. Conspicuous in that group of notable men was one whose insignia of office showed him to be only a captain.	true	100.785	113.775	15
4719_25765_000007_000001	But he was already a marked man.	But he was already a marked man.	true	113.775	115.62	18
4719_25765_000007_000002	He had greatly distinguished himself in Kentucky and Tennessee as a daring raider and scout, and at the battle of Shiloh he had rendered invaluable service at the head of a squadron of independent cavalry.	He had greatly distinguished himself in Kentucky and Tennessee as a daring raider and scout, and at the battle of Shiloh he had rendered invaluable service at the head of a squadron of independent cavalry.	false	115.62	125.62	11
4719_25765_000008_000000	It was but natural that in such a gathering the situation would be freely discussed.	It was but natural that in such a gathering the situation would be freely discussed.	true	125.75	130.125	14
4719_25765_000008_000001	"It looks to me," said Breckinridge, with a sigh, "that if we are forced to give up Corinth, our cause in the West will be lost.	"It looks to me," said Breckinridge, with a sigh, "that if we are forced to give up Corinth, our cause in the West will be lost.	true	130.125	136.81	23.51235
4719_25765_000008_000002	I am in favor of holding Corinth to the last man."	I am in favor of holding Corinth to the last man."	true	136.94	139.72	21
4719_25765_000009_000000	"What is your opinion, Morgan?" asked one of the officers, turning to the captain of whom we have spoken.	"What is your opinion, Morgan?" asked one of the officers, turning to the captain of whom we have spoken.	true	139.79	145.09	23.951033
4719_25765_000010_000000	Thus addressed, John H. Morgan modestly answered: "The General will pardon me if I differ with him somewhat in his opinion.	Thus addressed, john h Morgan modestly answered: "The General will pardon me if I differ with him somewhat in his opinion.	true	145.31	152.205	18
4719_25765_000010_000001	Corinth should be held, as long as that can be done with safety to the army.	Corinth should be held, as long as that can be done with safety to the army.	true	152.205	156.1	15
4719_25765_000010_000002	But Corinth itself is of little value to us, now that the railroad between here and Chattanooga is in the hands of the enemy.	But Corinth itself is of little value to us, now that the railroad between here and Chattanooga is in the hands of the enemy.	false	156.17	162.27	15
4719_25765_000010_000003	It is not worth the sacrifice of a hundred men."	It is not worth the sacrifice of a hundred men."	false	162.27	165.16	18.146284
4719_25765_000011_000000	"What! would you give up Corinth without a struggle?" asked the officer, in surprise.	"What! would you give up Corinth without a struggle?" asked the officer, in surprise.	true	165.2	169.29	23
4719_25765_000012_000000	"Not if a battle offered a reasonable hope of victory," replied Morgan. "What I mean is, that the place should not be held so long as to endanger the safety of the army.	"Not if a battle offered a reasonable hope of victory," replied Morgan. "What I mean is, that the place should not be held so long as to endanger the safety of the army.	false	169.29	178.29	19.672216
4719_25765_000012_000001	Corinth is nothing; the army is everything."	Corinth is nothing; the army is everything."	true	178.29	181.3	24.2723
4719_25765_000013_000000	"Then you believe, Captain, that Corinth could be lost, and our cause not greatly suffer?"	"Then you believe, Captain, that Corinth could be lost, and our cause not greatly suffer?"	true	181.4	185.8	23.713272
4719_25765_000014_000000	"Certainly.	"Certainly.	true	186.17	187.065	21.445333
4719_25765_000014_000001	The further the enemy advances into the South, the more vulnerable he becomes.	The further the enemy advances into the South, the more vulnerable he becomes.	false	187.065	191.32	18.40542
4719_25765_000014_000002	Even now, give me a thousand men, and I can keep forty thousand of the enemy busy protecting their lines of communication."	Even now, give me a thousand men, and I can keep forty thousand of the enemy busy protecting their lines of communication."	false	191.39	197.5	15
4719_25765_000015_000000	"Morgan, you are joking!" exclaimed several of the officers.	"Morgan, you are joking!" exclaimed several of the officers.	true	197.72	201.16	17.311493
4719_25765_000016_000000	"No joke about it.	"No joke about it.	true	201.35	202.6	20.327698
4719_25765_000016_000001	I expect to see old Kentucky before many days; and if I do, there will be consternation in the ranks of the Yankees."	I expect to see old Kentucky before many days; and if I do, there will be consternation in the ranks of the Yankees."	false	202.61	209.2	17
