4222_187006_000000_000000	The boy looked down at Chris with a radiant smile and put out his hand.	The boy looked down at Chris with a radiant smile and put out his hand.	false	0	5.85	18.120789
4222_187006_000001_000000	"I'll help you up," he said to the kneeling boy in front of him.	"I'll help you up," he said to the kneeling boy in front of him.	false	5.85	10.68	18
4222_187006_000001_000001	"I am Amos."	"I am amos."	false	10.68	11.49	9
4222_187006_000002_000000	And as they turned, the light and the dark hands holding firm, the firelight was streaming from the distant door and Mr. Wicker waited.	And as they turned, the light and the dark hands holding firm, the firelight was streaming from the distant door and mr Wicker waited.	false	11.49	21.945	15
4222_187006_000003_000000	CHAPTER 11	CHAPTER eleven	true	21.945	23.47	24
4222_187006_000004_000000	From that time on Chris and Amos were inseparable, with the exception of those times when Chris studied alone with Mr. Wicker.	From that time on Chris and amos were inseparable, with the exception of those times when Chris studied alone with mr Wicker.	true	24.86	32.41	14
4222_187006_000004_000001	Amos, during these hours, soon endeared himself to Becky Boozer, to whom he became invaluable, for he took over those chores Chris had undertaken as his share.	amos, during these hours, soon endeared himself to Becky Boozer, to whom he became invaluable, for he took over those chores Chris had undertaken as his share.	true	32.81	42.64	17
4222_187006_000004_000002	These consisted of carrying water, peeling potatoes, or watching the roasting meat in case it should burn.	These consisted of carrying water, peeling potatoes, or watching the roasting meat in case it should burn.	true	42.95	49.63	14
4222_187006_000004_000003	For Chris had less and less time for such jobs, and Amos's laughter and willing happy nature soon made Becky spoil him as much as she did Chris.	For Chris had less and less time for such jobs, and Amos's laughter and willing happy nature soon made Becky spoil him as much as she did Chris.	true	49.88	59.52	4
4222_187006_000005_000000	Another cot was put into Chris's room, and night after night they would hang out the two mansard windows, watching what went on below until it was too dark to see.	Another cot was put into Chris's room, and night after night they would hang out the two mansard windows, watching what went on below until it was too dark to see.	true	59.52	68.68	8
4222_187006_000005_000001	Or else they would talk by the light of their candle until they fell asleep.	Or else they would talk by the light of their candle until they fell asleep.	true	68.9	72.795	17
4222_187006_000006_000000	Chris now knew how lonely he had been until he set Amos free from his wooden shroud, but, warned by Mr. Wicker, he did not tell his new friend that he came from another year as yet unreached by the time they lived in.	Chris now knew how lonely he had been until he set amos free from his wooden shroud, but, warned by mr Wicker, he did not tell his new friend that he came from another year as yet unreached by the time they lived in.	false	72.795	85.81	10
4222_187006_000007_000000	"It is enough for a while," cautioned Mr. Wicker, "that Amos get used to being limber and alive.	"It is enough for a while," cautioned mr Wicker, "that amos get used to being limber and alive.	true	86.66	92.025	10
4222_187006_000007_000001	That is change enough from a carved wooden figure.	That is change enough from a carved wooden figure.	true	92.025	95.38	20
4222_187006_000007_000002	It would only confuse and trouble him to think you do not really belong where you are.	It would only confuse and trouble him to think you do not really belong where you are.	true	95.6	100.45	9
4222_187006_000007_000003	So let him be happy.	So let him be happy.	true	100.61	102.13	10
4222_187006_000007_000004	And I shall seal your lips with regard to the secret of the Jewel Tree, for that must be known to no one," and so saying he rubbed a salve over Chris's lips.	And I shall seal your lips with regard to the secret of the Jewel Tree, for that must be known to no one," and so saying he rubbed a salve over Chris's lips.	false	102.17	111.69	13
4222_187006_000008_000000	"Now tell me what you are to journey after," commanded Mr. Wicker.	"Now tell me what you are to journey after," commanded mr Wicker.	true	111.69	115.27	10
4222_187006_000008_000001	But when Chris attempted to talk of the Jewel Tree, the words would not pass his lips but remained in his mouth like a handful of marbles.	But when Chris attempted to talk of the Jewel Tree, the words would not pass his lips but remained in his mouth like a handful of marbles.	true	115.49	123.49	13
4222_187006_000009_000000	"Good," said Mr. Wicker, rubbing his hands.	"Good," said mr Wicker, rubbing his hands.	true	123.86	127	13
4222_187006_000009_000001	"Not even to me.	"Not even to me.	true	127.01	128.29	12
4222_187006_000009_000002	Excellent stuff, this," he added, turning the tiny case that contained the salve in his fingers.	Excellent stuff, this," he added, turning the tiny case that contained the salve in his fingers.	true	128.45	133.81	15
4222_187006_000009_000003	"I got it in India years ago, and this is the last of it.	"I got it in India years ago, and this is the last of it.	true	133.97	137.73	17
4222_187006_000009_000004	But I hardly imagine I shall need it again.	But I hardly imagine I shall need it again.	true	137.73	140.41	9
4222_187006_000009_000005	Its use is somewhat drastic, but occasionally wise."	Its use is somewhat drastic, but occasionally wise."	true	140.45	143.98	16
4222_187006_000010_000000	"Mr. Wicker," Chris said thoughtfully one afternoon after his lessons and memorizing were over for the day, "of the three things in your shop window that I liked best, two have been explained.	"mr Wicker," Chris said thoughtfully one afternoon after his lessons and memorizing were over for the day, "of the three things in your shop window that I liked best, two have been explained.	false	144.47	155.89	4
