8776_270778_000002_000000	THE DREAM	THE DREAM
8776_270778_000004_000000	We have learned to know the origin, nature and function of the dream from the study of children's dreams.	We have learned to know the origin, nature and function of the dream from the study of children's dreams.
8776_270778_000004_000002	As to the others we know nothing as yet, nor do we understand them.	As to the others we know nothing as yet, nor do we understand them.
8776_270778_000004_000003	For the present, however, we have obtained a result whose significance we do not wish to under-estimate.	For the present, however, we have obtained a result whose significance we do not wish to under estimate.
8776_270778_000004_000004	Every time a dream is completely comprehensible to us, it proves to be an hallucinated wish-fulfillment.	Every time a dream is completely comprehensible to us, it proves to be an hallucinated wish fulfillment.
8776_270778_000004_000005	This coincidence cannot be accidental, nor is it an unimportant matter.	This coincidence cannot be accidental, nor is it an unimportant matter.
8776_270778_000005_000001	Our next task is the investigation and the understanding of this dream distortion.	Our next task is the investigation and the understanding of this dream distortion.
8776_270778_000006_000000	Dream distortion is the thing which makes the dream seem strange and incomprehensible to us.	Dream distortion is the thing which makes the dream seem strange and incomprehensible to us.
8776_270778_000006_000001	We want to know several things about it; firstly, whence it comes, its dynamics; secondly, what it does; and finally, how it does it.	We want to know several things about it; firstly, whence it comes, its dynamics; secondly, what it does; and finally, how it does it.
8776_270778_000006_000002	We can say at this point that dream distortion is the product of the dream work, that is, of the mental functioning of which the dream itself is the conscious symptom.	We can say at this point that dream distortion is the product of the dream work, that is, of the mental functioning of which the dream itself is the conscious symptom.
8776_270778_000006_000003	Let us describe the dream work and trace it back to the forces which work upon it.	Let us describe the dream work and trace it back to the forces which work upon it.
8776_270778_000007_000000	And now I shall ask you to listen to the following dream.	And now I shall ask you to listen to the following dream.
8776_270778_000007_000001	It was recorded by a lady of our profession, and according to her, originated with a highly cultivated and respected lady of advanced age.	It was recorded by a lady of our profession, and according to her, originated with a highly cultivated and respected lady of advanced age.
8776_270778_000007_000002	No analysis of this dream was made.	No analysis of this dream was made.
8776_270778_000007_000003	Our informant remarks that to a psychoanalyst it needs no interpretation.	Our informant remarks that to a psychoanalyst it needs no interpretation.
8776_270778_000008_000001	She stresses the word 'service,' so love services.	She stresses the word 'service,' so love services.
8776_270778_000008_000003	But instead of reaching the chief physician, she finds herself in a large somber room in which there are many officers and army doctors sitting and standing around a long table.	But instead of reaching the chief physician, she finds herself in a large somber room in which there are many officers and army doctors sitting and standing around a long table.
8776_270778_000008_000004	She turns with her proposal to a staff doctor who, after a few words, soon understands her.	She turns with her proposal to a staff doctor who, after a few words, soon understands her.
8776_270778_000008_000005	The words of her speech in the dream are, 'I and numerous other women and girls of Vienna are ready for the soldiers, troops, and officers, without distinction....' Here in the dream follows a murmuring.	The words of her speech in the dream are, 'I and numerous other women and girls of Vienna are ready for the soldiers, troops, and officers, without distinction....' Here in the dream follows a murmuring.
8776_270778_000008_000006	That the idea is, however, correctly understood by those present she sees from the semi-embarrassed, somewhat malicious expressions of the officers.	That the idea is, however, correctly understood by those present she sees from the semi embarrassed, somewhat malicious expressions of the officers.
8776_270778_000008_000007	The lady then continues, 'I know that our decision sounds strange, but we are in bitter earnest.	The lady then continues, 'I know that our decision sounds strange, but we are in bitter earnest.
8776_270778_000008_000008	The soldier in the field is not asked either whether or not he wants to die.' A moment of painful silence follows.	The soldier in the field is not asked either whether or not he wants to die.' A moment of painful silence follows.
8776_270778_000008_000009	The staff doctor puts his arm around her waist and says, 'Madame, let us assume that it really came to that ...' (murmurs).	The staff doctor puts his arm around her waist and says, 'Madame, let us assume that it really came to that ...' (murmurs).
8776_270778_000008_000011	At this she realizes with great dismay that she does not know his name.	At this she realizes with great dismay that she does not know his name.
8776_270778_000008_000013	In going up she hears an officer say, 'That is a tremendous decision irrespective of whether a woman is young or old; all honor to her!'	In going up she hears an officer say, 'That is a tremendous decision irrespective of whether a woman is young or old; all honor to her!'
8776_270778_000009_000000	"With the feeling that she is merely doing her duty, she goes up an endless staircase."	"With the feeling that she is merely doing her duty, she goes up an endless staircase."
8776_270778_000010_000000	This dream she repeats twice in the course of a few weeks, with--as the lady notices--quite insignificant and very senseless changes.	This dream she repeats twice in the course of a few weeks, with-as the lady notices-quite insignificant and very senseless changes.
8776_270778_000011_000000	This dream corresponds in its structure to a day dream.	This dream corresponds in its structure to a day dream.
8776_270778_000011_000001	It has few gaps, and many of its individual points might have been elucidated as to content through inquiry, which, as you know, was omitted.	It has few gaps, and many of its individual points might have been elucidated as to content through inquiry, which, as you know, was omitted.
8776_270778_000011_000002	The conspicuous and interesting point for us, however, is that the dream shows several gaps, gaps not of recollection, but of original content. In three places the content is apparently obliterated, the speeches in which these gaps occur are interrupted by murmurs.	The conspicuous and interesting point for us, however, is that the dream shows several gaps, gaps not of recollection, but of original content. In three places the content is apparently obliterated, the speeches in which these gaps occur are interrupted by murmurs.
