7314_93276_000003_000000	Chapter 7	Chapter seven
7314_93276_000004_000000	Andy Tries a Trick	Andy Tries a Trick
7314_93276_000005_000000	Without loss of time the young inventor and the aeronaut began to repair the damage done to the Red Cloud by colliding with the tower. The most important part to reconstruct was the propeller, and Mr. Sharp decided to make two, instead of one, in order to have an extra one in case of future accidents.	Without loss of time the young inventor and the aeronaut began to repair the damage done to the Red Cloud by colliding with the tower. The most important part to reconstruct was the propeller, and mr Sharp decided to make two, instead of one, in order to have an extra one in case of future accidents.
7314_93276_000006_000000	Tom's task was to arrange the mechanism so that, hereafter, the rudder could not become jammed, and so prevent the airship from steering properly.	Tom's task was to arrange the mechanism so that, hereafter, the rudder could not become jammed, and so prevent the airship from steering properly.
7314_93276_000006_000001	This the lad accomplished by a simple but effective device which, when the balloonist saw it, caused him to compliment Tom.	This the lad accomplished by a simple but effective device which, when the balloonist saw it, caused him to compliment Tom.
7314_93276_000007_000000	"That's worth patenting," he declared.	"That's worth patenting," he declared.
7314_93276_000007_000001	"I advise you to take out papers on that."	"I advise you to take out papers on that."
7314_93276_000008_000000	"It seems such a simple thing," answered the youth.	"It seems such a simple thing," answered the youth.
7314_93276_000008_000001	"And I don't see much use of spending the money for a patent.	"And I don't see much use of spending the money for a patent.
7314_93276_000008_000002	Airships aren't likely to be so numerous that I could make anything off that patent."	Airships aren't likely to be so numerous that I could make anything off that patent."
7314_93276_000009_000000	"You take my advice," insisted Mr. Sharp.	"You take my advice," insisted mr Sharp.
7314_93276_000009_000002	You get that device patented."	You get that device patented."
7314_93276_000010_000000	Tom did so, and, not many years afterward he was glad that he had, as it brought him quite an income.	Tom did so, and, not many years afterward he was glad that he had, as it brought him quite an income.
7314_93276_000011_000000	It required several days' work on the Red Cloud before it was in shape for another trial.	It required several days' work on the Red Cloud before it was in shape for another trial.
7314_93276_000011_000001	During the hours when he was engaged in the big shed, helping Mr. Sharp, the young inventor spent many minutes calling to mind the memory of a certain fair face, and I think I need not mention any names to indicate whose face it was.	During the hours when he was engaged in the big shed, helping mr Sharp, the young inventor spent many minutes calling to mind the memory of a certain fair face, and I think I need not mention any names to indicate whose face it was.
7314_93276_000012_000000	"She promised to go for a ride with me," mused the lad.	"She promised to go for a ride with me," mused the lad.
7314_93276_000012_000001	"I hope she doesn't back out.	"I hope she doesn't back out.
7314_93276_000012_000002	But I'll want to learn more about managing the ship before I venture with her in it.	But I'll want to learn more about managing the ship before I venture with her in it.
7314_93276_000012_000003	It won't do to have any accidents then.	It won't do to have any accidents then.
7314_93276_000012_000004	There's Ned Newton, too.	There's Ned Newton, too.
7314_93276_000012_000005	I must take him for a skim in the clouds.	I must take him for a skim in the clouds.
7314_93276_000012_000006	Guess I'll invite him over some afternoon, and give him a private view of the machine, when we get it in shape again."	Guess I'll invite him over some afternoon, and give him a private view of the machine, when we get it in shape again."
7314_93276_000013_000000	About a week after the accident at the school Mr. Sharp remarked to Tom one afternoon:	About a week after the accident at the school mr Sharp remarked to Tom one afternoon:
7314_93276_000014_000000	"If the weather is good to-morrow, we'll try another flight.	"If the weather is good to morrow, we'll try another flight.
7314_93276_000015_000001	"He seems much engrossed in something.	"He seems much engrossed in something.
7314_93276_000015_000002	It's unusual, too, for he most generally tells me what he is engaged upon.	It's unusual, too, for he most generally tells me what he is engaged upon.
7314_93276_000015_000003	However, I guess he will say something about it when he gets ready."	However, I guess he will say something about it when he gets ready."
7314_93276_000016_000001	He might be nervous, and, while the ship is new, I don't want any nervous passengers aboard.	He might be nervous, and, while the ship is new, I don't want any nervous passengers aboard.
7314_93276_000016_000002	I can't give them my attention and look after the running of the machinery."	I can't give them my attention and look after the running of the machinery."
7314_93276_000017_000000	"I was going to propose bringing a friend of mine over to see us make the trip to-morrow," went on the young inventor.	"I was going to propose bringing a friend of mine over to see us make the trip to morrow," went on the young inventor.
7314_93276_000017_000001	"Ned Newton, you know him.	"Ned Newton, you know him.
7314_93276_000018_000000	"Oh, I guess Ned's all right.	"Oh, I guess Ned's all right.
7314_93276_000018_000001	Let him come along.	Let him come along.
7314_93276_000018_000002	We won't go very high to-morrow.	We won't go very high to morrow.
7314_93276_000018_000003	After a trial rise by means of the gas, I'm going to lower the ship to the ground, and try for an elevation by means of the planes.	After a trial rise by means of the gas, I'm going to lower the ship to the ground, and try for an elevation by means of the planes.
7314_93276_000018_000004	Oh, yes, bring your friend along."	Oh, yes, bring your friend along."
7314_93276_000019_000001	He got a half holiday from the bank, and, shortly after dinner went to Tom's house.	He got a half holiday from the bank, and, shortly after dinner went to Tom's house.
7314_93276_000020_000000	"Come on out in the shed and take a look at the Red Cloud," proposed the young inventor.	"Come on out in the shed and take a look at the Red Cloud," proposed the young inventor.
7314_93276_000021_000000	The big shed was deserted when the lads entered, and went to the loft where they were on a level with the big, red aluminum tank.	The big shed was deserted when the lads entered, and went to the loft where they were on a level with the big, red aluminum tank.
7314_93276_000022_000000	"Now we'll go down into the car or cabin," continued the young navigator of the air, "and I'll show you what we do when we're touring amid the clouds."	"Now we'll go down into the car or cabin," continued the young navigator of the air, "and I'll show you what we do when we're touring amid the clouds."
7314_93276_000023_000000	As they started to descend the flight of steps from the loft platform, a noise on the ground below attracted their attention.	As they started to descend the flight of steps from the loft platform, a noise on the ground below attracted their attention.
7314_93276_000024_000000	"Guess that's Mr. Sharp coming," said Ned.	"Guess that's mr Sharp coming," said Ned.
7314_93276_000025_000000	Tom leaned over and looked down.	Tom leaned over and looked down.
7314_93276_000026_000000	"Take a look," whispered the young inventor.	"Take a look," whispered the young inventor.
7314_93276_000027_000000	"Andy Foger!" exclaimed Ned, peering over the railing.	"Andy Foger!" exclaimed Ned, peering over the railing.
7314_93276_000028_000001	They sneaked in when I left the door open.	They sneaked in when I left the door open.
7314_93276_000028_000002	Wonder what they want?"	Wonder what they want?"
7314_93276_000029_000002	They're talking."	They're talking."
7314_93276_000030_000000	The two lads on the loft listened intently.	The two lads on the loft listened intently.
7314_93276_000030_000001	Though the cronies on the ground below them did not speak loudly, their voices came plainly to the listeners.	Though the cronies on the ground below them did not speak loudly, their voices came plainly to the listeners.
7314_93276_000031_000000	"Let's poke a hole in their gas bag," proposed Sam.	"Let's poke a hole in their gas bag," proposed Sam.
7314_93276_000031_000001	"That will make them think they're not so smart as they pretend."	"That will make them think they're not so smart as they pretend."
7314_93276_000033_000000	"Why not?" declared Pete.	"Why not?" declared Pete.
7314_93276_000035_000000	"You're afraid," sneered Sam.	"You're afraid," sneered Sam.
7314_93276_000036_000000	"I am not!	"I am not!
7314_93276_000036_000001	I'll punch your face if you say that again!	I'll punch your face if you say that again!
