3835_178028_000000_000000	CHAPTER II	CHAPTER two	false	2.94	8.37	24.93758
3835_178028_000001_000000	Anna Pavlovna's presentiment was in fact fulfilled.	Anna Pavlovna's presentiment was in fact fulfilled.	true	8.37	11.7	24.162992
3835_178028_000001_000001	Next day during the service at the palace church in honor of the Emperor's birthday, Prince Volkonski was called out of the church and received a dispatch from Prince Kutuzov.	Next day during the service at the palace church in honor of the Emperor's birthday, Prince Volkonski was called out of the church and received a dispatch from Prince Kutuzov.	true	11.7	22.2	25.853182
3835_178028_000001_000002	It was Kutuzov's report, written from Tatarinova on the day of the battle.	It was Kutuzov's report, written from Tatarinova on the day of the battle.	true	22.2	26.89	21.429588
3835_178028_000001_000003	Kutuzov wrote that the Russians had not retreated a step, that the French losses were much heavier than ours, and that he was writing in haste from the field of battle before collecting full information.	Kutuzov wrote that the Russians had not retreated a step, that the French losses were much heavier than ours, and that he was writing in haste from the field of battle before collecting full information.	true	27.14	37.75	19
3835_178028_000001_000004	It followed that there must have been a victory.	It followed that there must have been a victory.	true	37.82	40.09	24.063305
3835_178028_000001_000005	And at once, without leaving the church, thanks were rendered to the Creator for His help and for the victory.	And at once, without leaving the church, thanks were rendered to the Creator for His help and for the victory.	true	40.1	46.06	25.173727
3835_178028_000002_000000	Anna Pavlovna's presentiment was justified, and all that morning a joyously festive mood reigned in the city.	Anna Pavlovna's presentiment was justified, and all that morning a joyously festive mood reigned in the city.	true	46.31	52.755	23.577099
3835_178028_000002_000001	Everyone believed the victory to have been complete, and some even spoke of Napoleon's having been captured, of his deposition, and of the choice of a new ruler for France.	Everyone believed the victory to have been complete, and some even spoke of Napoleon's having been captured, of his deposition, and of the choice of a new ruler for France.	true	52.755	62.86	23.807198
3835_178028_000003_000000	It is very difficult for events to be reflected in their real strength and completeness amid the conditions of court life and far from the scene of action.	It is very difficult for events to be reflected in their real strength and completeness amid the conditions of court life and far from the scene of action.	true	63.05	70.81	21
3835_178028_000003_000001	General events involuntarily group themselves around some particular incident.	General events involuntarily group themselves around some particular incident.	true	70.88	75.52	21.658142
3835_178028_000003_000002	So now the courtiers' pleasure was based as much on the fact that the news had arrived on the Emperor's birthday as on the fact of the victory itself.	So now the courtiers' pleasure was based as much on the fact that the news had arrived on the Emperor's birthday as on the fact of the victory itself.	false	75.59	84.4	24.690212
3835_178028_000003_000003	It was like a successfully arranged surprise.	It was like a successfully arranged surprise.	true	84.59	87.76	21.817965
3835_178028_000003_000004	Mention was made in Kutuzov's report of the Russian losses, among which figured the names of Tuchkov, Bagration, and Kutaysov.	Mention was made in Kutuzov's report of the Russian losses, among which figured the names of Tuchkov, Bagration, and Kutaysov.	false	87.86	96.96	22.456408
3835_178028_000003_000005	In the Petersburg world this sad side of the affair again involuntarily centered round a single incident: Kutaysov's death.	In the Petersburg world this sad side of the affair again involuntarily centered round a single incident: Kutaysov's death.	true	96.96	105.19	21.858782
3835_178028_000003_000006	Everybody knew him, the Emperor liked him, and he was young and interesting.	Everybody knew him, the Emperor liked him, and he was young and interesting.	true	105.38	109.96	23.041441
3835_178028_000003_000007	That day everyone met with the words:	That day everyone met with the words:	true	110.18	112.54	28.387192
3835_178028_000004_000000	"What a wonderful coincidence!	"What a wonderful coincidence!	true	112.64	114.645	22.720236
3835_178028_000004_000001	Just during the service.	Just during the service.	true	114.645	116.11	20.176376
3835_178028_000004_000002	But what a loss Kutaysov is!	But what a loss Kutaysov is!	false	116.21	118.29	21
3835_178028_000004_000003	How sorry I am!"	How sorry I am!"	true	118.29	119.68	22.055326
3835_178028_000005_000000	"What did I tell about Kutuzov?" Prince Vasili now said with a prophet's pride.	"What did I tell about Kutuzov?" Prince Vasili now said with a prophet's pride.	true	119.87	124.57	24.159628
3835_178028_000005_000001	"I always said he was the only man capable of defeating Napoleon."	"I always said he was the only man capable of defeating Napoleon."	true	124.67	128.53	21
3835_178028_000006_000000	But next day no news arrived from the army and the public mood grew anxious.	But next day no news arrived from the army and the public mood grew anxious.	true	128.84	133.51	18
3835_178028_000006_000001	The courtiers suffered because of the suffering the suspense occasioned the Emperor.	The courtiers suffered because of the suffering the suspense occasioned the Emperor.	true	133.61	137.92	23
3835_178028_000007_000000	"Fancy the Emperor's position!" said they, and instead of extolling Kutuzov as they had done the day before, they condemned him as the cause of the Emperor's anxiety.	"Fancy the Emperor's position!" said they, and instead of extolling Kutuzov as they had done the day before, they condemned him as the cause of the Emperor's anxiety.	true	138.29	148.03	20
3835_178028_000007_000001	That day Prince Vasili no longer boasted of his protege Kutuzov, but remained silent when the commander-in-chief was mentioned.	That day Prince Vasili no longer boasted of his protege Kutuzov, but remained silent when the commander in chief was mentioned.	true	148.25	156.07	21.706915
3835_178028_000007_000002	Moreover, toward evening, as if everything conspired to make Petersburg society anxious and uneasy, a terrible piece of news was added.	Moreover, toward evening, as if everything conspired to make Petersburg society anxious and uneasy, a terrible piece of news was added.	true	156.11	164.56	25
3835_178028_000007_000003	Countess Helene Bezukhova had suddenly died of that terrible malady it had been so agreeable to mention.	Countess Helene Bezukhova had suddenly died of that terrible malady it had been so agreeable to mention.	true	164.84	172.18	20.820728
3835_178028_000007_000004	Officially, at large gatherings, everyone said that Countess Bezukhova had died of a terrible attack of angina pectoris, but in intimate circles details were mentioned of how the private physician of the Queen of Spain had prescribed small doses of a certain drug to produce a certain effect; but Helene, tortured by the fact that the old count suspected her and that her husband to whom she had written (that wretched, profligate Pierre) had not replied, had suddenly taken a very large dose of the drug, and had died in agony before assistance could be rendered her.	Officially, at large gatherings, everyone said that Countess Bezukhova had died of a terrible attack of angina pectoris, but in intimate circles details were mentioned of how the private physician of the Queen of Spain had prescribed small doses of a certain drug to produce a certain effect; but Helene, tortured by the fact that the old count suspected her and that her husband to whom she had written (that wretched, profligate Pierre) had not replied, had suddenly taken a very large dose of the drug, and had died in agony before assistance could be rendered her.	true	172.49	206.65	22.905987
3835_178028_000007_000005	It was said that Prince Vasili and the old count had turned upon the Italian, but the latter had produced such letters from the unfortunate deceased that they had immediately let the matter drop.	It was said that Prince Vasili and the old count had turned upon the Italian, but the latter had produced such letters from the unfortunate deceased that they had immediately let the matter drop.	true	206.93	217.36	22
3835_178028_000008_000000	Talk in general centered round three melancholy facts: the Emperor's lack of news, the loss of Kutuzov, and the death of Helene.	Talk in general centered round three melancholy facts: the Emperor's lack of news, the loss of Kutuzov, and the death of Helene.	false	217.97	226.54	22.831917
3835_178028_000009_000000	On the third day after Kutuzov's report a country gentleman arrived from Moscow, and news of the surrender of Moscow to the French spread through the whole town.	On the third day after Kutuzov's report a country gentleman arrived from Moscow, and news of the surrender of Moscow to the French spread through the whole town.	true	226.94	236.05	23
3835_178028_000009_000001	This was terrible!	This was terrible!	true	236.06	237.37	28.632627
3835_178028_000009_000002	What a position for the Emperor to be in!	What a position for the Emperor to be in!	true	237.38	239.56	26.675133
3835_178028_000009_000003	Kutuzov was a traitor, and Prince Vasili during the visits of condolence paid to him on the occasion of his daughter's death said of Kutuzov, whom he had formerly praised (it was excusable for him in his grief to forget what he had said), that it was impossible to expect anything else from a blind and depraved old man.	Kutuzov was a traitor, and Prince Vasili during the visits of condolence paid to him on the occasion of his daughter's death said of Kutuzov, whom he had formerly praised (it was excusable for him in his grief to forget what he had said), that it was impossible to expect anything else from a blind and depraved old man.	false	239.69	258.34	25
3835_178028_000010_000000	"I only wonder that the fate of Russia could have been entrusted to such a man."	"I only wonder that the fate of Russia could have been entrusted to such a man."	true	258.47	262.27	23.246342
3835_178028_000011_000000	As long as this news remained unofficial it was possible to doubt it, but the next day the following communication was received from Count Rostopchin:	As long as this news remained unofficial it was possible to doubt it, but the next day the following communication was received from Count Rostopchin:	false	262.55	270.28	23
3835_178028_000012_000000	Prince Kutuzov's adjutant has brought me a letter in which he demands police officers to guide the army to the Ryazan road.	Prince Kutuzov's adjutant has brought me a letter in which he demands police officers to guide the army to the Ryazan road.	false	270.71	277.75	16
3835_178028_000012_000001	He writes that he is regretfully abandoning Moscow.	He writes that he is regretfully abandoning Moscow.	false	278.06	281.025	22
3835_178028_000012_000002	Sire!	Sire!	true	281.025	281.745	28.693314
3835_178028_000012_000003	Kutuzov's action decides the fate of the capital and of your empire!	Kutuzov's action decides the fate of the capital and of your empire!	true	281.745	286.06	26
3835_178028_000012_000004	Russia will shudder to learn of the abandonment of the city in which her greatness is centered and in which lie the ashes of your ancestors!	Russia will shudder to learn of the abandonment of the city in which her greatness is centered and in which lie the ashes of your ancestors!	true	286.07	293.38	19
3835_178028_000012_000005	I shall follow the army.	I shall follow the army.	true	293.66	295.12	18.450825
3835_178028_000012_000006	I have had everything removed, and it only remains for me to weep over the fate of my fatherland.	I have had everything removed, and it only remains for me to weep over the fate of my fatherland.	true	295.13	300.4	20.203382
3835_178028_000013_000000	On receiving this dispatch the Emperor sent Prince Volkonski to Kutuzov with the following rescript:	On receiving this dispatch the Emperor sent Prince Volkonski to Kutuzov with the following rescript:	true	300.62	306.37	26.702969
