3835_178028_000001_000000	Anna Pavlovna's presentiment was in fact fulfilled.	Anna Pavlovna's presentiment was in fact fulfilled.
3835_178028_000001_000001	Next day during the service at the palace church in honor of the Emperor's birthday, Prince Volkonski was called out of the church and received a dispatch from Prince Kutuzov.	Next day during the service at the palace church in honor of the Emperor's birthday, Prince Volkonski was called out of the church and received a dispatch from Prince Kutuzov.
3835_178028_000001_000002	It was Kutuzov's report, written from Tatarinova on the day of the battle.	It was Kutuzov's report, written from Tatarinova on the day of the battle.
3835_178028_000001_000004	It followed that there must have been a victory.	It followed that there must have been a victory.
3835_178028_000001_000005	And at once, without leaving the church, thanks were rendered to the Creator for His help and for the victory.	And at once, without leaving the church, thanks were rendered to the Creator for His help and for the victory.
3835_178028_000002_000000	Anna Pavlovna's presentiment was justified, and all that morning a joyously festive mood reigned in the city.	Anna Pavlovna's presentiment was justified, and all that morning a joyously festive mood reigned in the city.
3835_178028_000002_000001	Everyone believed the victory to have been complete, and some even spoke of Napoleon's having been captured, of his deposition, and of the choice of a new ruler for France.	Everyone believed the victory to have been complete, and some even spoke of Napoleon's having been captured, of his deposition, and of the choice of a new ruler for France.
3835_178028_000003_000000	It is very difficult for events to be reflected in their real strength and completeness amid the conditions of court life and far from the scene of action.	It is very difficult for events to be reflected in their real strength and completeness amid the conditions of court life and far from the scene of action.
3835_178028_000003_000001	General events involuntarily group themselves around some particular incident.	General events involuntarily group themselves around some particular incident.
3835_178028_000003_000003	It was like a successfully arranged surprise.	It was like a successfully arranged surprise.
3835_178028_000003_000005	In the Petersburg world this sad side of the affair again involuntarily centered round a single incident: Kutaysov's death.	In the Petersburg world this sad side of the affair again involuntarily centered round a single incident: Kutaysov's death.
3835_178028_000003_000006	Everybody knew him, the Emperor liked him, and he was young and interesting.	Everybody knew him, the Emperor liked him, and he was young and interesting.
3835_178028_000003_000007	That day everyone met with the words:	That day everyone met with the words:
3835_178028_000004_000000	"What a wonderful coincidence!	"What a wonderful coincidence!
3835_178028_000004_000001	Just during the service.	Just during the service.
3835_178028_000004_000003	How sorry I am!"	How sorry I am!"
3835_178028_000005_000000	"What did I tell about Kutuzov?" Prince Vasili now said with a prophet's pride.	"What did I tell about Kutuzov?" Prince Vasili now said with a prophet's pride.
3835_178028_000005_000001	"I always said he was the only man capable of defeating Napoleon."	"I always said he was the only man capable of defeating Napoleon."
3835_178028_000006_000001	The courtiers suffered because of the suffering the suspense occasioned the Emperor.	The courtiers suffered because of the suffering the suspense occasioned the Emperor.
3835_178028_000007_000000	"Fancy the Emperor's position!" said they, and instead of extolling Kutuzov as they had done the day before, they condemned him as the cause of the Emperor's anxiety.	"Fancy the Emperor's position!" said they, and instead of extolling Kutuzov as they had done the day before, they condemned him as the cause of the Emperor's anxiety.
3835_178028_000007_000001	That day Prince Vasili no longer boasted of his protege Kutuzov, but remained silent when the commander-in-chief was mentioned.	That day Prince Vasili no longer boasted of his protege Kutuzov, but remained silent when the commander in chief was mentioned.
3835_178028_000007_000002	Moreover, toward evening, as if everything conspired to make Petersburg society anxious and uneasy, a terrible piece of news was added.	Moreover, toward evening, as if everything conspired to make Petersburg society anxious and uneasy, a terrible piece of news was added.
3835_178028_000007_000003	Countess Helene Bezukhova had suddenly died of that terrible malady it had been so agreeable to mention.	Countess Helene Bezukhova had suddenly died of that terrible malady it had been so agreeable to mention.
3835_178028_000007_000005	It was said that Prince Vasili and the old count had turned upon the Italian, but the latter had produced such letters from the unfortunate deceased that they had immediately let the matter drop.	It was said that Prince Vasili and the old count had turned upon the Italian, but the latter had produced such letters from the unfortunate deceased that they had immediately let the matter drop.
3835_178028_000009_000000	On the third day after Kutuzov's report a country gentleman arrived from Moscow, and news of the surrender of Moscow to the French spread through the whole town.	On the third day after Kutuzov's report a country gentleman arrived from Moscow, and news of the surrender of Moscow to the French spread through the whole town.
3835_178028_000009_000001	This was terrible!	This was terrible!
3835_178028_000009_000002	What a position for the Emperor to be in!	What a position for the Emperor to be in!
3835_178028_000010_000000	"I only wonder that the fate of Russia could have been entrusted to such a man."	"I only wonder that the fate of Russia could have been entrusted to such a man."
3835_178028_000012_000002	Sire!	Sire!
3835_178028_000012_000003	Kutuzov's action decides the fate of the capital and of your empire!	Kutuzov's action decides the fate of the capital and of your empire!
3835_178028_000012_000006	I have had everything removed, and it only remains for me to weep over the fate of my fatherland.	I have had everything removed, and it only remains for me to weep over the fate of my fatherland.
3835_178028_000013_000000	On receiving this dispatch the Emperor sent Prince Volkonski to Kutuzov with the following rescript:	On receiving this dispatch the Emperor sent Prince Volkonski to Kutuzov with the following rescript:
3835_178028_000014_000000	Prince Michael Ilarionovich!	Prince Michael Ilarionovich!
3835_178028_000014_000002	You can yourself imagine the effect this news has had on me, and your silence increases my astonishment.	You can yourself imagine the effect this news has had on me, and your silence increases my astonishment.
