1271_128145_000003_000000	POETRY AND PRISON	POETRY AND PRISON
1271_128145_000004_000000	(Pall Mall Gazette, January 3, 1889.)	(Pall Mall Gazette, january third eighteen eighty nine.)
1271_128145_000005_000000	Prison has had an admirable effect on Mr. Wilfrid Blunt as a poet.	Prison has had an admirable effect on mr Wilfrid Blunt as a poet.
1271_128145_000005_000002	Their subject was not of high or serious import.	Their subject was not of high or serious import.
1271_128145_000005_000004	'Imprisonment,' says Mr. Blunt in his preface, 'is a reality of discipline most useful to the modern soul, lapped as it is in physical sloth and self-indulgence.	'Imprisonment,' says mr Blunt in his preface, 'is a reality of discipline most useful to the modern soul, lapped as it is in physical sloth and self indulgence.
1271_128145_000005_000005	Like a sickness or a spiritual retreat it purifies and ennobles; and the soul emerges from it stronger and more self-contained.' To him, certainly, it has been a mode of purification.	Like a sickness or a spiritual retreat it purifies and ennobles; and the soul emerges from it stronger and more self-contained.' To him, certainly, it has been a mode of purification.
1271_128145_000005_000007	They are, of course, intensely personal in expression.	They are, of course, intensely personal in expression.
1271_128145_000005_000009	But the personality that they reveal has nothing petty or ignoble about it.	But the personality that they reveal has nothing petty or ignoble about it.
1271_128145_000005_000010	The petulant cry of the shallow egoist which was the chief characteristic of the Love Sonnets of Proteus is not to be found here.	The petulant cry of the shallow egoist which was the chief characteristic of the Love Sonnets of Proteus is not to be found here.
1271_128145_000005_000011	In its place we have wild grief and terrible scorn, fierce rage and flame-like passion. Such a sonnet as the following comes out of the very fire of heart and brain:	In its place we have wild grief and terrible scorn, fierce rage and flame like passion. Such a sonnet as the following comes out of the very fire of heart and brain:
1271_128145_000006_000000	God knows, 'twas not with a fore-reasoned plan I left the easeful dwellings of my peace, And sought this combat with ungodly Man, And ceaseless still through years that do not cease Have warred with Powers and Principalities. My natural soul, ere yet these strifes began, Was as a sister diligent to please And loving all, and most the human clan.	God knows, 'twas not with a fore reasoned plan I left the easeful dwellings of my peace, And sought this combat with ungodly Man, And ceaseless still through years that do not cease Have warred with Powers and Principalities. My natural soul, ere yet these strifes began, Was as a sister diligent to please And loving all, and most the human clan.
1271_128145_000007_000000	God knows it.	God knows it.
1271_128145_000007_000001	And He knows how the world's tears Touched me.	And He knows how the world's tears Touched me.
1271_128145_000007_000002	And He is witness of my wrath, How it was kindled against murderers Who slew for gold, and how upon their path I met them.	And He is witness of my wrath, How it was kindled against murderers Who slew for gold, and how upon their path I met them.
1271_128145_000007_000003	Since which day the World in arms Strikes at my life with angers and alarms.	Since which day the World in arms Strikes at my life with angers and alarms.
1271_128145_000008_000000	And this sonnet has all the strange strength of that despair which is but the prelude to a larger hope:	And this sonnet has all the strange strength of that despair which is but the prelude to a larger hope:
1271_128145_000009_000000	I thought to do a deed of chivalry, An act of worth, which haply in her sight Who was my mistress should recorded be And of the nations.	I thought to do a deed of chivalry, An act of worth, which haply in her sight Who was my mistress should recorded be And of the nations.
1271_128145_000009_000001	And, when thus the fight Faltered and men once bold with faces white Turned this and that way in excuse to flee, I only stood, and by the foeman's might Was overborne and mangled cruelly.	And, when thus the fight Faltered and men once bold with faces white Turned this and that way in excuse to flee, I only stood, and by the foeman's might Was overborne and mangled cruelly.
1271_128145_000011_000000	The sonnet beginning	The sonnet beginning
1271_128145_000012_000000	A prison is a convent without God-- Poverty, Chastity, Obedience Its precepts are:	A prison is a convent without God- Poverty, Chastity, Obedience Its precepts are:
1271_128145_000013_000000	is very fine; and this, written just after entering the gaol, is powerful:	is very fine; and this, written just after entering the gaol, is powerful:
1271_128145_000014_000000	Naked I came into the world of pleasure, And naked come I to this house of pain. Here at the gate I lay down my life's treasure, My pride, my garments and my name with men. The world and I henceforth shall be as twain, No sound of me shall pierce for good or ill These walls of grief.	Naked I came into the world of pleasure, And naked come I to this house of pain. Here at the gate I lay down my life's treasure, My pride, my garments and my name with men. The world and I henceforth shall be as twain, No sound of me shall pierce for good or ill These walls of grief.
1271_128145_000014_000001	Nor shall I hear the vain Laughter and tears of those who love me still.	Nor shall I hear the vain Laughter and tears of those who love me still.
1271_128145_000015_000000	Within, what new life waits me!	Within, what new life waits me!
1271_128145_000015_000002	Yet, Lord of Might, Still in Thy light my spirit shall see light.	Yet, Lord of Might, Still in Thy light my spirit shall see light.
1271_128145_000016_000001	Literature is not much indebted to Mr. Balfour for his sophistical Defence of Philosophic Doubt which is one of the dullest books we know, but it must be admitted that by sending Mr. Blunt to gaol he has converted a clever rhymer into an earnest and deep-thinking poet.	Literature is not much indebted to mr Balfour for his sophistical Defence of Philosophic Doubt which is one of the dullest books we know, but it must be admitted that by sending mr Blunt to gaol he has converted a clever rhymer into an earnest and deep thinking poet.
1271_128145_000016_000002	The narrow confines of the prison cell seem to suit the 'sonnet's scanty plot of ground,' and an unjust imprisonment for a noble cause strengthens as well as deepens the nature.	The narrow confines of the prison cell seem to suit the 'sonnet's scanty plot of ground,' and an unjust imprisonment for a noble cause strengthens as well as deepens the nature.
