1271_128145_000000_000000	(11) Ralph Hardcastle's Will.	(eleven) Ralph Hardcastle's Will.	false	0	6.51	20.64751
1271_128145_000000_000001	By Agnes Giberne. (Hatchards.)	By Agnes Giberne. (Hatchards.)	false	6.51	8.85	24.094255
1271_128145_000001_000000	(12) Flora's Feast.	(twelve) Flora's Feast.	false	8.85	10.89	14.615652
1271_128145_000001_000001	A Masque of Flowers.	A Masque of Flowers.	false	10.89	12.09	17
1271_128145_000001_000002	Penned and Pictured by Walter Crane. (Cassell and Co.)	Penned and Pictured by Walter Crane. (Cassell and Co.)	false	12.09	17.73	22.76285
1271_128145_000002_000000	(13) Here's to the Maiden of Bashful Fifteen.	(thirteen) Here's to the Maiden of Bashful Fifteen.	false	17.73	26.22	21.320185
1271_128145_000002_000001	By Richard Brinsley Sheridan.	By Richard Brinsley Sheridan.	false	26.22	28.23	29.0094
1271_128145_000002_000002	Illustrated by Alice Havers and Ernest Wilson. (Hildesheimer and Faulkner.)	Illustrated by Alice Havers and Ernest Wilson. (Hildesheimer and Faulkner.)	false	28.23	35.04	24.855425
1271_128145_000003_000000	POETRY AND PRISON	POETRY AND PRISON	true	35.04	37.93	22.217476
1271_128145_000004_000000	(Pall Mall Gazette, January 3, 1889.)	(Pall Mall Gazette, january third eighteen eighty nine.)	true	38.81	45.67	21.23484
1271_128145_000005_000000	Prison has had an admirable effect on Mr. Wilfrid Blunt as a poet.	Prison has had an admirable effect on mr Wilfrid Blunt as a poet.	true	47.18	52.75	20
1271_128145_000005_000001	The Love Sonnets of Proteus, in spite of their clever Musset-like modernities and their swift brilliant wit, were but affected or fantastic at best. They were simply the records of passing moods and moments, of which some were sad and others sweet, and not a few shameful.	The Love Sonnets of Proteus, in spite of their clever Musset like modernities and their swift brilliant wit, were but affected or fantastic at best. They were simply the records of passing moods and moments, of which some were sad and others sweet, and not a few shameful.	false	53.9	80.86	22.21092
1271_128145_000005_000002	Their subject was not of high or serious import.	Their subject was not of high or serious import.	true	82.31	85.96	21.632988
1271_128145_000005_000003	They contained much that was wilful and weak. In Vinculis, upon the other hand, is a book that stirs one by its fine sincerity of purpose, its lofty and impassioned thought, its depth and ardour of intense feeling.	They contained much that was wilful and weak. In Vinculis, upon the other hand, is a book that stirs one by its fine sincerity of purpose, its lofty and impassioned thought, its depth and ardour of intense feeling.	false	86.78	108.07	22.119535
1271_128145_000005_000004	'Imprisonment,' says Mr. Blunt in his preface, 'is a reality of discipline most useful to the modern soul, lapped as it is in physical sloth and self-indulgence.	'Imprisonment,' says mr Blunt in his preface, 'is a reality of discipline most useful to the modern soul, lapped as it is in physical sloth and self indulgence.	true	109.13	123.7	22.149954
1271_128145_000005_000005	Like a sickness or a spiritual retreat it purifies and ennobles; and the soul emerges from it stronger and more self-contained.' To him, certainly, it has been a mode of purification.	Like a sickness or a spiritual retreat it purifies and ennobles; and the soul emerges from it stronger and more self-contained.' To him, certainly, it has been a mode of purification.	true	125.21	143.71	22.222366
1271_128145_000005_000006	The opening sonnets, composed in the bleak cell of Galway Gaol, and written down on the fly-leaves of the prisoner's prayer-book, are full of things nobly conceived and nobly uttered, and show that though Mr. Balfour may enforce 'plain living' by his prison regulations, he cannot prevent 'high thinking' or in any way limit or constrain the freedom of a man's soul.	The opening sonnets, composed in the bleak cell of Galway Gaol, and written down on the fly leaves of the prisoner's prayer book, are full of things nobly conceived and nobly uttered, and show that though mr Balfour may enforce 'plain living' by his prison regulations, he cannot prevent 'high thinking' or in any way limit or constrain the freedom of a man's soul.	false	144.89	176.59	22.44014
1271_128145_000005_000007	They are, of course, intensely personal in expression.	They are, of course, intensely personal in expression.	true	178.13	182.14	22.420424
1271_128145_000005_000008	They could not fail to be so.	They could not fail to be so.	true	182.87	185.02	19
1271_128145_000005_000009	But the personality that they reveal has nothing petty or ignoble about it.	But the personality that they reveal has nothing petty or ignoble about it.	true	186.23	191.95	21.817123
1271_128145_000005_000010	The petulant cry of the shallow egoist which was the chief characteristic of the Love Sonnets of Proteus is not to be found here.	The petulant cry of the shallow egoist which was the chief characteristic of the Love Sonnets of Proteus is not to be found here.	true	192.98	203.05	23.697517
1271_128145_000005_000011	In its place we have wild grief and terrible scorn, fierce rage and flame-like passion. Such a sonnet as the following comes out of the very fire of heart and brain:	In its place we have wild grief and terrible scorn, fierce rage and flame like passion. Such a sonnet as the following comes out of the very fire of heart and brain:	true	204.2	222.25	22.324657
1271_128145_000006_000000	God knows, 'twas not with a fore-reasoned plan I left the easeful dwellings of my peace, And sought this combat with ungodly Man, And ceaseless still through years that do not cease Have warred with Powers and Principalities. My natural soul, ere yet these strifes began, Was as a sister diligent to please And loving all, and most the human clan.	God knows, 'twas not with a fore reasoned plan I left the easeful dwellings of my peace, And sought this combat with ungodly Man, And ceaseless still through years that do not cease Have warred with Powers and Principalities. My natural soul, ere yet these strifes began, Was as a sister diligent to please And loving all, and most the human clan.	true	224.66	259.48	22.527304
1271_128145_000007_000000	God knows it.	God knows it.	true	261.26	263.08	30.526249
1271_128145_000007_000001	And He knows how the world's tears Touched me.	And He knows how the world's tears Touched me.	true	263.93	268.69	20
1271_128145_000007_000002	And He is witness of my wrath, How it was kindled against murderers Who slew for gold, and how upon their path I met them.	And He is witness of my wrath, How it was kindled against murderers Who slew for gold, and how upon their path I met them.	true	269.99	282.13	22.238405
1271_128145_000007_000003	Since which day the World in arms Strikes at my life with angers and alarms.	Since which day the World in arms Strikes at my life with angers and alarms.	true	283.22	290.98	20.285177
1271_128145_000008_000000	And this sonnet has all the strange strength of that despair which is but the prelude to a larger hope:	And this sonnet has all the strange strength of that despair which is but the prelude to a larger hope:	true	294.02	302.47	23.732233
1271_128145_000009_000000	I thought to do a deed of chivalry, An act of worth, which haply in her sight Who was my mistress should recorded be And of the nations.	I thought to do a deed of chivalry, An act of worth, which haply in her sight Who was my mistress should recorded be And of the nations.	true	304.22	315.82	22.956139
1271_128145_000009_000001	And, when thus the fight Faltered and men once bold with faces white Turned this and that way in excuse to flee, I only stood, and by the foeman's might Was overborne and mangled cruelly.	And, when thus the fight Faltered and men once bold with faces white Turned this and that way in excuse to flee, I only stood, and by the foeman's might Was overborne and mangled cruelly.	true	317.09	335.62	21.809042
1271_128145_000010_000000	Then crawled I to her feet, in whose dear cause I made this venture, and 'Behold,' I said, 'How I am wounded for thee in these wars.' But she, 'Poor cripple, would'st thou I should wed A limbless trunk?' and laughing turned from me. Yet she was fair, and her name 'Liberty.'	Then crawled I to her feet, in whose dear cause I made this venture, and 'Behold,' I said, 'How I am wounded for thee in these wars.' But she, 'Poor cripple, would'st thou I should wed A limbless trunk?' and laughing turned from me. Yet she was fair, and her name 'Liberty.'	false	337.52	367.84	20.378973
1271_128145_000011_000000	The sonnet beginning	The sonnet beginning	true	369.44	370.96	26.046028
1271_128145_000012_000000	A prison is a convent without God-- Poverty, Chastity, Obedience Its precepts are:	A prison is a convent without God- Poverty, Chastity, Obedience Its precepts are:	true	371.93	383.5	23.325136
1271_128145_000013_000000	is very fine; and this, written just after entering the gaol, is powerful:	is very fine; and this, written just after entering the gaol, is powerful:	true	384.47	391.06	20.637678
1271_128145_000014_000000	Naked I came into the world of pleasure, And naked come I to this house of pain. Here at the gate I lay down my life's treasure, My pride, my garments and my name with men. The world and I henceforth shall be as twain, No sound of me shall pierce for good or ill These walls of grief.	Naked I came into the world of pleasure, And naked come I to this house of pain. Here at the gate I lay down my life's treasure, My pride, my garments and my name with men. The world and I henceforth shall be as twain, No sound of me shall pierce for good or ill These walls of grief.	true	393.05	423.73	21.403027
1271_128145_000014_000001	Nor shall I hear the vain Laughter and tears of those who love me still.	Nor shall I hear the vain Laughter and tears of those who love me still.	true	424.34	430.69	20
1271_128145_000015_000000	Within, what new life waits me!	Within, what new life waits me!	true	432.41	435.55	20.802422
1271_128145_000015_000001	Little ease, Cold lying, hunger, nights of wakefulness, Harsh orders given, no voice to soothe or please, Poor thieves for friends, for books rules meaningless; This is the grave--nay, hell.	Little ease, Cold lying, hunger, nights of wakefulness, Harsh orders given, no voice to soothe or please, Poor thieves for friends, for books rules meaningless; This is the grave-nay, hell.	true	436.55	466.27	19.997414
1271_128145_000015_000002	Yet, Lord of Might, Still in Thy light my spirit shall see light.	Yet, Lord of Might, Still in Thy light my spirit shall see light.	true	467.63	474.52	25.064732
1271_128145_000016_000000	But, indeed, all the sonnets are worth reading, and The Canon of Aughrim, the longest poem in the book, is a most masterly and dramatic description of the tragic life of the Irish peasant.	But, indeed, all the sonnets are worth reading, and The Canon of Aughrim, the longest poem in the book, is a most masterly and dramatic description of the tragic life of the Irish peasant.	false	477.53	493.24	23.54978
1271_128145_000016_000001	Literature is not much indebted to Mr. Balfour for his sophistical Defence of Philosophic Doubt which is one of the dullest books we know, but it must be admitted that by sending Mr. Blunt to gaol he has converted a clever rhymer into an earnest and deep-thinking poet.	Literature is not much indebted to mr Balfour for his sophistical Defence of Philosophic Doubt which is one of the dullest books we know, but it must be admitted that by sending mr Blunt to gaol he has converted a clever rhymer into an earnest and deep thinking poet.	true	494.6	517.81	23.04457
1271_128145_000016_000002	The narrow confines of the prison cell seem to suit the 'sonnet's scanty plot of ground,' and an unjust imprisonment for a noble cause strengthens as well as deepens the nature.	The narrow confines of the prison cell seem to suit the 'sonnet's scanty plot of ground,' and an unjust imprisonment for a noble cause strengthens as well as deepens the nature.	true	519.53	537.1	23.078804
1271_128145_000017_000000	In Vinculis.	In Vinculis.	true	539.93	541.84	18.724262
