5660_101854_000000_000000	"No, dear, no," assured Mrs. Kendall, hurriedly.	"No, dear, no," assured mrs Kendall, hurriedly.	false	0	2.13	20.59564
5660_101854_000000_000001	"You--you have named quite enough.	"You-you have named quite enough.	false	2.13	3.99	20.55263
5660_101854_000000_000002	And now we'll go down to the brook.	And now we'll go down to the brook.	false	3.99	6.45	21.100107
5660_101854_000000_000003	We haven't seen half of Five Oaks yet." And once more she tried to make the joyous present drive from her daughter's thoughts the grievous past.	We haven't seen half of Five Oaks yet." And once more she tried to make the joyous present drive from her daughter's thoughts the grievous past.	false	6.45	20.805	21.261276
5660_101854_000001_000000	CHAPTER II	CHAPTER two	true	20.805	21.88	23.06908
5660_101854_000002_000000	It was not long before all Houghtonsville knew the story, and there was not a man, woman, or child in the town that did not take the liveliest interest in the little maid at Five Oaks who had passed through so amazing an experience.	It was not long before all Houghtonsville knew the story, and there was not a man, woman, or child in the town that did not take the liveliest interest in the little maid at Five Oaks who had passed through so amazing an experience.	false	23.54	36.04	20.718716
5660_101854_000002_000001	To be lost at five years of age in a great city, to be snatched from wealth, happiness, and a loving mother's arms, only to be thrust instantly into poverty, misery, and loneliness; and then to be, after four long years, suddenly returned--no wonder Houghtonsville held its breath and questioned if it all indeed were true.	To be lost at five years of age in a great city, to be snatched from wealth, happiness, and a loving mother's arms, only to be thrust instantly into poverty, misery, and loneliness; and then to be, after four long years, suddenly returned-no wonder Houghtonsville held its breath and questioned if it all indeed were true.	true	36.38	57.31	22.619045
5660_101854_000003_000000	Bit by bit the little girl's history was related in every house in town; and many a woman--and some men--wept over the tale of how the little fingers had sewed on buttons in the attic sweat shop, and pasted bags in the ill-smelling cellar.	Bit by bit the little girl's history was related in every house in town; and many a woman-and some men-wept over the tale of how the little fingers had sewed on buttons in the attic sweat shop, and pasted bags in the ill smelling cellar.	true	58.7	74.56	23.588823
5660_101854_000003_000001	The story of the cooperative housekeeping establishment in one corner of the basement kitchen, where she, together with Patty and the twins, "divvied up" the day's "haul,"--that, too, came in for its share of exclamatory adjectives, as did the account of how she was finally discovered through her finding her own name over the little cot-bed at Mont-Lawn--the little bed that Mrs. Kendall had endowed in the name of her lost daughter, in the children's vacation home for the poor little waifs from the city.	The story of the cooperative housekeeping establishment in one corner of the basement kitchen, where she, together with Patty and the twins, "divvied up" the day's "haul,"--that, too, came in for its share of exclamatory adjectives, as did the account of how she was finally discovered through her finding her own name over the little cot bed at Mont Lawn-the little bed that mrs Kendall had endowed in the name of her lost daughter, in the children's vacation home for the poor little waifs from the city.	false	74.75	103.59	23.814463
5660_101854_000004_000000	"An' ter think of her findin' her own baby jest by givin' some other woman's baby a bit of joy!" cried Mrs. Merton of the old red farmhouse, when the story was told to her.	"An' ter think of her findin' her own baby jest by givin' some other woman's baby a bit of joy!" cried mrs Merton of the old red farmhouse, when the story was told to her.	false	103.59	116.17	20.962776
5660_101854_000004_000001	"But, there!	"But, there!	true	116.36	117.25	26.651001
