8605_291172_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.	false	1.35	9.15	24.588902
8605_291172_000001_000000	[_See Note Q, Addenda._]	[underscore See Note Q, Addenda.underscore]	false	9.15	29.37	27.210758
8605_291172_000002_000000	NURSING VAGARIES.	NURSING VAGARIES.	true	29.37	30.82	26
8605_291172_000003_000000	The cat, unlike most animals, seems singularly exempt from the pains of parturition.	The cat, unlike most animals, seems singularly exempt from the pains of parturition.	true	31.55	38.47	23.612675
8605_291172_000003_000001	"In sorrow shalt thou bring forth," was never meant to apply to pussy.	"In sorrow shalt thou bring forth," was never meant to apply to pussy.	true	39.17	44.08	22.331995
8605_291172_000003_000002	In fact about this time she always appears jollier than at any other, apparently looking upon the whole business as a capital lark--a rather enjoyable practical joke.	In fact about this time she always appears jollier than at any other, apparently looking upon the whole business as a capital lark-a rather enjoyable practical joke.	true	44.63	55.81	27.14609
8605_291172_000003_000003	My own cat, Muffie, invariably gives due notice of the coming event, by some of the most wonderful specimens of cantation I ever listened to.	My own cat, Muffie, invariably gives due notice of the coming event, by some of the most wonderful specimens of cantation I ever listened to.	true	56.3	65.71	24.668058
8605_291172_000003_000004	In fact she becomes a small opera in herself, chorus and all.	In fact she becomes a small opera in herself, chorus and all.	true	65.93	70.15	25.154318
8605_291172_000003_000005	Her song, moreover, is interlarded with little hysterical squeaks, as if she were brim-full of some strange joy, and running over.	Her song, moreover, is interlarded with little hysterical squeaks, as if she were brim full of some strange joy, and running over.	true	70.46	79.72	23.100985
8605_291172_000003_000006	At the same time she lavishes more caresses than usual upon Nero, who, not knowing what to make of it, looks very foolish indeed.	At the same time she lavishes more caresses than usual upon Nero, who, not knowing what to make of it, looks very foolish indeed.	true	80.03	88.93	24.91652
8605_291172_000004_000000	CATS EATING THEIR KITTENS.--Numerous instances might be cited of cats eating their kittens as soon as born.	CATS EATING THEIR KITTENS.--Numerous instances might be cited of cats eating their kittens as soon as born.	true	90.11	98.47	23.032143
8605_291172_000004_000001	These are curious examples of mistaken affection, and may be put down to a species of feline mania, somewhat analogous to that which is sometimes, though rarely, seen in human beings.	These are curious examples of mistaken affection, and may be put down to a species of feline mania, somewhat analogous to that which is sometimes, though rarely, seen in human beings.	false	98.81	110.44	22.916092
8605_291172_000004_000002	Women _enceinte_ have often curious tastes, as witness the lady whom nothing would please, but a bite of a baker's shoulder.	Women underscore enceinte underscore have often curious tastes, as witness the lady whom nothing would please, but a bite of a baker's shoulder.	false	110.54	118.84	22.502306
8605_291172_000004_000003	She had the bite and was satisfied.	She had the bite and was satisfied.	true	119.15	121.48	22.452593
8605_291172_000004_000004	We trust the baker was.	We trust the baker was.	true	121.52	123.31	24.579025
8605_291172_000004_000005	Or the princess who had her husband killed; she ate part of him, and had the remainder salted for future consumption.	Or the princess who had her husband killed; she ate part of him, and had the remainder salted for future consumption.	true	123.65	130.39	23.11956
8605_291172_000004_000006	A lady of my acquaintance,--she was a savage, and lived in Lamoo on the East Coast of Africa,--had twins, a very little baby boy and a big fat baby girl.	A lady of my acquaintance,--she was a savage, and lived in Lamoo on the East Coast of Africa,--had twins, a very little baby boy and a big fat baby girl.	false	131.75	142.78	21.782871
8605_291172_000004_000007	I saw her some days after, squatting in front of her bamboo hut, and singing low to her little son.	I saw her some days after, squatting in front of her bamboo hut, and singing low to her little son.	false	142.91	148.81	22.856113
8605_291172_000005_000000	"But, in the name of goodness," said I, "what have you got in the pot? French missionary?"	"But, in the name of goodness," said I, "what have you got in the pot? French missionary?"	true	149.45	154.87	22.061071
8605_291172_000006_000000	"No," she said; exhibiting no sort of surprise at my question, for a dish of French missionary was by no means unknown in those parts.	"No," she said; exhibiting no sort of surprise at my question, for a dish of French missionary was by no means unknown in those parts.	true	155.24	163.72	21.133308
8605_291172_000006_000001	And she intimated to me, that it was _only_ the baby girl, with whom she intended to feed the little baby boy, as he had not got fair play; and so the majesty of justice was maintained.	And she intimated to me, that it was underscore only underscore the baby girl, with whom she intended to feed the little baby boy, as he had not got fair play; and so the majesty of justice was maintained.	false	163.91	175.27	23.024906
8605_291172_000007_000000	Cats are greatly sensible of the honour of maternity, and when deprived of their kittens feel very wretched indeed.	Cats are greatly sensible of the honour of maternity, and when deprived of their kittens feel very wretched indeed.	true	176.09	183.06	25.321888
8605_291172_000007_000001	Under these circumstances, they will nurse and suckle almost any creature.	Under these circumstances, they will nurse and suckle almost any creature.	true	183.06	187.33	23.974852
8605_291172_000008_000000	CATS REARING DOGS.--A cat of mine, a few years ago, suckled and reared a beautiful Pomeranian dog.	CATS REARING DOGS.--A cat of mine, a few years ago, suckled and reared a beautiful Pomeranian dog.	true	188.54	196.53	21.61891
8605_291172_000008_000001	I thought at the time this was rather surprising; but I should not be surprised now at anything a cat did.	I thought at the time this was rather surprising; but I should not be surprised now at anything a cat did.	true	196.53	202.75	27.307215
8605_291172_000009_000000	A gentleman, the other day, had a very nice fox-terrier bitch.	A gentleman, the other day, had a very nice fox terrier bitch.	true	203.48	207.52	21.016966
8605_291172_000009_000001	The poor thing died giving birth to a litter of four puppies.	The poor thing died giving birth to a litter of four puppies.	true	207.62	211	24.202105
8605_291172_000009_000002	His cat, however, whose kittens had been all drowned a day or too before, immediately installed herself in the vacant bed and adopted the puppies.	His cat, however, whose kittens had been all drowned a day or too before, immediately installed herself in the vacant bed and adopted the puppies.	false	211.25	220.06	25.478466
8605_291172_000009_000003	She proved a good mother to them, and successfully reared every one of them.	She proved a good mother to them, and successfully reared every one of them.	true	220.31	224.62	21.130098
8605_291172_000010_000000	I know of another similar instance, where a cat was house-mate with a rather valuable bitch; this bitch brought forth a litter of seven pups. The cat had five kittens at the same time.	I know of another similar instance, where a cat was house mate with a rather valuable bitch; this bitch brought forth a litter of seven pups. The cat had five kittens at the same time.	true	225.74	237.82	28.102654
8605_291172_000010_000001	Thinking that seven whelps were rather many for the bitch to rear, four of pussy's kittens were drowned and two pups put to her instead.	Thinking that seven whelps were rather many for the bitch to rear, four of pussy's kittens were drowned and two pups put to her instead.	false	238.1	246.19	26.074867
8605_291172_000010_000002	But pussy peremptorily refused to have anything to say to them, and persisted in that refusal until the expedient was tried of drowning the remaining kitten.	But pussy peremptorily refused to have anything to say to them, and persisted in that refusal until the expedient was tried of drowning the remaining kitten.	false	246.29	255.73	24
8605_291172_000010_000003	That brought the cat to her senses; and she took to her foster children kindly enough and reared them. This same cat afterwards suckled a puppy and kitten at the same time.	That brought the cat to her senses; and she took to her foster children kindly enough and reared them. This same cat afterwards suckled a puppy and kitten at the same time.	false	256.34	266.74	26.797794
8605_291172_000011_000000	One day she gave birth to her kittens in an out-house, and at once leaving them to shift for themselves, she entered the dwelling house and insisted on giving suck to the dog of her first adoption.	One day she gave birth to her kittens in an out house, and at once leaving them to shift for themselves, she entered the dwelling house and insisted on giving suck to the dog of her first adoption.	true	268.13	279.58	22.405077
8605_291172_000011_000001	As he was now a full-grown dog, and had a great regard for his own respectability, he didn't see the fun of it.	As he was now a full grown dog, and had a great regard for his own respectability, he didn't see the fun of it.	true	279.83	286.48	25.3316
8605_291172_000011_000002	Pussy went after him nevertheless, lying down in front of him, and mewing piteously up in his face.	Pussy went after him nevertheless, lying down in front of him, and mewing piteously up in his face.	true	286.91	292.93	22.651493
8605_291172_000011_000003	When, to get rid of her importunities, the dog went out, she even followed him to the street, and only ceased pestering him, when her kittens were discovered and brought to her.	When, to get rid of her importunities, the dog went out, she even followed him to the street, and only ceased pestering him, when her kittens were discovered and brought to her.	true	293.36	303.43	24.226456
8605_291172_000012_000000	CAT ADOPTING HER GRAND-CHILDREN.--A lady had two cats, mother and daughter, living in the same house with her.	CAT ADOPTING HER GRAND CHILDREN.--A lady had two cats, mother and daughter, living in the same house with her.	false	304.37	312.58	22.969006
8605_291172_000012_000001	The mother was of a quiet, domesticated turn of mind, and preferred fire-side enjoyments to out-of-door sports; but the daughter was quite the reverse.	The mother was of a quiet, domesticated turn of mind, and preferred fire side enjoyments to out of door sports; but the daughter was quite the reverse.	true	312.68	321.825	25.034842
8605_291172_000012_000002	She was a mighty huntress, and it was no uncommon thing, to see her coming waddling across the fields with a rabbit as big as herself in her mouth.	She was a mighty huntress, and it was no uncommon thing, to see her coming waddling across the fields with a rabbit as big as herself in her mouth.	true	321.825	330.31	22.909739
8605_291172_000012_000003	Both these cats had kittens at the same time, but the daughter seemed determined, that nursing should not interfere with her hunting expeditions.	Both these cats had kittens at the same time, but the daughter seemed determined, that nursing should not interfere with her hunting expeditions.	true	330.35	338.59	23.334848
8605_291172_000012_000004	She was a strong-minded woman's-rights sort of a cat, and was often scouring the country in pursuit of game, when her poor little family were starving at home.	She was a strong minded woman's rights sort of a cat, and was often scouring the country in pursuit of game, when her poor little family were starving at home.	false	338.72	347.5	22.156643
8605_291172_000012_000005	One day she went off as usual, and was never afterwards seen alive: her mangled remains were found a little way down the line, where she had been run over by a railway train.	One day she went off as usual, and was never afterwards seen alive: her mangled remains were found a little way down the line, where she had been run over by a railway train.	false	347.9	357.91	19
8605_291172_000013_000000	"We were just about," says the lady, "to drown the little orphan kits, when, to our surprise, we found that old grandmamma puss had adopted her ill-fated daughter's children, and was nursing and tending them, with the same amount of care and attention she bestowed on her own."	"We were just about," says the lady, "to drown the little orphan kits, when, to our surprise, we found that old grandmamma puss had adopted her ill fated daughter's children, and was nursing and tending them, with the same amount of care and attention she bestowed on her own."	false	357.98	372.91	20
8605_291172_000014_000000	I know an instance where two cats, resident in the same house, had had kittens on the same day.	I know an instance where two cats, resident in the same house, had had kittens on the same day.	false	374.57	380.68	24
8605_291172_000014_000001	There being no chance of finding homes for so many, they were all drowned with the exception of three.	There being no chance of finding homes for so many, they were all drowned with the exception of three.	true	380.93	387.04	23.446312
8605_291172_000014_000002	Now these two mother-cats were wise in their day and generation.	Now these two mother cats were wise in their day and generation.	true	387.05	391.15	19
8605_291172_000014_000003	No one cat, they thought, could nurse and suckle ten kits, and it was equally evident that three kittens did not require the services of two cats.	No one cat, they thought, could nurse and suckle ten kits, and it was equally evident that three kittens did not require the services of two cats.	true	391.43	400.48	26.50754
8605_291172_000014_000004	So they concluded that the best plan would be to put the shattered remains of the two families,--"Your one kitty, Mrs. Tom, and my two,"--together in one bed, and take turn about in nursing them.	So they concluded that the best plan would be to put the shattered remains of the two families,--"Your one kitty, mrs Tom, and my two,"--together in one bed, and take turn about in nursing them.	false	400.58	412.33	24.515682
8605_291172_000014_000005	This was accordingly done, and turned out to be a very satisfactory arrangement for all parties concerned; for either cat could now go abroad when she pleased, happy in the thought that nothing could go wrong at home.	This was accordingly done, and turned out to be a very satisfactory arrangement for all parties concerned; for either cat could now go abroad when she pleased, happy in the thought that nothing could go wrong at home.	true	412.58	424.57	25.333376
8605_291172_000015_000000	NURSING A HARE.--A certain carpenter whom I knew had a cat which in due season,--as all cats will,--produced a litter of kittens which--very cruel and thoughtless was the action--were all drowned.	NURSING A HARE.--A certain carpenter whom I knew had a cat which in due season,--as all cats will,--produced a litter of kittens which-very cruel and thoughtless was the action-were all drowned.	true	425.69	439.51	26.489765
8605_291172_000015_000001	Poor pussy mourned her offspring for many days, but she was a female philosopher--that may seem a paradox, but she was; so she communed with herself on her bed at night, thus,--	Poor pussy mourned her offspring for many days, but she was a female philosopher-that may seem a paradox, but she was; so she communed with herself on her bed at night, thus,--	false	439.97	451.15	24.141306
8605_291172_000016_000000	"My inhuman master has most unfeelingly slain all my pretty little babes, and has not left me one; but he cannot dry up the fountains of a mother's love, with which my heart runs o'er; besides, I'm taking the milk-fever. But behold, day is gently breaking.	"My inhuman master has most unfeelingly slain all my pretty little babes, and has not left me one; but he cannot dry up the fountains of a mother's love, with which my heart runs o'er; besides, I'm taking the milk fever. But behold, day is gently breaking.	false	451.94	469	23.000149
8605_291172_000016_000001	I'll seek the mountain, and be it what it may, I'll have something to love, something to suckle me."	I'll seek the mountain, and be it what it may, I'll have something to love, something to suckle me."	true	469.19	475.09	27.993256
8605_291172_000017_000000	That day she found, or more probably stole, a fine young hare, which she nursed and reared as tenderly as if it had been one of her own kittens.	That day she found, or more probably stole, a fine young hare, which she nursed and reared as tenderly as if it had been one of her own kittens.	false	475.67	484.42	21.850788
8605_291172_000018_000000	NURSING SQUIRRELS.--This is by no means uncommon in cats.	NURSING SQUIRRELS.--This is by no means uncommon in cats.	true	485.81	491.56	22.174004
8605_291172_000018_000001	They will rear them either along with their own kittens or by themselves; and a very pretty sight it is to see.	They will rear them either along with their own kittens or by themselves; and a very pretty sight it is to see.	false	491.72	498.28	23
8605_291172_000018_000002	Squirrels thus reared make most delightful little pets.	Squirrels thus reared make most delightful little pets.	true	498.5	502.27	25.925049
8605_291172_000019_000000	NURSING CHICKENS.--I know several instances of cats supplying the place of their lost kittens with a chicken.	NURSING CHICKENS.--I know several instances of cats supplying the place of their lost kittens with a chicken.	true	503.54	512.11	25.314795
8605_291172_000019_000001	One cat, for example, had had all her offspring,--it was her first litter,--drowned; she went at once out into the court-yard, where a hen was gathering crumbs to a large brood of chickens.	One cat, for example, had had all her offspring,--it was her first litter,--drowned; she went at once out into the court yard, where a hen was gathering crumbs to a large brood of chickens.	true	512.27	524.95	25.581085
8605_291172_000019_000002	One of these pussy, watching her chance, sprang upon and seized by the neck, and although hotly pursued by the enraged mother, managed to reach the house in safety, and went straight to her own bed.	One of these pussy, watching her chance, sprang upon and seized by the neck, and although hotly pursued by the enraged mother, managed to reach the house in safety, and went straight to her own bed.	true	525.05	537.28	24.93189
8605_291172_000019_000003	Here she deposited the chicken, and, lying down beside it, commenced to sing, clearly intimating that she wished her little adopted one to have a drink. But unfortunately, chickie's mouth wasn't adapted for sucking, but it cowered beside her for warmth; and as there were plenty of crumbs on the kitchen floor, it did not want.	Here she deposited the chicken, and, lying down beside it, commenced to sing, clearly intimating that she wished her little adopted one to have a drink. But unfortunately, chickie's mouth wasn't adapted for sucking, but it cowered beside her for warmth; and as there were plenty of crumbs on the kitchen floor, it did not want.	false	537.5	555.82	24.392725
8605_291172_000019_000004	So it became a sort of household pet, and when not eating, it was always cuddling down beside its funny foster-mother.	So it became a sort of household pet, and when not eating, it was always cuddling down beside its funny foster mother.	true	555.98	563.5	22.436983
8605_291172_000019_000005	I may mention here, that next time this same cat had kittens they were all drowned again; but this time she did a wiser thing. She found out that a cat, belonging to one of the neighbours, was the happy mother of three kittens which she had been allowed to keep.	I may mention here, that next time this same cat had kittens they were all drowned again; but this time she did a wiser thing. She found out that a cat, belonging to one of the neighbours, was the happy mother of three kittens which she had been allowed to keep.	true	563.87	579.18	25.471182
