98_199_000002_000000	CHAPTER 2	CHAPTER two
98_199_000004_000000	When the hour of departure drew near, the maternal anxiety of Mrs. Morland will be naturally supposed to be most severe.	When the hour of departure drew near, the maternal anxiety of mrs Morland will be naturally supposed to be most severe.
98_199_000004_000001	A thousand alarming presentiments of evil to her beloved Catherine from this terrific separation must oppress her heart with sadness, and drown her in tears for the last day or two of their being together; and advice of the most important and applicable nature must of course flow from her wise lips in their parting conference in her closet.	A thousand alarming presentiments of evil to her beloved Catherine from this terrific separation must oppress her heart with sadness, and drown her in tears for the last day or two of their being together; and advice of the most important and applicable nature must of course flow from her wise lips in their parting conference in her closet.
98_199_000004_000002	Cautions against the violence of such noblemen and baronets as delight in forcing young ladies away to some remote farm-house, must, at such a moment, relieve the fulness of her heart.	Cautions against the violence of such noblemen and baronets as delight in forcing young ladies away to some remote farm house, must, at such a moment, relieve the fulness of her heart.
98_199_000004_000003	Who would not think so?	Who would not think so?
98_199_000004_000004	But Mrs. Morland knew so little of lords and baronets, that she entertained no notion of their general mischievousness, and was wholly unsuspicious of danger to her daughter from their machinations.	But mrs Morland knew so little of lords and baronets, that she entertained no notion of their general mischievousness, and was wholly unsuspicious of danger to her daughter from their machinations.
98_199_000004_000005	Her cautions were confined to the following points.	Her cautions were confined to the following points.
98_199_000005_000000	Sally, or rather Sarah (for what young lady of common gentility will reach the age of sixteen without altering her name as far as she can?), must from situation be at this time the intimate friend and confidante of her sister.	Sally, or rather Sarah (for what young lady of common gentility will reach the age of sixteen without altering her name as far as she can?), must from situation be at this time the intimate friend and confidante of her sister.
98_199_000005_000001	It is remarkable, however, that she neither insisted on Catherine's writing by every post, nor exacted her promise of transmitting the character of every new acquaintance, nor a detail of every interesting conversation that Bath might produce.	It is remarkable, however, that she neither insisted on Catherine's writing by every post, nor exacted her promise of transmitting the character of every new acquaintance, nor a detail of every interesting conversation that Bath might produce.
98_199_000005_000002	Everything indeed relative to this important journey was done, on the part of the Morlands, with a degree of moderation and composure, which seemed rather consistent with the common feelings of common life, than with the refined susceptibilities, the tender emotions which the first separation of a heroine from her family ought always to excite.	Everything indeed relative to this important journey was done, on the part of the Morlands, with a degree of moderation and composure, which seemed rather consistent with the common feelings of common life, than with the refined susceptibilities, the tender emotions which the first separation of a heroine from her family ought always to excite.
98_199_000006_000000	Under these unpromising auspices, the parting took place, and the journey began.	Under these unpromising auspices, the parting took place, and the journey began.
98_199_000006_000001	It was performed with suitable quietness and uneventful safety.	It was performed with suitable quietness and uneventful safety.
98_199_000006_000002	Neither robbers nor tempests befriended them, nor one lucky overturn to introduce them to the hero.	Neither robbers nor tempests befriended them, nor one lucky overturn to introduce them to the hero.
98_199_000007_000000	They arrived at Bath.	They arrived at Bath.
98_199_000007_000001	Catherine was all eager delight--her eyes were here, there, everywhere, as they approached its fine and striking environs, and afterwards drove through those streets which conducted them to the hotel.	Catherine was all eager delight-her eyes were here, there, everywhere, as they approached its fine and striking environs, and afterwards drove through those streets which conducted them to the hotel.
98_199_000007_000002	She was come to be happy, and she felt happy already.	She was come to be happy, and she felt happy already.
98_199_000010_000000	Mrs. Allen was one of that numerous class of females, whose society can raise no other emotion than surprise at there being any men in the world who could like them well enough to marry them.	mrs Allen was one of that numerous class of females, whose society can raise no other emotion than surprise at there being any men in the world who could like them well enough to marry them.
98_199_000010_000001	She had neither beauty, genius, accomplishment, nor manner.	She had neither beauty, genius, accomplishment, nor manner.
98_199_000010_000002	The air of a gentlewoman, a great deal of quiet, inactive good temper, and a trifling turn of mind were all that could account for her being the choice of a sensible, intelligent man like Mr. Allen.	The air of a gentlewoman, a great deal of quiet, inactive good temper, and a trifling turn of mind were all that could account for her being the choice of a sensible, intelligent man like mr Allen.
98_199_000010_000003	In one respect she was admirably fitted to introduce a young lady into public, being as fond of going everywhere and seeing everything herself as any young lady could be.	In one respect she was admirably fitted to introduce a young lady into public, being as fond of going everywhere and seeing everything herself as any young lady could be.
98_199_000010_000004	Dress was her passion.	Dress was her passion.
98_199_000010_000005	She had a most harmless delight in being fine; and our heroine's entree into life could not take place till after three or four days had been spent in learning what was mostly worn, and her chaperone was provided with a dress of the newest fashion.	She had a most harmless delight in being fine; and our heroine's entree into life could not take place till after three or four days had been spent in learning what was mostly worn, and her chaperone was provided with a dress of the newest fashion.
98_199_000010_000006	Catherine too made some purchases herself, and when all these matters were arranged, the important evening came which was to usher her into the Upper Rooms.	Catherine too made some purchases herself, and when all these matters were arranged, the important evening came which was to usher her into the Upper Rooms.
98_199_000010_000007	Her hair was cut and dressed by the best hand, her clothes put on with care, and both Mrs. Allen and her maid declared she looked quite as she should do.	Her hair was cut and dressed by the best hand, her clothes put on with care, and both mrs Allen and her maid declared she looked quite as she should do.
98_199_000010_000008	With such encouragement, Catherine hoped at least to pass uncensured through the crowd.	With such encouragement, Catherine hoped at least to pass uncensured through the crowd.
98_199_000010_000009	As for admiration, it was always very welcome when it came, but she did not depend on it.	As for admiration, it was always very welcome when it came, but she did not depend on it.
