8008_271811_000000_000000	CHAPTER 6 THE FIRST VALLEY	CHAPTER six THE FIRST VALLEY	true	27.315	30.25	21.789534
8008_271811_000001_000000	The rocky arch was not very thick, yet before Dot and Tot had floated to the other side of it, shouts of merry laughter and the chattering of many voices came to their ears.	The rocky arch was not very thick, yet before Dot and Tot had floated to the other side of it, shouts of merry laughter and the chattering of many voices came to their ears.	true	31.16	42.61	19.584253
8008_271811_000001_000001	Some of the voices sounded loud and shrill, others low and deep, but all rang with a happy tone that aroused the children's interest at once, and made them wonder what occasion could cause so much amusement.	Some of the voices sounded loud and shrill, others low and deep, but all rang with a happy tone that aroused the children's interest at once, and made them wonder what occasion could cause so much amusement.	true	43.55	59.2	20.346571
8008_271811_000002_000000	Then, so suddenly that it quite startled the childish voyagers, the boat glided from the archway into the most beautiful country one could imagine.	Then, so suddenly that it quite startled the childish voyagers, the boat glided from the archway into the most beautiful country one could imagine.	true	59.72	71.02	21.059519
8008_271811_000003_000000	It was a Valley, as the Watch-Dog had said; but it was level and sunny and dotted with broad-leaved trees; while soft, tender grasses, mingled with brilliant flowers, covered the ground in every direction.	It was a Valley, as the Watch Dog had said; but it was level and sunny and dotted with broad leaved trees; while soft, tender grasses, mingled with brilliant flowers, covered the ground in every direction.	true	71.48	87.76	20.454535
8008_271811_000003_000001	There seemed to be no houses at all, yet streets were laid out in regular order, having at their sides raised platforms in place of houses.	There seemed to be no houses at all, yet streets were laid out in regular order, having at their sides raised platforms in place of houses.	true	88.19	98.86	19.562666
8008_271811_000003_000002	Each of the platforms was four feet high and fifteen feet square on the top, and they were separated from one another by stretches of the flower-strewn lawn.	Each of the platforms was four feet high and fifteen feet square on the top, and they were separated from one another by stretches of the flower strewn lawn.	false	99.32	111.52	20.963087
8008_271811_000003_000003	The top and sides of every platform were padded like the mattresses of a bed, and were covered with silks and velvets of the most gorgeous patterns, no two being of the same combinations of colors.	The top and sides of every platform were padded like the mattresses of a bed, and were covered with silks and velvets of the most gorgeous patterns, no two being of the same combinations of colors.	false	111.98	125.38	20
8008_271811_000004_000000	On many of these raised and padded platforms, Dot and Tot saw groups of funny-looking Clowns, all dressed in wide, baggy trousers, puffy jackets and soft, pointed caps.	On many of these raised and padded platforms, Dot and Tot saw groups of funny looking Clowns, all dressed in wide, baggy trousers, puffy jackets and soft, pointed caps.	true	125.9	138.55	20.693583
8008_271811_000004_000001	Yet in their costumes was an endless variety of colorings and combinations of colors, making the groups look remarkably bright and pleasing.	Yet in their costumes was an endless variety of colorings and combinations of colors, making the groups look remarkably bright and pleasing.	true	138.68	148.51	21.824068
8008_271811_000005_000000	The faces of the Clowns were painted in a fanciful way, with rings of red and blue and yellow on their cheeks, and spots and streaks of the same gorgeous colors over their eyes and around their chins.	The faces of the Clowns were painted in a fanciful way, with rings of red and blue and yellow on their cheeks, and spots and streaks of the same gorgeous colors over their eyes and around their chins.	true	149.21	162.64	19.018467
