2201_160438_000000_000000	BOOK III.	BOOK three.	false	8.175	20.29	20.25694
2201_160438_000000_000001	OF THE DIFFERENT PROGRESS OF OPULENCE IN DIFFERENT NATIONS	OF THE DIFFERENT PROGRESS OF OPULENCE IN DIFFERENT NATIONS	true	20.45	23.68	20
2201_160438_000001_000000	CHAPTER I. OF THE NATURAL PROGRESS OF OPULENCE.	CHAPTER one OF THE NATURAL PROGRESS OF OPULENCE.	false	24.59	29.02	22.367943
2201_160438_000002_000000	The great commerce of every civilized society is that carried on between the inhabitants of the town and those of the country.	The great commerce of every civilized society is that carried on between the inhabitants of the town and those of the country.	true	31.37	38.29	16
2201_160438_000002_000001	It consists in the exchange of rude for manufactured produce, either immediately, or by the intervention of money, or of some sort of paper which represents money. The country supplies the town with the means of subsistence and the materials of manufacture.	It consists in the exchange of rude for manufactured produce, either immediately, or by the intervention of money, or of some sort of paper which represents money. The country supplies the town with the means of subsistence and the materials of manufacture.	true	38.48	54.01	20
2201_160438_000002_000002	The town repays this supply, by sending back a part of the manufactured produce to the inhabitants of the country. The town, in which there neither is nor can be any reproduction of substances, may very properly be said to gain its whole wealth and subsistence from the country.	The town repays this supply, by sending back a part of the manufactured produce to the inhabitants of the country. The town, in which there neither is nor can be any reproduction of substances, may very properly be said to gain its whole wealth and subsistence from the country.	true	54.56	70.72	20
2201_160438_000002_000003	We must not, however, upon this account, imagine that the gain of the town is the loss of the country.	We must not, however, upon this account, imagine that the gain of the town is the loss of the country.	true	71.09	76.78	19
2201_160438_000002_000004	The gains of both are mutual and reciprocal, and the division of labour is in this, as in all other cases, advantageous to all the different persons employed in the various occupations into which it is subdivided.	The gains of both are mutual and reciprocal, and the division of labour is in this, as in all other cases, advantageous to all the different persons employed in the various occupations into which it is subdivided.	true	77.03	89.77	17
2201_160438_000002_000005	The inhabitants of the country purchase of the town a greater quantity of manufactured goods with the produce of a much smaller quantity of their own labour, than they must have employed had they attempted to prepare them themselves.	The inhabitants of the country purchase of the town a greater quantity of manufactured goods with the produce of a much smaller quantity of their own labour, than they must have employed had they attempted to prepare them themselves.	true	89.96	101.44	16
2201_160438_000002_000006	The town affords a market for the surplus produce of the country, or what is over and above the maintenance of the cultivators; and it is there that the inhabitants of the country exchange it for something else which is in demand among them.	The town affords a market for the surplus produce of the country, or what is over and above the maintenance of the cultivators; and it is there that the inhabitants of the country exchange it for something else which is in demand among them.	true	101.75	114.16	16
2201_160438_000002_000007	The greater the number and revenue of the inhabitants of the town, the more extensive is the market which it affords to those of the country; and the more extensive that market, it is always the more advantageous to a great number.	The greater the number and revenue of the inhabitants of the town, the more extensive is the market which it affords to those of the country; and the more extensive that market, it is always the more advantageous to a great number.	false	114.35	126.1	18
2201_160438_000002_000008	The corn which grows within a mile of the town, sells there for the same price with that which comes from twenty miles distance.	The corn which grows within a mile of the town, sells there for the same price with that which comes from twenty miles distance.	true	126.32	132.94	17
2201_160438_000002_000009	But the price of the latter must, generally, not only pay the expense of raising it and bringing it to market, but afford, too, the ordinary profits of agriculture to the farmer.	But the price of the latter must, generally, not only pay the expense of raising it and bringing it to market, but afford, too, the ordinary profits of agriculture to the farmer.	true	133.46	143.08	19
2201_160438_000002_000010	The proprietors and cultivators of the country, therefore, which lies in the neighbourhood of the town, over and above the ordinary profits of agriculture, gain, in the price of what they sell, the whole value of the carriage of the like produce that is brought from more distant parts; and they save, besides, the whole value of this carriage in the price of what they buy.	The proprietors and cultivators of the country, therefore, which lies in the neighbourhood of the town, over and above the ordinary profits of agriculture, gain, in the price of what they sell, the whole value of the carriage of the like produce that is brought from more distant parts; and they save, besides, the whole value of this carriage in the price of what they buy.	true	143.51	162.49	18
