459_127521_000001_000000	13	thirteen
459_127521_000003_000000	THE appearance of the island when I came on deck next morning was altogether changed.	THE appearance of the island when I came on deck next morning was altogether changed.
459_127521_000003_000001	Although the breeze had now utterly ceased, we had made a great deal of way during the night and were now lying becalmed about half a mile to the south-east of the low eastern coast. Grey-coloured woods covered a large part of the surface.	Although the breeze had now utterly ceased, we had made a great deal of way during the night and were now lying becalmed about half a mile to the south-east of the low eastern coast. Grey coloured woods covered a large part of the surface.
459_127521_000004_000000	The HISPANIOLA was rolling scuppers under in the ocean swell.	The HISPANIOLA was rolling scuppers under in the ocean swell.
459_127521_000004_000001	The booms were tearing at the blocks, the rudder was banging to and fro, and the whole ship creaking, groaning, and jumping like a manufactory.	The booms were tearing at the blocks, the rudder was banging to and fro, and the whole ship creaking, groaning, and jumping like a manufactory.
459_127521_000006_000001	I volunteered for one of the boats, where I had, of course, no business.	I volunteered for one of the boats, where I had, of course, no business.
459_127521_000006_000002	The heat was sweltering, and the men grumbled fiercely over their work.	The heat was sweltering, and the men grumbled fiercely over their work.
459_127521_000006_000003	Anderson was in command of my boat, and instead of keeping the crew in order, he grumbled as loud as the worst.	Anderson was in command of my boat, and instead of keeping the crew in order, he grumbled as loud as the worst.
459_127521_000007_000000	"Well," he said with an oath, "it's not forever."	"Well," he said with an oath, "it's not forever."
459_127521_000008_000000	I thought this was a very bad sign, for up to that day the men had gone briskly and willingly about their business; but the very sight of the island had relaxed the cords of discipline.	I thought this was a very bad sign, for up to that day the men had gone briskly and willingly about their business; but the very sight of the island had relaxed the cords of discipline.
459_127521_000011_000000	We brought up just where the anchor was in the chart, about a third of a mile from each shore, the mainland on one side and Skeleton Island on the other.	We brought up just where the anchor was in the chart, about a third of a mile from each shore, the mainland on one side and Skeleton Island on the other.
459_127521_000011_000001	The bottom was clean sand.	The bottom was clean sand.
459_127521_000011_000002	The plunge of our anchor sent up clouds of birds wheeling and crying over the woods, but in less than a minute they were down again and all was once more silent.	The plunge of our anchor sent up clouds of birds wheeling and crying over the woods, but in less than a minute they were down again and all was once more silent.
459_127521_000012_000000	The place was entirely land-locked, buried in woods, the trees coming right down to high-water mark, the shores mostly flat, and the hilltops standing round at a distance in a sort of amphitheatre, one here, one there.	The place was entirely land locked, buried in woods, the trees coming right down to high water mark, the shores mostly flat, and the hilltops standing round at a distance in a sort of amphitheatre, one here, one there.
459_127521_000012_000002	From the ship we could see nothing of the house or stockade, for they were quite buried among trees; and if it had not been for the chart on the companion, we might have been the first that had ever anchored there since the island arose out of the seas.	From the ship we could see nothing of the house or stockade, for they were quite buried among trees; and if it had not been for the chart on the companion, we might have been the first that had ever anchored there since the island arose out of the seas.
459_127521_000013_000000	There was not a breath of air moving, nor a sound but that of the surf booming half a mile away along the beaches and against the rocks outside.	There was not a breath of air moving, nor a sound but that of the surf booming half a mile away along the beaches and against the rocks outside.
459_127521_000013_000001	A peculiar stagnant smell hung over the anchorage--a smell of sodden leaves and rotting tree trunks.	A peculiar stagnant smell hung over the anchorage-a smell of sodden leaves and rotting tree trunks.
459_127521_000014_000000	"I don't know about treasure," he said, "but I'll stake my wig there's fever here."	"I don't know about treasure," he said, "but I'll stake my wig there's fever here."
459_127521_000015_000000	If the conduct of the men had been alarming in the boat, it became truly threatening when they had come aboard.	If the conduct of the men had been alarming in the boat, it became truly threatening when they had come aboard.
459_127521_000015_000001	They lay about the deck growling together in talk.	They lay about the deck growling together in talk.
459_127521_000015_000002	The slightest order was received with a black look and grudgingly and carelessly obeyed.	The slightest order was received with a black look and grudgingly and carelessly obeyed.
459_127521_000015_000004	Mutiny, it was plain, hung over us like a thunder-cloud.	Mutiny, it was plain, hung over us like a thunder cloud.
459_127521_000016_000000	And it was not only we of the cabin party who perceived the danger.	And it was not only we of the cabin party who perceived the danger.
459_127521_000016_000001	Long John was hard at work going from group to group, spending himself in good advice, and as for example no man could have shown a better.	Long john was hard at work going from group to group, spending himself in good advice, and as for example no man could have shown a better.
459_127521_000016_000002	He fairly outstripped himself in willingness and civility; he was all smiles to everyone.	He fairly outstripped himself in willingness and civility; he was all smiles to everyone.
459_127521_000017_000000	Of all the gloomy features of that gloomy afternoon, this obvious anxiety on the part of Long John appeared the worst.	Of all the gloomy features of that gloomy afternoon, this obvious anxiety on the part of Long john appeared the worst.
459_127521_000018_000000	We held a council in the cabin.	We held a council in the cabin.
459_127521_000019_000001	You see, sir, here it is.	You see, sir, here it is.
459_127521_000019_000002	I get a rough answer, do I not?	I get a rough answer, do I not?
459_127521_000019_000003	Well, if I speak back, pikes will be going in two shakes; if I don't, Silver will see there's something under that, and the game's up.	Well, if I speak back, pikes will be going in two shakes; if I don't, Silver will see there's something under that, and the game's up.
459_127521_000019_000004	Now, we've only one man to rely on."	Now, we've only one man to rely on."
459_127521_000020_000000	"And who is that?" asked the squire.	"And who is that?" asked the squire.
459_127521_000021_000000	"Silver, sir," returned the captain; "he's as anxious as you and I to smother things up.	"Silver, sir," returned the captain; "he's as anxious as you and I to smother things up.
459_127521_000021_000001	This is a tiff; he'd soon talk 'em out of it if he had the chance, and what I propose to do is to give him the chance. Let's allow the men an afternoon ashore.	This is a tiff; he'd soon talk 'em out of it if he had the chance, and what I propose to do is to give him the chance. Let's allow the men an afternoon ashore.
459_127521_000021_000002	If they all go, why we'll fight the ship.	If they all go, why we'll fight the ship.
