2823_160953_000007_000002	But now good advice is dear, and I do not know what to do."	But now good advice is dear, and I do not know what to do."
2823_160953_000008_000000	"Go with us to Bremen.	"Go with us to Bremen.
2823_160953_000008_000002	The three vagabonds soon came near a farmyard, where, upon the barn door, the cock was sitting crowing with all his might.	The three vagabonds soon came near a farmyard, where, upon the barn door, the cock was sitting crowing with all his might.
2823_160953_000009_000000	"That is the way I prophesy fine weather," said the cock; "but because grand guests are coming for the Sunday, the housewife has no pity, and has told the cook-maid to make me into soup for the morrow; and this evening my head will be cut off.	"That is the way I prophesy fine weather," said the cock; "but because grand guests are coming for the Sunday, the housewife has no pity, and has told the cook maid to make me into soup for the morrow; and this evening my head will be cut off.
2823_160953_000010_000000	"Ah, but you, Red-comb," replied the ass, "rather come away with us. We are going to Bremen, to find there something better than death; you have a good voice, and if we make music together it will have full play."	"Ah, but you, Red comb," replied the ass, "rather come away with us. We are going to Bremen, to find there something better than death; you have a good voice, and if we make music together it will have full play."
2823_160953_000011_000000	The cock consented to this plan, and so all four traveled on together. They could not, however, reach Bremen in one day, and at evening they came into a forest, where they meant to pass the night.	The cock consented to this plan, and so all four traveled on together. They could not, however, reach Bremen in one day, and at evening they came into a forest, where they meant to pass the night.
2823_160953_000011_000001	The ass and the dog laid themselves down under a large tree, the cat and the cock climbed up into the branches, but the latter flew right to the top, where he was most safe.	The ass and the dog laid themselves down under a large tree, the cat and the cock climbed up into the branches, but the latter flew right to the top, where he was most safe.
2823_160953_000011_000005	"What do you see, Gray-horse?" asked the cock.	"What do you see, Gray horse?" asked the cock.
2823_160953_000012_000000	"That would be the right sort of thing for us," said the cock.	"That would be the right sort of thing for us," said the cock.
2823_160953_000013_000001	Then these animals took counsel together how they should contrive to drive away the robbers, and at last they thought of a way.	Then these animals took counsel together how they should contrive to drive away the robbers, and at last they thought of a way.
2823_160953_000015_000001	The messenger, finding all still, went into the kitchen to strike a light, and, taking the glistening, fiery eyes of the cat for live coals, he held a lucifer match to them, expecting it to take fire.	The messenger, finding all still, went into the kitchen to strike a light, and, taking the glistening, fiery eyes of the cat for live coals, he held a lucifer match to them, expecting it to take fire.
