2494_156018_000001_000000	THE THOUGHT-FACTOR IN ACHIEVEMENT	THE THOUGHT FACTOR IN ACHIEVEMENT
2494_156018_000002_000001	In a justly ordered universe, where loss of equipoise would mean total destruction, individual responsibility must be absolute.	In a justly ordered universe, where loss of equipoise would mean total destruction, individual responsibility must be absolute.
2494_156018_000002_000002	A man's weakness and strength, purity and impurity, are his own, and not another man's; they are brought about by himself, and not by another; and they can only be altered by himself, never by another.	A man's weakness and strength, purity and impurity, are his own, and not another man's; they are brought about by himself, and not by another; and they can only be altered by himself, never by another.
2494_156018_000002_000003	His condition is also his own, and not another man's.	His condition is also his own, and not another man's.
2494_156018_000002_000005	As he thinks, so he is; as he continues to think, so he remains.	As he thinks, so he is; as he continues to think, so he remains.
2494_156018_000003_000001	None but himself can alter his condition.	None but himself can alter his condition.
2494_156018_000004_000000	It has been usual for men to think and to say, "Many men are slaves because one is an oppressor; let us hate the oppressor." Now, however, there is amongst an increasing few a tendency to reverse this judgment, and to say, "One man is an oppressor because many are slaves; let us despise the slaves."	It has been usual for men to think and to say, "Many men are slaves because one is an oppressor; let us hate the oppressor." Now, however, there is amongst an increasing few a tendency to reverse this judgment, and to say, "One man is an oppressor because many are slaves; let us despise the slaves."
2494_156018_000005_000000	The truth is that oppressor and slave are co-operators in ignorance, and, while seeming to afflict each other, are in reality afflicting themselves.	The truth is that oppressor and slave are co operators in ignorance, and, while seeming to afflict each other, are in reality afflicting themselves.
2494_156018_000005_000001	A perfect Knowledge perceives the action of law in the weakness of the oppressed and the misapplied power of the oppressor; a perfect Love, seeing the suffering, which both states entail, condemns neither; a perfect Compassion embraces both oppressor and oppressed.	A perfect Knowledge perceives the action of law in the weakness of the oppressed and the misapplied power of the oppressor; a perfect Love, seeing the suffering, which both states entail, condemns neither; a perfect Compassion embraces both oppressor and oppressed.
2494_156018_000006_000000	He who has conquered weakness, and has put away all selfish thoughts, belongs neither to oppressor nor oppressed.	He who has conquered weakness, and has put away all selfish thoughts, belongs neither to oppressor nor oppressed.
2494_156018_000006_000001	He is free.	He is free.
2494_156018_000007_000000	A man can only rise, conquer, and achieve by lifting up his thoughts.	A man can only rise, conquer, and achieve by lifting up his thoughts.
2494_156018_000008_000000	Before a man can achieve anything, even in worldly things, he must lift his thoughts above slavish animal indulgence.	Before a man can achieve anything, even in worldly things, he must lift his thoughts above slavish animal indulgence.
2494_156018_000008_000001	He may not, in order to succeed, give up all animality and selfishness, by any means; but a portion of it must, at least, be sacrificed.	He may not, in order to succeed, give up all animality and selfishness, by any means; but a portion of it must, at least, be sacrificed.
2494_156018_000008_000002	A man whose first thought is bestial indulgence could neither think clearly nor plan methodically; he could not find and develop his latent resources, and would fail in any undertaking.	A man whose first thought is bestial indulgence could neither think clearly nor plan methodically; he could not find and develop his latent resources, and would fail in any undertaking.
2494_156018_000008_000004	He is not fit to act independently and stand alone.	He is not fit to act independently and stand alone.
2494_156018_000010_000001	All the great Teachers of the ages have declared this in varying forms, and to prove and know it a man has but to persist in making himself more and more virtuous by lifting up his thoughts.	All the great Teachers of the ages have declared this in varying forms, and to prove and know it a man has but to persist in making himself more and more virtuous by lifting up his thoughts.
2494_156018_000011_000000	Intellectual achievements are the result of thought consecrated to the search for knowledge, or for the beautiful and true in life and nature.	Intellectual achievements are the result of thought consecrated to the search for knowledge, or for the beautiful and true in life and nature.
2494_156018_000012_000001	He who lives constantly in the conception of noble and lofty thoughts, who dwells upon all that is pure and unselfish, will, as surely as the sun reaches its zenith and the moon its full, become wise and noble in character, and rise into a position of influence and blessedness.	He who lives constantly in the conception of noble and lofty thoughts, who dwells upon all that is pure and unselfish, will, as surely as the sun reaches its zenith and the moon its full, become wise and noble in character, and rise into a position of influence and blessedness.
2494_156018_000013_000001	By the aid of self-control, resolution, purity, righteousness, and well-directed thought a man ascends; by the aid of animality, indolence, impurity, corruption, and confusion of thought a man descends.	By the aid of self control, resolution, purity, righteousness, and well directed thought a man ascends; by the aid of animality, indolence, impurity, corruption, and confusion of thought a man descends.
2494_156018_000015_000000	Victories attained by right thought can only be maintained by watchfulness.	Victories attained by right thought can only be maintained by watchfulness.
